DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-12-16,23.15,23.8,23.15,23.75,2306586.0,23.75,GOOG-H
2005-12-20,23.55,23.6,23.25,23.4,822193.0,23.4,GOOG-H
2005-12-28,23.85,23.85,23.5,23.6,813776.0,23.6,GOOG-H
2005-12-29,23.65,23.65,23.5,23.6,864218.0,23.6,GOOG-H
2005-12-30,23.65,23.9,23.35,23.9,2163888.0,23.9,GOOG-H
2006-01-04,23.9,24.25,23.8,24.05,2027626.0,24.05,GOOG-H
2006-01-05,24.15,24.3,24.0,24.2,2841361.0,24.2,GOOG-H
2006-01-06,24.3,24.3,23.65,23.95,1554596.0,23.95,GOOG-H
2006-01-09,23.8,23.85,23.05,23.2,2413286.0,23.2,GOOG-H
2006-01-10,22.75,23.25,22.45,22.9,5440731.0,22.9,GOOG-H
2006-01-11,23.0,23.35,23.0,23.15,5561472.0,23.15,GOOG-H
2006-01-12,23.15,23.2,22.85,22.9,3446395.0,22.9,GOOG-H
2006-01-13,22.9,23.3,22.9,23.25,7246274.0,23.25,GOOG-H
2006-01-16,23.3,23.35,23.15,23.25,1885099.0,23.25,GOOG-H
2006-01-17,23.2,23.35,23.15,23.3,4916300.0,23.3,GOOG-H
2006-01-18,23.3,23.3,23.15,23.25,2073819.0,23.25,GOOG-H
2006-01-19,23.3,23.65,23.25,23.6,2558572.0,23.6,GOOG-H
2006-01-20,23.6,24.0,23.6,24.0,1932127.0,24.0,GOOG-H
2006-01-23,23.75,23.75,23.2,23.55,2206923.0,23.55,GOOG-H
2006-01-24,23.55,23.65,23.25,23.6,1783821.0,23.6,GOOG-H
2006-01-25,23.55,23.7,23.4,23.55,1921121.0,23.55,GOOG-H
2006-01-27,23.75,24.1,23.75,23.95,2356672.0,23.95,GOOG-H
2006-01-30,23.8,24.0,23.8,24.0,17031632.0,24.0,GOOG-H
2006-01-31,24.0,24.3,24.0,24.25,2170319.0,24.25,GOOG-H
2006-02-01,24.25,24.35,24.1,24.3,1894621.0,24.3,GOOG-H
2006-02-02,24.3,24.3,23.85,23.85,2561565.0,23.85,GOOG-H
2006-02-03,24.05,24.15,23.85,24.05,2790637.0,24.05,GOOG-H
2006-02-06,24.25,24.35,24.1,24.3,1194819.0,24.3,GOOG-H
2006-02-07,24.35,24.75,24.15,24.7,1346096.0,24.7,GOOG-H
2006-02-08,24.7,24.9,24.4,24.4,2069138.0,24.4,GOOG-H
2006-02-09,24.55,24.65,24.35,24.65,873511.0,24.65,GOOG-H
2006-02-10,24.85,25.0,24.5,24.5,1724693.0,24.5,GOOG-H
2006-02-13,24.65,24.85,24.4,24.5,1107575.0,24.5,GOOG-H
2006-02-14,24.25,24.6,24.15,24.55,2584472.0,24.55,GOOG-H
2006-02-15,24.55,24.7,24.2,24.35,4072697.0,24.35,GOOG-H
2006-02-16,24.3,24.5,24.25,24.4,2812935.0,24.4,GOOG-H
2006-02-17,24.25,24.4,24.05,24.15,1364366.0,24.15,GOOG-H
2006-02-20,24.25,24.3,23.9,24.05,2673422.0,24.05,GOOG-H
2006-02-21,24.0,24.3,23.95,24.3,1497044.0,24.3,GOOG-H
2006-02-22,24.0,24.45,24.0,24.4,3701984.0,24.4,GOOG-H
2006-02-24,24.6,25.0,24.55,24.9,2674755.0,24.9,GOOG-H
2006-02-27,25.0,25.0,24.7,24.9,7711897.0,24.9,GOOG-H
2006-02-28,24.85,25.65,24.85,25.25,3097264.0,25.25,GOOG-H
2006-03-01,24.95,24.95,24.5,24.6,2959172.0,24.6,GOOG-H
2006-03-02,24.65,24.9,24.6,24.6,2464249.0,24.6,GOOG-H
2006-03-03,24.55,24.85,24.5,24.6,1046035.0,24.6,GOOG-H
2006-03-06,24.6,24.85,24.5,24.65,1473920.0,24.65,GOOG-H
2006-03-07,24.65,25.1,24.65,25.0,3033015.0,25.0,GOOG-H
2006-03-09,24.6,24.7,24.25,24.7,2903916.0,24.7,GOOG-H
2006-03-10,24.75,24.85,24.65,24.65,2190509.0,24.65,GOOG-H
2006-03-13,24.75,24.75,24.1,24.45,2990169.0,24.45,GOOG-H
2006-03-14,24.55,24.6,24.35,24.35,2600066.0,24.35,GOOG-H
2006-03-15,24.5,25.0,24.4,24.9,14986530.0,24.9,GOOG-H
2006-03-16,25.1,25.1,24.85,24.95,6765715.0,24.95,GOOG-H
2006-03-17,25.0,25.2,24.9,25.2,3026093.0,25.2,GOOG-H
