DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,7.44,7.61,7.44,7.61,38410.0,7.61,GOOG-H
2000-01-05,7.48,7.61,7.48,7.61,24700.0,7.61,GOOG-H
2000-01-06,7.48,7.61,7.48,7.61,69224.0,7.61,GOOG-H
2000-01-07,7.61,7.61,7.61,7.61,16860.0,7.61,GOOG-H
2000-01-10,7.61,7.69,7.61,7.61,13971.0,7.61,GOOG-H
2000-01-11,7.61,7.65,7.61,7.65,40200.0,7.65,GOOG-H
2000-01-12,7.65,7.69,7.57,7.69,23560.0,7.69,GOOG-H
2000-01-13,7.73,7.73,7.69,7.69,28188.0,7.69,GOOG-H
2000-01-14,7.77,7.81,7.77,7.81,7050.0,7.81,GOOG-H
2000-01-17,7.81,7.94,7.81,7.94,32054.0,7.94,GOOG-H
2000-01-19,7.86,7.94,7.86,7.94,4000.0,7.94,GOOG-H
2000-01-21,7.77,7.77,7.77,7.77,1400.0,7.77,GOOG-H
2000-01-24,7.65,7.65,7.61,7.61,3088.0,7.61,GOOG-H
2000-01-27,7.61,7.65,7.61,7.65,2299.0,7.65,GOOG-H
2000-01-28,7.65,7.65,7.65,7.65,3430.0,7.65,GOOG-H
2000-01-31,7.61,7.61,7.61,7.61,221.0,7.61,GOOG-H
2000-02-01,7.61,7.61,7.52,7.52,6000.0,7.52,GOOG-H
2000-02-02,7.52,7.57,7.52,7.57,5600.0,7.57,GOOG-H
2000-02-03,7.56,7.57,7.56,7.57,2000.0,7.57,GOOG-H
2000-02-04,7.44,7.44,7.44,7.44,5000.0,7.44,GOOG-H
2000-02-07,7.44,7.44,7.36,7.44,4467.0,7.44,GOOG-H
2000-02-08,7.38,7.38,7.19,7.19,2815.0,7.19,GOOG-H
2000-02-09,7.2,7.2,7.19,7.19,7265.0,7.19,GOOG-H
2000-02-10,7.24,7.24,7.19,7.19,823.0,7.19,GOOG-H
2000-02-11,7.03,7.07,7.03,7.07,15000.0,7.07,GOOG-H
2000-02-14,7.03,7.03,6.9,6.9,7302.0,6.9,GOOG-H
2000-02-15,7.03,7.03,7.03,7.03,2736.0,7.03,GOOG-H
2000-02-16,6.9,6.9,6.9,6.9,111.0,6.9,GOOG-H
2000-02-17,6.91,6.91,6.91,6.91,2000.0,6.91,GOOG-H
2000-02-22,7.03,7.03,7.03,7.03,700.0,7.03,GOOG-H
2000-02-23,6.95,7.03,6.95,7.03,951.0,7.03,GOOG-H
2000-02-24,7.03,7.03,7.03,7.03,180.0,7.03,GOOG-H
2000-02-25,7.11,7.11,7.11,7.11,970.0,7.11,GOOG-H
2000-02-28,7.04,7.04,6.95,6.95,5000.0,6.95,GOOG-H
2000-03-01,6.99,6.99,6.95,6.95,4602.0,6.95,GOOG-H
2000-03-03,6.99,6.99,6.95,6.95,1320.0,6.95,GOOG-H
2000-03-06,6.95,6.95,6.95,6.95,1080.0,6.95,GOOG-H
2000-03-07,7.0,7.0,6.95,6.95,1350.0,6.95,GOOG-H
