DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-07-04,9.7,9.7,8.91,9.4,18380812.0,9.4,GOOG-H
2007-07-05,9.4,9.4,9.25,9.4,2969579.0,9.4,GOOG-H
2007-07-06,9.35,9.4,9.3,9.4,1847118.0,9.4,GOOG-H
2007-07-09,9.4,9.6,9.4,9.5,823019.0,9.5,GOOG-H
2007-07-10,9.5,9.55,9.5,9.5,786209.0,9.5,GOOG-H
2007-07-11,9.5,9.55,9.4,9.5,471500.0,9.5,GOOG-H
2007-07-12,9.5,9.5,9.4,9.4,399030.0,9.4,GOOG-H
2007-07-13,9.4,9.5,9.35,9.45,246081.0,9.45,GOOG-H
2007-07-16,9.5,9.5,9.35,9.4,336214.0,9.4,GOOG-H
2007-07-17,9.4,9.5,9.35,9.5,196810.0,9.5,GOOG-H
2007-07-18,9.45,9.5,9.35,9.35,379350.0,9.35,GOOG-H
2007-07-19,9.4,9.45,9.3,9.45,606798.0,9.45,GOOG-H
2007-07-20,9.45,9.45,9.2,9.2,793640.0,9.2,GOOG-H
2007-07-23,9.4,9.4,9.3,9.3,457265.0,9.3,GOOG-H
2007-07-24,9.35,9.4,9.35,9.4,353646.0,9.4,GOOG-H
2007-07-25,9.4,9.4,9.3,9.4,1841833.0,9.4,GOOG-H
2007-07-26,9.25,9.4,9.25,9.3,236867.0,9.3,GOOG-H
2007-07-27,9.25,9.3,9.16,9.25,672998.0,9.25,GOOG-H
2007-07-31,9.11,9.3,9.11,9.2,284351.0,9.2,GOOG-H
2007-08-01,8.96,9.16,8.81,8.91,2034584.0,8.91,GOOG-H
2007-08-02,8.86,9.3,8.86,9.3,988589.0,9.3,GOOG-H
2007-08-03,9.16,9.25,9.11,9.16,798833.0,9.16,GOOG-H
2007-08-06,9.16,9.16,9.01,9.16,1366686.0,9.16,GOOG-H
2007-08-07,9.16,9.2,9.06,9.2,331327.0,9.2,GOOG-H
2007-08-08,9.2,9.2,9.06,9.11,127626.0,9.11,GOOG-H
2007-08-09,9.11,9.16,9.01,9.16,250650.0,9.16,GOOG-H
2007-08-10,9.01,9.06,8.91,8.91,525806.0,8.91,GOOG-H
2007-08-13,8.91,9.01,8.91,8.91,323000.0,8.91,GOOG-H
2007-08-16,8.71,8.71,7.87,8.41,703185.0,8.41,GOOG-H
2007-08-17,8.41,8.71,8.41,8.41,226856.0,8.41,GOOG-H
2007-08-20,8.66,8.86,8.61,8.71,550101.0,8.71,GOOG-H
2007-08-21,8.71,8.71,8.51,8.51,96000.0,8.51,GOOG-H
2007-08-22,8.71,8.91,8.71,8.81,601497.0,8.81,GOOG-H
2007-08-23,8.81,8.91,8.71,8.81,730403.0,8.81,GOOG-H
2007-08-24,8.91,8.91,8.81,8.91,370330.0,8.91,GOOG-H
2007-08-27,8.91,8.91,8.76,8.91,127359.0,8.91,GOOG-H
2007-08-28,8.91,9.06,8.71,9.06,266106.0,9.06,GOOG-H
2007-08-29,8.91,9.06,8.86,9.01,373593.0,9.01,GOOG-H
2007-08-30,9.01,9.11,8.91,8.96,330302.0,8.96,GOOG-H
2007-08-31,8.86,9.11,8.86,9.01,74680.0,9.01,GOOG-H
2007-09-03,8.91,8.96,8.91,8.96,162015.0,8.96,GOOG-H
2007-09-04,8.96,9.01,8.91,9.01,344348.0,9.01,GOOG-H
2007-09-05,9.01,9.01,8.91,8.96,273127.0,8.96,GOOG-H
2007-09-06,9.01,9.01,8.96,8.96,171038.0,8.96,GOOG-H
2007-09-11,8.91,9.01,8.91,8.91,543500.0,8.91,GOOG-H
2007-09-12,8.91,9.11,8.91,9.01,247327.0,9.01,GOOG-H
2007-09-13,9.06,9.06,9.01,9.06,137703.0,9.06,GOOG-H
2007-09-17,9.06,9.06,8.91,8.91,478361.0,8.91,GOOG-H
2007-09-19,9.01,9.11,8.91,9.11,386624.0,9.11,GOOG-H
2007-09-20,9.11,9.2,8.96,8.96,745164.0,8.96,GOOG-H
2007-09-21,9.06,9.11,8.91,8.91,474795.0,8.91,GOOG-H
2007-09-24,8.91,8.91,8.71,8.81,133985.0,8.81,GOOG-H
2007-09-25,8.76,8.86,8.56,8.86,321522.0,8.86,GOOG-H
2007-09-26,8.71,8.86,8.56,8.66,403032.0,8.66,GOOG-H
2007-09-27,8.71,8.81,8.61,8.81,378176.0,8.81,GOOG-H
2007-09-28,8.71,8.81,8.66,8.71,125560.0,8.71,GOOG-H
2007-10-01,8.76,8.81,8.76,8.81,61000.0,8.81,GOOG-H
2007-10-02,8.76,8.81,8.61,8.76,274526.0,8.76,GOOG-H
2007-10-03,8.71,8.81,8.61,8.81,466096.0,8.81,GOOG-H
2007-10-04,8.71,8.81,8.71,8.71,221700.0,8.71,GOOG-H
2007-10-08,8.66,8.71,8.56,8.56,181947.0,8.56,GOOG-H
2007-10-09,8.76,8.86,8.71,8.81,135000.0,8.81,GOOG-H
2007-10-10,8.81,8.86,8.76,8.76,180667.0,8.76,GOOG-H
2007-10-11,8.81,8.86,8.71,8.81,1043000.0,8.81,GOOG-H
