DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,9.54,9.54,9.37,9.44,1006845.0,9.44,GOOG-H
2000-01-05,9.44,9.44,9.21,9.25,2202177.0,9.25,GOOG-H
2000-01-06,9.37,9.37,9.13,9.17,5543271.0,9.17,GOOG-H
2000-01-07,9.2,9.33,9.17,9.25,3361613.0,9.25,GOOG-H
2000-01-10,9.29,9.4,9.25,9.33,3211588.0,9.33,GOOG-H
2000-01-11,9.33,9.33,9.06,9.13,4240395.0,9.13,GOOG-H
2000-01-12,9.13,9.17,9.06,9.13,2577247.0,9.13,GOOG-H
2000-01-13,9.06,9.09,8.82,8.94,6858709.0,8.94,GOOG-H
2000-01-14,8.94,9.06,8.86,8.9,6907703.0,8.9,GOOG-H
2000-01-17,8.9,8.98,8.82,8.9,606100.0,8.9,GOOG-H
2000-01-18,8.9,9.02,8.9,8.94,1970657.0,8.94,GOOG-H
2000-01-19,8.9,8.94,8.82,8.9,7321878.0,8.9,GOOG-H
2000-01-20,8.9,8.98,8.82,8.98,6562204.0,8.98,GOOG-H
2000-01-21,8.9,9.09,8.9,9.09,1696444.0,9.09,GOOG-H
2000-01-24,9.09,9.37,9.09,9.21,927237.0,9.21,GOOG-H
2000-01-25,9.09,9.21,9.02,9.21,2193003.0,9.21,GOOG-H
2000-01-27,9.21,9.37,9.21,9.29,9884762.0,9.29,GOOG-H
2000-01-28,9.28,9.37,9.28,9.37,10715713.0,9.37,GOOG-H
2000-01-31,9.29,9.52,9.29,9.44,1480256.0,9.44,GOOG-H
2000-02-01,9.4,9.56,9.4,9.4,1633294.0,9.4,GOOG-H
2000-02-02,9.41,9.52,9.37,9.48,1274871.0,9.48,GOOG-H
2000-02-03,9.37,9.44,9.21,9.4,2793574.0,9.4,GOOG-H
2000-02-04,9.43,9.52,9.33,9.52,1308520.0,9.52,GOOG-H
2000-02-07,9.48,9.52,9.44,9.44,498407.0,9.44,GOOG-H
2000-02-08,9.44,9.52,9.29,9.44,5617716.0,9.44,GOOG-H
2000-02-09,9.48,9.6,9.44,9.44,1577242.0,9.44,GOOG-H
2000-02-10,9.44,9.6,9.37,9.6,5510367.0,9.6,GOOG-H
2000-02-11,9.52,9.56,9.37,9.52,1716003.0,9.52,GOOG-H
2000-02-14,9.32,9.52,9.32,9.44,1284124.0,9.44,GOOG-H
2000-02-15,9.4,9.52,9.4,9.48,3548525.0,9.48,GOOG-H
2000-02-16,9.48,9.56,9.44,9.56,1967294.0,9.56,GOOG-H
2000-02-17,9.56,9.64,9.48,9.55,3002073.0,9.55,GOOG-H
2000-02-18,9.56,9.75,9.48,9.48,5625172.0,9.48,GOOG-H
2000-02-21,9.4,9.6,9.4,9.56,2321315.0,9.56,GOOG-H
2000-02-22,9.56,9.56,9.48,9.5,1496009.0,9.5,GOOG-H
2000-02-23,9.51,9.83,9.51,9.71,4321674.0,9.71,GOOG-H
2000-02-24,9.71,9.75,9.6,9.64,6722552.0,9.64,GOOG-H
2000-02-25,9.67,9.83,9.64,9.67,1315039.0,9.67,GOOG-H
2000-02-28,9.67,9.71,9.6,9.67,1242880.0,9.67,GOOG-H
2000-02-29,9.64,9.91,9.64,9.91,4258562.0,9.91,GOOG-H
2000-03-01,9.91,10.02,9.83,9.98,2530184.0,9.98,GOOG-H
