DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-06-11,2.08,2.12,2.01,2.06,15838063.0,2.06,GOOG-H
2015-06-12,2.05,2.12,2.04,2.1,4301692.0,2.1,GOOG-H
2015-06-15,2.1,2.12,2.09,2.09,1846565.0,2.09,GOOG-H
2015-06-16,2.09,2.09,2.04,2.04,3476956.0,2.04,GOOG-H
2015-06-17,2.05,2.06,1.98,2.0,1307655.0,2.0,GOOG-H
2015-06-18,2.02,2.02,2.0,2.0,2415009.0,2.0,GOOG-H
2015-06-19,2.0,2.05,2.0,2.05,546032.0,2.05,GOOG-H
2015-06-22,2.05,2.05,2.03,2.03,659648.0,2.03,GOOG-H
2015-06-23,2.03,2.07,2.03,2.06,2871484.0,2.06,GOOG-H
2015-06-24,2.06,2.06,2.05,2.05,110294.0,2.05,GOOG-H
2015-06-25,2.05,2.06,2.05,2.06,395785.0,2.06,GOOG-H
2015-06-26,2.05,2.08,2.05,2.06,326337.0,2.06,GOOG-H
2015-06-29,2.04,2.04,1.99,2.04,450380.0,2.04,GOOG-H
2015-06-30,2.01,2.03,1.99,2.02,1040614.0,2.02,GOOG-H
2015-07-01,2.02,2.05,2.01,2.04,1243409.0,2.04,GOOG-H
2015-07-02,2.04,2.04,2.02,2.03,878031.0,2.03,GOOG-H
2015-07-03,2.03,2.03,2.01,2.02,349068.0,2.02,GOOG-H
2015-07-06,2.01,2.01,1.99,2.0,137974.0,2.0,GOOG-H
2015-07-07,2.0,2.03,1.99,2.01,607682.0,2.01,GOOG-H
2015-07-08,2.03,2.03,2.01,2.03,129002.0,2.03,GOOG-H
2015-07-09,2.0,2.01,1.98,2.0,818599.0,2.0,GOOG-H
2015-07-10,2.03,2.03,1.98,2.03,406062.0,2.03,GOOG-H
2015-07-13,2.03,2.03,1.99,2.03,118165.0,2.03,GOOG-H
2015-07-14,2.02,2.06,2.02,2.06,435234.0,2.06,GOOG-H
2015-07-15,2.05,2.08,2.05,2.07,595417.0,2.07,GOOG-H
2015-07-16,2.07,2.12,2.07,2.11,500267.0,2.11,GOOG-H
2015-07-17,2.12,2.15,2.11,2.14,950685.0,2.14,GOOG-H
2015-07-20,2.14,2.15,2.12,2.14,615050.0,2.14,GOOG-H
2015-07-21,2.15,2.16,2.13,2.15,751324.0,2.15,GOOG-H
2015-07-22,2.14,2.22,2.14,2.19,1070931.0,2.19,GOOG-H
2015-07-23,2.21,2.22,2.18,2.19,1675649.0,2.19,GOOG-H
2015-07-24,2.18,2.2,2.17,2.19,969808.0,2.19,GOOG-H
2015-07-27,2.19,2.23,2.18,2.23,738729.0,2.23,GOOG-H
2015-07-28,2.21,2.23,2.2,2.23,1525171.0,2.23,GOOG-H
2015-07-29,2.23,2.25,2.22,2.25,875389.0,2.25,GOOG-H
2015-07-30,2.25,2.25,2.2,2.2,983055.0,2.2,GOOG-H
