DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,1.44,1.44,1.41,1.41,78106.0,1.41,GOOG-H
2000-01-05,1.42,1.44,1.41,1.41,32677.0,1.41,GOOG-H
2000-01-06,1.42,1.44,1.42,1.43,28162.0,1.43,GOOG-H
2000-01-07,1.46,1.47,1.44,1.47,67738.0,1.47,GOOG-H
2000-01-10,1.5,1.6,1.5,1.59,63995.0,1.59,GOOG-H
2000-01-11,1.62,1.71,1.62,1.65,45556.0,1.65,GOOG-H
2000-01-12,1.66,1.67,1.66,1.67,61139.0,1.67,GOOG-H
2000-01-13,1.68,1.68,1.66,1.68,36500.0,1.68,GOOG-H
2000-01-14,1.67,1.69,1.65,1.68,50545.0,1.68,GOOG-H
2000-01-17,1.67,1.68,1.66,1.66,54129.0,1.66,GOOG-H
2000-01-18,1.67,1.67,1.6,1.6,82436.0,1.6,GOOG-H
2000-01-19,1.6,1.6,1.51,1.51,17698.0,1.51,GOOG-H
2000-01-20,1.51,1.54,1.51,1.54,21995.0,1.54,GOOG-H
2000-01-21,1.54,1.54,1.53,1.53,12073.0,1.53,GOOG-H
2000-01-24,1.56,1.56,1.55,1.55,4700.0,1.55,GOOG-H
2000-01-25,1.53,1.54,1.53,1.53,31573.0,1.53,GOOG-H
2000-01-27,1.52,1.53,1.51,1.52,15881.0,1.52,GOOG-H
2000-01-28,1.54,1.56,1.53,1.55,35248.0,1.55,GOOG-H
2000-01-31,1.51,1.65,1.51,1.6,51800.0,1.6,GOOG-H
2000-02-01,1.6,1.6,1.56,1.56,12808.0,1.56,GOOG-H
2000-02-02,1.58,1.6,1.55,1.55,39692.0,1.55,GOOG-H
2000-02-03,1.55,1.55,1.47,1.47,58483.0,1.47,GOOG-H
2000-02-04,1.45,1.45,1.41,1.41,16118.0,1.41,GOOG-H
2000-02-07,1.45,1.45,1.41,1.45,31968.0,1.45,GOOG-H
2000-02-08,1.45,1.45,1.41,1.41,12787.0,1.41,GOOG-H
