DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-06-15,1.26,1.53,1.26,1.42,534133.0,1.42,GOOG-H
2007-06-18,1.48,1.48,1.45,1.45,146726.0,1.45,GOOG-H
2007-06-19,1.46,1.46,1.42,1.42,220641.0,1.42,GOOG-H
2007-06-20,1.42,1.44,1.42,1.43,255901.0,1.43,GOOG-H
2007-06-21,1.44,1.46,1.43,1.46,43890.0,1.46,GOOG-H
2007-06-22,1.48,1.49,1.48,1.49,128832.0,1.49,GOOG-H
2007-06-25,1.48,1.56,1.48,1.56,12010.0,1.56,GOOG-H
2007-06-26,1.57,1.64,1.57,1.64,26500.0,1.64,GOOG-H
2007-06-27,1.66,1.66,1.64,1.64,3000.0,1.64,GOOG-H
2007-06-28,1.67,1.79,1.67,1.79,28500.0,1.79,GOOG-H
2007-06-29,1.85,2.14,1.84,1.84,37800.0,1.84,GOOG-H
2007-07-02,1.91,1.99,1.9,1.91,19950.0,1.91,GOOG-H
2007-07-03,1.91,2.09,1.91,2.09,55445.0,2.09,GOOG-H
2007-07-04,2.14,2.14,2.09,2.11,47089.0,2.11,GOOG-H
2007-07-05,2.11,2.11,2.09,2.11,17032.0,2.11,GOOG-H
2007-07-06,2.09,2.09,1.99,1.99,15685.0,1.99,GOOG-H
2007-07-09,1.93,1.93,1.93,1.93,1000.0,1.93,GOOG-H
2007-07-10,1.89,1.89,1.84,1.84,5000.0,1.84,GOOG-H
2007-07-11,1.79,1.79,1.74,1.74,22700.0,1.74,GOOG-H
2007-07-12,1.74,1.74,1.69,1.69,30577.0,1.69,GOOG-H
2007-07-13,1.69,1.74,1.68,1.74,5363.0,1.74,GOOG-H
2007-07-16,1.74,1.79,1.69,1.69,23350.0,1.69,GOOG-H
2007-07-17,1.69,1.69,1.69,1.69,20707.0,1.69,GOOG-H
2007-07-18,1.7,1.7,1.69,1.69,10000.0,1.69,GOOG-H
2007-07-19,1.7,1.7,1.7,1.7,3448.0,1.7,GOOG-H
2007-07-20,1.76,1.76,1.74,1.74,16000.0,1.74,GOOG-H
2007-07-23,1.79,1.82,1.79,1.79,11846.0,1.79,GOOG-H
2007-07-24,1.76,1.81,1.75,1.81,47699.0,1.81,GOOG-H
2007-07-25,1.75,1.75,1.75,1.75,9612.0,1.75,GOOG-H
2007-07-26,1.75,1.75,1.75,1.75,5000.0,1.75,GOOG-H
2007-07-27,1.69,1.74,1.69,1.74,12200.0,1.74,GOOG-H
2007-07-30,1.69,1.69,1.67,1.67,63367.0,1.67,GOOG-H
2007-07-31,1.67,1.67,1.67,1.67,0.0,1.67,GOOG-H
2007-08-01,1.69,1.69,1.67,1.67,47892.0,1.67,GOOG-H
2007-08-02,1.67,1.67,1.66,1.67,27000.0,1.67,GOOG-H
2007-08-03,1.67,1.67,1.67,1.67,0.0,1.67,GOOG-H
2007-08-06,1.67,1.67,1.66,1.66,7000.0,1.66,GOOG-H
2007-08-07,1.68,1.68,1.68,1.68,25000.0,1.68,GOOG-H
2007-08-08,1.68,1.68,1.64,1.64,35000.0,1.64,GOOG-H
2007-08-09,1.64,1.74,1.64,1.65,37000.0,1.65,GOOG-H
2007-08-10,1.65,1.65,1.65,1.65,0.0,1.65,GOOG-H
2007-08-13,1.64,1.64,1.62,1.62,30000.0,1.62,GOOG-H
2007-08-14,1.62,1.62,1.62,1.62,9150.0,1.62,GOOG-H
2007-08-15,1.51,1.57,1.49,1.57,32300.0,1.57,GOOG-H
2007-08-16,1.41,1.47,1.34,1.47,26400.0,1.47,GOOG-H
2007-08-17,1.47,1.47,1.47,1.47,0.0,1.47,GOOG-H
2007-08-20,1.34,1.49,1.34,1.49,53950.0,1.49,GOOG-H
2007-08-21,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-08-22,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-08-23,1.5,1.5,1.47,1.49,17050.0,1.49,GOOG-H
2007-08-24,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-08-27,1.57,1.57,1.57,1.57,1600.0,1.57,GOOG-H
2007-08-28,1.57,1.57,1.57,1.57,0.0,1.57,GOOG-H
2007-08-29,1.5,1.5,1.49,1.49,17000.0,1.49,GOOG-H
2007-08-31,1.49,1.49,1.49,1.49,4000.0,1.49,GOOG-H
2007-09-03,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-09-04,1.74,1.74,1.54,1.54,20000.0,1.54,GOOG-H
2007-09-05,1.5,1.51,1.5,1.51,10000.0,1.51,GOOG-H
2007-09-06,1.5,1.59,1.49,1.59,22000.0,1.59,GOOG-H
2007-09-11,1.5,1.5,1.5,1.5,0.0,1.5,GOOG-H
2007-09-12,1.5,1.5,1.5,1.5,0.0,1.5,GOOG-H
2007-09-13,1.58,1.58,1.54,1.54,20000.0,1.54,GOOG-H
2007-09-14,1.54,1.54,1.54,1.54,15000.0,1.54,GOOG-H
2007-09-17,1.55,1.64,1.55,1.58,4175.0,1.58,GOOG-H
2007-09-18,1.55,1.55,1.49,1.49,24326.0,1.49,GOOG-H
2007-09-19,1.54,1.54,1.48,1.48,20784.0,1.48,GOOG-H
2007-09-20,1.48,1.48,1.48,1.48,0.0,1.48,GOOG-H
2007-09-21,1.49,1.54,1.49,1.54,13200.0,1.54,GOOG-H
2007-09-24,1.49,1.49,1.49,1.49,2700.0,1.49,GOOG-H
2007-09-25,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-09-26,1.49,1.49,1.49,1.49,0.0,1.49,GOOG-H
2007-09-27,1.47,1.47,1.47,1.47,5000.0,1.47,GOOG-H
2007-10-01,1.47,1.49,1.44,1.49,17250.0,1.49,GOOG-H
2007-10-02,1.53,1.53,1.53,1.53,5000.0,1.53,GOOG-H
2007-10-03,1.52,1.53,1.52,1.53,13000.0,1.53,GOOG-H
2007-10-04,1.54,1.54,1.54,1.54,640.0,1.54,GOOG-H
2007-10-05,1.54,1.54,1.54,1.54,0.0,1.54,GOOG-H
2007-10-08,1.54,1.64,1.54,1.64,32832.0,1.64,GOOG-H
2007-10-09,1.74,1.84,1.64,1.64,182572.0,1.64,GOOG-H
2007-10-10,1.79,1.84,1.79,1.79,36570.0,1.79,GOOG-H
2007-10-11,1.8,1.8,1.74,1.79,127200.0,1.79,GOOG-H
2007-10-12,1.79,1.79,1.79,1.79,0.0,1.79,GOOG-H
2007-10-15,1.79,1.89,1.74,1.74,49500.0,1.74,GOOG-H
2007-10-16,1.79,1.85,1.79,1.79,108920.0,1.79,GOOG-H
2007-10-17,1.8,1.8,1.79,1.79,15000.0,1.79,GOOG-H
2007-10-18,1.79,1.79,1.79,1.79,31056.0,1.79,GOOG-H
2007-10-19,1.79,1.79,1.79,1.79,6144.0,1.79,GOOG-H
2007-10-22,1.79,1.79,1.79,1.79,0.0,1.79,GOOG-H
2007-10-23,1.84,1.84,1.84,1.84,700.0,1.84,GOOG-H
2007-10-24,1.78,1.84,1.78,1.84,20800.0,1.84,GOOG-H
2007-10-25,1.82,1.84,1.81,1.81,41900.0,1.81,GOOG-H
