DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-02-06,0.94,0.94,0.66,0.69,1795152.0,0.69,GOOG-H
2007-02-07,0.69,0.69,0.57,0.58,840467.0,0.58,GOOG-H
2007-02-08,0.61,0.69,0.61,0.65,542549.0,0.65,GOOG-H
2007-02-09,0.65,0.65,0.6,0.61,462020.0,0.61,GOOG-H
2007-02-12,0.62,0.64,0.61,0.61,420345.0,0.61,GOOG-H
2007-02-13,0.61,0.66,0.61,0.66,535800.0,0.66,GOOG-H
2007-02-14,0.65,0.65,0.64,0.64,385700.0,0.64,GOOG-H
2007-02-15,0.64,0.65,0.62,0.62,255967.0,0.62,GOOG-H
2007-02-16,0.62,0.66,0.62,0.65,279000.0,0.65,GOOG-H
2007-02-19,0.61,0.65,0.61,0.62,268777.0,0.62,GOOG-H
2007-02-20,0.62,0.64,0.61,0.64,180100.0,0.64,GOOG-H
2007-02-21,0.62,0.62,0.62,0.62,173000.0,0.62,GOOG-H
2007-02-22,0.62,0.71,0.62,0.66,637711.0,0.66,GOOG-H
2007-02-23,0.71,0.71,0.66,0.69,185992.0,0.69,GOOG-H
2007-02-26,0.66,0.66,0.64,0.64,70000.0,0.64,GOOG-H
2007-02-27,0.65,0.69,0.64,0.64,64600.0,0.64,GOOG-H
2007-02-28,0.54,0.61,0.51,0.57,519000.0,0.57,GOOG-H
2007-03-01,0.58,0.61,0.58,0.61,61000.0,0.61,GOOG-H
2007-03-02,0.61,0.61,0.58,0.61,260100.0,0.61,GOOG-H
2007-03-05,0.6,0.6,0.55,0.55,20000.0,0.55,GOOG-H
2007-03-06,0.55,0.55,0.55,0.55,10000.0,0.55,GOOG-H
2007-03-07,0.57,0.58,0.55,0.58,102400.0,0.58,GOOG-H
2007-03-08,0.58,0.6,0.55,0.55,53200.0,0.55,GOOG-H
2007-03-09,0.57,0.6,0.57,0.57,164000.0,0.57,GOOG-H
2007-03-12,0.55,0.6,0.55,0.6,293300.0,0.6,GOOG-H
2007-03-13,0.62,0.62,0.62,0.62,60000.0,0.62,GOOG-H
2007-03-14,0.62,0.62,0.62,0.62,60000.0,0.62,GOOG-H
2007-03-15,0.62,0.65,0.62,0.65,309252.0,0.65,GOOG-H
2007-03-16,0.65,0.66,0.65,0.66,99544.0,0.66,GOOG-H
2007-03-19,0.66,0.69,0.65,0.69,199666.0,0.69,GOOG-H
2007-03-20,0.69,0.73,0.69,0.73,457831.0,0.73,GOOG-H
