DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,2.89,2.89,2.67,2.68,624691.0,2.68,GOOG-H
2000-01-05,2.66,2.66,2.54,2.59,1759506.0,2.59,GOOG-H
2000-01-06,2.62,2.7,2.6,2.66,1147300.0,2.66,GOOG-H
2000-01-07,2.68,2.68,2.56,2.57,580923.0,2.57,GOOG-H
2000-01-10,2.69,2.71,2.59,2.61,289432.0,2.61,GOOG-H
2000-01-11,2.6,2.6,2.47,2.5,2041155.0,2.5,GOOG-H
2000-01-12,2.53,2.56,2.5,2.5,835371.0,2.5,GOOG-H
2000-01-13,2.51,2.52,2.47,2.49,2278527.0,2.49,GOOG-H
2000-01-14,2.52,2.71,2.49,2.69,3134799.0,2.69,GOOG-H
2000-01-17,2.91,2.94,2.91,2.91,3872012.0,2.91,GOOG-H
2000-01-18,2.93,2.95,2.91,2.94,2246363.0,2.94,GOOG-H
2000-01-19,2.91,2.96,2.91,2.96,594135.0,2.96,GOOG-H
2000-01-20,2.96,3.06,2.96,3.03,685961.0,3.03,GOOG-H
2000-01-21,3.05,3.07,3.03,3.07,2345697.0,3.07,GOOG-H
2000-01-24,3.09,3.09,3.06,3.09,1767976.0,3.09,GOOG-H
2000-01-25,3.07,3.1,3.02,3.04,1772937.0,3.04,GOOG-H
2000-01-27,3.04,3.07,3.04,3.07,1376074.0,3.07,GOOG-H
2000-01-28,3.04,3.07,3.04,3.05,1137379.0,3.05,GOOG-H
2000-01-31,3.05,3.05,2.99,3.03,1514511.0,3.03,GOOG-H
2000-02-01,3.04,3.06,3.01,3.04,538842.0,3.04,GOOG-H
2000-02-02,3.05,3.05,2.96,2.98,765539.0,2.98,GOOG-H
2000-02-03,2.99,3.01,2.92,2.92,1502015.0,2.92,GOOG-H
2000-02-04,2.9,2.92,2.82,2.86,650892.0,2.86,GOOG-H
2000-02-07,2.89,2.9,2.85,2.86,386361.0,2.86,GOOG-H
2000-02-08,2.86,2.91,2.86,2.89,739613.0,2.89,GOOG-H
2000-02-09,2.91,2.99,2.91,2.92,749284.0,2.92,GOOG-H
2000-02-10,2.92,2.98,2.91,2.95,3404385.0,2.95,GOOG-H
2000-02-11,2.91,2.96,2.91,2.95,679427.0,2.95,GOOG-H
2000-02-14,2.84,2.94,2.84,2.88,1755946.0,2.88,GOOG-H
2000-02-15,2.89,2.95,2.86,2.95,1356620.0,2.95,GOOG-H
2000-02-16,2.95,2.95,2.82,2.91,1127959.0,2.91,GOOG-H
2000-02-17,2.91,2.94,2.88,2.9,457236.0,2.9,GOOG-H
2000-02-18,2.88,2.94,2.88,2.93,423489.0,2.93,GOOG-H
2000-02-21,2.89,2.94,2.84,2.9,291647.0,2.9,GOOG-H
2000-02-22,2.92,2.92,2.81,2.9,447473.0,2.9,GOOG-H
2000-02-23,2.9,2.92,2.86,2.92,1155826.0,2.92,GOOG-H
2000-02-24,2.77,2.91,2.77,2.85,285671.0,2.85,GOOG-H
2000-02-25,2.8,2.86,2.78,2.84,490969.0,2.84,GOOG-H
2000-02-28,2.77,2.81,2.74,2.81,306270.0,2.81,GOOG-H
2000-02-29,2.8,2.82,2.77,2.82,954848.0,2.82,GOOG-H
2000-03-01,2.81,2.86,2.77,2.83,591832.0,2.83,GOOG-H
2000-03-02,2.82,2.86,2.73,2.77,644885.0,2.77,GOOG-H
2000-03-03,2.77,2.77,2.5,2.62,1939234.0,2.62,GOOG-H
2000-03-06,2.67,2.67,2.52,2.57,973029.0,2.57,GOOG-H
2000-03-07,2.7,2.7,2.57,2.57,334547.0,2.57,GOOG-H
2000-03-08,2.62,2.62,2.57,2.62,1077684.0,2.62,GOOG-H
2000-03-09,2.67,2.72,2.63,2.72,3648025.0,2.72,GOOG-H
2000-03-10,2.76,2.8,2.76,2.79,730247.0,2.79,GOOG-H
2000-03-13,2.72,2.74,2.66,2.72,415913.0,2.72,GOOG-H
2000-03-14,2.63,2.89,2.63,2.89,738670.0,2.89,GOOG-H
2000-03-15,2.91,3.02,2.91,2.99,1745142.0,2.99,GOOG-H
2000-03-16,2.99,3.09,2.99,3.01,1802546.0,3.01,GOOG-H
2000-03-17,3.07,3.08,3.01,3.06,1995813.0,3.06,GOOG-H
2000-03-20,3.06,3.18,3.06,3.18,1562842.0,3.18,GOOG-H
2000-03-21,3.18,3.18,3.06,3.09,548448.0,3.09,GOOG-H
2000-03-22,3.11,3.11,3.08,3.1,572406.0,3.1,GOOG-H
