DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-08-08,3.02,3.1,3.0,3.01,544954048.0,3.01,GOOG-H
2000-08-09,2.99,2.99,2.85,2.88,76860056.0,2.88,GOOG-H
2000-08-10,2.85,2.9,2.82,2.87,48512668.0,2.87,GOOG-H
2000-08-11,2.88,2.9,2.87,2.89,20820644.0,2.89,GOOG-H
2000-08-14,2.9,2.91,2.89,2.9,6143154.0,2.9,GOOG-H
2000-08-15,3.0,3.02,2.96,2.99,28727940.0,2.99,GOOG-H
2000-08-16,2.99,3.01,2.97,2.99,12328411.0,2.99,GOOG-H
2000-08-17,3.0,3.04,3.0,3.02,9362422.0,3.02,GOOG-H
2000-08-18,3.04,3.04,2.98,2.98,8595982.0,2.98,GOOG-H
2000-08-21,2.98,3.02,2.95,2.95,10344067.0,2.95,GOOG-H
2000-08-22,2.92,2.97,2.91,2.97,8320930.0,2.97,GOOG-H
2000-08-23,2.98,3.0,2.96,2.98,3933999.0,2.98,GOOG-H
2000-08-24,2.97,2.98,2.95,2.97,3779590.0,2.97,GOOG-H
2000-08-25,2.96,2.97,2.96,2.96,7390031.0,2.96,GOOG-H
2000-08-28,2.95,2.96,2.91,2.92,3254164.0,2.92,GOOG-H
2000-08-29,2.91,2.91,2.85,2.86,5800734.0,2.86,GOOG-H
2000-08-30,2.85,2.88,2.83,2.83,3975981.0,2.83,GOOG-H
2000-08-31,2.84,2.89,2.83,2.86,3062403.0,2.86,GOOG-H
2000-09-01,2.87,2.89,2.86,2.87,3347110.0,2.87,GOOG-H
2000-09-04,2.87,2.87,2.82,2.85,4216625.0,2.85,GOOG-H
2000-09-05,2.83,2.83,2.81,2.81,2648156.0,2.81,GOOG-H
2000-09-06,2.82,2.83,2.8,2.81,3201624.0,2.81,GOOG-H
2000-09-07,2.8,2.8,2.71,2.71,12780450.0,2.71,GOOG-H
2000-09-08,2.7,2.7,2.65,2.67,7162883.0,2.67,GOOG-H
2000-09-11,2.68,2.68,2.62,2.63,3876925.0,2.63,GOOG-H
2000-09-12,2.62,2.63,2.58,2.62,2111502.0,2.62,GOOG-H
2000-09-13,2.61,2.68,2.6,2.68,1946904.0,2.68,GOOG-H
2000-09-14,2.72,2.79,2.62,2.62,5798683.0,2.62,GOOG-H
2000-09-15,2.63,2.7,2.62,2.67,2369725.0,2.67,GOOG-H
2000-09-18,2.63,2.63,2.6,2.61,6115796.0,2.61,GOOG-H
2000-09-19,2.6,2.6,2.56,2.58,4669213.0,2.58,GOOG-H
2000-09-20,2.58,2.7,2.58,2.7,3191182.0,2.7,GOOG-H
2000-09-21,2.69,2.7,2.63,2.69,4498257.0,2.69,GOOG-H
2000-09-22,2.65,2.65,2.57,2.59,1505674.0,2.59,GOOG-H
2000-09-25,2.61,2.64,2.6,2.62,971655.0,2.62,GOOG-H
2000-09-26,2.64,2.69,2.63,2.64,2055829.0,2.64,GOOG-H
2000-09-27,2.65,2.69,2.64,2.67,2554568.0,2.67,GOOG-H
2000-09-28,2.66,2.69,2.66,2.69,1753311.0,2.69,GOOG-H
2000-09-29,2.68,2.68,2.66,2.67,3545527.0,2.67,GOOG-H
2000-10-02,2.67,2.68,2.65,2.66,1083002.0,2.66,GOOG-H
2000-10-03,2.66,2.75,2.66,2.75,3276989.0,2.75,GOOG-H
2000-10-04,2.75,2.76,2.71,2.75,4643245.0,2.75,GOOG-H
2000-10-05,2.74,2.83,2.73,2.81,5770142.0,2.81,GOOG-H
2000-10-06,2.77,2.8,2.69,2.72,8012896.0,2.72,GOOG-H
2000-10-09,2.68,2.72,2.67,2.69,2532512.0,2.69,GOOG-H
2000-10-10,2.69,2.69,2.64,2.66,4942092.0,2.66,GOOG-H
2000-10-11,2.66,2.72,2.65,2.72,1589090.0,2.72,GOOG-H
2000-10-12,2.69,2.69,2.64,2.66,3295403.0,2.66,GOOG-H
2000-10-13,2.63,2.64,2.59,2.6,3002949.0,2.6,GOOG-H
2000-10-16,2.65,2.68,2.64,2.67,2261468.0,2.67,GOOG-H
2000-10-17,2.63,2.63,2.59,2.62,1870634.0,2.62,GOOG-H
2000-10-18,2.6,2.62,2.6,2.61,1233222.0,2.61,GOOG-H
2000-10-19,2.6,2.62,2.59,2.61,2572397.0,2.61,GOOG-H
2000-10-20,2.61,2.63,2.6,2.62,2286624.0,2.62,GOOG-H
2000-10-23,2.61,2.69,2.61,2.67,1464200.0,2.67,GOOG-H
2000-10-24,2.65,2.65,2.62,2.63,3118697.0,2.63,GOOG-H
2000-10-25,2.62,2.66,2.62,2.64,1897052.0,2.64,GOOG-H
2000-10-26,2.64,2.67,2.64,2.65,3396818.0,2.65,GOOG-H
2000-10-27,2.65,2.66,2.64,2.65,1702796.0,2.65,GOOG-H
2000-10-30,2.63,2.65,2.62,2.64,1892265.0,2.64,GOOG-H
2000-10-31,2.64,2.66,2.63,2.64,3383480.0,2.64,GOOG-H
2000-11-01,2.64,2.66,2.64,2.64,1752910.0,2.64,GOOG-H
2000-11-02,2.64,2.68,2.64,2.66,4720506.0,2.66,GOOG-H
2000-11-03,2.66,2.7,2.66,2.68,1874407.0,2.68,GOOG-H
2000-11-06,2.67,2.69,2.66,2.67,1216287.0,2.67,GOOG-H
2000-11-07,2.67,2.71,2.67,2.71,2389095.0,2.71,GOOG-H
2000-11-08,2.69,2.74,2.69,2.73,2420447.0,2.73,GOOG-H
2000-11-09,2.72,2.74,2.71,2.73,2682171.0,2.73,GOOG-H
2000-11-10,2.73,2.81,2.73,2.81,4894602.0,2.81,GOOG-H
2000-11-13,2.8,2.89,2.8,2.89,3409173.0,2.89,GOOG-H
2000-11-14,2.85,2.95,2.85,2.95,2359031.0,2.95,GOOG-H
2000-11-15,2.95,3.02,2.92,2.97,6148404.0,2.97,GOOG-H
2000-11-16,2.9,2.93,2.86,2.89,1243745.0,2.89,GOOG-H
2000-11-17,2.86,2.92,2.83,2.92,1341147.0,2.92,GOOG-H
2000-11-20,2.9,2.97,2.9,2.96,1931861.0,2.96,GOOG-H
2000-11-21,2.91,2.94,2.88,2.92,1491192.0,2.92,GOOG-H
2000-11-22,2.9,2.93,2.87,2.89,884912.0,2.89,GOOG-H
2000-11-23,2.87,2.9,2.87,2.89,1571076.0,2.89,GOOG-H
2000-11-24,2.88,2.91,2.87,2.9,1289893.0,2.9,GOOG-H
2000-11-27,2.9,2.93,2.88,2.91,1220773.0,2.91,GOOG-H
2000-11-28,2.88,2.9,2.88,2.88,1029793.0,2.88,GOOG-H
2000-11-29,2.86,2.88,2.82,2.84,3843665.0,2.84,GOOG-H
2000-11-30,2.83,2.83,2.79,2.81,1333920.0,2.81,GOOG-H
2000-12-01,2.76,2.82,2.73,2.82,1498306.0,2.82,GOOG-H
2000-12-04,2.8,2.82,2.79,2.8,598054.0,2.8,GOOG-H
2000-12-05,2.8,2.87,2.79,2.85,1169303.0,2.85,GOOG-H
2000-12-06,2.84,2.86,2.81,2.83,1010316.0,2.83,GOOG-H
2000-12-07,2.77,2.89,2.77,2.88,1423587.0,2.88,GOOG-H
2000-12-08,2.84,2.9,2.84,2.9,2221466.0,2.9,GOOG-H
2000-12-11,2.9,2.97,2.9,2.95,3135196.0,2.95,GOOG-H
2000-12-12,2.92,2.97,2.91,2.95,1545233.0,2.95,GOOG-H
2000-12-13,2.92,2.97,2.92,2.97,2918950.0,2.97,GOOG-H
2000-12-14,2.96,2.99,2.93,2.99,1487820.0,2.99,GOOG-H
2000-12-15,2.95,2.96,2.86,2.9,2745250.0,2.9,GOOG-H
2000-12-18,2.85,2.9,2.85,2.88,1050653.0,2.88,GOOG-H
2000-12-19,2.86,2.9,2.85,2.9,1020744.0,2.9,GOOG-H
2000-12-20,2.85,2.9,2.85,2.9,959873.0,2.9,GOOG-H
2000-12-21,2.83,2.89,2.83,2.84,933377.0,2.84,GOOG-H
2000-12-22,2.83,2.85,2.8,2.81,2682378.0,2.81,GOOG-H
2000-12-27,2.77,2.85,2.77,2.83,896864.0,2.83,GOOG-H
2000-12-28,2.81,2.84,2.8,2.81,577406.0,2.81,GOOG-H
2000-12-29,2.8,2.85,2.76,2.76,1429859.0,2.76,GOOG-H
2001-01-02,2.78,2.81,2.78,2.81,632129.0,2.81,GOOG-H
2001-01-03,2.8,2.8,2.78,2.8,365638.0,2.8,GOOG-H
2001-01-04,2.85,2.85,2.8,2.85,1000874.0,2.85,GOOG-H
2001-01-05,2.8,2.84,2.78,2.84,1608033.0,2.84,GOOG-H
2001-01-08,2.78,2.83,2.78,2.81,547191.0,2.81,GOOG-H
2001-01-09,2.78,2.79,2.66,2.69,1519301.0,2.69,GOOG-H
2001-01-10,2.69,2.7,2.67,2.69,1257165.0,2.69,GOOG-H
2001-01-11,2.67,2.68,2.63,2.65,1772265.0,2.65,GOOG-H
2001-01-12,2.65,2.65,2.59,2.6,1752907.0,2.6,GOOG-H
2001-01-15,2.6,2.6,2.58,2.58,762111.0,2.58,GOOG-H
2001-01-16,2.59,2.6,2.56,2.6,1307356.0,2.6,GOOG-H
2001-01-17,2.6,2.61,2.58,2.6,2016106.0,2.6,GOOG-H
2001-01-18,2.6,2.71,2.6,2.67,4785005.0,2.67,GOOG-H
2001-01-19,2.65,2.72,2.65,2.66,4684130.0,2.66,GOOG-H
2001-01-22,2.65,2.68,2.61,2.62,1123618.0,2.62,GOOG-H
2001-01-23,2.62,2.64,2.6,2.61,1782168.0,2.61,GOOG-H
2001-01-24,2.6,2.63,2.6,2.62,1279627.0,2.62,GOOG-H
2001-01-25,2.62,2.64,2.61,2.63,2118340.0,2.63,GOOG-H
