DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2003-12-05,3.8,3.98,3.59,3.96,5624087.0,3.96,GOOG-H
2003-12-08,4.1,4.26,3.9,4.0,1820299.0,4.0,GOOG-H
2003-12-09,4.02,4.05,3.95,3.99,466073.0,3.99,GOOG-H
2003-12-10,3.9,3.99,3.9,3.9,324873.0,3.9,GOOG-H
2003-12-11,3.9,3.9,3.82,3.85,683256.0,3.85,GOOG-H
2003-12-12,3.85,3.85,3.77,3.81,511055.0,3.81,GOOG-H
2003-12-15,3.87,3.87,3.77,3.77,407442.0,3.77,GOOG-H
2003-12-16,3.76,3.84,3.75,3.75,316382.0,3.75,GOOG-H
2003-12-17,3.8,3.89,3.8,3.89,238393.0,3.89,GOOG-H
2003-12-18,3.91,4.06,3.91,3.97,601129.0,3.97,GOOG-H
2003-12-19,3.96,4.15,3.96,4.1,384444.0,4.1,GOOG-H
2003-12-22,4.12,4.14,4.1,4.12,192284.0,4.12,GOOG-H
2003-12-23,4.13,4.15,4.11,4.13,95886.0,4.13,GOOG-H
2003-12-24,4.13,4.15,4.12,4.14,141133.0,4.14,GOOG-H
2003-12-29,4.13,4.2,4.13,4.17,23997.0,4.17,GOOG-H
2003-12-30,4.2,4.29,4.2,4.29,72203.0,4.29,GOOG-H
2003-12-31,4.26,4.5,4.25,4.44,84025.0,4.44,GOOG-H
2004-01-02,4.45,4.47,4.41,4.41,43820.0,4.41,GOOG-H
2004-01-05,4.48,4.48,4.32,4.38,191070.0,4.38,GOOG-H
2004-01-06,4.4,4.47,4.37,4.47,70492.0,4.47,GOOG-H
2004-01-07,4.47,4.47,4.4,4.45,104784.0,4.45,GOOG-H
2004-01-08,4.47,4.47,4.4,4.4,48386.0,4.4,GOOG-H
2004-01-09,4.4,4.44,4.36,4.36,82878.0,4.36,GOOG-H
2004-01-12,4.38,4.42,4.36,4.4,90225.0,4.4,GOOG-H
2004-01-13,4.41,4.55,4.41,4.55,176176.0,4.55,GOOG-H
2004-01-14,4.58,4.79,4.58,4.64,215425.0,4.64,GOOG-H
2004-01-15,4.65,4.65,4.6,4.61,134142.0,4.61,GOOG-H
2004-01-16,4.62,4.65,4.59,4.64,144056.0,4.64,GOOG-H
2004-01-19,4.65,4.65,4.63,4.63,183015.0,4.63,GOOG-H
2004-01-20,4.62,4.63,4.5,4.62,171885.0,4.62,GOOG-H
2004-01-21,4.6,4.6,4.55,4.59,64078.0,4.59,GOOG-H
2004-01-22,4.6,4.62,4.6,4.61,75089.0,4.61,GOOG-H
2004-01-23,4.61,4.64,4.61,4.63,83623.0,4.63,GOOG-H
2004-01-27,4.64,4.64,4.6,4.6,46883.0,4.6,GOOG-H
2004-01-28,4.6,4.6,4.55,4.6,70807.0,4.6,GOOG-H
2004-01-29,4.6,4.6,4.4,4.56,73476.0,4.56,GOOG-H
2004-01-30,4.55,4.55,4.44,4.5,35800.0,4.5,GOOG-H
2004-02-02,4.51,4.53,4.47,4.5,41315.0,4.5,GOOG-H
2004-02-03,4.5,4.54,4.5,4.5,65517.0,4.5,GOOG-H
2004-02-04,4.5,4.55,4.49,4.49,86724.0,4.49,GOOG-H
2004-02-05,4.49,4.49,4.46,4.48,75092.0,4.48,GOOG-H
2004-02-06,4.5,4.5,4.46,4.46,40999.0,4.46,GOOG-H
2004-02-09,4.45,4.45,4.35,4.4,48720.0,4.4,GOOG-H
2004-02-10,4.38,4.38,4.15,4.25,120929.0,4.25,GOOG-H
2004-02-11,4.2,4.2,4.1,4.19,157238.0,4.19,GOOG-H
2004-02-12,4.15,4.23,4.15,4.2,330242.0,4.2,GOOG-H
2004-02-13,4.2,4.25,4.2,4.25,127658.0,4.25,GOOG-H
2004-02-16,4.22,4.27,4.22,4.24,39543.0,4.24,GOOG-H
2004-02-17,4.25,4.27,4.19,4.19,38462.0,4.19,GOOG-H
2004-02-18,4.18,4.21,4.17,4.21,248434.0,4.21,GOOG-H
2004-02-19,4.21,4.27,4.2,4.27,22231.0,4.27,GOOG-H
2004-02-20,4.29,4.36,4.29,4.31,42717.0,4.31,GOOG-H
2004-02-23,4.4,4.5,4.39,4.39,115930.0,4.39,GOOG-H
2004-02-24,4.4,4.4,4.3,4.33,36722.0,4.33,GOOG-H
2004-02-25,4.32,4.32,4.24,4.3,46621.0,4.3,GOOG-H
2004-02-26,4.3,4.35,4.28,4.3,27799.0,4.3,GOOG-H
2004-02-27,4.3,4.35,4.28,4.35,28208.0,4.35,GOOG-H
2004-03-01,4.31,4.34,4.2,4.3,22212.0,4.3,GOOG-H
2004-03-02,4.3,4.3,4.25,4.3,32155.0,4.3,GOOG-H
2004-03-03,4.29,4.35,4.24,4.35,64863.0,4.35,GOOG-H
2004-03-04,4.35,4.37,4.33,4.35,160256.0,4.35,GOOG-H
2004-03-05,4.35,4.5,4.35,4.38,153416.0,4.38,GOOG-H
2004-03-08,4.4,4.49,4.39,4.45,136346.0,4.45,GOOG-H
2004-03-09,4.44,4.45,4.39,4.39,57536.0,4.39,GOOG-H
2004-03-10,4.44,4.44,4.41,4.41,64897.0,4.41,GOOG-H
2004-03-11,4.44,4.45,4.4,4.45,81719.0,4.45,GOOG-H
2004-03-12,4.45,4.45,4.43,4.44,150481.0,4.44,GOOG-H
2004-03-15,4.45,4.47,4.45,4.47,81783.0,4.47,GOOG-H
2004-03-16,4.45,4.45,4.4,4.41,102862.0,4.41,GOOG-H
2004-03-17,4.42,4.44,4.4,4.4,150698.0,4.4,GOOG-H
2004-03-18,4.4,4.44,4.4,4.44,143070.0,4.44,GOOG-H
2004-03-19,4.44,4.52,4.44,4.48,491502.0,4.48,GOOG-H
2004-03-22,4.48,4.5,4.4,4.45,177273.0,4.45,GOOG-H
2004-03-23,4.45,4.45,4.4,4.4,102576.0,4.4,GOOG-H
2004-03-24,4.4,4.4,4.26,4.26,45099.0,4.26,GOOG-H
2004-03-25,4.26,4.26,4.2,4.2,24915.0,4.2,GOOG-H
2004-03-26,4.2,4.4,4.2,4.38,106936.0,4.38,GOOG-H
2004-03-29,4.33,4.5,4.33,4.5,61293.0,4.5,GOOG-H
2004-03-30,4.6,4.7,4.6,4.65,186057.0,4.65,GOOG-H
2004-03-31,4.64,4.68,4.61,4.65,121754.0,4.65,GOOG-H
2004-04-01,4.68,4.83,4.66,4.79,43809.0,4.79,GOOG-H
2004-04-02,4.83,4.83,4.69,4.75,111154.0,4.75,GOOG-H
2004-04-05,4.75,4.8,4.7,4.8,37009.0,4.8,GOOG-H
2004-04-06,4.78,4.9,4.76,4.83,86536.0,4.83,GOOG-H
2004-04-07,4.85,4.89,4.75,4.75,44053.0,4.75,GOOG-H
2004-04-08,4.89,4.91,4.85,4.88,21551.0,4.88,GOOG-H
2004-04-13,4.88,4.95,4.82,4.82,19152.0,4.82,GOOG-H
2004-04-14,4.8,4.88,4.8,4.87,6888.0,4.87,GOOG-H
2004-04-15,4.86,4.88,4.7,4.7,55008.0,4.7,GOOG-H
2004-04-16,4.72,4.72,4.62,4.64,26666.0,4.64,GOOG-H
2004-04-19,4.67,4.7,4.66,4.67,25957.0,4.67,GOOG-H
2004-04-20,4.7,4.85,4.7,4.85,59183.0,4.85,GOOG-H
2004-04-21,4.82,4.85,4.75,4.8,16640.0,4.8,GOOG-H
2004-04-22,4.8,4.83,4.8,4.8,10548.0,4.8,GOOG-H
2004-04-23,4.8,4.81,4.67,4.81,29206.0,4.81,GOOG-H
2004-04-26,4.8,4.8,4.65,4.65,5902.0,4.65,GOOG-H
2004-04-27,4.66,4.77,4.66,4.66,3869.0,4.66,GOOG-H
2004-04-28,4.71,4.71,4.65,4.7,21861.0,4.7,GOOG-H
2004-04-29,4.62,4.63,4.6,4.6,24043.0,4.6,GOOG-H
