DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-10-28,1.6,1.7,1.6,1.68,37920280.0,1.68,GOOG-H
2005-10-31,1.69,1.72,1.66,1.66,22392772.0,1.66,GOOG-H
2005-11-01,1.67,1.7,1.67,1.7,5324888.0,1.7,GOOG-H
2005-11-02,1.7,1.73,1.7,1.73,5404367.0,1.73,GOOG-H
2005-11-03,1.72,1.75,1.7,1.7,1742286.0,1.7,GOOG-H
2005-11-04,1.69,1.71,1.69,1.7,3249201.0,1.7,GOOG-H
2005-11-07,1.7,1.72,1.7,1.71,1948627.0,1.71,GOOG-H
2005-11-08,1.71,1.8,1.71,1.76,2338914.0,1.76,GOOG-H
2005-11-09,1.75,1.77,1.75,1.75,2965237.0,1.75,GOOG-H
2005-11-10,1.75,1.78,1.75,1.75,3413781.0,1.75,GOOG-H
2005-11-11,1.76,1.77,1.72,1.72,1363679.0,1.72,GOOG-H
2005-11-14,1.74,1.74,1.71,1.72,991162.0,1.72,GOOG-H
2005-11-15,1.71,1.72,1.68,1.71,7286093.0,1.71,GOOG-H
2005-11-16,1.71,1.72,1.7,1.71,676909.0,1.71,GOOG-H
2005-11-17,1.71,1.74,1.71,1.73,335847.0,1.73,GOOG-H
2005-11-18,1.71,1.72,1.71,1.71,520647.0,1.71,GOOG-H
2005-11-21,1.71,1.73,1.71,1.73,607183.0,1.73,GOOG-H
2005-11-22,1.74,1.78,1.74,1.77,1245631.0,1.77,GOOG-H
2005-11-23,1.76,1.77,1.75,1.76,147120.0,1.76,GOOG-H
2005-11-24,1.75,1.77,1.75,1.77,248226.0,1.77,GOOG-H
2005-11-25,1.77,1.77,1.75,1.77,448000.0,1.77,GOOG-H
2005-11-28,1.77,1.79,1.75,1.79,795000.0,1.79,GOOG-H
2005-11-29,1.78,1.79,1.76,1.79,848786.0,1.79,GOOG-H
2005-11-30,1.79,1.8,1.75,1.77,201721.0,1.77,GOOG-H
2005-12-01,1.75,1.76,1.75,1.75,281629.0,1.75,GOOG-H
2005-12-02,1.75,1.76,1.75,1.76,100426.0,1.76,GOOG-H
2005-12-05,1.75,1.76,1.75,1.75,140860.0,1.75,GOOG-H
2005-12-06,1.76,1.76,1.75,1.75,1296508.0,1.75,GOOG-H
2005-12-07,1.75,1.76,1.74,1.75,1831814.0,1.75,GOOG-H
2005-12-08,1.73,1.75,1.73,1.74,485286.0,1.74,GOOG-H
2005-12-09,1.73,1.77,1.73,1.77,1320152.0,1.77,GOOG-H
2005-12-12,1.74,1.75,1.69,1.74,1323422.0,1.74,GOOG-H
2005-12-13,1.73,1.75,1.73,1.75,291187.0,1.75,GOOG-H
2005-12-14,1.75,1.76,1.75,1.75,3098566.0,1.75,GOOG-H
2005-12-15,1.75,1.76,1.73,1.74,752401.0,1.74,GOOG-H
2005-12-16,1.74,1.74,1.73,1.74,526064.0,1.74,GOOG-H
2005-12-19,1.74,1.77,1.74,1.75,485604.0,1.75,GOOG-H
2005-12-20,1.75,1.76,1.75,1.75,1504044.0,1.75,GOOG-H
2005-12-21,1.76,1.77,1.75,1.77,185054.0,1.77,GOOG-H
2005-12-22,1.72,1.74,1.7,1.73,398917.0,1.73,GOOG-H
2005-12-23,1.72,1.73,1.72,1.72,18000.0,1.72,GOOG-H
2005-12-28,1.72,1.74,1.71,1.71,442994.0,1.71,GOOG-H
2005-12-29,1.72,1.75,1.72,1.75,94563.0,1.75,GOOG-H
2005-12-30,1.75,1.77,1.75,1.77,408961.0,1.77,GOOG-H
2006-01-03,1.79,1.85,1.76,1.79,511592.0,1.79,GOOG-H
2006-01-04,1.76,1.8,1.76,1.8,1012048.0,1.8,GOOG-H
2006-01-05,1.8,1.82,1.79,1.8,1883183.0,1.8,GOOG-H
2006-01-06,1.8,1.81,1.8,1.81,129203.0,1.81,GOOG-H
2006-01-09,1.82,1.87,1.82,1.85,912744.0,1.85,GOOG-H
2006-01-10,1.85,1.87,1.85,1.86,1303961.0,1.86,GOOG-H
