DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-01-17,0.17,0.17,0.16,0.17,1237400.0,0.17,GOOG-H
2002-01-18,0.17,0.2,0.17,0.18,1466334.0,0.18,GOOG-H
2002-01-21,0.18,0.19,0.18,0.19,557612.0,0.19,GOOG-H
2002-01-22,0.19,0.19,0.18,0.18,271500.0,0.18,GOOG-H
2002-01-23,0.18,0.18,0.18,0.18,570412.0,0.18,GOOG-H
2002-01-24,0.18,0.18,0.18,0.18,326088.0,0.18,GOOG-H
2002-01-25,0.18,0.19,0.18,0.19,381498.0,0.19,GOOG-H
2002-01-29,0.2,0.21,0.19,0.19,201779.0,0.19,GOOG-H
2002-01-30,0.19,0.19,0.19,0.19,95000.0,0.19,GOOG-H
2002-01-31,0.19,0.2,0.19,0.19,509475.0,0.19,GOOG-H
2002-02-01,0.2,0.21,0.2,0.21,460525.0,0.21,GOOG-H
2002-02-04,0.22,0.24,0.22,0.22,658495.0,0.22,GOOG-H
2002-02-05,0.22,0.23,0.21,0.22,308265.0,0.22,GOOG-H
2002-02-06,0.24,0.24,0.21,0.22,862640.0,0.22,GOOG-H
2002-02-07,0.22,0.23,0.21,0.22,851600.0,0.22,GOOG-H
2002-02-08,0.23,0.23,0.23,0.23,289260.0,0.23,GOOG-H
2002-02-11,0.23,0.23,0.22,0.22,176000.0,0.22,GOOG-H
2002-02-12,0.22,0.22,0.21,0.22,82950.0,0.22,GOOG-H
2002-02-13,0.21,0.22,0.21,0.21,270100.0,0.21,GOOG-H
2002-02-14,0.21,0.22,0.21,0.22,175900.0,0.22,GOOG-H
2002-02-15,0.21,0.21,0.21,0.21,163241.0,0.21,GOOG-H
2002-02-18,0.21,0.21,0.21,0.21,133000.0,0.21,GOOG-H
2002-02-19,0.21,0.21,0.21,0.21,121500.0,0.21,GOOG-H
2002-02-20,0.22,0.23,0.22,0.23,561094.0,0.23,GOOG-H
2002-02-21,0.23,0.24,0.23,0.23,635924.0,0.23,GOOG-H
2002-02-22,0.23,0.23,0.22,0.22,329634.0,0.22,GOOG-H
2002-02-25,0.22,0.23,0.22,0.22,349109.0,0.22,GOOG-H
2002-02-26,0.22,0.22,0.22,0.22,75900.0,0.22,GOOG-H
2002-02-27,0.22,0.23,0.22,0.23,404171.0,0.23,GOOG-H
2002-02-28,0.23,0.25,0.23,0.25,419274.0,0.25,GOOG-H
2002-03-01,0.25,0.26,0.25,0.25,487522.0,0.25,GOOG-H
2002-03-04,0.26,0.26,0.25,0.26,407500.0,0.26,GOOG-H
2002-03-05,0.26,0.28,0.26,0.26,1159710.0,0.26,GOOG-H
2002-03-06,0.26,0.26,0.25,0.25,478000.0,0.25,GOOG-H
2002-03-07,0.26,0.26,0.25,0.26,171986.0,0.26,GOOG-H
2002-03-08,0.25,0.25,0.24,0.25,276418.0,0.25,GOOG-H
2002-03-11,0.25,0.26,0.25,0.25,207200.0,0.25,GOOG-H
2002-03-12,0.25,0.25,0.24,0.25,84525.0,0.25,GOOG-H
2002-03-13,0.25,0.25,0.24,0.24,214200.0,0.24,GOOG-H
