DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2016-11-07,3.14,3.22,3.1,3.22,9133996,3.22,GOOG-H
2016-11-08,3.23,3.33,3.23,3.29,7531418,3.29,GOOG-H
2016-11-09,3.3,3.3,3.12,3.19,2501398,3.19,GOOG-H
2016-11-10,3.22,3.28,3.22,3.27,1095636,3.27,GOOG-H
2016-11-11,3.26,3.26,3.2,3.24,768977,3.24,GOOG-H
2016-11-14,3.23,3.24,3.17,3.19,971268,3.19,GOOG-H
2016-11-15,3.2,3.21,3.16,3.19,2589793,3.19,GOOG-H
2016-11-16,3.18,3.19,3.15,3.18,1062334,3.18,GOOG-H
2016-11-17,3.16,3.17,3.05,3.14,1004361,3.14,GOOG-H
2016-11-18,3.15,3.16,3.13,3.15,507290,3.15,GOOG-H
2016-11-21,3.15,3.15,3.11,3.11,1384238,3.11,GOOG-H
2016-11-22,3.1,3.12,3.07,3.09,3132793,3.09,GOOG-H
2016-11-23,3.09,3.09,3.06,3.08,1163343,3.08,GOOG-H
2016-11-24,3.09,3.09,3.04,3.06,663124,3.06,GOOG-H
2016-11-25,3.05,3.05,3.0,3.02,703133,3.02,GOOG-H
2016-11-28,3.01,3.09,3.01,3.06,425832,3.06,GOOG-H
2016-11-29,3.07,3.13,3.07,3.1,599035,3.1,GOOG-H
2016-11-30,3.12,3.16,3.1,3.16,395872,3.16,GOOG-H
2016-12-01,3.15,3.15,3.13,3.15,326994,3.15,GOOG-H
2016-12-02,3.15,3.16,3.13,3.14,337859,3.14,GOOG-H
2016-12-05,3.14,3.14,3.1,3.11,126548,3.11,GOOG-H
2016-12-06,3.13,3.15,3.05,3.1,175174,3.1,GOOG-H
2016-12-07,3.1,3.11,3.06,3.08,343291,3.08,GOOG-H
2016-12-08,3.08,3.13,3.03,3.11,2416229,3.11,GOOG-H
2016-12-09,3.11,3.14,3.11,3.12,174020,3.12,GOOG-H
2016-12-12,3.11,3.13,3.06,3.1,272700,3.1,GOOG-H
2016-12-13,3.1,3.12,3.05,3.12,416404,3.12,GOOG-H
2016-12-14,3.12,3.14,3.09,3.12,791324,3.12,GOOG-H
2016-12-15,3.07,3.12,3.01,3.1,1856994,3.1,GOOG-H
2016-12-16,3.09,3.1,3.05,3.08,571629,3.08,GOOG-H
2016-12-19,3.05,3.07,3.04,3.06,834030,3.06,GOOG-H
2016-12-20,3.08,3.13,3.07,3.12,872550,3.12,GOOG-H
2016-12-21,3.15,3.17,3.15,3.16,2436425,3.16,GOOG-H
