DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,5.0,5.15,4.99,5.0,2687502.0,5.0,GOOG-H
2005-09-30,5.02,5.04,4.95,4.97,2004191.0,4.97,GOOG-H
2005-10-03,4.97,5.0,4.91,4.93,313076.0,4.93,GOOG-H
2005-10-04,4.95,5.02,4.95,5.0,2019198.0,5.0,GOOG-H
2005-10-05,4.99,5.0,4.95,4.97,1645336.0,4.97,GOOG-H
2005-10-06,4.93,4.99,4.93,4.93,1381031.0,4.93,GOOG-H
2005-10-07,4.93,4.97,4.91,4.91,3004486.0,4.91,GOOG-H
2005-10-10,4.95,4.99,4.93,4.99,1108014.0,4.99,GOOG-H
2005-10-11,4.93,4.99,4.93,4.97,1786155.0,4.97,GOOG-H
2005-10-12,4.99,5.02,4.95,5.02,1342145.0,5.02,GOOG-H
2005-10-13,4.97,5.02,4.97,5.0,2097781.0,5.0,GOOG-H
2005-10-14,4.95,5.02,4.95,5.02,1033816.0,5.02,GOOG-H
2005-10-17,4.97,4.99,4.95,4.95,978929.0,4.95,GOOG-H
2005-10-18,4.95,4.95,4.87,4.87,1793803.0,4.87,GOOG-H
2005-10-19,4.87,4.93,4.87,4.93,1298836.0,4.93,GOOG-H
2005-10-20,4.93,4.93,4.87,4.87,3470449.0,4.87,GOOG-H
2005-10-21,4.87,4.91,4.85,4.85,500128.0,4.85,GOOG-H
2005-10-24,4.85,4.87,4.82,4.85,856881.0,4.85,GOOG-H
2005-10-25,4.87,4.91,4.84,4.89,760839.0,4.89,GOOG-H
2005-10-26,4.87,4.91,4.85,4.89,779392.0,4.89,GOOG-H
2005-10-27,4.87,4.87,4.8,4.84,3838415.0,4.84,GOOG-H
2005-10-28,4.8,4.91,4.8,4.87,1154271.0,4.87,GOOG-H
2005-10-31,4.89,4.89,4.85,4.89,1180012.0,4.89,GOOG-H
2005-11-01,4.87,4.91,4.85,4.85,1638253.0,4.85,GOOG-H
2005-11-02,4.85,4.87,4.76,4.87,899986.0,4.87,GOOG-H
2005-11-03,4.84,4.91,4.84,4.91,2731169.0,4.91,GOOG-H
2005-11-04,4.87,4.89,4.82,4.89,864809.0,4.89,GOOG-H
2005-11-07,4.87,4.87,4.8,4.8,723773.0,4.8,GOOG-H
2005-11-09,4.78,4.78,4.76,4.78,5700012.0,4.78,GOOG-H
2005-11-10,4.78,4.8,4.72,4.8,10067420.0,4.8,GOOG-H
2005-11-11,4.82,4.82,4.76,4.78,11690823.0,4.78,GOOG-H
2005-11-14,4.8,4.8,4.78,4.78,3984474.0,4.78,GOOG-H
2005-11-15,4.78,4.82,4.76,4.82,869153.0,4.82,GOOG-H
2005-11-16,4.82,4.87,4.8,4.87,682793.0,4.87,GOOG-H
2005-11-17,4.85,4.87,4.82,4.87,1435376.0,4.87,GOOG-H
2005-11-18,4.87,4.91,4.87,4.91,736366.0,4.91,GOOG-H
2005-11-21,4.87,4.93,4.85,4.91,564447.0,4.91,GOOG-H
2005-11-22,4.89,4.91,4.84,4.87,1815498.0,4.87,GOOG-H
2005-11-23,4.91,4.93,4.89,4.89,6229671.0,4.89,GOOG-H
2005-11-24,4.87,4.91,4.87,4.91,6069609.0,4.91,GOOG-H
2005-11-25,4.89,4.93,4.87,4.93,1439744.0,4.93,GOOG-H
2005-11-28,4.91,4.97,4.91,4.97,6385466.0,4.97,GOOG-H
2005-11-29,4.95,4.97,4.93,4.95,709784.0,4.95,GOOG-H
2005-11-30,4.97,4.99,4.93,4.95,4098141.0,4.95,GOOG-H
2005-12-01,4.91,4.91,4.84,4.87,2746670.0,4.87,GOOG-H
2005-12-02,4.93,4.93,4.87,4.91,1849320.0,4.91,GOOG-H
2005-12-05,4.89,4.99,4.89,4.99,1913124.0,4.99,GOOG-H
2005-12-06,4.95,4.99,4.93,4.95,618982.0,4.95,GOOG-H
2005-12-07,4.95,4.97,4.95,4.95,2444108.0,4.95,GOOG-H
2005-12-08,4.99,4.99,4.95,4.95,1022355.0,4.95,GOOG-H
2005-12-09,4.95,4.99,4.93,4.95,1659235.0,4.95,GOOG-H
2005-12-12,4.95,4.99,4.95,4.99,369660.0,4.99,GOOG-H
2005-12-13,4.97,5.02,4.97,4.99,2690827.0,4.99,GOOG-H
2005-12-14,4.99,5.04,4.99,5.04,914177.0,5.04,GOOG-H
2005-12-15,5.1,5.1,5.04,5.1,3667481.0,5.1,GOOG-H
2005-12-16,5.06,5.14,5.02,5.14,668987.0,5.14,GOOG-H
2005-12-20,5.06,5.1,5.06,5.1,719977.0,5.1,GOOG-H
2005-12-28,5.02,5.02,4.97,5.02,792247.0,5.02,GOOG-H
2005-12-29,5.02,5.02,4.97,4.97,498429.0,4.97,GOOG-H
2005-12-30,5.0,5.02,4.97,4.97,761370.0,4.97,GOOG-H
2006-01-04,4.95,5.1,4.95,5.08,1319244.0,5.08,GOOG-H
2006-01-05,5.1,5.12,5.0,5.0,1710867.0,5.0,GOOG-H
2006-01-06,5.06,5.06,5.0,5.06,2164076.0,5.06,GOOG-H
2006-01-09,5.02,5.04,4.99,5.04,1419346.0,5.04,GOOG-H
2006-01-10,5.02,5.04,5.0,5.02,1350434.0,5.02,GOOG-H
2006-01-11,5.02,5.08,5.02,5.06,433608.0,5.06,GOOG-H
2006-01-12,5.04,5.06,5.02,5.04,3174602.0,5.04,GOOG-H
2006-01-13,5.06,5.08,5.04,5.04,520882.0,5.04,GOOG-H
2006-01-16,5.04,5.08,5.02,5.08,720483.0,5.08,GOOG-H
2006-01-17,5.06,5.1,5.04,5.1,811595.0,5.1,GOOG-H
2006-01-18,5.06,5.06,5.04,5.04,2852671.0,5.04,GOOG-H
2006-01-19,5.04,5.14,5.02,5.1,4689701.0,5.1,GOOG-H
2006-01-20,5.1,5.17,5.08,5.17,970568.0,5.17,GOOG-H
2006-01-23,5.14,5.14,5.06,5.1,1232078.0,5.1,GOOG-H
2006-01-24,5.1,5.1,5.06,5.08,3762659.0,5.08,GOOG-H
2006-01-25,5.04,5.14,5.04,5.14,659767.0,5.14,GOOG-H
2006-01-27,5.12,5.19,5.12,5.17,1418069.0,5.17,GOOG-H
2006-01-30,5.14,5.17,5.14,5.15,1285423.0,5.15,GOOG-H
2006-01-31,5.14,5.15,5.1,5.14,2364372.0,5.14,GOOG-H
2006-02-01,5.15,5.21,5.14,5.21,983250.0,5.21,GOOG-H
2006-02-02,5.21,5.21,5.17,5.17,663464.0,5.17,GOOG-H
2006-02-03,5.21,5.21,5.14,5.15,782618.0,5.15,GOOG-H
2006-02-06,5.17,5.19,5.15,5.17,837851.0,5.17,GOOG-H
2006-02-07,5.17,5.21,5.17,5.17,13009286.0,5.17,GOOG-H
2006-02-08,5.17,5.23,5.17,5.19,4091111.0,5.19,GOOG-H
2006-02-09,5.21,5.25,5.19,5.25,2371504.0,5.25,GOOG-H
2006-02-10,5.23,5.25,5.17,5.19,1540474.0,5.19,GOOG-H
2006-02-13,5.17,5.25,5.17,5.21,1676599.0,5.21,GOOG-H
2006-02-14,5.25,5.29,5.21,5.25,2587679.0,5.25,GOOG-H
2006-02-15,5.27,5.29,5.23,5.23,2269316.0,5.23,GOOG-H
2006-02-16,5.21,5.29,5.21,5.29,2052491.0,5.29,GOOG-H
2006-02-17,5.32,5.32,5.19,5.19,6728666.0,5.19,GOOG-H
2006-02-20,5.25,5.25,5.15,5.21,3808854.0,5.21,GOOG-H
2006-02-21,5.19,5.19,5.17,5.19,5459018.0,5.19,GOOG-H
2006-02-22,5.17,5.25,5.15,5.23,6261155.0,5.23,GOOG-H
2006-02-24,5.29,5.32,5.27,5.29,4361956.0,5.29,GOOG-H
2006-02-27,5.29,5.36,5.29,5.36,2835236.0,5.36,GOOG-H
2006-02-28,5.36,5.44,5.36,5.4,4449910.0,5.4,GOOG-H
2006-03-01,5.4,5.42,5.34,5.4,4115668.0,5.4,GOOG-H
2006-03-02,5.4,5.51,5.38,5.49,2315734.0,5.49,GOOG-H
2006-03-03,5.44,5.49,5.4,5.44,657830.0,5.44,GOOG-H
2006-03-07,5.42,5.51,5.42,5.47,1379414.0,5.47,GOOG-H
2006-03-08,5.47,5.51,5.45,5.47,1468560.0,5.47,GOOG-H
2006-03-09,5.47,5.51,5.45,5.51,4128410.0,5.51,GOOG-H
2006-03-10,5.47,5.51,5.47,5.49,1243679.0,5.49,GOOG-H
2006-03-13,5.51,5.55,5.47,5.53,3530108.0,5.53,GOOG-H
2006-03-14,5.47,5.53,5.47,5.47,863526.0,5.47,GOOG-H
2006-03-15,5.47,5.51,5.47,5.47,1604186.0,5.47,GOOG-H
2006-03-16,5.55,5.55,5.47,5.49,3605150.0,5.49,GOOG-H
2006-03-17,5.49,5.51,5.49,5.49,422045.0,5.49,GOOG-H
2006-03-20,5.51,5.53,5.49,5.51,640691.0,5.51,GOOG-H
2006-03-21,5.51,5.51,5.47,5.47,6499987.0,5.47,GOOG-H
2006-03-22,5.49,5.51,5.47,5.47,2242125.0,5.47,GOOG-H
2006-03-23,5.51,5.53,5.47,5.47,647287.0,5.47,GOOG-H
2006-03-24,5.47,5.51,5.45,5.47,4915470.0,5.47,GOOG-H
2006-03-27,5.4,5.4,5.36,5.38,4711341.0,5.38,GOOG-H
2006-03-28,5.4,5.44,5.38,5.44,1613349.0,5.44,GOOG-H
