DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-11-19,3.14,3.17,2.96,3.1,17927076.0,3.1,GOOG-H
2014-11-20,3.13,3.33,3.11,3.32,1916138.0,3.32,GOOG-H
2014-11-21,3.32,3.4,3.21,3.38,2301487.0,3.38,GOOG-H
2014-11-24,3.4,3.4,3.25,3.31,1177516.0,3.31,GOOG-H
2014-11-25,3.3,3.36,3.26,3.35,1591929.0,3.35,GOOG-H
2014-11-26,3.32,3.33,3.21,3.25,351785.0,3.25,GOOG-H
2014-11-27,3.25,3.35,3.22,3.35,613184.0,3.35,GOOG-H
2014-11-28,3.3,3.3,3.27,3.27,170124.0,3.27,GOOG-H
2014-12-01,3.27,3.27,3.25,3.25,1076286.0,3.25,GOOG-H
2014-12-02,3.24,3.3,3.23,3.28,189876.0,3.28,GOOG-H
2014-12-03,3.27,3.3,3.26,3.3,341737.0,3.3,GOOG-H
2014-12-04,3.28,3.36,3.27,3.3,597458.0,3.3,GOOG-H
2014-12-05,3.3,3.34,3.29,3.32,424220.0,3.32,GOOG-H
2014-12-08,3.32,3.49,3.31,3.42,369018.0,3.42,GOOG-H
2014-12-09,3.4,3.42,3.34,3.36,420872.0,3.36,GOOG-H
2014-12-10,3.36,3.36,3.29,3.32,317163.0,3.32,GOOG-H
2014-12-11,3.31,3.43,3.31,3.39,397830.0,3.39,GOOG-H
2014-12-12,3.4,3.45,3.39,3.4,142871.0,3.4,GOOG-H
2014-12-15,3.43,3.45,3.38,3.39,203067.0,3.39,GOOG-H
2014-12-16,3.39,3.44,3.37,3.4,471657.0,3.4,GOOG-H
2014-12-17,3.37,3.41,3.37,3.4,975013.0,3.4,GOOG-H
2014-12-18,3.4,3.43,3.37,3.37,154636.0,3.37,GOOG-H
2014-12-19,3.37,3.43,3.37,3.43,100976.0,3.43,GOOG-H
2014-12-22,3.43,3.5,3.43,3.46,147191.0,3.46,GOOG-H
2014-12-23,3.46,3.5,3.45,3.46,155898.0,3.46,GOOG-H
2014-12-24,3.5,3.5,3.46,3.47,88590.0,3.47,GOOG-H
2014-12-29,3.5,3.5,3.48,3.48,45545.0,3.48,GOOG-H
2014-12-30,3.5,3.5,3.49,3.49,11971.0,3.49,GOOG-H
2014-12-31,3.5,3.51,3.49,3.5,60358.0,3.5,GOOG-H
2015-01-02,3.5,3.55,3.49,3.54,47229.0,3.54,GOOG-H
2015-01-05,3.55,3.57,3.51,3.51,97687.0,3.51,GOOG-H
2015-01-06,3.49,3.53,3.49,3.52,398365.0,3.52,GOOG-H
