DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-11-03,2.1,2.4,2.1,2.4,23260826.0,2.4,GOOG-H
2000-11-06,2.38,2.38,2.24,2.25,1470125.0,2.25,GOOG-H
2000-11-07,2.26,2.26,2.22,2.26,1084421.0,2.26,GOOG-H
2000-11-08,2.26,2.39,2.24,2.37,611877.0,2.37,GOOG-H
2000-11-09,2.37,2.39,2.34,2.39,111700.0,2.39,GOOG-H
2000-11-10,2.39,2.39,2.32,2.34,769886.0,2.34,GOOG-H
2000-11-13,2.34,2.37,2.34,2.34,314500.0,2.34,GOOG-H
2000-11-14,2.37,2.37,2.34,2.34,3517425.0,2.34,GOOG-H
2000-11-15,2.39,2.39,2.34,2.35,18250.0,2.35,GOOG-H
2000-11-16,2.39,2.39,2.35,2.35,59800.0,2.35,GOOG-H
2000-11-17,2.35,2.37,2.35,2.37,117500.0,2.37,GOOG-H
2000-11-20,2.36,2.36,2.32,2.36,504203.0,2.36,GOOG-H
2000-11-21,2.36,2.36,2.34,2.34,54000.0,2.34,GOOG-H
2000-11-22,2.34,2.34,2.34,2.34,36700.0,2.34,GOOG-H
2000-11-23,2.34,2.34,2.32,2.34,102397.0,2.34,GOOG-H
2000-11-24,2.34,2.35,2.32,2.35,1144701.0,2.35,GOOG-H
2000-11-27,2.36,2.36,2.34,2.34,9700.0,2.34,GOOG-H
2000-11-28,2.34,2.34,2.32,2.32,27250.0,2.32,GOOG-H
2000-11-29,2.28,2.29,2.27,2.29,116043.0,2.29,GOOG-H
2000-11-30,2.29,2.34,2.28,2.33,1005102.0,2.33,GOOG-H
2000-12-01,2.29,2.3,2.29,2.29,37987.0,2.29,GOOG-H
2000-12-04,2.29,2.3,2.29,2.29,188190.0,2.29,GOOG-H
2000-12-05,2.29,2.3,2.29,2.29,43700.0,2.29,GOOG-H
2000-12-06,2.31,2.33,2.29,2.29,102296.0,2.29,GOOG-H
2000-12-07,2.29,2.33,2.29,2.33,347240.0,2.33,GOOG-H
2000-12-08,2.32,2.32,2.29,2.29,43600.0,2.29,GOOG-H
2000-12-11,2.29,2.3,2.29,2.29,78200.0,2.29,GOOG-H
2000-12-12,2.3,2.36,2.3,2.36,613012.0,2.36,GOOG-H
2000-12-13,2.36,2.49,2.36,2.49,113253.0,2.49,GOOG-H
2000-12-14,2.49,2.49,2.41,2.41,372556.0,2.41,GOOG-H
2000-12-15,2.48,2.48,2.43,2.44,4873.0,2.44,GOOG-H
2000-12-18,2.41,2.41,2.39,2.39,412300.0,2.39,GOOG-H
2000-12-19,2.38,2.38,2.38,2.38,51460.0,2.38,GOOG-H
2000-12-20,2.34,2.34,2.34,2.34,61400.0,2.34,GOOG-H
2000-12-21,2.32,2.32,2.29,2.29,176123.0,2.29,GOOG-H
2000-12-22,2.29,2.29,2.29,2.29,252200.0,2.29,GOOG-H
2000-12-27,2.31,2.31,2.31,2.31,216300.0,2.31,GOOG-H
2000-12-28,2.29,2.29,2.29,2.29,39426.0,2.29,GOOG-H
2000-12-29,2.34,2.35,2.34,2.35,24200.0,2.35,GOOG-H
2001-01-02,2.34,2.34,2.34,2.34,1900.0,2.34,GOOG-H
2001-01-03,2.29,2.29,2.29,2.29,37000.0,2.29,GOOG-H
2001-01-04,2.35,2.39,2.34,2.39,172487.0,2.39,GOOG-H
2001-01-05,2.34,2.34,2.34,2.34,21600.0,2.34,GOOG-H
2001-01-08,2.35,2.35,2.35,2.35,4500.0,2.35,GOOG-H
2001-01-09,2.35,2.35,2.35,2.35,672600.0,2.35,GOOG-H
2001-01-10,2.35,2.35,2.35,2.35,14450.0,2.35,GOOG-H
2001-01-11,2.35,2.35,2.34,2.34,417552.0,2.34,GOOG-H
2001-01-12,2.35,2.35,2.34,2.35,23554.0,2.35,GOOG-H
2001-01-15,2.35,2.36,2.35,2.36,15000.0,2.36,GOOG-H
2001-01-16,2.35,2.35,2.35,2.35,186230.0,2.35,GOOG-H
2001-01-17,2.35,2.35,2.35,2.35,46856.0,2.35,GOOG-H
2001-01-18,2.37,2.37,2.35,2.35,2545.0,2.35,GOOG-H
2001-01-19,2.35,2.39,2.35,2.39,23310.0,2.39,GOOG-H
2001-01-22,2.35,2.35,2.35,2.35,627.0,2.35,GOOG-H
2001-01-23,2.36,2.36,2.36,2.36,142747.0,2.36,GOOG-H
2001-01-24,2.36,2.36,2.34,2.34,4300.0,2.34,GOOG-H
2001-01-25,2.34,2.36,2.34,2.36,53397.0,2.36,GOOG-H
2001-01-29,2.36,2.36,2.34,2.36,171432.0,2.36,GOOG-H
2001-01-30,2.36,2.36,2.36,2.36,30000.0,2.36,GOOG-H
2001-01-31,2.37,2.39,2.37,2.39,62700.0,2.39,GOOG-H
2001-02-01,2.44,2.49,2.44,2.49,76000.0,2.49,GOOG-H
2001-02-02,2.44,2.44,2.24,2.44,178300.0,2.44,GOOG-H
2001-02-05,2.41,2.41,2.34,2.39,43943.0,2.39,GOOG-H
2001-02-06,2.44,2.44,2.43,2.43,31650.0,2.43,GOOG-H
2001-02-07,2.4,2.45,2.4,2.45,38700.0,2.45,GOOG-H
2001-02-08,2.45,2.45,2.39,2.39,259300.0,2.39,GOOG-H
2001-02-09,2.35,2.35,2.34,2.34,27473.0,2.34,GOOG-H
2001-02-12,2.34,2.34,2.34,2.34,26000.0,2.34,GOOG-H
2001-02-13,2.34,2.34,2.34,2.34,81823.0,2.34,GOOG-H
2001-02-14,2.34,2.35,2.29,2.29,147711.0,2.29,GOOG-H
