DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2003-12-04,1.89,1.9,1.87,1.88,11205353.0,1.88,GOOG-H
2003-12-05,1.89,1.93,1.89,1.9,6600242.0,1.9,GOOG-H
2003-12-08,1.92,1.97,1.91,1.97,2796469.0,1.97,GOOG-H
2003-12-09,1.96,1.99,1.96,1.98,1484233.0,1.98,GOOG-H
2003-12-10,1.99,2.02,1.99,2.0,1028306.0,2.0,GOOG-H
2003-12-11,2.01,2.05,2.01,2.02,665872.0,2.02,GOOG-H
2003-12-12,2.03,2.04,2.02,2.02,713550.0,2.02,GOOG-H
2003-12-15,2.03,2.07,2.03,2.05,948670.0,2.05,GOOG-H
2003-12-16,2.05,2.06,2.01,2.01,526630.0,2.01,GOOG-H
2003-12-17,2.02,2.04,1.99,2.0,668363.0,2.0,GOOG-H
2003-12-18,2.0,2.02,1.99,2.0,885692.0,2.0,GOOG-H
2003-12-19,2.02,2.02,2.0,2.02,315925.0,2.02,GOOG-H
2003-12-22,2.03,2.04,2.02,2.04,362200.0,2.04,GOOG-H
2003-12-23,2.05,2.08,2.04,2.07,325676.0,2.07,GOOG-H
2003-12-24,2.09,2.11,2.05,2.08,496702.0,2.08,GOOG-H
2003-12-29,2.08,2.1,2.08,2.09,172388.0,2.09,GOOG-H
2003-12-30,2.1,2.13,2.09,2.11,282087.0,2.11,GOOG-H
2003-12-31,2.12,2.14,2.12,2.14,125575.0,2.14,GOOG-H
2004-01-02,2.14,2.15,2.13,2.14,74365.0,2.14,GOOG-H
2004-01-05,2.14,2.15,2.11,2.13,258655.0,2.13,GOOG-H
2004-01-06,2.13,2.14,2.12,2.12,447191.0,2.12,GOOG-H
2004-01-07,2.12,2.13,2.12,2.13,334507.0,2.13,GOOG-H
2004-01-08,2.13,2.16,2.13,2.15,332190.0,2.15,GOOG-H
2004-01-09,2.16,2.16,2.14,2.14,339528.0,2.14,GOOG-H
2004-01-12,2.16,2.25,2.16,2.17,388880.0,2.17,GOOG-H
2004-01-13,2.17,2.21,2.17,2.17,271251.0,2.17,GOOG-H
2004-01-14,2.18,2.19,2.18,2.18,257289.0,2.18,GOOG-H
2004-01-15,2.19,2.2,2.16,2.17,486524.0,2.17,GOOG-H
2004-01-16,2.16,2.17,2.15,2.16,360500.0,2.16,GOOG-H
2004-01-19,2.17,2.2,2.17,2.18,176720.0,2.18,GOOG-H
2004-01-20,2.19,2.21,2.19,2.2,325242.0,2.2,GOOG-H
2004-01-21,2.23,2.26,2.23,2.25,215575.0,2.25,GOOG-H
2004-01-22,2.27,2.33,2.27,2.29,739030.0,2.29,GOOG-H
2004-01-23,2.29,2.29,2.25,2.25,661944.0,2.25,GOOG-H
2004-01-27,2.27,2.27,2.25,2.25,226376.0,2.25,GOOG-H
2004-01-28,2.25,2.27,2.24,2.24,231946.0,2.24,GOOG-H
2004-01-29,2.24,2.26,2.24,2.25,329252.0,2.25,GOOG-H
2004-01-30,2.25,2.35,2.25,2.32,274194.0,2.32,GOOG-H
2004-02-02,2.33,2.36,2.33,2.35,363883.0,2.35,GOOG-H
2004-02-03,2.35,2.36,2.32,2.33,207015.0,2.33,GOOG-H
2004-02-04,2.34,2.34,2.32,2.33,238566.0,2.33,GOOG-H
2004-02-05,2.34,2.35,2.31,2.31,228305.0,2.31,GOOG-H
2004-02-06,2.31,2.34,2.3,2.31,80158.0,2.31,GOOG-H
2004-02-09,2.32,2.32,2.27,2.29,185007.0,2.29,GOOG-H
2004-02-10,2.3,2.3,2.24,2.24,378867.0,2.24,GOOG-H
2004-02-11,2.25,2.29,2.25,2.26,242808.0,2.26,GOOG-H
2004-02-12,2.28,2.29,2.27,2.27,265586.0,2.27,GOOG-H
2004-02-13,2.28,2.28,2.25,2.26,165443.0,2.26,GOOG-H
2004-02-16,2.26,2.26,2.21,2.21,827360.0,2.21,GOOG-H
2004-02-17,2.21,2.29,2.21,2.28,143093.0,2.28,GOOG-H
2004-02-18,2.28,2.29,2.26,2.29,116140.0,2.29,GOOG-H
2004-02-19,2.29,2.3,2.27,2.29,138811.0,2.29,GOOG-H
2004-02-20,2.29,2.29,2.27,2.29,183182.0,2.29,GOOG-H
2004-02-23,2.29,2.29,2.27,2.27,103023.0,2.27,GOOG-H
2004-02-24,2.27,2.3,2.26,2.26,142335.0,2.26,GOOG-H
2004-02-25,2.27,2.28,2.26,2.28,180896.0,2.28,GOOG-H
2004-02-26,2.28,2.3,2.27,2.3,167573.0,2.3,GOOG-H
2004-02-27,2.3,2.31,2.28,2.28,260905.0,2.28,GOOG-H
2004-03-01,2.29,2.3,2.27,2.27,126856.0,2.27,GOOG-H
2004-03-02,2.28,2.29,2.28,2.29,149219.0,2.29,GOOG-H
