DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2003-10-23,2.17,2.24,2.12,2.22,28859132.0,2.22,GOOG-H
2003-10-24,2.22,2.22,2.17,2.17,7942066.0,2.17,GOOG-H
2003-10-27,2.17,2.17,2.13,2.13,2943755.0,2.13,GOOG-H
2003-10-28,2.12,2.13,2.07,2.1,1859834.0,2.1,GOOG-H
2003-10-29,2.09,2.1,2.08,2.09,1638607.0,2.09,GOOG-H
2003-10-30,2.09,2.1,2.09,2.09,991151.0,2.09,GOOG-H
2003-10-31,2.09,2.1,2.08,2.09,605660.0,2.09,GOOG-H
2003-11-03,2.11,2.13,2.1,2.13,396189.0,2.13,GOOG-H
2003-11-04,2.12,2.14,2.11,2.12,322063.0,2.12,GOOG-H
2003-11-05,2.11,2.12,2.09,2.09,508358.0,2.09,GOOG-H
2003-11-06,2.09,2.1,2.08,2.08,1710007.0,2.08,GOOG-H
2003-11-07,2.09,2.09,2.08,2.09,1137683.0,2.09,GOOG-H
2003-11-10,2.09,2.17,2.09,2.16,693244.0,2.16,GOOG-H
2003-11-11,2.14,2.16,2.13,2.15,481938.0,2.15,GOOG-H
2003-11-12,2.16,2.16,2.14,2.14,529080.0,2.14,GOOG-H
2003-11-13,2.13,2.14,2.12,2.13,102304.0,2.13,GOOG-H
2003-11-14,2.13,2.14,2.12,2.13,1298985.0,2.13,GOOG-H
2003-11-17,2.12,2.13,2.12,2.12,199497.0,2.12,GOOG-H
2003-11-18,2.12,2.13,2.12,2.12,930246.0,2.12,GOOG-H
2003-11-19,2.12,2.12,2.08,2.1,161224.0,2.1,GOOG-H
2003-11-20,2.11,2.12,2.1,2.11,328917.0,2.11,GOOG-H
2003-11-21,2.1,2.11,2.08,2.08,1149866.0,2.08,GOOG-H
2003-11-24,2.12,2.12,2.07,2.07,151047.0,2.07,GOOG-H
2003-11-25,2.08,2.1,2.08,2.09,294019.0,2.09,GOOG-H
2003-11-26,2.09,2.09,2.04,2.06,127703.0,2.06,GOOG-H
2003-11-27,2.05,2.06,2.04,2.06,180497.0,2.06,GOOG-H
2003-11-28,2.05,2.06,2.02,2.04,900945.0,2.04,GOOG-H
2003-12-01,2.04,2.04,1.96,1.98,2449684.0,1.98,GOOG-H
2003-12-02,1.98,2.02,1.98,2.0,629545.0,2.0,GOOG-H
2003-12-03,2.01,2.04,1.99,2.02,225952.0,2.02,GOOG-H
2003-12-04,2.03,2.06,2.03,2.05,398618.0,2.05,GOOG-H
2003-12-05,2.07,2.07,2.05,2.05,1201617.0,2.05,GOOG-H
2003-12-08,2.08,2.1,2.07,2.07,857738.0,2.07,GOOG-H
2003-12-09,2.09,2.12,2.06,2.07,934438.0,2.07,GOOG-H
2003-12-10,2.08,2.09,2.07,2.07,313790.0,2.07,GOOG-H
2003-12-11,2.08,2.1,2.08,2.08,98018.0,2.08,GOOG-H
2003-12-12,2.1,2.13,2.1,2.1,634002.0,2.1,GOOG-H
2003-12-15,2.13,2.22,2.13,2.22,603413.0,2.22,GOOG-H
2003-12-16,2.22,2.24,2.17,2.17,170126.0,2.17,GOOG-H
2003-12-17,2.17,2.17,2.13,2.15,175635.0,2.15,GOOG-H
2003-12-18,2.17,2.21,2.15,2.17,172018.0,2.17,GOOG-H
2003-12-19,2.21,2.22,2.2,2.2,414466.0,2.2,GOOG-H
2003-12-22,2.2,2.33,2.2,2.3,1033796.0,2.3,GOOG-H
2003-12-23,2.31,2.34,2.3,2.31,414269.0,2.31,GOOG-H
2003-12-24,2.31,2.31,2.25,2.25,43449.0,2.25,GOOG-H
2003-12-29,2.24,2.32,2.22,2.27,460313.0,2.27,GOOG-H
2003-12-30,2.3,2.31,2.27,2.27,118392.0,2.27,GOOG-H
2003-12-31,2.27,2.29,2.24,2.28,38701.0,2.28,GOOG-H
2004-01-02,2.28,2.28,2.27,2.27,39391.0,2.27,GOOG-H
2004-01-05,2.29,2.29,2.27,2.29,102553.0,2.29,GOOG-H
2004-01-06,2.3,2.33,2.3,2.31,182445.0,2.31,GOOG-H
2004-01-07,2.31,2.31,2.27,2.28,93615.0,2.28,GOOG-H
2004-01-08,2.28,2.3,2.27,2.28,61041.0,2.28,GOOG-H
2004-01-09,2.29,2.3,2.27,2.29,133586.0,2.29,GOOG-H
2004-01-12,2.27,2.31,2.26,2.31,95611.0,2.31,GOOG-H
2004-01-13,2.3,2.31,2.27,2.29,213210.0,2.29,GOOG-H
2004-01-14,2.3,2.3,2.28,2.3,87866.0,2.3,GOOG-H
2004-01-15,2.3,2.31,2.29,2.3,153354.0,2.3,GOOG-H
2004-01-16,2.29,2.31,2.28,2.28,270317.0,2.28,GOOG-H
2004-01-19,2.29,2.31,2.27,2.28,570551.0,2.28,GOOG-H
2004-01-20,2.28,2.31,2.28,2.29,255087.0,2.29,GOOG-H
2004-01-21,2.3,2.31,2.29,2.3,349439.0,2.3,GOOG-H
2004-01-22,2.3,2.3,2.28,2.29,114096.0,2.29,GOOG-H
2004-01-23,2.29,2.31,2.29,2.31,182381.0,2.31,GOOG-H
2004-01-27,2.31,2.36,2.31,2.34,283286.0,2.34,GOOG-H
2004-01-28,2.39,2.39,2.32,2.32,259467.0,2.32,GOOG-H
2004-01-29,2.32,2.33,2.28,2.3,728816.0,2.3,GOOG-H
2004-01-30,2.29,2.32,2.27,2.27,187145.0,2.27,GOOG-H
2004-02-02,2.29,2.29,2.21,2.22,220100.0,2.22,GOOG-H
