DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,4.23,4.23,3.97,4.07,190034.0,4.07,GOOG-H
2000-01-05,4.02,4.07,3.91,4.07,354924.0,4.07,GOOG-H
2000-01-06,4.22,4.22,4.05,4.07,205876.0,4.07,GOOG-H
2000-01-07,4.07,4.07,4.0,4.05,105972.0,4.05,GOOG-H
2000-01-10,4.1,4.18,4.05,4.17,111624.0,4.17,GOOG-H
2000-01-11,4.17,4.22,4.12,4.22,593512.0,4.22,GOOG-H
2000-01-12,4.18,4.18,4.07,4.1,232988.0,4.1,GOOG-H
2000-01-13,4.1,4.22,4.1,4.22,210427.0,4.22,GOOG-H
2000-01-14,4.18,4.23,4.18,4.23,369910.0,4.23,GOOG-H
2000-01-17,4.23,4.26,4.2,4.25,273146.0,4.25,GOOG-H
2000-01-18,4.22,4.22,4.08,4.1,440093.0,4.1,GOOG-H
2000-01-19,4.1,4.13,4.1,4.12,179143.0,4.12,GOOG-H
2000-01-20,4.13,4.23,4.12,4.2,709569.0,4.2,GOOG-H
2000-01-21,4.18,4.18,4.12,4.12,489285.0,4.12,GOOG-H
2000-01-24,4.26,4.26,4.12,4.12,62770.0,4.12,GOOG-H
2000-01-25,4.07,4.07,4.01,4.06,939200.0,4.06,GOOG-H
2000-01-27,3.97,4.04,3.97,3.97,407927.0,3.97,GOOG-H
2000-01-28,3.97,3.97,3.93,3.95,423920.0,3.95,GOOG-H
2000-01-31,3.91,3.93,3.86,3.91,299728.0,3.91,GOOG-H
2000-02-01,3.93,3.93,3.84,3.86,177753.0,3.86,GOOG-H
2000-02-02,3.86,3.87,3.7,3.73,351580.0,3.73,GOOG-H
2000-02-03,3.72,3.72,3.57,3.6,275740.0,3.6,GOOG-H
2000-02-04,3.61,3.61,3.53,3.53,416423.0,3.53,GOOG-H
2000-02-07,3.58,3.58,3.52,3.54,103223.0,3.54,GOOG-H
2000-02-08,3.54,3.54,3.39,3.45,422072.0,3.45,GOOG-H
2000-02-09,3.45,3.55,3.45,3.55,245065.0,3.55,GOOG-H
2000-02-10,3.58,3.58,3.52,3.55,1090172.0,3.55,GOOG-H
2000-02-11,3.55,3.6,3.54,3.54,347889.0,3.54,GOOG-H
2000-02-14,3.49,3.51,3.45,3.49,2405611.0,3.49,GOOG-H
2000-02-15,3.49,3.55,3.49,3.52,828709.0,3.52,GOOG-H
2000-02-16,3.52,3.54,3.52,3.53,485728.0,3.53,GOOG-H
2000-02-17,3.55,3.6,3.53,3.53,1196079.0,3.53,GOOG-H
2000-02-18,3.6,3.7,3.57,3.57,280029.0,3.57,GOOG-H
2000-02-21,3.54,3.68,3.49,3.68,255360.0,3.68,GOOG-H
2000-02-22,3.7,3.77,3.7,3.72,270409.0,3.72,GOOG-H
2000-02-23,3.8,3.8,3.75,3.75,1181682.0,3.75,GOOG-H
2000-02-24,3.8,3.81,3.72,3.72,417689.0,3.72,GOOG-H
2000-02-25,3.77,3.84,3.75,3.79,149404.0,3.79,GOOG-H
2000-02-28,3.81,3.86,3.81,3.81,138057.0,3.81,GOOG-H
2000-02-29,3.91,3.97,3.83,3.86,728062.0,3.86,GOOG-H
2000-03-01,3.94,3.94,3.81,3.82,411376.0,3.82,GOOG-H
2000-03-02,3.96,3.97,3.89,3.94,758031.0,3.94,GOOG-H
2000-03-03,4.0,4.0,3.82,3.86,771754.0,3.86,GOOG-H
2000-03-06,3.97,3.97,3.81,3.86,278328.0,3.86,GOOG-H
2000-03-07,3.85,3.86,3.79,3.8,422280.0,3.8,GOOG-H
2000-03-08,3.74,3.8,3.74,3.75,202177.0,3.75,GOOG-H
2000-03-09,3.72,3.75,3.7,3.71,637610.0,3.71,GOOG-H
2000-03-10,3.79,3.81,3.77,3.79,562566.0,3.79,GOOG-H
2000-03-13,3.8,4.12,3.8,4.05,288989.0,4.05,GOOG-H
2000-03-14,4.07,4.18,3.98,3.99,727363.0,3.99,GOOG-H
2000-03-15,4.01,4.02,3.93,3.97,321927.0,3.97,GOOG-H
2000-03-16,4.02,4.07,4.01,4.04,630539.0,4.04,GOOG-H
2000-03-17,4.1,4.1,3.97,4.01,766620.0,4.01,GOOG-H
2000-03-20,3.87,4.06,3.87,3.97,164363.0,3.97,GOOG-H
2000-03-21,3.97,3.97,3.8,3.81,273878.0,3.81,GOOG-H
2000-03-22,3.86,3.89,3.8,3.8,272928.0,3.8,GOOG-H
2000-03-23,3.8,4.0,3.8,3.97,530631.0,3.97,GOOG-H
2000-03-24,4.02,4.02,3.83,3.84,1104007.0,3.84,GOOG-H
2000-03-27,3.94,3.94,3.83,3.87,268583.0,3.87,GOOG-H
2000-03-28,3.88,4.04,3.88,3.97,318840.0,3.97,GOOG-H
2000-03-29,4.04,4.12,4.04,4.09,447610.0,4.09,GOOG-H
2000-03-30,4.1,4.12,3.99,4.02,167326.0,4.02,GOOG-H
2000-03-31,4.11,4.11,3.87,3.89,951764.0,3.89,GOOG-H
2000-04-03,3.95,4.06,3.92,4.06,290124.0,4.06,GOOG-H
2000-04-04,4.12,4.24,4.12,4.23,709835.0,4.23,GOOG-H
2000-04-05,4.23,4.3,4.23,4.23,517707.0,4.23,GOOG-H
2000-04-06,4.21,4.21,4.07,4.13,166653.0,4.13,GOOG-H
2000-04-07,4.13,4.13,4.07,4.07,1116605.0,4.07,GOOG-H
2000-04-10,4.07,4.07,4.04,4.04,250694.0,4.04,GOOG-H
2000-04-11,4.04,4.07,3.98,4.0,561808.0,4.0,GOOG-H
2000-04-12,4.05,4.05,3.99,3.99,645960.0,3.99,GOOG-H
2000-04-13,4.03,4.21,4.03,4.18,1373647.0,4.18,GOOG-H
2000-04-14,4.21,4.21,4.07,4.07,267940.0,4.07,GOOG-H
2000-04-17,4.02,4.09,4.01,4.04,440908.0,4.04,GOOG-H
2000-04-18,4.1,4.12,4.05,4.07,684645.0,4.07,GOOG-H
2000-04-19,4.12,4.18,4.07,4.11,552019.0,4.11,GOOG-H
2000-04-20,4.11,4.11,4.02,4.07,163515.0,4.07,GOOG-H
2000-04-26,4.12,4.18,4.02,4.07,329135.0,4.07,GOOG-H
2000-04-27,4.02,4.09,4.02,4.05,350407.0,4.05,GOOG-H
2000-04-28,4.12,4.12,4.06,4.12,282590.0,4.12,GOOG-H
2000-05-01,4.24,4.24,4.07,4.07,496271.0,4.07,GOOG-H
2000-05-02,4.18,4.21,4.15,4.19,591768.0,4.19,GOOG-H
2000-05-03,4.22,4.22,4.16,4.16,1230745.0,4.16,GOOG-H
2000-05-04,4.18,4.19,4.16,4.17,380988.0,4.17,GOOG-H
2000-05-05,4.17,4.2,4.16,4.18,781558.0,4.18,GOOG-H
2000-05-08,4.18,4.21,4.17,4.18,262058.0,4.18,GOOG-H
2000-05-09,4.18,4.2,4.12,4.12,323000.0,4.12,GOOG-H
2000-05-10,4.12,4.16,4.07,4.16,208362.0,4.16,GOOG-H
2000-05-11,4.07,4.12,3.97,4.0,263616.0,4.0,GOOG-H
2000-05-12,4.05,4.05,3.91,3.91,204631.0,3.91,GOOG-H
2000-05-15,3.94,3.94,3.89,3.91,557486.0,3.91,GOOG-H
2000-05-16,4.02,4.15,4.0,4.02,721495.0,4.02,GOOG-H
2000-05-17,4.08,4.15,4.02,4.02,514558.0,4.02,GOOG-H
2000-05-18,4.07,4.11,4.07,4.09,2448923.0,4.09,GOOG-H
2000-05-19,4.12,4.13,4.11,4.12,837569.0,4.12,GOOG-H
2000-05-22,4.12,4.13,4.09,4.12,191958.0,4.12,GOOG-H
2000-05-23,4.12,4.16,4.12,4.12,511205.0,4.12,GOOG-H
2000-05-24,4.11,4.11,4.01,4.02,646666.0,4.02,GOOG-H
2000-05-25,4.05,4.13,4.04,4.1,478933.0,4.1,GOOG-H
2000-05-26,4.13,4.13,4.04,4.07,610709.0,4.07,GOOG-H
2000-05-29,4.12,4.12,4.07,4.09,233015.0,4.09,GOOG-H
