DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,20.52,20.52,20.09,20.23,647308.0,20.23,GOOG-H
2000-01-05,19.4,19.73,19.36,19.52,657808.0,19.52,GOOG-H
2000-01-06,19.75,19.75,19.36,19.36,470418.0,19.36,GOOG-H
2000-01-07,19.35,19.48,19.29,19.41,352887.0,19.41,GOOG-H
2000-01-10,19.75,19.95,19.75,19.8,353274.0,19.8,GOOG-H
2000-01-11,20.04,20.04,19.18,19.27,636675.0,19.27,GOOG-H
2000-01-12,19.17,19.17,18.7,18.72,969301.0,18.72,GOOG-H
2000-01-13,18.63,18.63,18.28,18.55,1495530.0,18.55,GOOG-H
2000-01-14,18.74,18.88,18.53,18.88,1177505.0,18.88,GOOG-H
2000-01-17,19.27,19.27,18.98,18.98,697561.0,18.98,GOOG-H
2000-01-18,18.97,19.31,18.93,19.14,916149.0,19.14,GOOG-H
2000-01-19,18.98,18.98,18.59,18.78,623265.0,18.78,GOOG-H
2000-01-20,18.79,19.17,18.79,19.13,971724.0,19.13,GOOG-H
2000-01-21,19.09,19.12,18.79,18.93,535917.0,18.93,GOOG-H
2000-01-24,19.04,19.04,18.8,18.85,365489.0,18.85,GOOG-H
2000-01-25,18.76,19.16,18.56,19.15,488933.0,19.15,GOOG-H
2000-01-27,19.17,19.65,19.17,19.59,607453.0,19.59,GOOG-H
2000-01-28,19.65,19.76,19.39,19.65,482592.0,19.65,GOOG-H
2000-01-31,19.27,19.31,18.88,19.22,1258312.0,19.22,GOOG-H
2000-02-01,19.22,19.32,18.94,19.12,432845.0,19.12,GOOG-H
2000-02-02,19.07,19.07,18.46,18.5,974831.0,18.5,GOOG-H
2000-02-03,18.5,18.79,18.35,18.4,700387.0,18.4,GOOG-H
2000-02-04,18.52,18.82,18.5,18.6,749140.0,18.6,GOOG-H
2000-02-07,18.71,18.88,18.62,18.8,1186959.0,18.8,GOOG-H
2000-02-08,18.79,19.06,18.64,18.9,581998.0,18.9,GOOG-H
2000-02-09,19.01,19.27,18.88,18.89,607192.0,18.89,GOOG-H
2000-02-10,19.07,19.27,18.93,19.12,2379521.0,19.12,GOOG-H
2000-02-11,19.08,19.36,18.94,19.17,780088.0,19.17,GOOG-H
2000-02-14,19.04,19.22,18.96,19.13,1197197.0,19.13,GOOG-H
2000-02-15,19.17,19.17,18.45,18.45,832736.0,18.45,GOOG-H
2000-02-16,18.54,18.54,17.86,17.86,1523811.0,17.86,GOOG-H
2000-02-17,18.21,18.21,17.53,17.92,2745202.0,17.92,GOOG-H
2000-02-18,18.09,18.64,18.09,18.4,881699.0,18.4,GOOG-H
2000-02-21,18.21,18.82,18.21,18.79,793853.0,18.79,GOOG-H
2000-02-22,18.79,19.12,18.79,18.97,727898.0,18.97,GOOG-H
2000-02-23,18.98,19.12,18.98,19.12,869570.0,19.12,GOOG-H
2000-02-24,18.83,19.99,18.83,19.74,1931912.0,19.74,GOOG-H
2000-02-25,19.75,19.75,19.36,19.37,1398350.0,19.37,GOOG-H
2000-02-28,19.27,20.62,19.13,20.42,1442068.0,20.42,GOOG-H
2000-02-29,20.42,20.62,19.94,20.62,946939.0,20.62,GOOG-H
2000-03-01,20.71,20.71,20.21,20.3,403768.0,20.3,GOOG-H
2000-03-02,20.46,20.46,19.75,19.8,314418.0,19.8,GOOG-H
2000-03-03,19.8,20.33,19.32,20.33,729625.0,20.33,GOOG-H
2000-03-06,20.44,20.58,19.7,19.7,296140.0,19.7,GOOG-H
2000-03-07,19.61,19.61,18.98,19.07,817543.0,19.07,GOOG-H
2000-03-08,19.04,19.41,19.03,19.23,310398.0,19.23,GOOG-H
2000-03-09,19.37,19.68,19.36,19.65,692603.0,19.65,GOOG-H
2000-03-10,19.75,20.21,19.75,20.04,515222.0,20.04,GOOG-H
2000-03-13,20.21,20.42,20.18,20.23,664489.0,20.23,GOOG-H
2000-03-14,20.04,20.47,19.89,20.17,978038.0,20.17,GOOG-H
2000-03-15,20.09,20.43,19.84,19.99,592094.0,19.99,GOOG-H
2000-03-16,19.84,20.62,19.84,20.42,585844.0,20.42,GOOG-H
2000-03-17,20.71,21.18,20.68,20.93,1346438.0,20.93,GOOG-H
2000-03-20,20.89,21.19,20.86,21.05,512746.0,21.05,GOOG-H
2000-03-21,20.9,21.24,20.9,20.9,270570.0,20.9,GOOG-H
2000-03-22,20.9,20.95,20.47,20.95,521717.0,20.95,GOOG-H
2000-03-23,20.71,20.93,20.57,20.71,371670.0,20.71,GOOG-H
2000-03-24,20.7,20.71,20.38,20.38,609055.0,20.38,GOOG-H
2000-03-27,20.3,20.52,20.3,20.36,491816.0,20.36,GOOG-H
2000-03-28,20.31,20.85,20.31,20.83,622743.0,20.83,GOOG-H
2000-03-29,20.78,21.1,20.52,20.71,562643.0,20.71,GOOG-H
2000-03-30,20.71,20.91,20.71,20.86,515636.0,20.86,GOOG-H
2000-03-31,20.71,20.71,20.33,20.51,570123.0,20.51,GOOG-H
2000-04-03,20.71,20.71,19.89,20.26,651056.0,20.26,GOOG-H
2000-04-04,19.75,19.75,19.22,19.41,1869412.0,19.41,GOOG-H
2000-04-05,19.46,19.65,19.12,19.13,1782877.0,19.13,GOOG-H
2000-04-06,19.79,19.96,19.27,19.8,1126329.0,19.8,GOOG-H
2000-04-07,20.23,20.23,19.12,19.56,933371.0,19.56,GOOG-H
2000-04-10,19.75,20.13,19.07,19.07,9035639.0,19.07,GOOG-H
