DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2004-07-01,1.15,1.15,1.15,1.15,1830.0,1.15,GOOG-H
2004-07-02,1.18,1.22,1.18,1.22,10984.0,1.22,GOOG-H
2004-07-05,1.17,1.17,1.1,1.1,31553.0,1.1,GOOG-H
2004-07-07,1.2,1.2,1.2,1.2,9153.0,1.2,GOOG-H
2004-07-09,1.2,1.2,1.2,1.2,29104.0,1.2,GOOG-H
2004-07-12,1.2,1.2,1.2,1.2,11900.0,1.2,GOOG-H
2004-07-13,1.2,1.2,1.2,1.2,18307.0,1.2,GOOG-H
2004-07-14,1.2,1.2,1.2,1.2,58585.0,1.2,GOOG-H
2004-07-15,1.2,1.2,1.2,1.2,1373.0,1.2,GOOG-H
2004-07-16,1.2,1.2,1.2,1.2,1830.0,1.2,GOOG-H
2004-07-21,1.15,1.15,1.13,1.13,13730.0,1.13,GOOG-H
2004-07-22,1.13,1.13,1.13,1.13,9153.0,1.13,GOOG-H
2004-07-23,1.13,1.13,1.11,1.11,36615.0,1.11,GOOG-H
2004-08-02,1.13,1.13,1.11,1.11,12815.0,1.11,GOOG-H
2004-08-03,1.11,1.11,1.11,1.11,27461.0,1.11,GOOG-H
2004-08-04,1.15,1.15,1.15,1.15,17392.0,1.15,GOOG-H
2004-08-05,1.2,1.2,1.2,1.2,915.0,1.2,GOOG-H
2004-08-06,1.2,1.22,1.2,1.22,51262.0,1.22,GOOG-H
2004-08-09,1.2,1.2,1.15,1.16,91375.0,1.16,GOOG-H
2004-08-10,1.13,1.13,1.11,1.13,10160.0,1.13,GOOG-H
2004-08-16,1.18,1.18,1.18,1.18,5492.0,1.18,GOOG-H
2004-08-17,1.18,1.18,1.18,1.18,41192.0,1.18,GOOG-H
2004-08-18,1.18,1.22,1.18,1.2,40414.0,1.2,GOOG-H
2004-08-24,1.17,1.17,1.17,1.17,4091.0,1.17,GOOG-H
2004-09-01,1.17,1.17,1.13,1.13,6407.0,1.13,GOOG-H
2004-09-07,1.15,1.15,1.15,1.15,9153.0,1.15,GOOG-H
2004-09-15,1.15,1.15,1.15,1.15,7323.0,1.15,GOOG-H
2004-09-21,1.14,1.14,1.13,1.13,14371.0,1.13,GOOG-H
2004-09-23,1.09,1.09,1.07,1.08,45229.0,1.08,GOOG-H
2004-09-24,1.07,1.07,1.07,1.07,9153.0,1.07,GOOG-H
2004-09-27,1.07,1.07,1.07,1.07,13730.0,1.07,GOOG-H
2004-10-01,1.07,1.07,1.07,1.07,4576.0,1.07,GOOG-H
2004-10-06,1.07,1.07,1.07,1.07,9153.0,1.07,GOOG-H
2004-10-11,1.09,1.09,1.09,1.09,1830.0,1.09,GOOG-H
2004-10-13,1.1,1.1,1.08,1.08,176214.0,1.08,GOOG-H
2004-10-14,1.09,1.09,1.09,1.09,4576.0,1.09,GOOG-H
2004-10-19,1.09,1.09,1.07,1.07,8238.0,1.07,GOOG-H
2004-10-26,1.07,1.07,1.06,1.06,4576.0,1.06,GOOG-H
2004-10-29,1.06,1.06,1.06,1.06,4576.0,1.06,GOOG-H
2004-11-05,1.04,1.05,0.93,1.05,127494.0,1.05,GOOG-H
2004-11-08,1.04,1.04,0.9,0.9,147837.0,0.9,GOOG-H
2004-11-11,0.98,0.98,0.94,0.94,12357.0,0.94,GOOG-H
2004-11-12,0.95,0.95,0.94,0.94,38446.0,0.94,GOOG-H
2004-11-15,0.95,0.96,0.94,0.96,4472847.0,0.96,GOOG-H
2004-11-16,0.96,0.98,0.96,0.98,22884.0,0.98,GOOG-H
2004-11-17,1.01,1.01,1.01,1.01,6407.0,1.01,GOOG-H
2004-11-18,1.06,1.06,1.05,1.06,30208.0,1.06,GOOG-H
2004-11-19,1.03,1.05,1.03,1.05,50346.0,1.05,GOOG-H
2004-11-22,1.02,1.02,1.02,1.02,13069.0,1.02,GOOG-H
2004-11-24,1.03,1.03,1.03,1.03,15561.0,1.03,GOOG-H
2004-11-26,1.03,1.05,1.03,1.05,34785.0,1.05,GOOG-H
2004-11-30,1.05,1.05,1.05,1.05,4576.0,1.05,GOOG-H
2004-12-02,1.05,1.05,1.04,1.04,27461.0,1.04,GOOG-H
2004-12-03,1.05,1.05,1.05,1.05,4576.0,1.05,GOOG-H
2004-12-06,1.04,1.04,1.04,1.04,9153.0,1.04,GOOG-H
2004-12-08,1.05,1.05,1.05,1.05,4576.0,1.05,GOOG-H
2004-12-09,1.04,1.04,1.04,1.04,4576.0,1.04,GOOG-H
2004-12-13,1.05,1.05,1.05,1.05,4576.0,1.05,GOOG-H
2004-12-14,1.04,1.04,1.04,1.04,6003.0,1.04,GOOG-H
2004-12-16,1.04,1.04,1.04,1.04,14135.0,1.04,GOOG-H
2004-12-17,1.04,1.04,1.04,1.04,9234.0,1.04,GOOG-H
2004-12-20,1.04,1.04,1.04,1.04,2013.0,1.04,GOOG-H
2004-12-22,1.03,1.03,1.03,1.03,4576.0,1.03,GOOG-H
2004-12-23,1.02,1.05,1.02,1.05,67692.0,1.05,GOOG-H
2004-12-29,1.05,1.05,1.05,1.05,4576.0,1.05,GOOG-H
2004-12-30,1.04,1.04,1.04,1.04,5492.0,1.04,GOOG-H
2004-12-31,1.04,1.05,1.04,1.05,22884.0,1.05,GOOG-H
2005-01-27,0.99,0.99,0.99,0.99,4576.0,0.99,GOOG-H
2005-01-28,0.98,0.98,0.97,0.97,6407.0,0.97,GOOG-H
2005-02-04,1.01,1.01,1.01,1.01,915.0,1.01,GOOG-H
2005-02-08,0.96,0.96,0.96,0.96,4576.0,0.96,GOOG-H
2005-02-10,0.96,0.96,0.96,0.96,3661.0,0.96,GOOG-H
2005-02-15,0.97,0.97,0.97,0.97,9153.0,0.97,GOOG-H
2005-02-17,0.96,0.96,0.94,0.94,26546.0,0.94,GOOG-H
2005-02-18,0.94,0.98,0.94,0.98,70485.0,0.98,GOOG-H
2005-02-23,0.98,0.98,0.98,0.98,1020.0,0.98,GOOG-H
2005-03-01,0.98,0.98,0.98,0.98,5492.0,0.98,GOOG-H
2005-03-02,0.96,0.96,0.96,0.96,1725.0,0.96,GOOG-H
2005-03-04,0.96,0.96,0.96,0.96,7428.0,0.96,GOOG-H
2005-03-07,0.94,0.94,0.94,0.94,2746.0,0.94,GOOG-H
2005-03-08,0.94,0.94,0.93,0.93,2288.0,0.93,GOOG-H
2005-03-10,0.94,0.96,0.94,0.96,6407.0,0.96,GOOG-H
2005-03-15,0.93,0.93,0.92,0.92,25631.0,0.92,GOOG-H
2005-03-16,0.9,0.9,0.9,0.9,6407.0,0.9,GOOG-H
2005-03-18,0.91,0.91,0.9,0.9,193595.0,0.9,GOOG-H
2005-03-21,0.9,0.9,0.9,0.9,73677.0,0.9,GOOG-H
2005-03-22,0.9,0.9,0.9,0.9,4576.0,0.9,GOOG-H
2005-03-23,0.88,0.88,0.88,0.88,31147.0,0.88,GOOG-H
2005-03-29,0.88,0.88,0.88,0.88,45769.0,0.88,GOOG-H
2005-03-30,0.88,0.88,0.88,0.88,9153.0,0.88,GOOG-H
2005-03-31,0.88,0.96,0.88,0.96,71858.0,0.96,GOOG-H
2005-04-01,0.91,0.91,0.91,0.91,2264.0,0.91,GOOG-H
2005-04-08,0.91,0.91,0.91,0.91,6889.0,0.91,GOOG-H
2005-04-11,0.88,0.88,0.88,0.88,4576.0,0.88,GOOG-H
2005-04-13,0.88,0.88,0.88,0.88,6865.0,0.88,GOOG-H
2005-04-14,0.9,0.9,0.9,0.9,5492.0,0.9,GOOG-H
2005-04-15,0.88,0.88,0.85,0.88,52177.0,0.88,GOOG-H
2005-04-18,0.88,0.88,0.88,0.88,457.0,0.88,GOOG-H
2005-04-19,0.86,0.86,0.86,0.86,2746.0,0.86,GOOG-H
2005-04-21,0.84,0.84,0.84,0.84,4576.0,0.84,GOOG-H
2005-04-27,0.84,0.84,0.84,0.84,6682.0,0.84,GOOG-H
2005-04-29,0.84,0.84,0.83,0.83,45769.0,0.83,GOOG-H
2005-05-02,0.83,0.83,0.82,0.82,29750.0,0.82,GOOG-H
2005-05-04,0.84,0.85,0.84,0.85,135479.0,0.85,GOOG-H
2005-05-06,0.85,0.85,0.85,0.85,18307.0,0.85,GOOG-H
2005-05-09,0.84,0.84,0.84,0.84,36615.0,0.84,GOOG-H
2005-05-12,0.84,0.84,0.84,0.84,1290.0,0.84,GOOG-H
2005-05-13,0.85,0.87,0.85,0.87,31581.0,0.87,GOOG-H
2005-05-20,0.84,0.84,0.84,0.84,540.0,0.84,GOOG-H
