DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,2.84,2.86,2.83,2.83,382929.0,2.83,GOOG-H
2000-01-05,2.78,2.86,2.78,2.82,203556.0,2.82,GOOG-H
2000-01-06,2.82,2.83,2.8,2.83,163290.0,2.83,GOOG-H
2000-01-07,2.83,2.85,2.83,2.85,195643.0,2.85,GOOG-H
2000-01-10,2.87,2.89,2.85,2.88,75719.0,2.88,GOOG-H
2000-01-11,2.88,2.89,2.85,2.87,1331271.0,2.87,GOOG-H
2000-01-12,2.87,2.89,2.85,2.86,1503144.0,2.86,GOOG-H
2000-01-13,2.85,2.86,2.82,2.83,348326.0,2.83,GOOG-H
2000-01-14,2.82,2.86,2.82,2.84,467483.0,2.84,GOOG-H
2000-01-17,2.84,2.84,2.82,2.83,717302.0,2.83,GOOG-H
2000-01-18,2.85,2.85,2.81,2.81,525248.0,2.81,GOOG-H
2000-01-19,2.8,2.8,2.74,2.75,372030.0,2.75,GOOG-H
2000-01-20,2.75,2.75,2.7,2.74,1246334.0,2.74,GOOG-H
2000-01-21,2.74,2.76,2.73,2.76,227808.0,2.76,GOOG-H
2000-01-24,2.75,2.8,2.75,2.8,118061.0,2.8,GOOG-H
2000-01-25,2.79,2.79,2.75,2.76,2291745.0,2.76,GOOG-H
2000-01-27,2.78,2.78,2.76,2.77,5624173.0,2.77,GOOG-H
2000-01-28,2.76,2.76,2.75,2.76,1495387.0,2.76,GOOG-H
2000-01-31,2.73,2.76,2.73,2.75,509053.0,2.75,GOOG-H
2000-02-01,2.76,2.76,2.73,2.74,2444062.0,2.74,GOOG-H
2000-02-02,2.75,2.77,2.74,2.76,205820.0,2.76,GOOG-H
2000-02-03,2.76,2.77,2.74,2.74,633867.0,2.74,GOOG-H
2000-02-04,2.75,2.77,2.74,2.77,419606.0,2.77,GOOG-H
2000-02-07,2.77,2.78,2.74,2.78,146928.0,2.78,GOOG-H
2000-02-08,2.77,2.84,2.77,2.81,1748807.0,2.81,GOOG-H
2000-02-09,2.79,2.83,2.79,2.81,371474.0,2.81,GOOG-H
2000-02-10,2.8,2.82,2.8,2.82,1772321.0,2.82,GOOG-H
2000-02-11,2.77,2.77,2.75,2.77,288902.0,2.77,GOOG-H
2000-02-14,2.77,2.79,2.77,2.78,323270.0,2.78,GOOG-H
2000-02-15,2.78,2.8,2.78,2.8,713742.0,2.8,GOOG-H
2000-02-16,2.78,2.8,2.78,2.8,194132.0,2.8,GOOG-H
2000-02-17,2.79,2.81,2.79,2.81,1261857.0,2.81,GOOG-H
2000-02-18,2.82,2.83,2.81,2.81,691598.0,2.81,GOOG-H
2000-02-21,2.81,2.86,2.81,2.84,349926.0,2.84,GOOG-H
2000-02-22,2.87,2.92,2.84,2.91,240070.0,2.91,GOOG-H
2000-02-23,2.92,3.01,2.92,2.97,405908.0,2.97,GOOG-H
2000-02-24,2.98,3.01,2.96,2.96,869090.0,2.96,GOOG-H
2000-02-25,2.92,2.97,2.92,2.97,356003.0,2.97,GOOG-H
2000-02-28,2.97,2.98,2.95,2.97,532745.0,2.97,GOOG-H
2000-02-29,2.97,3.04,2.97,3.04,2576171.0,3.04,GOOG-H
2000-03-01,3.05,3.09,3.04,3.09,155582.0,3.09,GOOG-H
2000-03-02,3.06,3.11,3.01,3.04,1297650.0,3.04,GOOG-H
2000-03-03,3.01,3.02,2.96,2.97,820250.0,2.97,GOOG-H
2000-03-06,2.97,2.99,2.95,2.96,853111.0,2.96,GOOG-H
2000-03-07,2.98,2.98,2.92,2.94,749490.0,2.94,GOOG-H
2000-03-08,2.93,2.94,2.91,2.94,526600.0,2.94,GOOG-H
2000-03-09,2.95,2.97,2.94,2.96,972799.0,2.96,GOOG-H
2000-03-10,2.96,3.0,2.96,3.0,624979.0,3.0,GOOG-H
2000-03-13,3.0,3.01,2.96,3.01,2046576.0,3.01,GOOG-H
2000-03-14,3.0,3.04,2.98,3.0,814402.0,3.0,GOOG-H
2000-03-15,3.0,3.02,2.98,3.01,666184.0,3.01,GOOG-H
2000-03-16,3.01,3.05,3.01,3.03,2180602.0,3.03,GOOG-H
2000-03-17,3.06,3.06,3.03,3.05,747908.0,3.05,GOOG-H
2000-03-20,3.05,3.06,3.03,3.06,63373.0,3.06,GOOG-H
2000-03-21,3.05,3.05,3.04,3.05,40513.0,3.05,GOOG-H
2000-03-22,3.04,3.05,3.04,3.04,506427.0,3.04,GOOG-H
2000-03-23,3.04,3.05,3.02,3.05,2450833.0,3.05,GOOG-H
2000-03-24,3.05,3.07,3.04,3.05,637235.0,3.05,GOOG-H
2000-03-27,3.09,3.09,3.0,3.01,974804.0,3.01,GOOG-H
2000-03-28,3.01,3.05,2.99,3.03,784230.0,3.03,GOOG-H
2000-03-29,3.03,3.05,3.01,3.03,2014388.0,3.03,GOOG-H
2000-03-30,3.03,3.05,3.03,3.05,1186957.0,3.05,GOOG-H
2000-03-31,3.05,3.07,3.05,3.05,994436.0,3.05,GOOG-H
2000-04-03,3.03,3.09,3.03,3.09,326102.0,3.09,GOOG-H
2000-04-04,3.1,3.16,3.1,3.16,231944.0,3.16,GOOG-H
2000-04-05,3.16,3.21,3.12,3.13,704311.0,3.13,GOOG-H
2000-04-06,3.13,3.16,3.1,3.15,667953.0,3.15,GOOG-H
2000-04-07,3.16,3.16,3.14,3.16,278570.0,3.16,GOOG-H
2000-04-10,3.16,3.19,3.14,3.16,236720.0,3.16,GOOG-H
2000-04-11,3.15,3.16,3.14,3.16,546891.0,3.16,GOOG-H
2000-04-12,3.16,3.16,3.14,3.14,458306.0,3.14,GOOG-H
2000-04-13,3.14,3.15,3.14,3.14,738271.0,3.14,GOOG-H
2000-04-14,3.14,3.15,3.1,3.13,596958.0,3.13,GOOG-H
2000-04-17,3.01,3.15,2.96,3.13,191755.0,3.13,GOOG-H
2000-04-18,3.13,3.15,3.1,3.15,416388.0,3.15,GOOG-H
2000-04-19,3.11,3.15,3.08,3.15,249984.0,3.15,GOOG-H
2000-04-20,3.12,3.16,3.1,3.16,317431.0,3.16,GOOG-H
2000-04-26,3.16,3.19,3.16,3.18,407320.0,3.18,GOOG-H
2000-04-27,3.05,3.15,3.05,3.12,878541.0,3.12,GOOG-H
2000-04-28,3.14,3.14,3.12,3.12,513268.0,3.12,GOOG-H
2000-05-01,3.1,3.15,3.1,3.13,734879.0,3.13,GOOG-H
2000-05-02,3.13,3.16,3.13,3.15,171593.0,3.15,GOOG-H
