DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2004-03-15,0.7,0.76,0.67,0.74,3021429.0,0.74,GOOG-H
2004-03-16,0.72,0.73,0.71,0.72,1071315.0,0.72,GOOG-H
2004-03-17,0.73,0.74,0.72,0.73,451000.0,0.73,GOOG-H
2004-03-18,0.72,0.73,0.72,0.73,306935.0,0.73,GOOG-H
2004-03-19,0.74,0.75,0.74,0.75,299400.0,0.75,GOOG-H
2004-03-22,0.75,0.79,0.75,0.79,143500.0,0.79,GOOG-H
2004-03-23,0.78,0.79,0.77,0.77,107547.0,0.77,GOOG-H
2004-03-24,0.77,0.77,0.75,0.76,134600.0,0.76,GOOG-H
2004-03-25,0.75,0.77,0.75,0.76,517558.0,0.76,GOOG-H
2004-03-29,0.78,0.83,0.78,0.82,128200.0,0.82,GOOG-H
2004-03-30,0.82,0.82,0.81,0.81,88000.0,0.81,GOOG-H
2004-03-31,0.8,0.82,0.8,0.8,51000.0,0.8,GOOG-H
2004-04-01,0.8,0.8,0.8,0.8,410000.0,0.8,GOOG-H
2004-04-02,0.79,0.79,0.78,0.79,48995.0,0.79,GOOG-H
2004-04-05,0.79,0.79,0.78,0.78,9584.0,0.78,GOOG-H
2004-04-06,0.78,0.8,0.78,0.8,320000.0,0.8,GOOG-H
2004-04-07,0.78,0.82,0.76,0.76,38671.0,0.76,GOOG-H
2004-04-08,0.76,0.76,0.75,0.75,40000.0,0.75,GOOG-H
2004-04-13,0.75,0.76,0.75,0.76,68000.0,0.76,GOOG-H
2004-04-14,0.77,0.77,0.76,0.76,65150.0,0.76,GOOG-H
2004-04-15,0.76,0.76,0.75,0.76,312000.0,0.76,GOOG-H
2004-04-16,0.76,0.76,0.75,0.75,42000.0,0.75,GOOG-H
2004-04-19,0.76,0.76,0.76,0.76,10000.0,0.76,GOOG-H
2004-04-20,0.76,0.8,0.76,0.8,112500.0,0.8,GOOG-H
2004-04-21,0.79,0.8,0.79,0.8,7100.0,0.8,GOOG-H
2004-04-22,0.78,0.78,0.77,0.77,13300.0,0.77,GOOG-H
2004-04-23,0.77,0.77,0.77,0.77,15000.0,0.77,GOOG-H
2004-04-27,0.77,0.78,0.77,0.78,225000.0,0.78,GOOG-H
2004-04-28,0.78,0.78,0.78,0.78,30000.0,0.78,GOOG-H
2004-04-29,0.76,0.76,0.76,0.76,47000.0,0.76,GOOG-H
2004-04-30,0.76,0.79,0.76,0.79,57853.0,0.79,GOOG-H
2004-05-03,0.76,0.76,0.76,0.76,412785.0,0.76,GOOG-H
2004-05-04,0.75,0.75,0.73,0.73,33059.0,0.73,GOOG-H
2004-05-05,0.73,0.73,0.73,0.73,10000.0,0.73,GOOG-H
2004-05-06,0.73,0.73,0.73,0.73,5000.0,0.73,GOOG-H
2004-05-07,0.73,0.73,0.73,0.73,5000.0,0.73,GOOG-H
2004-05-10,0.73,0.74,0.73,0.74,164000.0,0.74,GOOG-H
2004-05-11,0.73,0.73,0.73,0.73,57000.0,0.73,GOOG-H
2004-05-12,0.73,0.73,0.73,0.73,12740.0,0.73,GOOG-H
2004-05-13,0.73,0.73,0.73,0.73,20798.0,0.73,GOOG-H
2004-05-14,0.73,0.73,0.73,0.73,226696.0,0.73,GOOG-H
2004-05-17,0.72,0.72,0.66,0.7,25000.0,0.7,GOOG-H
2004-05-18,0.7,0.7,0.66,0.66,757691.0,0.66,GOOG-H
2004-05-19,0.65,0.65,0.65,0.65,54000.0,0.65,GOOG-H
