DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-11-25,2.22,2.23,2.14,2.14,450943680.0,2.14,GOOG-H
2014-11-26,2.14,2.15,2.08,2.1,129664792.0,2.1,GOOG-H
2014-11-27,2.11,2.18,2.1,2.18,58417316.0,2.18,GOOG-H
2014-11-28,2.17,2.19,2.14,2.17,32804688.0,2.17,GOOG-H
2014-12-01,2.15,2.16,2.13,2.13,18660244.0,2.13,GOOG-H
2014-12-02,2.13,2.14,2.12,2.14,14911141.0,2.14,GOOG-H
2014-12-03,2.14,2.15,2.13,2.15,22873896.0,2.15,GOOG-H
2014-12-04,2.15,2.16,2.14,2.16,27162172.0,2.16,GOOG-H
2014-12-05,2.16,2.16,2.14,2.15,20147344.0,2.15,GOOG-H
2014-12-08,2.16,2.19,2.15,2.19,235572016.0,2.19,GOOG-H
2014-12-09,2.17,2.22,2.17,2.22,34591760.0,2.22,GOOG-H
2014-12-10,2.21,2.25,2.2,2.24,23885156.0,2.24,GOOG-H
2014-12-11,2.24,2.3,2.22,2.26,63629340.0,2.26,GOOG-H
2014-12-12,2.27,2.3,2.27,2.28,24702000.0,2.28,GOOG-H
2014-12-15,2.28,2.3,2.26,2.3,31298062.0,2.3,GOOG-H
2014-12-16,2.3,2.31,2.27,2.29,14287025.0,2.29,GOOG-H
2014-12-17,2.29,2.29,2.26,2.28,16079066.0,2.28,GOOG-H
2014-12-18,2.29,2.3,2.28,2.3,15918533.0,2.3,GOOG-H
2014-12-19,2.3,2.3,2.28,2.29,11318002.0,2.29,GOOG-H
2014-12-22,2.29,2.3,2.28,2.3,7966417.0,2.3,GOOG-H
2014-12-23,2.3,2.32,2.29,2.31,11075910.0,2.31,GOOG-H
2014-12-24,2.32,2.38,2.31,2.38,7360902.0,2.38,GOOG-H
2014-12-29,2.38,2.4,2.36,2.39,8424974.0,2.39,GOOG-H
2014-12-30,2.4,2.44,2.39,2.41,12922075.0,2.41,GOOG-H
2014-12-31,2.42,2.43,2.41,2.41,4022616.0,2.41,GOOG-H
2015-01-02,2.41,2.43,2.39,2.43,4714404.0,2.43,GOOG-H
2015-01-05,2.42,2.43,2.35,2.39,24195825.0,2.39,GOOG-H
2015-01-06,2.34,2.35,2.31,2.35,14458929.0,2.35,GOOG-H
2015-01-07,2.35,2.39,2.34,2.39,11495419.0,2.39,GOOG-H
2015-01-08,2.39,2.4,2.38,2.39,10413692.0,2.39,GOOG-H
2015-01-09,2.39,2.4,2.39,2.4,7645733.0,2.4,GOOG-H
2015-01-12,2.39,2.4,2.38,2.4,6464425.0,2.4,GOOG-H
2015-01-13,2.38,2.39,2.37,2.38,6591830.0,2.38,GOOG-H
2015-01-14,2.37,2.37,2.33,2.35,15881684.0,2.35,GOOG-H
2015-01-15,2.34,2.36,2.32,2.35,5602445.0,2.35,GOOG-H
2015-01-16,2.35,2.35,2.31,2.31,5840653.0,2.31,GOOG-H
2015-01-19,2.32,2.36,2.32,2.36,5195103.0,2.36,GOOG-H
2015-01-20,2.36,2.37,2.32,2.32,5152511.0,2.32,GOOG-H
2015-01-21,2.33,2.37,2.32,2.37,10788264.0,2.37,GOOG-H
2015-01-22,2.37,2.37,2.33,2.35,9185184.0,2.35,GOOG-H
2015-01-23,2.36,2.36,2.33,2.34,6642479.0,2.34,GOOG-H
2015-01-27,2.34,2.35,2.33,2.33,4145012.0,2.33,GOOG-H
2015-01-28,2.33,2.37,2.32,2.37,13529682.0,2.37,GOOG-H
2015-01-29,2.36,2.37,2.34,2.35,6799094.0,2.35,GOOG-H
2015-01-30,2.35,2.38,2.35,2.38,9227142.0,2.38,GOOG-H
2015-02-02,2.37,2.4,2.36,2.4,8469540.0,2.4,GOOG-H
2015-02-03,2.4,2.42,2.39,2.42,13967805.0,2.42,GOOG-H
2015-02-04,2.42,2.43,2.37,2.4,12135423.0,2.4,GOOG-H
2015-02-05,2.38,2.41,2.38,2.39,10200781.0,2.39,GOOG-H
2015-02-06,2.4,2.42,2.39,2.39,10508218.0,2.39,GOOG-H
2015-02-09,2.39,2.41,2.38,2.41,6928848.0,2.41,GOOG-H
2015-02-10,2.4,2.45,2.39,2.45,13987012.0,2.45,GOOG-H
2015-02-11,2.46,2.5,2.45,2.5,10138492.0,2.5,GOOG-H
2015-02-12,2.5,2.53,2.48,2.5,15702668.0,2.5,GOOG-H
2015-02-13,2.49,2.53,2.47,2.52,7832743.0,2.52,GOOG-H
2015-02-16,2.52,2.54,2.49,2.53,6943784.0,2.53,GOOG-H
2015-02-17,2.51,2.54,2.51,2.52,7987055.0,2.52,GOOG-H
2015-02-18,2.51,2.57,2.5,2.54,12276890.0,2.54,GOOG-H
2015-02-19,2.55,2.59,2.54,2.56,14537909.0,2.56,GOOG-H
2015-02-20,2.56,2.56,2.37,2.47,34135982.0,2.47,GOOG-H
2015-02-23,2.45,2.5,2.42,2.46,14641372.0,2.46,GOOG-H
2015-02-24,2.44,2.45,2.4,2.42,16204945.0,2.42,GOOG-H
2015-02-25,2.42,2.51,2.42,2.48,21162564.0,2.48,GOOG-H
2015-02-26,2.48,2.5,2.46,2.46,8154477.0,2.46,GOOG-H
2015-02-27,2.46,2.56,2.45,2.56,24280613.0,2.56,GOOG-H
2015-03-02,2.55,2.57,2.51,2.55,17079295.0,2.55,GOOG-H
2015-03-03,2.53,2.54,2.47,2.47,110779706.0,2.47,GOOG-H
2015-03-04,2.48,2.53,2.48,2.51,18802540.0,2.51,GOOG-H
2015-03-05,2.5,2.51,2.44,2.46,14986872.0,2.46,GOOG-H
2015-03-06,2.47,2.48,2.46,2.48,8302937.0,2.48,GOOG-H
2015-03-09,2.47,2.47,2.43,2.43,6510925.0,2.43,GOOG-H
2015-03-10,2.44,2.47,2.44,2.46,9233068.0,2.46,GOOG-H
2015-03-11,2.43,2.44,2.41,2.43,9070612.0,2.43,GOOG-H
2015-03-12,2.42,2.45,2.42,2.44,8388521.0,2.44,GOOG-H
2015-03-13,2.44,2.45,2.42,2.42,6053684.0,2.42,GOOG-H
2015-03-16,2.41,2.43,2.41,2.42,5398847.0,2.42,GOOG-H
2015-03-17,2.43,2.44,2.4,2.42,11107917.0,2.42,GOOG-H
2015-03-18,2.41,2.41,2.33,2.34,21936422.0,2.34,GOOG-H
2015-03-19,2.33,2.36,2.31,2.33,18962141.0,2.33,GOOG-H
2015-03-20,2.33,2.38,2.32,2.38,71433532.0,2.38,GOOG-H
2015-03-23,2.39,2.4,2.36,2.37,12058507.0,2.37,GOOG-H
2015-03-24,2.36,2.39,2.35,2.38,7211401.0,2.38,GOOG-H
2015-03-25,2.38,2.39,2.33,2.34,9830170.0,2.34,GOOG-H
2015-03-26,2.33,2.37,2.32,2.35,7488162.0,2.35,GOOG-H
2015-03-27,2.34,2.35,2.33,2.34,6085105.0,2.34,GOOG-H
2015-03-30,2.32,2.33,2.28,2.28,13336109.0,2.28,GOOG-H
2015-03-31,2.31,2.32,2.29,2.32,7346635.0,2.32,GOOG-H
2015-04-01,2.3,2.38,2.3,2.37,10787918.0,2.37,GOOG-H
2015-04-02,2.36,2.38,2.36,2.38,5039897.0,2.38,GOOG-H
2015-04-07,2.39,2.4,2.35,2.38,5710632.0,2.38,GOOG-H
2015-04-08,2.36,2.39,2.35,2.38,5653261.0,2.38,GOOG-H
2015-04-09,2.38,2.4,2.36,2.37,5205194.0,2.37,GOOG-H
2015-04-10,2.38,2.39,2.37,2.39,4653338.0,2.39,GOOG-H
2015-04-13,2.39,2.39,2.37,2.38,3636309.0,2.38,GOOG-H
2015-04-14,2.37,2.38,2.34,2.36,7596480.0,2.36,GOOG-H
2015-04-15,2.35,2.35,2.32,2.32,6482569.0,2.32,GOOG-H
2015-04-16,2.33,2.37,2.31,2.36,6201045.0,2.36,GOOG-H
2015-04-17,2.36,2.37,2.3,2.32,10082672.0,2.32,GOOG-H
2015-04-20,2.31,2.31,2.26,2.28,10958512.0,2.28,GOOG-H
2015-04-21,2.3,2.3,2.23,2.24,12432588.0,2.24,GOOG-H
2015-04-22,2.24,2.25,2.18,2.19,12657008.0,2.19,GOOG-H
2015-04-23,2.19,2.24,2.18,2.21,14432144.0,2.21,GOOG-H
2015-04-24,2.21,2.25,2.21,2.24,7752833.0,2.24,GOOG-H
2015-04-27,2.24,2.29,2.23,2.29,10940036.0,2.29,GOOG-H
2015-04-28,2.28,2.29,2.24,2.25,7324739.0,2.25,GOOG-H
2015-04-29,2.26,2.27,2.22,2.22,7263449.0,2.22,GOOG-H
2015-04-30,2.22,2.23,2.2,2.21,9593657.0,2.21,GOOG-H
2015-05-01,2.2,2.21,2.17,2.18,13888752.0,2.18,GOOG-H
2015-05-04,2.18,2.19,2.13,2.15,16859807.0,2.15,GOOG-H
2015-05-06,2.16,2.17,2.14,2.16,8627322.0,2.16,GOOG-H
2015-05-07,2.15,2.19,2.13,2.18,13758826.0,2.18,GOOG-H
2015-05-08,2.18,2.19,2.15,2.15,10103076.0,2.15,GOOG-H
2015-05-11,2.16,2.19,2.16,2.17,6420719.0,2.17,GOOG-H
2015-05-12,2.16,2.17,2.13,2.15,10277241.0,2.15,GOOG-H
2015-05-13,2.12,2.16,2.1,2.15,17577052.0,2.15,GOOG-H
