DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-11-05,82.25,82.25,78.0,78.0,1876228.0,78.0,GOOG-H
2007-11-06,78.4,79.04,77.4,79.04,2031497.0,79.04,GOOG-H
2007-11-07,80.6,82.3,79.94,81.45,1354829.0,81.45,GOOG-H
2007-11-08,79.0,79.19,78.0,78.56,2591106.0,78.56,GOOG-H
2007-11-09,78.6,81.35,78.6,80.9,2298177.0,80.9,GOOG-H
2007-11-13,80.72,80.72,77.77,79.0,3496834.0,79.0,GOOG-H
2007-11-14,81.99,82.4,81.31,82.35,3552205.0,82.35,GOOG-H
2007-11-15,81.6,82.6,81.36,81.8,2885994.0,81.8,GOOG-H
2007-11-16,81.15,81.39,80.03,80.5,1037326.0,80.5,GOOG-H
2007-11-19,81.0,81.31,80.1,80.5,963399.0,80.5,GOOG-H
2007-11-20,79.18,79.52,77.85,78.4,2145156.0,78.4,GOOG-H
2007-11-21,78.0,78.38,76.11,76.27,2525593.0,76.27,GOOG-H
2007-11-22,75.25,76.18,74.51,75.71,3301004.0,75.71,GOOG-H
2007-11-23,76.51,76.97,76.0,76.49,998189.0,76.49,GOOG-H
2007-11-27,75.8,78.2,75.02,78.2,2777008.0,78.2,GOOG-H
2007-11-28,78.0,78.15,75.53,76.0,2060821.0,76.0,GOOG-H
2007-11-29,78.72,79.94,78.5,79.14,4640315.0,79.14,GOOG-H
2007-11-30,78.76,80.4,77.8,80.3,4675248.0,80.3,GOOG-H
2007-12-04,80.0,80.02,78.62,78.9,2432635.0,78.9,GOOG-H
2007-12-05,78.6,78.85,77.47,78.8,1686558.0,78.8,GOOG-H
2007-12-06,79.56,80.48,79.5,80.2,1265156.0,80.2,GOOG-H
2007-12-07,80.8,81.18,79.66,80.25,1429200.0,80.25,GOOG-H
2007-12-10,80.0,80.0,78.95,79.42,1216308.0,79.42,GOOG-H
2007-12-11,80.19,82.85,80.11,82.6,1656798.0,82.6,GOOG-H
2007-12-12,80.0,81.8,79.5,81.51,3319397.0,81.51,GOOG-H
2007-12-13,81.81,82.2,80.81,81.15,1495071.0,81.15,GOOG-H
2007-12-14,81.2,81.5,78.71,80.08,2045602.0,80.08,GOOG-H
2007-12-17,79.51,79.65,75.68,76.1,3956507.0,76.1,GOOG-H
2007-12-19,74.1,75.19,73.75,74.3,3651172.0,74.3,GOOG-H
2007-12-20,74.75,75.2,73.05,73.17,3585578.0,73.17,GOOG-H
2007-12-21,73.88,76.6,73.11,76.09,4331742.0,76.09,GOOG-H
2007-12-27,77.03,77.89,76.46,76.46,520601.0,76.46,GOOG-H
2007-12-28,75.99,76.53,75.22,76.53,718479.0,76.53,GOOG-H
2008-01-02,76.1,77.31,76.1,77.0,1875441.0,77.0,GOOG-H
2008-01-03,74.01,74.49,73.6,73.7,1435953.0,73.7,GOOG-H
2008-01-04,74.27,74.3,73.0,73.2,1394612.0,73.2,GOOG-H
2008-01-07,70.6,71.6,70.02,71.39,2424923.0,71.39,GOOG-H
2008-01-08,71.1,71.55,70.23,70.5,1820938.0,70.5,GOOG-H
