DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,0.6,0.62,0.59,0.59,109703.0,0.59,GOOG-H
2000-01-05,0.58,0.59,0.56,0.56,125388.0,0.56,GOOG-H
2000-01-06,0.56,0.6,0.56,0.58,114186.0,0.58,GOOG-H
2000-01-07,0.59,0.59,0.58,0.59,45650.0,0.59,GOOG-H
2000-01-10,0.6,0.6,0.58,0.58,72527.0,0.58,GOOG-H
2000-01-11,0.6,0.6,0.58,0.58,107577.0,0.58,GOOG-H
2000-01-12,0.58,0.59,0.56,0.56,144466.0,0.56,GOOG-H
2000-01-13,0.57,0.57,0.57,0.57,14833.0,0.57,GOOG-H
2000-01-14,0.57,0.57,0.56,0.56,28038.0,0.56,GOOG-H
2000-01-17,0.56,0.56,0.53,0.53,182104.0,0.53,GOOG-H
2000-01-18,0.53,0.56,0.53,0.54,218659.0,0.54,GOOG-H
2000-01-19,0.54,0.55,0.54,0.55,1847004.0,0.55,GOOG-H
2000-01-20,0.57,0.57,0.56,0.57,45221.0,0.57,GOOG-H
2000-01-21,0.56,0.57,0.55,0.55,69560.0,0.55,GOOG-H
2000-01-24,0.54,0.55,0.53,0.53,178700.0,0.53,GOOG-H
2000-01-25,0.53,0.53,0.52,0.53,54769.0,0.53,GOOG-H
2000-01-27,0.53,0.53,0.53,0.53,51292.0,0.53,GOOG-H
2000-01-28,0.54,0.54,0.53,0.53,20700.0,0.53,GOOG-H
2000-01-31,0.54,0.56,0.54,0.56,30000.0,0.56,GOOG-H
2000-02-01,0.56,0.56,0.53,0.53,38699.0,0.53,GOOG-H
2000-02-02,0.53,0.53,0.53,0.53,81321.0,0.53,GOOG-H
2000-02-03,0.53,0.53,0.51,0.51,73500.0,0.51,GOOG-H
2000-02-04,0.51,0.53,0.5,0.51,145838.0,0.51,GOOG-H
2000-02-07,0.52,0.53,0.52,0.53,33500.0,0.53,GOOG-H
2000-02-08,0.53,0.55,0.53,0.54,82945.0,0.54,GOOG-H
2000-02-09,0.54,0.54,0.51,0.51,37000.0,0.51,GOOG-H
2000-02-10,0.52,0.53,0.52,0.53,1243478.0,0.53,GOOG-H
2000-02-11,0.54,0.54,0.51,0.51,95272.0,0.51,GOOG-H
2000-02-14,0.51,0.51,0.5,0.5,62500.0,0.5,GOOG-H
2000-02-15,0.52,0.52,0.5,0.51,307106.0,0.51,GOOG-H
2000-02-16,0.51,0.52,0.5,0.52,32854.0,0.52,GOOG-H
2000-02-17,0.5,0.52,0.5,0.52,83400.0,0.52,GOOG-H
2000-02-18,0.5,0.5,0.5,0.5,144997.0,0.5,GOOG-H
2000-02-21,0.48,0.49,0.48,0.49,74306.0,0.49,GOOG-H
2000-02-22,0.5,0.52,0.48,0.52,63081.0,0.52,GOOG-H
2000-02-23,0.5,0.51,0.5,0.5,88116.0,0.5,GOOG-H
2000-02-24,0.5,0.51,0.49,0.49,46102.0,0.49,GOOG-H
2000-02-25,0.5,0.51,0.49,0.49,47850.0,0.49,GOOG-H
2000-02-28,0.49,0.49,0.49,0.49,26384.0,0.49,GOOG-H
2000-02-29,0.49,0.49,0.47,0.47,275049.0,0.47,GOOG-H
2000-03-01,0.5,0.52,0.47,0.52,209808.0,0.52,GOOG-H
2000-03-02,0.5,0.53,0.5,0.53,119771.0,0.53,GOOG-H
2000-03-03,0.54,0.54,0.53,0.53,155848.0,0.53,GOOG-H
2000-03-06,0.53,0.53,0.48,0.49,73408.0,0.49,GOOG-H
2000-03-07,0.49,0.51,0.49,0.51,37344.0,0.51,GOOG-H
2000-03-08,0.54,0.54,0.48,0.49,54500.0,0.49,GOOG-H
2000-03-09,0.5,0.5,0.47,0.48,181560.0,0.48,GOOG-H
2000-03-10,0.49,0.51,0.47,0.47,127322.0,0.47,GOOG-H
2000-03-13,0.47,0.5,0.47,0.47,93928.0,0.47,GOOG-H
2000-03-14,0.51,0.51,0.49,0.49,46048.0,0.49,GOOG-H
