DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-05-04,3.91,3.92,3.84,3.89,68467976.0,3.89,GOOG-H
2015-05-06,3.81,3.81,3.69,3.69,11498707.0,3.69,GOOG-H
2015-05-07,3.69,3.7,3.65,3.7,6204422.0,3.7,GOOG-H
2015-05-08,3.66,3.69,3.63,3.64,3235461.0,3.64,GOOG-H
2015-05-11,3.68,3.68,3.55,3.58,3223636.0,3.58,GOOG-H
2015-05-12,3.55,3.7,3.55,3.68,4036340.0,3.68,GOOG-H
2015-05-13,3.67,3.69,3.64,3.67,1360578.0,3.67,GOOG-H
2015-05-14,3.65,3.68,3.62,3.68,549280.0,3.68,GOOG-H
2015-05-15,3.67,3.68,3.63,3.68,1208853.0,3.68,GOOG-H
2015-05-18,3.64,3.66,3.62,3.63,1658533.0,3.63,GOOG-H
2015-05-19,3.62,3.68,3.62,3.68,1074166.0,3.68,GOOG-H
2015-05-20,3.65,3.68,3.64,3.67,988923.0,3.67,GOOG-H
2015-05-21,3.65,3.68,3.65,3.68,1523377.0,3.68,GOOG-H
2015-05-22,3.67,3.68,3.65,3.67,1807962.0,3.67,GOOG-H
2015-05-25,3.65,3.67,3.61,3.64,226981.0,3.64,GOOG-H
2015-05-26,3.64,3.64,3.61,3.64,1114207.0,3.64,GOOG-H
2015-05-27,3.61,3.62,3.53,3.59,741708.0,3.59,GOOG-H
2015-05-28,3.59,3.59,3.43,3.47,611162.0,3.47,GOOG-H
2015-05-29,3.41,3.55,3.39,3.52,2056238.0,3.52,GOOG-H
2015-06-01,3.52,3.6,3.52,3.55,2497074.0,3.55,GOOG-H
2015-06-02,3.57,3.57,3.45,3.48,975823.0,3.48,GOOG-H
2015-06-03,3.48,3.55,3.48,3.55,883153.0,3.55,GOOG-H
2015-06-04,3.51,3.56,3.5,3.5,795781.0,3.5,GOOG-H
2015-06-05,3.5,3.57,3.5,3.5,3590587.0,3.5,GOOG-H
2015-06-09,3.6,3.6,3.46,3.48,218490.0,3.48,GOOG-H
2015-06-10,3.47,3.48,3.4,3.4,597834.0,3.4,GOOG-H
2015-06-11,3.4,3.42,3.32,3.34,497694.0,3.34,GOOG-H
2015-06-12,3.35,3.45,3.34,3.4,1249697.0,3.4,GOOG-H
2015-06-15,3.4,3.41,3.37,3.41,2168865.0,3.41,GOOG-H
2015-06-16,3.41,3.45,3.4,3.43,345547.0,3.43,GOOG-H
2015-06-17,3.42,3.44,3.36,3.43,662987.0,3.43,GOOG-H
2015-06-18,3.45,3.47,3.36,3.38,887022.0,3.38,GOOG-H
2015-06-19,3.38,3.38,3.29,3.3,979893.0,3.3,GOOG-H
2015-06-22,3.28,3.39,3.21,3.38,3842453.0,3.38,GOOG-H
2015-06-23,3.38,3.41,3.35,3.4,630319.0,3.4,GOOG-H
