DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-05-17,0.78,0.9,0.65,0.82,9809788.0,0.82,GOOG-H
2007-05-18,0.87,0.88,0.76,0.77,1213192.0,0.77,GOOG-H
2007-05-21,0.78,0.8,0.75,0.75,582966.0,0.75,GOOG-H
2007-05-22,0.75,0.77,0.73,0.75,394670.0,0.75,GOOG-H
2007-05-23,0.74,0.74,0.68,0.7,1126289.0,0.7,GOOG-H
2007-05-24,0.7,0.73,0.69,0.7,645662.0,0.7,GOOG-H
2007-05-25,0.69,0.7,0.66,0.67,356480.0,0.67,GOOG-H
2007-05-28,0.68,0.68,0.65,0.65,752380.0,0.65,GOOG-H
2007-05-29,0.65,0.66,0.62,0.64,760475.0,0.64,GOOG-H
2007-05-30,0.64,0.68,0.64,0.65,517115.0,0.65,GOOG-H
2007-05-31,0.7,0.72,0.65,0.65,636296.0,0.65,GOOG-H
2007-06-01,0.66,0.7,0.66,0.7,426278.0,0.7,GOOG-H
2007-06-04,0.7,0.7,0.69,0.69,338490.0,0.69,GOOG-H
2007-06-05,0.69,0.7,0.68,0.69,243778.0,0.69,GOOG-H
2007-06-06,0.7,0.74,0.7,0.73,271150.0,0.73,GOOG-H
2007-06-07,0.7,0.76,0.7,0.75,296535.0,0.75,GOOG-H
2007-06-08,0.76,0.76,0.71,0.71,349065.0,0.71,GOOG-H
2007-06-12,0.72,0.72,0.71,0.71,150695.0,0.71,GOOG-H
2007-06-13,0.71,0.71,0.69,0.69,109000.0,0.69,GOOG-H
2007-06-14,0.69,0.7,0.69,0.7,105750.0,0.7,GOOG-H
2007-06-15,0.71,0.71,0.7,0.7,190000.0,0.7,GOOG-H
2007-06-18,0.7,0.7,0.64,0.68,566400.0,0.68,GOOG-H
2007-06-19,0.67,0.67,0.64,0.65,200000.0,0.65,GOOG-H
2007-06-20,0.65,0.7,0.65,0.67,733401.0,0.67,GOOG-H
2007-06-21,0.67,0.69,0.67,0.67,201225.0,0.67,GOOG-H
2007-06-22,0.67,0.69,0.64,0.64,194500.0,0.64,GOOG-H
2007-06-25,0.64,0.66,0.64,0.66,103520.0,0.66,GOOG-H
2007-06-26,0.66,0.67,0.65,0.65,99500.0,0.65,GOOG-H
2007-06-27,0.66,0.68,0.65,0.66,122001.0,0.66,GOOG-H
2007-06-28,0.66,0.66,0.64,0.64,64969.0,0.64,GOOG-H
2007-06-29,0.67,0.67,0.65,0.65,95000.0,0.65,GOOG-H
2007-07-02,0.64,0.64,0.64,0.64,159078.0,0.64,GOOG-H
2007-07-03,0.64,0.64,0.64,0.64,78500.0,0.64,GOOG-H
2007-07-04,0.64,0.64,0.62,0.62,300225.0,0.62,GOOG-H
2007-07-05,0.63,0.63,0.62,0.62,515725.0,0.62,GOOG-H
2007-07-06,0.63,0.64,0.62,0.64,68526.0,0.64,GOOG-H
2007-07-09,0.64,0.64,0.63,0.63,131577.0,0.63,GOOG-H
2007-07-10,0.63,0.65,0.63,0.65,144345.0,0.65,GOOG-H
2007-07-11,0.65,0.65,0.64,0.64,483655.0,0.64,GOOG-H
2007-07-12,0.66,0.66,0.65,0.65,134700.0,0.65,GOOG-H
2007-07-13,0.64,0.64,0.64,0.64,289500.0,0.64,GOOG-H
2007-07-16,0.63,0.64,0.63,0.63,134504.0,0.63,GOOG-H
2007-07-17,0.64,0.72,0.64,0.69,1015928.0,0.69,GOOG-H
2007-07-18,0.7,0.74,0.7,0.71,512914.0,0.71,GOOG-H
2007-07-19,0.73,0.74,0.72,0.74,301574.0,0.74,GOOG-H
2007-07-20,0.73,0.75,0.73,0.75,139655.0,0.75,GOOG-H
2007-07-23,0.75,0.75,0.71,0.71,249550.0,0.71,GOOG-H
2007-07-24,0.72,0.74,0.72,0.74,77450.0,0.74,GOOG-H
2007-07-25,0.73,0.73,0.7,0.72,201950.0,0.72,GOOG-H
2007-07-26,0.73,0.73,0.69,0.69,174389.0,0.69,GOOG-H
2007-07-27,0.67,0.67,0.64,0.67,638017.0,0.67,GOOG-H
2007-07-30,0.63,0.7,0.63,0.7,118000.0,0.7,GOOG-H
2007-07-31,0.69,0.73,0.69,0.73,333474.0,0.73,GOOG-H
2007-08-01,0.73,0.73,0.69,0.69,232102.0,0.69,GOOG-H
