DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-11-05,1.14,1.2,1.08,1.18,22658848,1.18,GOOG-H
2007-11-06,1.23,1.4,1.21,1.26,5727640,1.26,GOOG-H
2007-11-07,1.3,1.32,1.26,1.26,2063887,1.26,GOOG-H
2007-11-08,1.26,1.27,1.24,1.24,929972,1.24,GOOG-H
2007-11-09,1.24,1.25,1.24,1.24,600109,1.24,GOOG-H
2007-11-12,1.23,1.24,1.2,1.2,1069077,1.2,GOOG-H
2007-11-13,1.2,1.21,1.19,1.21,4916545,1.21,GOOG-H
2007-11-14,1.21,1.21,1.2,1.2,583748,1.2,GOOG-H
2007-11-15,1.21,1.21,1.2,1.2,1535558,1.2,GOOG-H
2007-11-16,1.2,1.22,1.2,1.21,813483,1.21,GOOG-H
2007-11-19,1.21,1.21,1.2,1.21,468345,1.21,GOOG-H
2007-11-20,1.2,1.21,1.2,1.21,521741,1.21,GOOG-H
2007-11-21,1.2,1.21,1.2,1.2,474394,1.2,GOOG-H
2007-11-22,1.2,1.21,1.2,1.2,518400,1.2,GOOG-H
2007-11-23,1.2,1.2,1.16,1.17,790718,1.17,GOOG-H
2007-11-26,1.15,1.17,1.12,1.16,998965,1.16,GOOG-H
2007-11-27,1.12,1.13,1.1,1.13,520916,1.13,GOOG-H
2007-11-28,1.13,1.13,1.11,1.12,711040,1.12,GOOG-H
2007-11-29,1.12,1.13,1.12,1.12,338685,1.12,GOOG-H
2007-11-30,1.12,1.13,1.11,1.12,323481,1.12,GOOG-H
2007-12-03,1.12,1.13,1.11,1.12,753522,1.12,GOOG-H
2007-12-04,1.12,1.13,1.12,1.12,425810,1.12,GOOG-H
2007-12-05,1.13,1.13,1.12,1.12,364514,1.12,GOOG-H
2007-12-06,1.13,1.14,1.12,1.13,370885,1.13,GOOG-H
2007-12-07,1.13,1.17,1.13,1.15,268504,1.15,GOOG-H
2007-12-10,1.15,1.15,1.14,1.15,295177,1.15,GOOG-H
2007-12-11,1.15,1.17,1.15,1.16,853512,1.16,GOOG-H
2007-12-12,1.17,1.18,1.15,1.15,135955,1.15,GOOG-H
2007-12-13,1.15,1.18,1.14,1.18,208270,1.18,GOOG-H
2007-12-14,1.15,1.17,1.15,1.16,361400,1.16,GOOG-H
2007-12-17,1.15,1.16,1.15,1.16,485100,1.16,GOOG-H
2007-12-18,1.16,1.18,1.16,1.18,558582,1.18,GOOG-H
2007-12-19,1.16,1.17,1.16,1.16,154867,1.16,GOOG-H
2007-12-20,1.16,1.18,1.15,1.17,1187313,1.17,GOOG-H
2007-12-21,1.17,1.19,1.17,1.17,132770,1.17,GOOG-H
2007-12-24,1.17,1.18,1.17,1.18,68500,1.18,GOOG-H
2007-12-27,1.17,1.19,1.17,1.17,64170,1.17,GOOG-H
