DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-02-04,4.75,4.75,4.73,4.75,4283.0,4.75,GOOG-H
1999-02-05,4.82,4.82,4.82,4.82,1943.0,4.82,GOOG-H
1999-02-08,4.77,4.77,4.77,4.77,5360.0,4.77,GOOG-H
1999-02-09,4.87,4.87,4.87,4.87,4900.0,4.87,GOOG-H
1999-02-12,4.87,4.87,4.63,4.63,7000.0,4.63,GOOG-H
1999-02-19,4.63,4.63,4.63,4.63,430620.0,4.63,GOOG-H
1999-02-23,4.63,4.63,4.63,4.63,5000.0,4.63,GOOG-H
1999-03-01,4.63,4.63,4.63,4.63,3600.0,4.63,GOOG-H
1999-03-03,4.63,4.63,4.63,4.63,10000.0,4.63,GOOG-H
1999-03-05,4.63,4.63,4.63,4.63,74296.0,4.63,GOOG-H
1999-03-09,4.63,4.63,4.61,4.61,5000.0,4.61,GOOG-H
1999-03-10,4.59,4.59,4.58,4.58,2000.0,4.58,GOOG-H
1999-03-17,4.58,4.58,4.58,4.58,12200.0,4.58,GOOG-H
1999-03-19,4.58,4.58,4.58,4.58,4300.0,4.58,GOOG-H
1999-03-31,4.68,4.68,4.68,4.68,1000.0,4.68,GOOG-H
1999-04-06,4.69,4.69,4.68,4.68,8000.0,4.68,GOOG-H
1999-04-08,4.73,4.73,4.68,4.73,29200.0,4.73,GOOG-H
1999-04-12,4.87,4.87,4.87,4.87,25000.0,4.87,GOOG-H
1999-04-13,4.87,4.87,4.87,4.87,1200.0,4.87,GOOG-H
1999-04-14,4.68,4.68,4.68,4.68,1000.0,4.68,GOOG-H
1999-04-19,4.73,4.73,4.68,4.68,25000.0,4.68,GOOG-H
1999-04-20,4.68,4.68,4.68,4.68,120.0,4.68,GOOG-H
1999-04-21,4.7,4.7,4.7,4.7,6000.0,4.7,GOOG-H
1999-04-29,4.87,4.87,4.87,4.87,1500.0,4.87,GOOG-H
1999-04-30,4.92,4.92,4.92,4.92,638.0,4.92,GOOG-H
1999-05-06,4.87,4.87,4.86,4.87,1100.0,4.87,GOOG-H
1999-05-10,4.87,4.87,4.87,4.87,20000.0,4.87,GOOG-H
1999-05-17,4.92,4.92,4.77,4.92,3000.0,4.92,GOOG-H
1999-05-18,4.92,4.92,4.87,4.92,15000.0,4.92,GOOG-H
1999-05-19,4.77,4.77,4.73,4.73,32900.0,4.73,GOOG-H
1999-05-20,4.63,4.63,4.63,4.63,14000.0,4.63,GOOG-H
1999-05-21,4.48,4.48,4.46,4.46,17500.0,4.46,GOOG-H
1999-05-26,4.68,4.68,4.68,4.68,6500.0,4.68,GOOG-H
1999-05-27,4.58,4.58,4.58,4.58,2700.0,4.58,GOOG-H
1999-05-28,4.63,4.63,4.63,4.63,2500.0,4.63,GOOG-H
1999-06-10,4.63,4.63,4.63,4.63,1400.0,4.63,GOOG-H
1999-06-11,4.38,4.63,4.38,4.38,1350.0,4.38,GOOG-H
1999-06-17,4.82,4.82,4.82,4.82,150.0,4.82,GOOG-H
1999-06-18,4.82,4.82,4.82,4.82,84562.0,4.82,GOOG-H
1999-06-23,4.77,4.77,4.73,4.73,4955.0,4.73,GOOG-H
1999-06-28,4.38,4.38,4.38,4.38,2700.0,4.38,GOOG-H
1999-06-30,4.77,4.77,4.63,4.77,1300.0,4.77,GOOG-H
1999-07-01,4.68,4.68,4.68,4.68,120.0,4.68,GOOG-H
1999-07-02,4.68,4.68,4.68,4.68,31300.0,4.68,GOOG-H
1999-07-05,4.67,4.67,4.67,4.67,5000.0,4.67,GOOG-H
1999-07-06,4.14,4.48,4.09,4.14,16117.0,4.14,GOOG-H
1999-07-07,4.14,4.14,4.14,4.14,538.0,4.14,GOOG-H
1999-07-08,4.14,4.14,4.14,4.14,744.0,4.14,GOOG-H
1999-07-09,4.14,4.14,4.14,4.14,7876.0,4.14,GOOG-H
1999-07-12,4.15,4.15,4.15,4.15,5000.0,4.15,GOOG-H
1999-07-13,4.18,4.18,3.99,3.99,32972.0,3.99,GOOG-H
1999-07-15,3.99,3.99,3.99,3.99,2600.0,3.99,GOOG-H
1999-07-19,3.96,3.96,3.95,3.96,4979.0,3.96,GOOG-H
1999-07-20,3.95,3.95,3.95,3.95,300.0,3.95,GOOG-H
1999-07-21,4.43,4.43,4.43,4.43,175.0,4.43,GOOG-H
1999-07-27,4.38,4.38,4.38,4.38,3500.0,4.38,GOOG-H
1999-07-29,4.25,4.25,4.25,4.25,17275.0,4.25,GOOG-H
1999-07-30,4.16,4.16,4.16,4.16,3126.0,4.16,GOOG-H
1999-08-02,4.16,4.16,4.16,4.16,3574.0,4.16,GOOG-H
1999-08-03,4.14,4.14,4.14,4.14,500.0,4.14,GOOG-H
1999-08-10,4.04,4.04,4.04,4.04,5000.0,4.04,GOOG-H
1999-08-11,3.85,3.85,3.85,3.85,9000.0,3.85,GOOG-H
1999-08-12,3.85,3.85,3.85,3.85,1000.0,3.85,GOOG-H
1999-08-18,3.85,3.85,3.85,3.85,29700.0,3.85,GOOG-H
1999-08-19,3.85,3.85,3.85,3.85,14700.0,3.85,GOOG-H
1999-08-23,3.95,3.95,3.9,3.9,172518.0,3.9,GOOG-H
1999-08-24,3.91,3.91,3.85,3.85,8146.0,3.85,GOOG-H
1999-08-25,4.14,4.14,4.14,4.14,100.0,4.14,GOOG-H
1999-08-26,3.9,3.9,3.85,3.85,9700.0,3.85,GOOG-H
1999-08-27,3.85,3.85,3.85,3.85,7000.0,3.85,GOOG-H
1999-08-30,3.85,3.85,3.85,3.85,5755.0,3.85,GOOG-H
1999-08-31,3.8,3.8,3.7,3.7,7000.0,3.7,GOOG-H
1999-09-01,3.7,3.7,3.56,3.56,10300.0,3.56,GOOG-H
1999-09-02,3.58,3.58,3.58,3.58,5000.0,3.58,GOOG-H
1999-09-03,3.58,3.58,3.58,3.58,5600.0,3.58,GOOG-H
1999-09-06,3.65,3.65,3.65,3.65,11980.0,3.65,GOOG-H
1999-09-07,3.65,3.65,3.65,3.65,1585.0,3.65,GOOG-H
1999-09-08,3.56,3.56,3.56,3.56,1000.0,3.56,GOOG-H
1999-09-09,3.75,3.75,3.75,3.75,10000.0,3.75,GOOG-H
1999-09-13,3.75,3.75,3.61,3.61,17217.0,3.61,GOOG-H
1999-09-15,3.58,3.58,3.58,3.58,1300.0,3.58,GOOG-H
1999-09-16,3.57,3.57,3.56,3.56,1938.0,3.56,GOOG-H
1999-09-17,3.56,3.56,3.56,3.56,2062.0,3.56,GOOG-H
1999-09-20,3.51,3.51,3.51,3.51,9800.0,3.51,GOOG-H
1999-09-21,3.51,3.51,3.51,3.51,40886.0,3.51,GOOG-H
1999-09-22,3.41,3.41,3.41,3.41,100.0,3.41,GOOG-H
1999-09-23,3.53,3.53,3.51,3.51,42000.0,3.51,GOOG-H
1999-09-24,3.51,3.51,3.51,3.51,6250.0,3.51,GOOG-H
1999-09-27,3.33,3.33,3.33,3.33,30000.0,3.33,GOOG-H
1999-09-28,3.22,3.22,3.22,3.22,2300.0,3.22,GOOG-H
1999-09-29,3.12,3.12,3.12,3.12,2100.0,3.12,GOOG-H
1999-09-30,3.33,3.33,3.33,3.33,26600.0,3.33,GOOG-H
1999-10-04,3.31,3.31,3.31,3.31,5000.0,3.31,GOOG-H
1999-10-07,3.32,3.32,3.32,3.32,1200.0,3.32,GOOG-H
1999-10-08,3.32,3.32,3.32,3.32,1000.0,3.32,GOOG-H
1999-10-11,3.46,3.51,3.46,3.51,57092.0,3.51,GOOG-H
1999-10-12,3.61,3.61,3.51,3.51,10070.0,3.51,GOOG-H
1999-10-13,3.51,3.51,3.46,3.46,2575.0,3.46,GOOG-H
1999-10-14,3.61,3.61,3.61,3.61,7300.0,3.61,GOOG-H
1999-10-15,3.61,3.61,3.61,3.61,27300.0,3.61,GOOG-H
1999-10-19,3.61,3.61,3.51,3.51,12000.0,3.51,GOOG-H
1999-10-20,3.56,3.56,3.56,3.56,1175.0,3.56,GOOG-H
1999-10-21,3.56,3.56,3.51,3.51,21448.0,3.51,GOOG-H
1999-10-26,3.51,3.51,3.51,3.51,4700.0,3.51,GOOG-H
1999-10-27,3.65,3.65,3.61,3.61,3925.0,3.61,GOOG-H
1999-11-02,3.47,3.47,3.47,3.47,20.0,3.47,GOOG-H
1999-11-03,3.61,3.61,3.61,3.61,7100.0,3.61,GOOG-H
1999-11-04,3.65,3.65,3.65,3.65,1800.0,3.65,GOOG-H
1999-11-05,3.65,3.65,3.65,3.65,2180.0,3.65,GOOG-H
1999-11-08,3.61,3.61,3.41,3.41,9725.0,3.41,GOOG-H
1999-11-09,3.46,3.46,3.46,3.46,4949.0,3.46,GOOG-H
1999-11-12,3.45,3.46,3.39,3.46,21966.0,3.46,GOOG-H
1999-11-16,3.52,3.52,3.41,3.41,8684.0,3.41,GOOG-H
1999-11-17,3.41,3.43,3.41,3.43,15600.0,3.43,GOOG-H
1999-11-19,3.51,3.51,3.51,3.51,20500.0,3.51,GOOG-H
1999-11-23,3.51,3.51,3.51,3.51,4000.0,3.51,GOOG-H
1999-11-24,3.5,3.5,3.5,3.5,4214.0,3.5,GOOG-H
1999-11-26,3.51,3.51,3.5,3.5,16000.0,3.5,GOOG-H
1999-11-29,3.53,3.53,3.53,3.53,8875.0,3.53,GOOG-H
1999-11-30,3.53,3.53,3.53,3.53,100000.0,3.53,GOOG-H
1999-12-02,3.51,3.51,3.51,3.51,7000.0,3.51,GOOG-H
1999-12-03,3.46,3.46,3.45,3.45,10000.0,3.45,GOOG-H
1999-12-06,3.51,3.51,3.51,3.51,205000.0,3.51,GOOG-H
1999-12-07,3.5,3.51,3.5,3.51,20110.0,3.51,GOOG-H
1999-12-08,3.49,3.49,3.4,3.46,13600.0,3.46,GOOG-H
1999-12-09,3.46,3.46,3.41,3.41,181200.0,3.41,GOOG-H
1999-12-10,3.41,3.46,3.41,3.46,11150.0,3.46,GOOG-H
1999-12-13,3.46,3.46,3.37,3.39,43300.0,3.39,GOOG-H
1999-12-14,3.46,3.46,3.46,3.46,287.0,3.46,GOOG-H
1999-12-15,3.46,3.46,3.41,3.41,26000.0,3.41,GOOG-H
1999-12-16,3.39,3.4,3.39,3.4,20510.0,3.4,GOOG-H
1999-12-17,3.49,3.51,3.49,3.49,14260.0,3.49,GOOG-H
1999-12-20,3.49,3.56,3.49,3.56,30944.0,3.56,GOOG-H
1999-12-21,3.58,3.58,3.51,3.55,26400.0,3.55,GOOG-H
1999-12-22,3.55,3.55,3.51,3.51,13100.0,3.51,GOOG-H
1999-12-24,4.14,4.14,3.56,3.56,15808.0,3.56,GOOG-H
1999-12-29,3.57,3.57,3.56,3.56,4870.0,3.56,GOOG-H
1999-12-30,3.41,3.41,3.41,3.41,4000.0,3.41,GOOG-H
2000-01-05,3.47,3.47,3.41,3.46,35830.0,3.46,GOOG-H
2000-01-06,3.46,3.46,3.46,3.46,21000.0,3.46,GOOG-H
2000-01-07,3.45,3.45,3.36,3.36,42430.0,3.36,GOOG-H
2000-01-10,3.36,3.41,3.36,3.41,9180.0,3.41,GOOG-H
2000-01-11,3.4,3.4,3.31,3.31,87352.0,3.31,GOOG-H
2000-01-12,3.36,3.36,3.36,3.36,22787.0,3.36,GOOG-H
2000-01-13,3.41,3.41,3.37,3.37,10000.0,3.37,GOOG-H
2000-01-14,3.37,3.37,3.37,3.37,9050.0,3.37,GOOG-H
2000-01-17,3.36,3.36,3.36,3.36,558.0,3.36,GOOG-H
2000-01-18,3.36,3.36,3.36,3.36,43851.0,3.36,GOOG-H
2000-01-19,3.38,3.38,3.31,3.31,12000.0,3.31,GOOG-H
2000-01-20,3.31,3.31,3.31,3.31,19670.0,3.31,GOOG-H
2000-01-21,3.27,3.27,3.26,3.26,26530.0,3.26,GOOG-H
2000-01-24,3.22,3.26,3.22,3.26,6400.0,3.26,GOOG-H
2000-01-25,3.26,3.31,3.26,3.31,8500.0,3.31,GOOG-H
2000-01-27,3.22,3.22,3.12,3.2,1193180.0,3.2,GOOG-H
2000-01-28,3.12,3.12,3.07,3.07,147350.0,3.07,GOOG-H
2000-01-31,3.07,3.1,3.07,3.1,41454.0,3.1,GOOG-H
2000-02-01,3.17,3.17,3.12,3.12,63560.0,3.12,GOOG-H
2000-02-02,3.12,3.12,3.07,3.07,896270.0,3.07,GOOG-H
2000-02-03,3.12,3.12,3.12,3.12,17200.0,3.12,GOOG-H
2000-02-04,3.12,3.12,3.12,3.12,17000.0,3.12,GOOG-H
2000-02-07,3.12,3.12,3.12,3.12,12800.0,3.12,GOOG-H
2000-02-08,3.07,3.07,3.06,3.06,34376.0,3.06,GOOG-H
2000-02-09,3.02,3.02,3.02,3.02,17400.0,3.02,GOOG-H
2000-02-10,3.04,3.04,3.02,3.02,25000.0,3.02,GOOG-H
2000-02-11,3.04,3.05,3.02,3.05,17975.0,3.05,GOOG-H
2000-02-14,3.05,3.05,3.03,3.03,28100.0,3.03,GOOG-H
2000-02-15,3.03,3.03,3.0,3.0,36755.0,3.0,GOOG-H
2000-02-16,3.02,3.02,2.97,2.97,4730.0,2.97,GOOG-H
2000-02-17,3.0,3.0,2.92,3.0,30200.0,3.0,GOOG-H
2000-02-18,3.0,3.0,2.92,2.97,35589.0,2.97,GOOG-H
2000-02-21,2.97,2.97,2.87,2.92,39700.0,2.92,GOOG-H
2000-02-22,2.92,2.92,2.87,2.92,32730.0,2.92,GOOG-H
