DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2010-12-13,1.45,1.56,1.41,1.56,5615070.0,1.56,GOOG-H
2010-12-14,1.54,1.54,1.46,1.46,2226910.0,1.46,GOOG-H
2010-12-15,1.46,1.5,1.42,1.43,1136063.0,1.43,GOOG-H
2010-12-16,1.44,1.47,1.42,1.46,362979.0,1.46,GOOG-H
2010-12-17,1.47,1.56,1.47,1.54,410905.0,1.54,GOOG-H
2010-12-20,1.54,1.61,1.54,1.56,747490.0,1.56,GOOG-H
2010-12-21,1.59,1.67,1.59,1.61,621153.0,1.61,GOOG-H
2010-12-22,1.68,1.8,1.68,1.74,447175.0,1.74,GOOG-H
2010-12-23,1.74,1.74,1.66,1.68,265327.0,1.68,GOOG-H
2010-12-24,1.68,1.76,1.68,1.76,72613.0,1.76,GOOG-H
2010-12-29,1.76,1.76,1.67,1.71,221359.0,1.71,GOOG-H
2010-12-30,1.69,1.73,1.67,1.68,124669.0,1.68,GOOG-H
2010-12-31,1.69,1.72,1.68,1.71,29052.0,1.71,GOOG-H
2011-01-04,1.72,1.75,1.72,1.74,85504.0,1.74,GOOG-H
2011-01-05,1.74,1.74,1.7,1.7,124945.0,1.7,GOOG-H
2011-01-06,1.71,1.71,1.67,1.71,114535.0,1.71,GOOG-H
2011-01-07,1.7,1.7,1.68,1.68,43244.0,1.68,GOOG-H
2011-01-10,1.69,1.71,1.65,1.65,181816.0,1.65,GOOG-H
2011-01-11,1.66,1.66,1.58,1.58,141927.0,1.58,GOOG-H
2011-01-12,1.58,1.63,1.55,1.6,264490.0,1.6,GOOG-H
2011-01-13,1.6,1.67,1.58,1.67,150257.0,1.67,GOOG-H
2011-01-14,1.66,1.71,1.66,1.71,177687.0,1.71,GOOG-H
2011-01-17,1.69,1.69,1.66,1.69,126031.0,1.69,GOOG-H
2011-01-18,1.7,1.75,1.7,1.71,286822.0,1.71,GOOG-H
2011-01-19,1.71,1.71,1.64,1.71,134741.0,1.71,GOOG-H
2011-01-20,1.71,1.72,1.68,1.68,87520.0,1.68,GOOG-H
2011-01-21,1.68,1.68,1.63,1.66,124415.0,1.66,GOOG-H
2011-01-24,1.66,1.72,1.66,1.71,143391.0,1.71,GOOG-H
2011-01-25,1.73,1.74,1.71,1.71,125282.0,1.71,GOOG-H
2011-01-27,1.71,1.73,1.7,1.71,139228.0,1.71,GOOG-H
2011-01-28,1.7,1.71,1.68,1.69,268072.0,1.69,GOOG-H
2011-01-31,1.67,1.68,1.66,1.66,136830.0,1.66,GOOG-H
2011-02-01,1.66,1.69,1.66,1.69,172468.0,1.69,GOOG-H
2011-02-02,1.68,1.69,1.64,1.64,163117.0,1.64,GOOG-H
2011-02-03,1.65,1.66,1.63,1.66,97541.0,1.66,GOOG-H
2011-02-04,1.66,1.68,1.64,1.64,103265.0,1.64,GOOG-H
2011-02-07,1.64,1.66,1.64,1.65,155712.0,1.65,GOOG-H
2011-02-08,1.65,1.66,1.62,1.62,63801.0,1.62,GOOG-H
2011-02-09,1.62,1.62,1.57,1.61,205713.0,1.61,GOOG-H
2011-02-10,1.61,1.65,1.6,1.61,101502.0,1.61,GOOG-H
2011-02-11,1.61,1.61,1.57,1.57,800763.0,1.57,GOOG-H
2011-02-14,1.6,1.61,1.59,1.61,164517.0,1.61,GOOG-H
2011-02-15,1.61,1.61,1.58,1.58,222420.0,1.58,GOOG-H
2011-02-16,1.61,1.61,1.57,1.57,99785.0,1.57,GOOG-H
2011-02-17,1.59,1.61,1.58,1.59,145891.0,1.59,GOOG-H
2011-02-18,1.59,1.65,1.58,1.61,602812.0,1.61,GOOG-H
2011-02-21,1.61,1.62,1.59,1.61,308270.0,1.61,GOOG-H
2011-02-22,1.59,1.59,1.56,1.56,154708.0,1.56,GOOG-H
2011-02-23,1.56,1.57,1.56,1.57,45400.0,1.57,GOOG-H
2011-02-24,1.6,1.6,1.56,1.56,74136.0,1.56,GOOG-H
2011-02-25,1.56,1.57,1.56,1.56,131351.0,1.56,GOOG-H
2011-02-28,1.56,1.57,1.55,1.56,99678.0,1.56,GOOG-H
2011-03-01,1.56,1.56,1.54,1.56,78212.0,1.56,GOOG-H
