DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-12-17,1.81,1.82,1.72,1.82,1668534,1.82,GOOG-H
2014-12-18,1.84,1.86,1.83,1.86,439475,1.86,GOOG-H
2014-12-19,1.89,1.89,1.87,1.88,53154,1.88,GOOG-H
2014-12-22,1.88,1.88,1.87,1.87,367153,1.87,GOOG-H
2014-12-23,1.88,1.9,1.85,1.87,533376,1.87,GOOG-H
2014-12-24,1.87,1.88,1.82,1.82,2030890,1.82,GOOG-H
2014-12-29,1.82,1.85,1.82,1.85,2095827,1.85,GOOG-H
2014-12-30,1.85,1.87,1.85,1.85,26855,1.85,GOOG-H
2014-12-31,1.92,1.92,1.92,1.92,265,1.92,GOOG-H
2015-01-02,1.96,1.96,1.96,1.96,4581,1.96,GOOG-H
2015-01-05,1.94,1.94,1.92,1.94,602,1.94,GOOG-H
2015-01-06,1.94,1.94,1.85,1.85,12919,1.85,GOOG-H
2015-01-07,1.85,1.85,1.82,1.85,37827,1.85,GOOG-H
2015-01-08,1.85,1.85,1.84,1.85,272644,1.85,GOOG-H
2015-01-09,1.85,1.85,1.83,1.85,203372,1.85,GOOG-H
2015-01-12,1.88,1.88,1.84,1.84,6209,1.84,GOOG-H
2015-01-13,1.85,1.85,1.84,1.84,30850,1.84,GOOG-H
2015-01-14,1.92,1.92,1.86,1.86,606,1.86,GOOG-H
2015-01-15,1.85,1.85,1.85,1.85,3720,1.85,GOOG-H
2015-01-16,1.87,1.87,1.85,1.85,63747,1.85,GOOG-H
2015-01-19,1.85,1.85,1.84,1.85,3791,1.85,GOOG-H
2015-01-20,1.84,1.85,1.82,1.82,1116335,1.82,GOOG-H
2015-01-21,1.85,1.85,1.84,1.85,509853,1.85,GOOG-H
2015-01-22,1.85,1.85,1.84,1.85,2349,1.85,GOOG-H
2015-01-23,1.83,1.85,1.83,1.85,900197,1.85,GOOG-H
2015-01-27,1.88,1.94,1.88,1.89,12326,1.89,GOOG-H
2015-01-28,1.9,1.93,1.89,1.91,106862,1.91,GOOG-H
2015-01-29,1.93,2.01,1.92,1.94,78160,1.94,GOOG-H
2015-01-30,1.96,2.0,1.96,1.96,65280,1.96,GOOG-H
2015-02-02,1.98,2.15,1.98,2.06,304486,2.06,GOOG-H
2015-02-03,2.11,2.11,2.09,2.1,88264,2.1,GOOG-H
2015-02-04,2.1,2.15,2.09,2.14,97470,2.14,GOOG-H
2015-02-05,2.15,2.18,2.15,2.17,101031,2.17,GOOG-H
2015-02-06,2.2,2.23,2.17,2.2,51519,2.2,GOOG-H
2015-02-09,2.22,2.25,2.15,2.19,92055,2.19,GOOG-H
2015-02-10,2.18,2.18,2.15,2.18,2905,2.18,GOOG-H
2015-02-11,2.16,2.2,2.15,2.15,106107,2.15,GOOG-H
2015-02-12,2.15,2.15,2.14,2.15,75498,2.15,GOOG-H
2015-02-13,2.15,2.16,2.15,2.15,24820,2.15,GOOG-H
2015-02-16,2.15,2.15,2.12,2.12,8112,2.12,GOOG-H
2015-02-17,2.15,2.15,2.14,2.14,9793,2.14,GOOG-H
2015-02-18,2.14,2.14,2.12,2.14,13898,2.14,GOOG-H
2015-02-19,2.16,2.17,2.14,2.14,114527,2.14,GOOG-H
2015-02-20,2.14,2.15,2.13,2.13,185314,2.13,GOOG-H
2015-02-23,2.15,2.17,2.13,2.15,160626,2.15,GOOG-H
2015-02-24,2.16,2.29,2.16,2.28,388876,2.28,GOOG-H
2015-02-25,2.29,2.37,2.27,2.27,194998,2.27,GOOG-H
2015-02-26,2.29,2.38,2.29,2.38,101674,2.38,GOOG-H
2015-02-27,2.38,2.38,2.32,2.35,30067,2.35,GOOG-H
2015-03-02,2.36,2.37,2.34,2.35,52188,2.35,GOOG-H
2015-03-03,2.35,2.35,2.32,2.32,14339,2.32,GOOG-H
2015-03-04,2.33,2.35,2.31,2.32,176981,2.32,GOOG-H
2015-03-05,2.32,2.32,2.15,2.25,232563,2.25,GOOG-H
2015-03-06,2.25,2.38,2.25,2.35,282324,2.35,GOOG-H
2015-03-09,2.35,2.35,2.32,2.34,219799,2.34,GOOG-H
2015-03-10,2.34,2.35,2.25,2.35,37757,2.35,GOOG-H
2015-03-11,2.35,2.36,2.34,2.35,123338,2.35,GOOG-H
2015-03-12,2.35,2.35,2.31,2.34,16906,2.34,GOOG-H
2015-03-13,2.34,2.34,2.33,2.34,23794,2.34,GOOG-H
2015-03-16,2.34,2.38,2.3,2.33,107037,2.33,GOOG-H
2015-03-17,2.35,2.35,2.25,2.35,111272,2.35,GOOG-H
2015-03-18,2.31,2.36,2.3,2.36,233469,2.36,GOOG-H
