DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2013-12-18,1.16,1.25,1.13,1.22,45996936.0,1.22,GOOG-H
2013-12-19,1.24,1.25,1.22,1.22,22012036.0,1.22,GOOG-H
2013-12-20,1.24,1.28,1.2,1.2,31584876.0,1.2,GOOG-H
2013-12-23,1.2,1.24,1.18,1.24,6694644.0,1.24,GOOG-H
2013-12-24,1.26,1.27,1.21,1.24,3370165.0,1.24,GOOG-H
2013-12-27,1.24,1.24,1.18,1.2,5529086.0,1.2,GOOG-H
2013-12-30,1.18,1.2,1.15,1.15,14038605.0,1.15,GOOG-H
2013-12-31,1.15,1.17,1.12,1.16,26633296.0,1.16,GOOG-H
2014-01-02,1.16,1.21,1.16,1.18,11281533.0,1.18,GOOG-H
2014-01-03,1.17,1.19,1.17,1.17,25767140.0,1.17,GOOG-H
2014-01-06,1.15,1.16,1.12,1.13,27102028.0,1.13,GOOG-H
2014-01-07,1.13,1.16,1.12,1.15,37240928.0,1.15,GOOG-H
2014-01-08,1.15,1.18,1.14,1.17,27944012.0,1.17,GOOG-H
2014-01-09,1.18,1.31,1.18,1.27,37934612.0,1.27,GOOG-H
2014-01-10,1.25,1.29,1.25,1.27,20098274.0,1.27,GOOG-H
2014-01-13,1.24,1.26,1.23,1.24,10321272.0,1.24,GOOG-H
2014-01-14,1.22,1.28,1.21,1.25,14465706.0,1.25,GOOG-H
2014-01-15,1.26,1.27,1.24,1.25,14244395.0,1.25,GOOG-H
2014-01-16,1.25,1.34,1.25,1.32,9986652.0,1.32,GOOG-H
2014-01-17,1.32,1.4,1.31,1.38,7102042.0,1.38,GOOG-H
2014-01-20,1.35,1.42,1.34,1.34,6934826.0,1.34,GOOG-H
2014-01-21,1.34,1.39,1.31,1.37,10437561.0,1.37,GOOG-H
2014-01-22,1.38,1.39,1.35,1.35,9036885.0,1.35,GOOG-H
2014-01-23,1.33,1.35,1.33,1.34,11586367.0,1.34,GOOG-H
2014-01-24,1.33,1.39,1.33,1.34,9797857.0,1.34,GOOG-H
2014-01-28,1.3,1.35,1.3,1.31,8456318.0,1.31,GOOG-H
2014-01-29,1.34,1.35,1.32,1.32,13471624.0,1.32,GOOG-H
2014-01-30,1.33,1.33,1.31,1.31,11984211.0,1.31,GOOG-H
2014-01-31,1.3,1.32,1.28,1.28,9321770.0,1.28,GOOG-H
2014-02-03,1.28,1.31,1.28,1.29,7726834.0,1.29,GOOG-H
2014-02-04,1.26,1.27,1.25,1.26,5006878.0,1.26,GOOG-H
2014-02-05,1.26,1.29,1.24,1.25,10082174.0,1.25,GOOG-H
2014-02-06,1.24,1.26,1.24,1.25,9283930.0,1.25,GOOG-H
2014-02-07,1.25,1.26,1.24,1.26,5160127.0,1.26,GOOG-H
2014-02-10,1.26,1.29,1.25,1.26,3882167.0,1.26,GOOG-H
2014-02-11,1.26,1.31,1.26,1.31,10400379.0,1.31,GOOG-H
2014-02-12,1.35,1.36,1.31,1.35,10319020.0,1.35,GOOG-H
2014-02-13,1.36,1.38,1.34,1.35,5882333.0,1.35,GOOG-H
2014-02-14,1.33,1.36,1.33,1.35,6546132.0,1.35,GOOG-H
2014-02-17,1.36,1.37,1.35,1.35,10446751.0,1.35,GOOG-H
2014-02-18,1.35,1.37,1.34,1.35,10467867.0,1.35,GOOG-H
2014-02-20,1.34,1.37,1.32,1.37,23856456.0,1.37,GOOG-H
2014-02-21,1.36,1.37,1.3,1.31,7009535.0,1.31,GOOG-H
2014-02-24,1.33,1.35,1.32,1.35,7210616.0,1.35,GOOG-H
2014-02-25,1.33,1.34,1.3,1.31,6475560.0,1.31,GOOG-H
2014-02-26,1.29,1.31,1.29,1.3,10505391.0,1.3,GOOG-H
2014-02-27,1.3,1.3,1.27,1.28,14655908.0,1.28,GOOG-H
2014-02-28,1.28,1.29,1.24,1.28,12250800.0,1.28,GOOG-H
2014-03-03,1.27,1.3,1.27,1.29,6582350.0,1.29,GOOG-H
2014-03-04,1.29,1.29,1.27,1.29,5347545.0,1.29,GOOG-H
2014-03-05,1.3,1.31,1.29,1.3,9197008.0,1.3,GOOG-H
2014-03-06,1.32,1.33,1.3,1.31,4848982.0,1.31,GOOG-H
2014-03-07,1.31,1.31,1.29,1.3,2527515.0,1.3,GOOG-H
2014-03-10,1.3,1.34,1.3,1.32,4971506.0,1.32,GOOG-H
2014-03-11,1.33,1.34,1.33,1.33,5375897.0,1.33,GOOG-H
