DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-12-04,0.27,0.28,0.24,0.24,1313691.0,0.24,GOOG-H
2007-12-05,0.23,0.24,0.23,0.23,551000.0,0.23,GOOG-H
2007-12-06,0.24,0.24,0.23,0.24,718069.0,0.24,GOOG-H
2007-12-07,0.24,0.24,0.23,0.23,577549.0,0.23,GOOG-H
2007-12-10,0.24,0.24,0.22,0.22,200219.0,0.22,GOOG-H
2007-12-11,0.23,0.23,0.23,0.23,23949.0,0.23,GOOG-H
2007-12-13,0.23,0.23,0.23,0.23,308000.0,0.23,GOOG-H
2007-12-14,0.23,0.23,0.22,0.22,409679.0,0.22,GOOG-H
2007-12-17,0.22,0.22,0.22,0.22,25000.0,0.22,GOOG-H
2007-12-18,0.22,0.22,0.21,0.21,138800.0,0.21,GOOG-H
2007-12-19,0.19,0.21,0.19,0.19,179821.0,0.19,GOOG-H
2007-12-20,0.2,0.24,0.2,0.24,44200.0,0.24,GOOG-H
2007-12-21,0.22,0.22,0.22,0.22,65000.0,0.22,GOOG-H
2007-12-27,0.22,0.22,0.22,0.22,10000.0,0.22,GOOG-H
2007-12-28,0.22,0.25,0.22,0.25,54760.0,0.25,GOOG-H
2007-12-31,0.25,0.25,0.24,0.25,72000.0,0.25,GOOG-H
2008-01-02,0.23,0.23,0.23,0.23,80000.0,0.23,GOOG-H
2008-01-04,0.25,0.25,0.25,0.25,20000.0,0.25,GOOG-H
2008-01-07,0.25,0.25,0.24,0.24,120000.0,0.24,GOOG-H
2008-01-08,0.24,0.24,0.24,0.24,37500.0,0.24,GOOG-H
2008-01-10,0.24,0.24,0.24,0.24,34000.0,0.24,GOOG-H
2008-01-11,0.24,0.24,0.23,0.23,69643.0,0.23,GOOG-H
2008-01-14,0.23,0.23,0.23,0.23,357.0,0.23,GOOG-H
2008-01-15,0.24,0.24,0.24,0.24,21400.0,0.24,GOOG-H
2008-01-16,0.24,0.24,0.22,0.22,85858.0,0.22,GOOG-H
2008-01-18,0.22,0.23,0.21,0.21,114000.0,0.21,GOOG-H
2008-01-21,0.21,0.21,0.2,0.2,78500.0,0.2,GOOG-H
2008-01-22,0.19,0.19,0.19,0.19,25000.0,0.19,GOOG-H
2008-01-23,0.19,0.19,0.19,0.19,50000.0,0.19,GOOG-H
2008-01-24,0.19,0.2,0.19,0.2,134300.0,0.2,GOOG-H
2008-01-25,0.2,0.2,0.2,0.2,39330.0,0.2,GOOG-H
2008-01-29,0.2,0.2,0.2,0.2,8370.0,0.2,GOOG-H
2008-01-30,0.2,0.2,0.2,0.2,36630.0,0.2,GOOG-H
2008-02-07,0.2,0.2,0.2,0.2,10000.0,0.2,GOOG-H
2008-02-08,0.19,0.19,0.19,0.19,30000.0,0.19,GOOG-H
2008-02-11,0.19,0.19,0.19,0.19,9370.0,0.19,GOOG-H
2008-02-12,0.19,0.19,0.18,0.18,38630.0,0.18,GOOG-H
2008-02-13,0.18,0.19,0.18,0.19,27000.0,0.19,GOOG-H
2008-02-14,0.18,0.18,0.18,0.18,10000.0,0.18,GOOG-H
2008-02-25,0.17,0.17,0.17,0.17,7242.0,0.17,GOOG-H
2008-02-26,0.17,0.17,0.16,0.16,180000.0,0.16,GOOG-H
2008-02-27,0.18,0.18,0.18,0.18,23000.0,0.18,GOOG-H
2008-02-28,0.18,0.18,0.17,0.17,23000.0,0.17,GOOG-H
2008-02-29,0.18,0.19,0.18,0.19,143370.0,0.19,GOOG-H
2008-03-03,0.18,0.18,0.18,0.18,50000.0,0.18,GOOG-H
2008-03-04,0.18,0.18,0.14,0.14,250000.0,0.14,GOOG-H
2008-03-05,0.15,0.15,0.15,0.15,50000.0,0.15,GOOG-H
2008-03-06,0.16,0.16,0.16,0.16,80000.0,0.16,GOOG-H
2008-03-07,0.16,0.16,0.16,0.16,20000.0,0.16,GOOG-H
2008-03-12,0.18,0.18,0.18,0.18,100000.0,0.18,GOOG-H
2008-03-18,0.16,0.16,0.16,0.16,125000.0,0.16,GOOG-H
2008-03-19,0.15,0.15,0.15,0.15,16000.0,0.15,GOOG-H
2008-03-20,0.15,0.16,0.15,0.16,60000.0,0.16,GOOG-H
2008-03-25,0.15,0.15,0.15,0.15,60000.0,0.15,GOOG-H
2008-03-26,0.15,0.15,0.15,0.15,40000.0,0.15,GOOG-H
2008-03-27,0.15,0.15,0.15,0.15,60000.0,0.15,GOOG-H
2008-03-31,0.15,0.15,0.15,0.15,69200.0,0.15,GOOG-H
2008-04-02,0.15,0.15,0.14,0.14,36300.0,0.14,GOOG-H
2008-04-03,0.14,0.14,0.13,0.13,367500.0,0.13,GOOG-H
2008-04-04,0.13,0.13,0.13,0.13,25000.0,0.13,GOOG-H
2008-04-08,0.13,0.13,0.13,0.13,100000.0,0.13,GOOG-H
2008-04-09,0.13,0.13,0.12,0.12,115000.0,0.12,GOOG-H
2008-04-10,0.13,0.14,0.13,0.14,417500.0,0.14,GOOG-H
2008-04-11,0.16,0.16,0.16,0.16,120000.0,0.16,GOOG-H
2008-04-14,0.17,0.17,0.16,0.16,141257.0,0.16,GOOG-H
2008-04-15,0.14,0.14,0.14,0.14,90000.0,0.14,GOOG-H
2008-04-17,0.14,0.14,0.13,0.14,137000.0,0.14,GOOG-H
2008-04-18,0.14,0.17,0.14,0.17,366000.0,0.17,GOOG-H
2008-04-21,0.17,0.2,0.17,0.2,133146.0,0.2,GOOG-H
2008-04-23,0.22,0.24,0.22,0.23,202600.0,0.23,GOOG-H
2008-04-24,0.23,0.23,0.23,0.23,40000.0,0.23,GOOG-H
2008-04-28,0.21,0.22,0.19,0.19,94000.0,0.19,GOOG-H
2008-04-29,0.19,0.19,0.19,0.19,100354.0,0.19,GOOG-H
2008-04-30,0.19,0.19,0.17,0.19,110646.0,0.19,GOOG-H
2008-05-01,0.19,0.19,0.19,0.19,5000.0,0.19,GOOG-H
2008-05-05,0.2,0.23,0.2,0.23,182084.0,0.23,GOOG-H
2008-05-06,0.23,0.29,0.23,0.27,535406.0,0.27,GOOG-H
2008-05-07,0.28,0.28,0.27,0.28,136470.0,0.28,GOOG-H
2008-05-08,0.26,0.27,0.24,0.25,52240.0,0.25,GOOG-H
2008-05-09,0.27,0.27,0.26,0.26,51113.0,0.26,GOOG-H
2008-05-12,0.25,0.25,0.24,0.24,100176.0,0.24,GOOG-H
2008-05-13,0.24,0.24,0.23,0.23,106884.0,0.23,GOOG-H
2008-05-14,0.24,0.24,0.23,0.24,133277.0,0.24,GOOG-H
2008-05-15,0.24,0.24,0.24,0.24,93000.0,0.24,GOOG-H
2008-05-16,0.22,0.22,0.22,0.22,47844.0,0.22,GOOG-H
2008-05-19,0.22,0.22,0.22,0.22,6700.0,0.22,GOOG-H
2008-05-21,0.22,0.22,0.22,0.22,3000.0,0.22,GOOG-H
2008-05-22,0.23,0.23,0.23,0.23,6000.0,0.23,GOOG-H
2008-05-23,0.23,0.23,0.23,0.23,20000.0,0.23,GOOG-H
2008-05-27,0.22,0.22,0.22,0.22,32456.0,0.22,GOOG-H
2008-05-30,0.22,0.23,0.22,0.23,23000.0,0.23,GOOG-H
2008-06-02,0.23,0.23,0.23,0.23,2000.0,0.23,GOOG-H
2008-06-03,0.23,0.23,0.23,0.23,16000.0,0.23,GOOG-H
2008-06-04,0.23,0.23,0.22,0.22,85300.0,0.22,GOOG-H
2008-06-05,0.22,0.22,0.22,0.22,7500.0,0.22,GOOG-H
2008-06-06,0.2,0.2,0.2,0.2,2500.0,0.2,GOOG-H
2008-06-10,0.21,0.23,0.21,0.23,37000.0,0.23,GOOG-H
2008-06-11,0.22,0.22,0.2,0.2,203500.0,0.2,GOOG-H
2008-06-12,0.2,0.22,0.2,0.22,30000.0,0.22,GOOG-H
2008-06-13,0.2,0.2,0.2,0.2,38000.0,0.2,GOOG-H
2008-06-16,0.21,0.23,0.21,0.23,218544.0,0.23,GOOG-H
2008-06-17,0.22,0.22,0.21,0.22,131456.0,0.22,GOOG-H
2008-06-19,0.22,0.31,0.22,0.26,1492394.0,0.26,GOOG-H
2008-06-20,0.27,0.27,0.27,0.27,355714.0,0.27,GOOG-H
2008-06-23,0.25,0.31,0.25,0.31,547748.0,0.31,GOOG-H
2008-06-24,0.34,0.37,0.33,0.36,1255000.0,0.36,GOOG-H
2008-06-25,0.36,0.36,0.33,0.33,211500.0,0.33,GOOG-H
2008-06-26,0.35,0.38,0.35,0.36,356270.0,0.36,GOOG-H
2008-06-27,0.37,0.41,0.36,0.4,524005.0,0.4,GOOG-H
2008-06-30,0.42,0.47,0.4,0.46,726759.0,0.46,GOOG-H
2008-07-01,0.46,0.46,0.41,0.42,561485.0,0.42,GOOG-H
2008-07-02,0.43,0.43,0.41,0.41,137500.0,0.41,GOOG-H
2008-07-03,0.41,0.41,0.36,0.39,302000.0,0.39,GOOG-H
2008-07-04,0.39,0.39,0.39,0.39,12500.0,0.39,GOOG-H
2008-07-07,0.39,0.41,0.38,0.38,97100.0,0.38,GOOG-H
2008-07-08,0.38,0.39,0.36,0.39,117300.0,0.39,GOOG-H
2008-07-09,0.38,0.38,0.35,0.37,188000.0,0.37,GOOG-H
2008-07-10,0.38,0.38,0.35,0.35,158500.0,0.35,GOOG-H
2008-07-11,0.35,0.38,0.34,0.38,113000.0,0.38,GOOG-H
2008-07-14,0.38,0.38,0.36,0.36,47499.0,0.36,GOOG-H
2008-07-15,0.36,0.36,0.35,0.35,24500.0,0.35,GOOG-H
2008-07-16,0.34,0.39,0.31,0.39,264533.0,0.39,GOOG-H
2008-07-17,0.35,0.35,0.33,0.33,16000.0,0.33,GOOG-H
2008-07-21,0.33,0.33,0.33,0.33,500.0,0.33,GOOG-H
2008-07-24,0.33,0.33,0.31,0.31,13000.0,0.31,GOOG-H
2008-07-25,0.32,0.33,0.32,0.33,50000.0,0.33,GOOG-H
2008-07-28,0.33,0.33,0.33,0.33,22000.0,0.33,GOOG-H
2008-07-29,0.31,0.32,0.28,0.32,205000.0,0.32,GOOG-H
2008-07-30,0.3,0.3,0.3,0.3,15000.0,0.3,GOOG-H
2008-07-31,0.32,0.32,0.32,0.32,85300.0,0.32,GOOG-H
2008-08-01,0.31,0.31,0.29,0.31,67000.0,0.31,GOOG-H
2008-08-04,0.29,0.29,0.28,0.28,120000.0,0.28,GOOG-H
2008-08-05,0.28,0.28,0.28,0.28,60000.0,0.28,GOOG-H
2008-08-06,0.28,0.28,0.28,0.28,7500.0,0.28,GOOG-H
2008-08-08,0.28,0.28,0.26,0.28,45000.0,0.28,GOOG-H
2008-08-11,0.24,0.26,0.23,0.23,300298.0,0.23,GOOG-H
2008-08-12,0.21,0.21,0.19,0.21,68700.0,0.21,GOOG-H
2008-08-13,0.23,0.24,0.23,0.24,10000.0,0.24,GOOG-H
2008-08-14,0.24,0.25,0.24,0.25,26000.0,0.25,GOOG-H
2008-08-15,0.25,0.27,0.25,0.26,114000.0,0.26,GOOG-H
2008-08-18,0.26,0.27,0.26,0.27,93000.0,0.27,GOOG-H
2008-08-19,0.24,0.24,0.24,0.24,199000.0,0.24,GOOG-H
2008-08-20,0.25,0.25,0.24,0.24,15000.0,0.24,GOOG-H
2008-08-21,0.26,0.26,0.24,0.24,106555.0,0.24,GOOG-H
2008-08-22,0.24,0.24,0.24,0.24,37000.0,0.24,GOOG-H
2008-08-25,0.23,0.23,0.22,0.22,84500.0,0.22,GOOG-H
2008-08-26,0.24,0.24,0.24,0.24,24500.0,0.24,GOOG-H
2008-08-27,0.24,0.24,0.21,0.21,285500.0,0.21,GOOG-H
2008-08-29,0.25,0.25,0.25,0.25,30000.0,0.25,GOOG-H
2008-09-02,0.25,0.28,0.25,0.28,119000.0,0.28,GOOG-H
2008-09-03,0.27,0.27,0.26,0.26,55000.0,0.26,GOOG-H
2008-09-04,0.26,0.26,0.24,0.24,8765.0,0.24,GOOG-H
2008-09-05,0.24,0.24,0.24,0.24,12900.0,0.24,GOOG-H
2008-09-09,0.26,0.26,0.25,0.25,68000.0,0.25,GOOG-H
2008-09-10,0.25,0.25,0.25,0.25,30000.0,0.25,GOOG-H
2008-09-11,0.25,0.25,0.22,0.22,202300.0,0.22,GOOG-H
2008-09-12,0.23,0.23,0.23,0.23,90000.0,0.23,GOOG-H
2008-09-15,0.24,0.24,0.23,0.23,70000.0,0.23,GOOG-H
2008-09-16,0.23,0.23,0.22,0.22,29998.0,0.22,GOOG-H
2008-09-17,0.24,0.24,0.21,0.22,205363.0,0.22,GOOG-H
2008-09-18,0.22,0.25,0.21,0.25,317919.0,0.25,GOOG-H
2008-09-19,0.25,0.28,0.25,0.28,120000.0,0.28,GOOG-H
2008-09-25,0.28,0.32,0.28,0.32,141895.0,0.32,GOOG-H
2008-09-26,0.3,0.32,0.29,0.32,75555.0,0.32,GOOG-H
