DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-02-22,1.64,1.64,1.63,1.63,1609031.0,1.63,GOOG-H
1999-02-23,1.66,1.66,1.63,1.63,1077371.0,1.63,GOOG-H
1999-02-24,1.65,1.65,1.63,1.64,1076134.0,1.64,GOOG-H
1999-02-25,1.64,1.64,1.61,1.62,1764523.0,1.62,GOOG-H
1999-02-26,1.63,1.63,1.61,1.62,3316225.0,1.62,GOOG-H
1999-03-01,1.64,1.64,1.61,1.63,1480620.0,1.63,GOOG-H
1999-03-02,1.63,1.63,1.62,1.63,1017730.0,1.63,GOOG-H
1999-03-03,1.64,1.64,1.61,1.62,2588745.0,1.62,GOOG-H
1999-03-04,1.63,1.63,1.61,1.63,2149841.0,1.63,GOOG-H
1999-03-05,1.64,1.64,1.62,1.63,983569.0,1.63,GOOG-H
1999-03-08,1.64,1.64,1.63,1.63,1628652.0,1.63,GOOG-H
1999-03-09,1.64,1.64,1.61,1.62,1836496.0,1.62,GOOG-H
1999-03-10,1.63,1.63,1.62,1.63,2374550.0,1.63,GOOG-H
1999-03-11,1.63,1.63,1.61,1.61,3007480.0,1.61,GOOG-H
1999-03-12,1.62,1.62,1.61,1.61,1747474.0,1.61,GOOG-H
1999-03-15,1.65,1.65,1.61,1.63,2566726.0,1.63,GOOG-H
1999-03-16,1.65,1.65,1.62,1.63,2152786.0,1.63,GOOG-H
1999-03-17,1.65,1.65,1.63,1.64,3505074.0,1.64,GOOG-H
1999-03-18,1.68,1.68,1.68,1.68,7000.0,1.68,GOOG-H
1999-03-19,1.64,1.64,1.62,1.63,6798183.0,1.63,GOOG-H
1999-03-22,1.63,1.63,1.61,1.61,4489372.0,1.61,GOOG-H
1999-03-23,1.63,1.63,1.61,1.61,4585116.0,1.61,GOOG-H
1999-03-24,1.62,1.62,1.6,1.61,4335738.0,1.61,GOOG-H
1999-03-26,1.64,1.64,1.63,1.63,5968758.0,1.63,GOOG-H
1999-03-29,1.64,1.64,1.62,1.63,4912771.0,1.63,GOOG-H
1999-03-30,1.66,1.66,1.64,1.65,3843569.0,1.65,GOOG-H
1999-03-31,1.64,1.64,1.59,1.59,1770818.0,1.59,GOOG-H
1999-04-01,1.61,1.61,1.59,1.6,797365.0,1.6,GOOG-H
1999-04-06,1.62,1.62,1.59,1.6,975134.0,1.6,GOOG-H
1999-04-07,1.63,1.63,1.59,1.62,1111606.0,1.62,GOOG-H
1999-04-08,1.63,1.63,1.6,1.61,2693867.0,1.61,GOOG-H
1999-04-09,1.61,1.61,1.6,1.61,3140274.0,1.61,GOOG-H
1999-04-12,1.6,1.6,1.56,1.57,1935157.0,1.57,GOOG-H
1999-04-13,1.59,1.59,1.56,1.56,3265733.0,1.56,GOOG-H
1999-04-14,1.59,1.59,1.54,1.59,5706767.0,1.59,GOOG-H
1999-04-15,1.62,1.62,1.59,1.61,3776495.0,1.61,GOOG-H
1999-04-16,1.63,1.63,1.6,1.63,4281656.0,1.63,GOOG-H
1999-04-19,1.66,1.66,1.63,1.65,6546102.0,1.65,GOOG-H
1999-04-20,1.7,1.7,1.64,1.67,3440631.0,1.67,GOOG-H
1999-04-21,1.72,1.72,1.66,1.71,3601154.0,1.71,GOOG-H
1999-04-22,1.77,1.77,1.72,1.72,3448889.0,1.72,GOOG-H
1999-04-23,1.74,1.74,1.7,1.72,2295273.0,1.72,GOOG-H
1999-04-26,1.72,1.72,1.7,1.7,1824102.0,1.7,GOOG-H
1999-04-27,1.72,1.72,1.7,1.7,3462690.0,1.7,GOOG-H
1999-04-28,1.72,1.72,1.66,1.66,2701592.0,1.66,GOOG-H
1999-04-29,1.69,1.69,1.66,1.69,4539691.0,1.69,GOOG-H
1999-04-30,1.73,1.73,1.69,1.72,2489727.0,1.72,GOOG-H
1999-05-03,1.76,1.76,1.72,1.76,3092740.0,1.76,GOOG-H
1999-05-04,1.82,1.82,1.78,1.82,7164829.0,1.82,GOOG-H
1999-05-05,1.83,1.83,1.79,1.83,5366536.0,1.83,GOOG-H
1999-05-06,1.83,1.83,1.8,1.82,3563383.0,1.82,GOOG-H
1999-05-07,1.91,1.91,1.79,1.89,5467339.0,1.89,GOOG-H
1999-05-10,1.91,1.91,1.86,1.88,6160255.0,1.88,GOOG-H
1999-05-11,1.87,1.87,1.79,1.84,3152800.0,1.84,GOOG-H
1999-05-12,1.93,1.93,1.83,1.92,5025861.0,1.92,GOOG-H
1999-05-13,1.91,1.91,1.86,1.9,2077331.0,1.9,GOOG-H
1999-05-14,1.91,1.91,1.81,1.87,4195640.0,1.87,GOOG-H
