DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,7.61,7.61,7.38,7.4,431044.0,7.4,GOOG-H
1999-01-05,7.46,7.46,7.33,7.43,878181.0,7.43,GOOG-H
1999-01-06,7.47,7.47,7.41,7.43,598915.0,7.43,GOOG-H
1999-01-07,7.54,7.54,7.43,7.52,770267.0,7.52,GOOG-H
1999-01-08,7.5,7.5,7.36,7.4,618334.0,7.4,GOOG-H
1999-01-11,7.45,7.45,7.3,7.35,462080.0,7.35,GOOG-H
1999-01-12,7.47,7.47,7.36,7.4,467910.0,7.4,GOOG-H
1999-01-13,7.54,7.54,7.3,7.54,496161.0,7.54,GOOG-H
1999-01-14,7.48,7.48,7.41,7.45,724155.0,7.45,GOOG-H
1999-01-15,7.44,7.44,7.32,7.35,215281.0,7.35,GOOG-H
1999-01-18,7.44,7.44,7.33,7.33,132515.0,7.33,GOOG-H
1999-01-19,7.34,7.34,7.25,7.3,680630.0,7.3,GOOG-H
1999-01-20,7.33,7.33,7.23,7.32,532421.0,7.32,GOOG-H
1999-01-21,7.32,7.32,7.19,7.19,760531.0,7.19,GOOG-H
1999-01-22,7.22,7.22,7.11,7.21,394450.0,7.21,GOOG-H
1999-01-25,7.22,7.22,7.1,7.18,357417.0,7.18,GOOG-H
1999-01-27,7.23,7.23,7.11,7.18,466654.0,7.18,GOOG-H
1999-01-28,7.23,7.23,7.16,7.2,547880.0,7.2,GOOG-H
1999-01-29,7.23,7.23,7.12,7.12,496229.0,7.12,GOOG-H
1999-02-01,7.21,7.21,7.12,7.14,389439.0,7.14,GOOG-H
1999-02-02,7.18,7.18,7.05,7.05,438074.0,7.05,GOOG-H
1999-02-03,7.19,7.19,7.07,7.14,391339.0,7.14,GOOG-H
1999-02-04,7.31,7.31,7.16,7.27,427015.0,7.27,GOOG-H
1999-02-05,7.31,7.31,7.1,7.11,568128.0,7.11,GOOG-H
1999-02-08,7.27,7.27,7.11,7.26,744630.0,7.26,GOOG-H
1999-02-09,7.48,7.48,7.3,7.4,928866.0,7.4,GOOG-H
1999-02-10,7.37,7.37,7.17,7.17,1028634.0,7.17,GOOG-H
1999-02-11,7.54,7.54,7.22,7.41,1424736.0,7.41,GOOG-H
1999-02-12,7.89,7.89,7.62,7.75,1568580.0,7.75,GOOG-H
