DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,1.58,1.68,1.58,1.58,362261.0,1.58,GOOG-H
1999-01-05,1.5,1.6,1.49,1.5,988024.0,1.5,GOOG-H
1999-01-06,1.54,1.54,1.48,1.48,1209571.0,1.48,GOOG-H
1999-01-07,1.48,1.56,1.48,1.48,744117.0,1.48,GOOG-H
1999-01-08,1.52,1.52,1.48,1.49,431797.0,1.49,GOOG-H
1999-01-11,1.52,1.52,1.49,1.49,239920.0,1.49,GOOG-H
1999-01-12,1.64,1.64,1.5,1.64,1173587.0,1.64,GOOG-H
1999-01-13,1.75,1.75,1.6,1.74,1612662.0,1.74,GOOG-H
1999-01-14,1.77,1.77,1.64,1.77,828510.0,1.77,GOOG-H
1999-01-15,1.88,1.88,1.79,1.8,3880461.0,1.8,GOOG-H
1999-01-18,1.86,1.86,1.76,1.8,1589246.0,1.8,GOOG-H
1999-01-19,1.8,1.8,1.73,1.75,4899118.0,1.75,GOOG-H
1999-01-20,1.75,1.75,1.7,1.7,2213796.0,1.7,GOOG-H
1999-01-21,1.61,1.71,1.61,1.61,1857995.0,1.61,GOOG-H
1999-01-22,1.63,1.63,1.54,1.55,1574334.0,1.55,GOOG-H
1999-01-25,1.57,1.57,1.54,1.55,1116379.0,1.55,GOOG-H
1999-01-27,1.68,1.68,1.63,1.65,3231511.0,1.65,GOOG-H
1999-01-28,1.67,1.67,1.62,1.66,1629191.0,1.66,GOOG-H
1999-01-29,1.73,1.73,1.69,1.73,6801904.0,1.73,GOOG-H
1999-02-01,1.8,1.8,1.72,1.75,7409388.0,1.75,GOOG-H
1999-02-02,1.76,1.76,1.72,1.73,3518416.0,1.73,GOOG-H
1999-02-03,1.72,1.72,1.63,1.66,478985.0,1.66,GOOG-H
1999-02-04,1.68,1.68,1.65,1.66,259413.0,1.66,GOOG-H
1999-02-05,1.66,1.66,1.6,1.61,677134.0,1.61,GOOG-H
1999-02-08,1.65,1.65,1.61,1.65,435930.0,1.65,GOOG-H
1999-02-09,1.65,1.65,1.62,1.62,599040.0,1.62,GOOG-H
1999-02-10,1.48,1.58,1.48,1.48,2037555.0,1.48,GOOG-H
1999-02-11,1.54,1.54,1.5,1.5,1506069.0,1.5,GOOG-H
1999-02-12,1.52,1.52,1.51,1.52,719572.0,1.52,GOOG-H
1999-02-15,1.53,1.53,1.47,1.47,769983.0,1.47,GOOG-H
1999-02-16,1.47,1.47,1.42,1.42,970369.0,1.42,GOOG-H
1999-02-17,1.43,1.43,1.36,1.36,1297227.0,1.36,GOOG-H
1999-02-18,1.41,1.41,1.35,1.39,1088556.0,1.39,GOOG-H
1999-02-19,1.5,1.5,1.44,1.45,2204094.0,1.45,GOOG-H
1999-02-22,1.49,1.49,1.45,1.49,1563687.0,1.49,GOOG-H
1999-02-23,1.42,1.52,1.41,1.42,1462739.0,1.42,GOOG-H
1999-02-24,1.48,1.48,1.39,1.46,2567171.0,1.46,GOOG-H
1999-02-25,1.43,1.51,1.4,1.43,3030552.0,1.43,GOOG-H
1999-02-26,1.44,1.44,1.39,1.43,1115846.0,1.43,GOOG-H
1999-03-01,1.44,1.44,1.4,1.42,488535.0,1.42,GOOG-H
1999-03-02,1.44,1.44,1.42,1.42,1414724.0,1.42,GOOG-H
1999-03-03,1.43,1.43,1.37,1.37,1077945.0,1.37,GOOG-H
1999-03-04,1.4,1.4,1.32,1.38,1509381.0,1.38,GOOG-H
1999-03-05,1.4,1.4,1.37,1.38,1170164.0,1.38,GOOG-H
1999-03-08,1.43,1.43,1.39,1.42,875646.0,1.42,GOOG-H
1999-03-09,1.44,1.44,1.41,1.41,1618759.0,1.41,GOOG-H
1999-03-10,1.44,1.44,1.39,1.44,3493489.0,1.44,GOOG-H
1999-03-11,1.58,1.58,1.48,1.54,6565884.0,1.54,GOOG-H
1999-03-12,1.61,1.61,1.57,1.59,3187795.0,1.59,GOOG-H
1999-03-15,1.68,1.68,1.62,1.67,2509869.0,1.67,GOOG-H
1999-03-16,1.68,1.68,1.56,1.61,1312945.0,1.61,GOOG-H
1999-03-17,1.6,1.6,1.55,1.58,473403.0,1.58,GOOG-H
1999-03-18,1.64,1.64,1.59,1.6,1290198.0,1.6,GOOG-H
