DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-11-21,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-22,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-23,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-26,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-27,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-28,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-29,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-11-30,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-03,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-04,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-05,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-06,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-07,5.68,5.68,5.68,5.68,53100000,5.68,GOOG-H
2007-12-10,4.94,5.0,4.91,4.95,3004953,4.95,GOOG-H
2007-12-11,4.97,5.0,4.95,4.97,1928989,4.97,GOOG-H
2007-12-12,4.94,4.96,4.91,4.95,888714,4.95,GOOG-H
2007-12-13,4.94,4.98,4.93,4.95,288310,4.95,GOOG-H
2007-12-14,4.95,4.97,4.94,4.96,238531,4.96,GOOG-H
2007-12-17,4.95,4.95,4.71,4.74,481760,4.74,GOOG-H
2007-12-18,4.81,4.81,4.72,4.74,293581,4.74,GOOG-H
2007-12-19,4.79,4.85,4.73,4.76,254424,4.76,GOOG-H
2007-12-20,4.78,4.86,4.78,4.81,160766,4.81,GOOG-H
2007-12-21,4.81,4.84,4.76,4.81,584533,4.81,GOOG-H
2007-12-24,4.84,4.85,4.76,4.76,38993,4.76,GOOG-H
2007-12-27,4.81,4.85,4.76,4.85,124814,4.85,GOOG-H
2007-12-28,4.81,4.88,4.81,4.86,45905,4.86,GOOG-H
