DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2013-12-17,3.47,3.59,3.29,3.29,19457704.0,3.29,GOOG-H
2013-12-18,3.35,3.38,3.08,3.17,8334507.0,3.17,GOOG-H
2013-12-19,3.27,3.29,3.2,3.27,5617349.0,3.27,GOOG-H
2013-12-20,3.28,3.38,3.28,3.34,1430869.0,3.34,GOOG-H
2013-12-23,3.35,3.42,3.25,3.32,1104731.0,3.32,GOOG-H
2013-12-24,3.29,3.34,3.25,3.32,500303.0,3.32,GOOG-H
2013-12-27,3.3,3.31,3.23,3.27,1518233.0,3.27,GOOG-H
2013-12-30,3.27,3.28,3.23,3.27,1283841.0,3.27,GOOG-H
2013-12-31,3.28,3.28,3.25,3.25,241359.0,3.25,GOOG-H
2014-01-02,3.25,3.38,3.25,3.28,852855.0,3.28,GOOG-H
2014-01-03,3.27,3.27,3.23,3.26,174227.0,3.26,GOOG-H
2014-01-06,3.29,3.3,3.24,3.25,277039.0,3.25,GOOG-H
2014-01-07,3.26,3.32,3.25,3.27,587480.0,3.27,GOOG-H
2014-01-08,3.28,3.35,3.28,3.32,249690.0,3.32,GOOG-H
2014-01-09,3.28,3.4,3.28,3.37,314056.0,3.37,GOOG-H
2014-01-10,3.38,3.49,3.35,3.42,1335123.0,3.42,GOOG-H
2014-01-13,3.42,3.46,3.38,3.41,112223.0,3.41,GOOG-H
2014-01-14,3.38,3.48,3.38,3.44,378892.0,3.44,GOOG-H
2014-01-15,3.42,3.45,3.38,3.4,213391.0,3.4,GOOG-H
2014-01-16,3.38,3.42,3.35,3.37,862928.0,3.37,GOOG-H
2014-01-17,3.37,3.37,3.33,3.33,60873.0,3.33,GOOG-H
2014-01-20,3.32,3.32,3.25,3.29,362857.0,3.29,GOOG-H
2014-01-21,3.32,3.39,3.32,3.35,291909.0,3.35,GOOG-H
2014-01-22,3.39,3.46,3.36,3.41,1260011.0,3.41,GOOG-H
2014-01-23,3.41,3.46,3.41,3.43,326703.0,3.43,GOOG-H
2014-01-24,3.46,3.47,3.38,3.41,775626.0,3.41,GOOG-H
2014-01-28,3.42,3.45,3.37,3.37,897278.0,3.37,GOOG-H
2014-01-29,3.42,3.49,3.41,3.42,1817349.0,3.42,GOOG-H
2014-01-30,3.42,3.47,3.42,3.43,346448.0,3.43,GOOG-H
2014-01-31,3.45,3.45,3.42,3.44,800406.0,3.44,GOOG-H
2014-02-03,3.44,3.45,3.42,3.44,503912.0,3.44,GOOG-H
2014-02-04,3.42,3.47,3.38,3.42,645779.0,3.42,GOOG-H
2014-02-05,3.5,3.57,3.42,3.42,826044.0,3.42,GOOG-H
2014-02-06,3.47,3.47,3.42,3.42,278657.0,3.42,GOOG-H
2014-02-07,3.47,3.5,3.38,3.38,204594.0,3.38,GOOG-H
2014-02-10,3.45,3.48,3.39,3.39,497449.0,3.39,GOOG-H
2014-02-11,3.47,3.49,3.39,3.42,2573469.0,3.42,GOOG-H
2014-02-12,3.46,3.5,3.44,3.47,723297.0,3.47,GOOG-H
2014-02-13,3.47,3.47,3.43,3.43,612069.0,3.43,GOOG-H
2014-02-14,3.47,3.47,3.42,3.42,3387701.0,3.42,GOOG-H
2014-02-17,3.47,3.47,3.45,3.46,133690.0,3.46,GOOG-H
2014-02-18,3.46,3.47,3.44,3.46,374830.0,3.46,GOOG-H
2014-02-20,3.46,3.51,3.44,3.5,635565.0,3.5,GOOG-H
2014-02-21,3.5,3.56,3.47,3.56,525851.0,3.56,GOOG-H
2014-02-24,3.56,3.56,3.52,3.54,253746.0,3.54,GOOG-H
2014-02-25,3.52,3.55,3.46,3.53,682277.0,3.53,GOOG-H
2014-02-26,3.5,3.5,3.32,3.37,3350454.0,3.37,GOOG-H
2014-02-27,3.42,3.45,3.32,3.35,1176054.0,3.35,GOOG-H
2014-02-28,3.33,3.33,3.19,3.2,2730993.0,3.2,GOOG-H
2014-03-03,3.18,3.19,3.07,3.09,2848473.0,3.09,GOOG-H
2014-03-04,3.15,3.25,3.15,3.21,1864611.0,3.21,GOOG-H
2014-03-05,3.27,3.36,3.27,3.34,1640426.0,3.34,GOOG-H
2014-03-06,3.34,3.35,3.28,3.3,944766.0,3.3,GOOG-H
2014-03-07,3.37,3.37,3.28,3.32,991780.0,3.32,GOOG-H
2014-03-10,3.32,3.37,3.32,3.34,436887.0,3.34,GOOG-H
2014-03-11,3.35,3.36,3.3,3.3,987734.0,3.3,GOOG-H
2014-03-12,3.36,3.36,3.31,3.32,571392.0,3.32,GOOG-H
2014-03-13,3.31,3.33,3.29,3.29,592951.0,3.29,GOOG-H
2014-03-14,3.29,3.37,3.29,3.37,790133.0,3.37,GOOG-H
2014-03-17,3.38,3.41,3.32,3.37,385010.0,3.37,GOOG-H
2014-03-18,3.37,3.41,3.35,3.4,885293.0,3.4,GOOG-H
2014-03-19,3.37,3.38,3.29,3.33,729406.0,3.33,GOOG-H
2014-03-20,3.37,3.41,3.33,3.37,1602981.0,3.37,GOOG-H
2014-03-21,3.39,3.42,3.33,3.37,10261567.0,3.37,GOOG-H
2014-03-24,3.36,3.43,3.36,3.43,491664.0,3.43,GOOG-H
2014-03-25,3.37,3.44,3.33,3.44,524164.0,3.44,GOOG-H
2014-03-26,3.44,3.49,3.41,3.47,549332.0,3.47,GOOG-H
2014-03-27,3.44,3.52,3.43,3.5,920473.0,3.5,GOOG-H
2014-03-28,3.46,3.5,3.44,3.47,666561.0,3.47,GOOG-H
2014-03-31,3.44,3.44,3.37,3.41,739179.0,3.41,GOOG-H
2014-04-01,3.38,3.43,3.38,3.41,533939.0,3.41,GOOG-H
2014-04-02,3.42,3.46,3.4,3.44,498204.0,3.44,GOOG-H
2014-04-03,3.44,3.46,3.39,3.41,393308.0,3.41,GOOG-H
2014-04-04,3.4,3.44,3.38,3.38,262251.0,3.38,GOOG-H
2014-04-07,3.37,3.46,3.37,3.44,879623.0,3.44,GOOG-H
2014-04-08,3.42,3.47,3.41,3.43,449099.0,3.43,GOOG-H
2014-04-09,3.44,3.49,3.42,3.45,634154.0,3.45,GOOG-H
2014-04-10,3.47,3.47,3.43,3.44,437987.0,3.44,GOOG-H
2014-04-11,3.4,3.43,3.37,3.41,1983471.0,3.41,GOOG-H
2014-04-14,3.39,3.43,3.39,3.41,1970931.0,3.41,GOOG-H
2014-04-15,3.39,3.4,3.35,3.36,748799.0,3.36,GOOG-H
2014-04-16,3.36,3.38,3.34,3.36,181962.0,3.36,GOOG-H
2014-04-17,3.39,3.39,3.3,3.32,349666.0,3.32,GOOG-H
2014-04-22,3.37,3.38,3.34,3.38,211594.0,3.38,GOOG-H
2014-04-23,3.38,3.39,3.31,3.35,539063.0,3.35,GOOG-H
2014-04-24,3.31,3.38,3.31,3.37,371311.0,3.37,GOOG-H
2014-04-28,3.35,3.42,3.35,3.38,318312.0,3.38,GOOG-H
2014-04-29,3.39,3.41,3.31,3.34,499270.0,3.34,GOOG-H
2014-04-30,3.38,3.39,3.31,3.35,864582.0,3.35,GOOG-H
2014-05-01,3.36,3.36,3.26,3.28,203728.0,3.28,GOOG-H
2014-05-02,3.28,3.32,3.25,3.28,178279.0,3.28,GOOG-H
2014-05-05,3.3,3.37,3.29,3.37,215059.0,3.37,GOOG-H
2014-05-06,3.37,3.41,3.37,3.4,334997.0,3.4,GOOG-H
2014-05-07,3.38,3.41,3.38,3.39,369960.0,3.39,GOOG-H
2014-05-08,3.4,3.4,3.3,3.36,289469.0,3.36,GOOG-H
2014-05-09,3.34,3.34,3.3,3.33,406383.0,3.33,GOOG-H
2014-05-12,3.32,3.34,3.29,3.31,398591.0,3.31,GOOG-H
2014-05-13,3.31,3.33,3.26,3.29,1693961.0,3.29,GOOG-H
2014-05-14,3.3,3.34,3.27,3.3,383982.0,3.3,GOOG-H
2014-05-15,3.37,3.37,3.29,3.37,676905.0,3.37,GOOG-H
2014-05-16,3.32,3.37,3.32,3.33,96156.0,3.33,GOOG-H
2014-05-19,3.33,3.35,3.29,3.33,465139.0,3.33,GOOG-H
2014-05-20,3.33,3.37,3.3,3.33,203953.0,3.33,GOOG-H
2014-05-21,3.31,3.35,3.28,3.35,557023.0,3.35,GOOG-H
2014-05-22,3.35,3.39,3.34,3.37,441497.0,3.37,GOOG-H
2014-05-23,3.37,3.39,3.33,3.35,612138.0,3.35,GOOG-H
2014-05-26,3.37,3.38,3.35,3.35,641725.0,3.35,GOOG-H
2014-05-27,3.36,3.37,3.34,3.36,311814.0,3.36,GOOG-H
2014-05-28,3.36,3.41,3.36,3.4,520094.0,3.4,GOOG-H
2014-05-29,3.39,3.39,3.35,3.37,310342.0,3.37,GOOG-H
2014-05-30,3.38,3.45,3.34,3.34,5262392.0,3.34,GOOG-H
2014-06-02,3.37,3.37,3.28,3.33,830353.0,3.33,GOOG-H
2014-06-03,3.32,3.35,3.28,3.33,939300.0,3.33,GOOG-H
2014-06-04,3.33,3.38,3.29,3.33,588588.0,3.33,GOOG-H
2014-06-05,3.32,3.34,3.28,3.33,418855.0,3.33,GOOG-H
2014-06-06,3.32,3.37,3.29,3.37,956863.0,3.37,GOOG-H
2014-06-10,3.4,3.4,3.34,3.38,387725.0,3.38,GOOG-H
2014-06-11,3.36,3.41,3.33,3.38,803346.0,3.38,GOOG-H
2014-06-12,3.37,3.42,3.37,3.41,634412.0,3.41,GOOG-H
2014-06-13,3.4,3.41,3.37,3.37,555181.0,3.37,GOOG-H
2014-06-16,3.36,3.38,3.35,3.37,549687.0,3.37,GOOG-H
2014-06-17,3.37,3.39,3.34,3.39,814619.0,3.39,GOOG-H
2014-06-18,3.38,3.44,3.38,3.41,1471475.0,3.41,GOOG-H
2014-06-19,3.42,3.47,3.42,3.47,1210408.0,3.47,GOOG-H
2014-06-20,3.5,3.54,3.48,3.53,2679069.0,3.53,GOOG-H
2014-06-23,3.51,3.56,3.43,3.48,1282355.0,3.48,GOOG-H
2014-06-24,3.49,3.5,3.44,3.47,397230.0,3.47,GOOG-H
2014-06-25,3.46,3.48,3.37,3.42,544163.0,3.42,GOOG-H
2014-06-26,3.43,3.48,3.42,3.47,395668.0,3.47,GOOG-H
2014-06-27,3.48,3.53,3.44,3.44,377335.0,3.44,GOOG-H
2014-06-30,3.44,3.47,3.38,3.4,745759.0,3.4,GOOG-H
2014-07-01,3.39,3.43,3.37,3.39,426459.0,3.39,GOOG-H
2014-07-02,3.42,3.53,3.41,3.53,660666.0,3.53,GOOG-H
2014-07-03,3.55,3.62,3.55,3.62,880035.0,3.62,GOOG-H
2014-07-04,3.62,3.65,3.56,3.6,897890.0,3.6,GOOG-H
2014-07-07,3.59,3.63,3.52,3.55,565124.0,3.55,GOOG-H
2014-07-08,3.56,3.57,3.5,3.53,575768.0,3.53,GOOG-H
2014-07-09,3.52,3.55,3.5,3.53,613372.0,3.53,GOOG-H
2014-07-10,3.53,3.56,3.53,3.55,282821.0,3.55,GOOG-H
2014-07-11,3.53,3.58,3.53,3.55,229878.0,3.55,GOOG-H
2014-07-14,3.56,3.63,3.56,3.62,676004.0,3.62,GOOG-H
2014-07-15,3.63,3.66,3.6,3.62,440410.0,3.62,GOOG-H
2014-07-16,3.62,3.63,3.59,3.62,281819.0,3.62,GOOG-H
2014-07-17,3.67,3.75,3.65,3.72,890326.0,3.72,GOOG-H
2014-07-18,3.7,3.71,3.65,3.7,461554.0,3.7,GOOG-H
2014-07-21,3.69,3.75,3.69,3.71,393275.0,3.71,GOOG-H
2014-07-22,3.72,3.74,3.69,3.74,187461.0,3.74,GOOG-H
2014-07-23,3.72,3.75,3.69,3.73,540630.0,3.73,GOOG-H
2014-07-24,3.73,3.73,3.69,3.72,187783.0,3.72,GOOG-H
2014-07-25,3.7,3.72,3.68,3.7,239870.0,3.7,GOOG-H
2014-07-28,3.71,3.73,3.68,3.71,318590.0,3.71,GOOG-H
2014-07-29,3.69,3.72,3.66,3.69,225347.0,3.69,GOOG-H
2014-07-30,3.7,3.71,3.68,3.69,197265.0,3.69,GOOG-H
2014-07-31,3.69,3.69,3.68,3.68,534900.0,3.68,GOOG-H
2014-08-01,3.62,3.69,3.62,3.67,546064.0,3.67,GOOG-H
2014-08-04,3.63,3.72,3.63,3.67,1501247.0,3.67,GOOG-H
2014-08-05,3.68,3.72,3.67,3.68,377351.0,3.68,GOOG-H
2014-08-06,3.69,3.71,3.67,3.69,241284.0,3.69,GOOG-H
2014-08-07,3.71,3.74,3.7,3.71,499441.0,3.71,GOOG-H
2014-08-08,3.73,3.73,3.67,3.67,496871.0,3.67,GOOG-H
2014-08-11,3.69,3.73,3.68,3.7,434997.0,3.7,GOOG-H
2014-08-12,3.71,3.72,3.69,3.7,355384.0,3.7,GOOG-H
2014-08-13,3.69,3.69,3.66,3.69,266248.0,3.69,GOOG-H
2014-08-14,3.67,3.68,3.63,3.68,461491.0,3.68,GOOG-H
2014-08-15,3.69,3.71,3.68,3.71,403674.0,3.71,GOOG-H
2014-08-18,3.69,3.72,3.69,3.71,207871.0,3.71,GOOG-H
2014-08-19,3.72,3.74,3.7,3.72,370783.0,3.72,GOOG-H
2014-08-20,3.72,3.76,3.69,3.73,503121.0,3.73,GOOG-H
2014-08-21,3.75,3.76,3.69,3.74,506744.0,3.74,GOOG-H
2014-08-22,3.76,3.76,3.72,3.74,372636.0,3.74,GOOG-H
2014-08-25,3.74,3.81,3.72,3.8,651403.0,3.8,GOOG-H
2014-08-26,3.8,3.85,3.78,3.82,386495.0,3.82,GOOG-H
2014-08-27,3.81,3.83,3.76,3.81,984245.0,3.81,GOOG-H
2014-08-28,3.78,3.8,3.72,3.73,1176286.0,3.73,GOOG-H
2014-08-29,3.76,3.8,3.75,3.8,827082.0,3.8,GOOG-H
2014-09-01,3.81,3.84,3.8,3.81,706029.0,3.81,GOOG-H
2014-09-02,3.82,3.83,3.8,3.83,419557.0,3.83,GOOG-H
2014-09-03,3.8,3.81,3.76,3.8,745244.0,3.8,GOOG-H
2014-09-04,3.8,3.84,3.8,3.83,1049141.0,3.83,GOOG-H
2014-09-05,3.84,3.85,3.82,3.84,1998094.0,3.84,GOOG-H
2014-09-08,3.86,3.86,3.84,3.84,308319.0,3.84,GOOG-H
2014-09-09,3.86,3.95,3.84,3.95,771115.0,3.95,GOOG-H
2014-09-10,3.94,3.94,3.87,3.9,717221.0,3.9,GOOG-H
2014-09-11,3.89,3.9,3.85,3.86,736706.0,3.86,GOOG-H
2014-09-12,3.86,3.86,3.82,3.86,605699.0,3.86,GOOG-H
2014-09-15,3.86,3.86,3.82,3.85,565124.0,3.85,GOOG-H
2014-09-16,3.85,3.88,3.82,3.88,1047448.0,3.88,GOOG-H
2014-09-17,3.91,3.91,3.86,3.88,679572.0,3.88,GOOG-H
2014-09-18,3.92,3.92,3.82,3.85,623718.0,3.85,GOOG-H
2014-09-19,3.87,3.87,3.8,3.82,1727781.0,3.82,GOOG-H
2014-09-22,3.81,3.81,3.77,3.79,923707.0,3.79,GOOG-H
2014-09-23,3.77,3.78,3.7,3.72,1419900.0,3.72,GOOG-H
2014-09-24,3.72,3.74,3.71,3.72,2105218.0,3.72,GOOG-H
2014-09-25,3.75,3.8,3.74,3.8,1922370.0,3.8,GOOG-H
2014-09-26,3.76,3.8,3.75,3.78,660092.0,3.78,GOOG-H
2014-09-29,3.74,3.8,3.74,3.79,640019.0,3.79,GOOG-H
2014-09-30,3.81,3.92,3.76,3.92,1626781.0,3.92,GOOG-H
2014-10-01,3.81,3.92,3.81,3.89,564668.0,3.89,GOOG-H
2014-10-02,3.86,3.91,3.82,3.86,1052516.0,3.86,GOOG-H
2014-10-03,3.78,3.91,3.77,3.9,504073.0,3.9,GOOG-H
2014-10-07,3.95,3.96,3.83,3.84,1022149.0,3.84,GOOG-H
2014-10-08,3.89,3.89,3.82,3.84,647590.0,3.84,GOOG-H
2014-10-09,3.86,3.88,3.84,3.85,627761.0,3.85,GOOG-H
2014-10-10,3.79,3.85,3.75,3.77,484462.0,3.77,GOOG-H
2014-10-13,3.75,3.8,3.75,3.8,310914.0,3.8,GOOG-H
2014-10-14,3.77,3.84,3.75,3.8,359318.0,3.8,GOOG-H
2014-10-15,3.8,3.85,3.8,3.85,500680.0,3.85,GOOG-H
2014-10-16,3.8,3.84,3.75,3.8,350324.0,3.8,GOOG-H
2014-10-17,3.82,3.84,3.74,3.78,681328.0,3.78,GOOG-H
2014-10-20,3.79,3.82,3.77,3.8,157470.0,3.8,GOOG-H
2014-10-21,3.81,3.91,3.8,3.86,772753.0,3.86,GOOG-H
