DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2010-06-16,0.14,0.17,0.11,0.17,2216199,0.17,GOOG-H
2010-06-17,0.16,0.16,0.13,0.15,152000,0.15,GOOG-H
2010-06-18,0.16,0.16,0.13,0.15,128000,0.15,GOOG-H
2010-06-21,0.13,0.14,0.12,0.14,74586,0.14,GOOG-H
2010-06-22,0.11,0.11,0.1,0.1,271380,0.1,GOOG-H
2010-06-23,0.12,0.13,0.12,0.13,10000,0.13,GOOG-H
2010-06-24,0.1,0.1,0.1,0.1,39914,0.1,GOOG-H
2010-06-25,0.1,0.11,0.1,0.11,40000,0.11,GOOG-H
2010-06-28,0.11,0.11,0.1,0.11,60000,0.11,GOOG-H
2010-06-29,0.1,0.1,0.1,0.1,820000,0.1,GOOG-H
2010-06-30,0.09,0.09,0.08,0.08,10815,0.08,GOOG-H
2010-07-05,0.1,0.13,0.1,0.13,394409,0.13,GOOG-H
2010-07-06,0.12,0.12,0.1,0.1,41549,0.1,GOOG-H
2010-07-07,0.1,0.1,0.1,0.1,83451,0.1,GOOG-H
2010-07-08,0.09,0.09,0.09,0.09,59782,0.09,GOOG-H
2010-07-12,0.09,0.09,0.09,0.09,30000,0.09,GOOG-H
2010-07-13,0.09,0.09,0.08,0.08,12900,0.08,GOOG-H
2010-07-15,0.08,0.08,0.08,0.08,2000,0.08,GOOG-H
2010-07-26,0.08,0.08,0.08,0.08,2000,0.08,GOOG-H
2010-07-28,0.08,0.08,0.08,0.08,482404,0.08,GOOG-H
2010-07-30,0.08,0.09,0.08,0.09,187145,0.09,GOOG-H
2010-08-16,0.07,0.07,0.07,0.07,2500,0.07,GOOG-H
2010-08-26,0.09,0.09,0.09,0.09,10000,0.09,GOOG-H
2010-09-09,0.07,0.07,0.06,0.06,725000,0.06,GOOG-H
2010-09-10,0.06,0.06,0.06,0.06,124240,0.06,GOOG-H
2010-09-13,0.06,0.06,0.06,0.06,1025000,0.06,GOOG-H
2010-09-16,0.07,0.07,0.07,0.07,125000,0.07,GOOG-H
2010-09-20,0.08,0.08,0.07,0.08,25000,0.08,GOOG-H
2010-09-21,0.09,0.09,0.09,0.09,410000,0.09,GOOG-H
2010-09-23,0.09,0.1,0.09,0.1,98700,0.1,GOOG-H
2010-09-24,0.09,0.09,0.09,0.09,5000,0.09,GOOG-H
2010-09-27,0.1,0.1,0.1,0.1,20000,0.1,GOOG-H
2010-09-28,0.11,0.13,0.11,0.13,30000,0.13,GOOG-H
2010-09-29,0.13,0.13,0.1,0.11,215000,0.11,GOOG-H
2010-10-01,0.11,0.11,0.11,0.11,32000,0.11,GOOG-H
2010-10-08,0.1,0.1,0.1,0.1,100000,0.1,GOOG-H
2010-10-12,0.11,0.13,0.1,0.11,405710,0.11,GOOG-H
2010-10-13,0.11,0.11,0.11,0.11,40836,0.11,GOOG-H
2010-10-14,0.1,0.11,0.1,0.1,186053,0.1,GOOG-H
2010-10-15,0.1,0.1,0.09,0.09,35000,0.09,GOOG-H
2010-10-18,0.1,0.11,0.1,0.11,137772,0.11,GOOG-H
2010-10-19,0.11,0.12,0.11,0.12,375000,0.12,GOOG-H
2010-10-20,0.11,0.11,0.1,0.1,188000,0.1,GOOG-H
