DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,2.45,2.45,2.45,2.45,4500.0,2.45,GOOG-H
1999-01-05,2.45,2.45,2.45,2.45,1000.0,2.45,GOOG-H
1999-01-07,2.44,2.44,2.44,2.44,9000.0,2.44,GOOG-H
1999-01-08,2.45,2.45,2.44,2.45,21000.0,2.45,GOOG-H
1999-01-11,2.65,2.65,2.5,2.65,17300.0,2.65,GOOG-H
1999-01-12,2.65,2.65,2.65,2.65,2000.0,2.65,GOOG-H
1999-01-13,2.4,2.4,2.4,2.4,10000.0,2.4,GOOG-H
1999-01-14,2.45,2.45,2.4,2.4,5900.0,2.4,GOOG-H
1999-01-19,2.45,2.45,2.4,2.45,54450.0,2.45,GOOG-H
1999-01-21,2.45,2.45,2.45,2.45,4000.0,2.45,GOOG-H
1999-01-22,2.5,2.5,2.5,2.5,30000.0,2.5,GOOG-H
1999-02-01,2.5,2.5,2.5,2.5,14000.0,2.5,GOOG-H
1999-02-03,2.5,2.5,2.5,2.5,5000.0,2.5,GOOG-H
1999-02-04,2.58,2.58,2.55,2.58,11400.0,2.58,GOOG-H
1999-02-05,2.6,2.6,2.55,2.6,26100.0,2.6,GOOG-H
1999-02-18,2.56,2.56,2.55,2.56,9560.0,2.56,GOOG-H
1999-02-19,2.6,2.6,2.6,2.6,20000.0,2.6,GOOG-H
1999-02-22,2.74,2.74,2.65,2.74,54200.0,2.74,GOOG-H
1999-02-23,2.71,2.71,2.65,2.65,25540.0,2.65,GOOG-H
1999-02-24,2.65,2.65,2.65,2.65,24800.0,2.65,GOOG-H
1999-03-09,2.65,2.65,2.59,2.65,42500.0,2.65,GOOG-H
1999-03-10,2.6,2.6,2.55,2.55,111900.0,2.55,GOOG-H
1999-03-11,2.5,2.5,2.5,2.5,20600.0,2.5,GOOG-H
1999-03-12,2.6,2.6,2.55,2.55,11500.0,2.55,GOOG-H
1999-03-15,2.6,2.6,2.6,2.6,500.0,2.6,GOOG-H
1999-03-16,2.65,2.65,2.6,2.65,61460.0,2.65,GOOG-H
1999-03-17,2.76,2.76,2.75,2.76,54000.0,2.76,GOOG-H
1999-03-18,2.78,2.78,2.68,2.68,16400.0,2.68,GOOG-H
