DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,17.4,17.4,16.9,17.4,13129.0,17.4,GOOG-H
1999-01-05,17.3,17.3,17.0,17.2,41642.0,17.2,GOOG-H
1999-01-06,17.4,17.4,17.2,17.4,90173.0,17.4,GOOG-H
1999-01-07,17.6,17.6,17.4,17.6,18531.0,17.6,GOOG-H
1999-01-08,18.0,18.0,17.6,17.9,4046.0,17.9,GOOG-H
1999-01-11,18.1,18.1,17.9,18.0,7010.0,18.0,GOOG-H
1999-01-12,18.1,18.1,17.75,18.0,5441.0,18.0,GOOG-H
1999-01-13,18.3,18.3,18.0,18.3,69048.0,18.3,GOOG-H
1999-01-14,18.2,18.2,18.12,18.2,58123.0,18.2,GOOG-H
1999-01-15,18.4,18.4,18.1,18.4,20799.0,18.4,GOOG-H
1999-01-18,18.8,18.8,18.4,18.8,35947.0,18.8,GOOG-H
1999-01-19,19.55,19.55,19.1,19.4,27162.0,19.4,GOOG-H
1999-01-20,19.4,19.4,19.28,19.28,7397.0,19.28,GOOG-H
1999-01-21,19.28,19.28,19.2,19.2,33033.0,19.2,GOOG-H
1999-01-22,19.5,19.5,19.15,19.5,38021.0,19.5,GOOG-H
1999-01-25,19.52,19.52,19.5,19.5,21326.0,19.5,GOOG-H
1999-01-27,19.8,19.8,19.6,19.8,26516.0,19.8,GOOG-H
1999-01-28,20.0,20.0,19.81,20.0,29799.0,20.0,GOOG-H
1999-01-29,20.25,20.25,19.94,20.25,14601.0,20.25,GOOG-H
1999-02-01,20.25,20.25,20.0,20.0,15368.0,20.0,GOOG-H
1999-02-02,20.05,20.05,20.0,20.01,18908.0,20.01,GOOG-H
1999-02-03,20.0,20.0,19.7,19.7,7174.0,19.7,GOOG-H
1999-02-04,19.8,19.8,19.74,19.76,12659.0,19.76,GOOG-H
1999-02-05,19.76,19.76,19.05,19.05,14264.0,19.05,GOOG-H
1999-02-08,19.3,19.3,18.99,19.0,39778.0,19.0,GOOG-H
1999-02-09,19.1,19.1,18.85,18.85,37556.0,18.85,GOOG-H
1999-02-10,18.8,18.8,18.8,18.8,1300.0,18.8,GOOG-H
1999-02-11,18.85,18.85,18.75,18.75,6608.0,18.75,GOOG-H
1999-02-12,18.95,18.95,18.85,18.95,16627.0,18.95,GOOG-H
1999-02-15,19.0,19.0,19.0,19.0,1654.0,19.0,GOOG-H
1999-02-16,18.5,19.68,18.5,18.5,4065.0,18.5,GOOG-H
1999-02-17,19.07,19.07,18.6,19.07,12459.0,19.07,GOOG-H
1999-02-18,19.76,19.76,19.25,19.76,58231.0,19.76,GOOG-H
1999-02-19,20.0,20.0,19.75,20.0,29425.0,20.0,GOOG-H
1999-02-22,20.0,20.0,19.8,19.8,5010.0,19.8,GOOG-H
1999-02-23,20.05,20.05,19.8,20.0,9757.0,20.0,GOOG-H
1999-02-24,19.85,19.85,19.8,19.85,15225.0,19.85,GOOG-H
1999-02-25,19.8,19.8,19.35,19.4,43103.0,19.4,GOOG-H
1999-02-26,20.0,20.0,19.4,20.0,68391.0,20.0,GOOG-H
1999-03-01,20.05,20.05,19.9,20.04,119037.0,20.04,GOOG-H
1999-03-02,20.11,20.11,20.0,20.05,20159.0,20.05,GOOG-H
1999-03-03,20.52,20.52,20.08,20.08,6350.0,20.08,GOOG-H
1999-03-04,20.15,20.15,20.0,20.15,24342.0,20.15,GOOG-H
1999-03-05,20.5,20.5,20.1,20.15,41605.0,20.15,GOOG-H
1999-03-09,20.2,20.2,20.0,20.0,5249.0,20.0,GOOG-H
1999-03-10,20.3,20.3,20.2,20.21,16815.0,20.21,GOOG-H
1999-03-11,20.6,20.6,20.3,20.6,56608.0,20.6,GOOG-H
1999-03-12,21.2,21.2,20.7,20.7,11022.0,20.7,GOOG-H
1999-03-15,20.8,20.8,20.65,20.72,97463.0,20.72,GOOG-H
1999-03-16,21.2,21.2,20.7,20.9,29919.0,20.9,GOOG-H
1999-03-17,21.3,21.3,20.8,21.2,89598.0,21.2,GOOG-H
1999-03-18,21.6,21.6,21.1,21.6,50590.0,21.6,GOOG-H
1999-03-19,22.5,22.5,21.63,22.25,99322.0,22.25,GOOG-H
1999-03-22,22.6,22.6,22.1,22.6,60116.0,22.6,GOOG-H
1999-03-23,22.95,22.95,22.6,22.8,17505.0,22.8,GOOG-H
1999-03-24,22.82,22.82,22.57,22.57,41672.0,22.57,GOOG-H
1999-03-25,22.63,22.63,22.6,22.63,35589.0,22.63,GOOG-H
1999-03-26,22.7,22.7,22.3,22.3,16816.0,22.3,GOOG-H
1999-03-29,22.4,22.4,22.3,22.3,33566.0,22.3,GOOG-H
1999-03-30,22.7,22.7,22.29,22.7,44485.0,22.7,GOOG-H
1999-03-31,22.7,22.7,22.6,22.7,11111.0,22.7,GOOG-H
1999-04-01,22.7,22.7,22.65,22.7,3122.0,22.7,GOOG-H
1999-04-06,22.7,22.7,22.45,22.7,10476.0,22.7,GOOG-H
1999-04-07,22.85,22.85,22.7,22.8,22242.0,22.8,GOOG-H
1999-04-08,23.4,23.4,23.0,23.3,32991.0,23.3,GOOG-H
1999-04-09,23.8,23.8,23.3,23.8,114522.0,23.8,GOOG-H
1999-04-12,24.2,24.2,23.75,23.85,69464.0,23.85,GOOG-H
1999-04-13,23.85,23.85,23.6,23.6,10822.0,23.6,GOOG-H
1999-04-14,23.55,23.55,23.4,23.4,97476.0,23.4,GOOG-H
1999-04-15,23.31,23.31,23.0,23.3,18358.0,23.3,GOOG-H
1999-04-16,23.3,23.3,22.8,23.0,44258.0,23.0,GOOG-H
1999-04-19,23.01,23.01,23.0,23.0,49309.0,23.0,GOOG-H
1999-04-20,22.5,22.5,22.2,22.34,29995.0,22.34,GOOG-H
1999-04-21,22.4,22.4,22.3,22.35,47631.0,22.35,GOOG-H
1999-04-22,22.7,22.7,22.4,22.7,39463.0,22.7,GOOG-H
1999-04-23,22.65,22.65,22.4,22.5,31827.0,22.5,GOOG-H
1999-04-26,22.6,22.6,22.5,22.5,1963.0,22.5,GOOG-H
1999-04-27,22.75,22.75,22.75,22.75,892.0,22.75,GOOG-H
1999-04-28,22.69,22.69,21.8,21.8,11875.0,21.8,GOOG-H
1999-04-29,21.8,21.8,21.0,21.2,30204.0,21.2,GOOG-H
1999-04-30,21.3,21.3,20.85,20.9,32394.0,20.9,GOOG-H
1999-05-03,20.9,20.9,20.0,20.25,34978.0,20.25,GOOG-H
1999-05-04,20.5,20.5,20.22,20.45,102412.0,20.45,GOOG-H
1999-05-05,20.92,20.92,20.65,20.92,37247.0,20.92,GOOG-H
1999-05-06,20.92,20.92,20.8,20.9,27282.0,20.9,GOOG-H
1999-05-07,20.91,20.91,20.75,20.75,17428.0,20.75,GOOG-H
1999-05-10,20.75,20.75,20.4,20.7,51278.0,20.7,GOOG-H
1999-05-11,20.9,20.9,20.64,20.8,60163.0,20.8,GOOG-H
1999-05-12,21.1,21.1,20.76,20.8,59391.0,20.8,GOOG-H
1999-05-13,21.0,21.0,20.8,21.0,2763.0,21.0,GOOG-H
1999-05-14,22.0,22.0,21.1,22.0,13850.0,22.0,GOOG-H
1999-05-17,21.91,21.91,21.5,21.8,28935.0,21.8,GOOG-H
1999-05-18,22.0,22.0,21.8,21.95,28666.0,21.95,GOOG-H
1999-05-19,22.5,22.5,21.9,22.5,28974.0,22.5,GOOG-H
1999-05-20,23.3,23.3,22.46,22.46,30923.0,22.46,GOOG-H
1999-05-21,22.67,22.67,22.35,22.65,55258.0,22.65,GOOG-H
1999-05-24,22.8,22.8,22.65,22.8,18873.0,22.8,GOOG-H
1999-05-25,23.0,23.0,22.8,23.0,16591.0,23.0,GOOG-H
1999-05-26,23.2,23.2,22.95,23.2,14859.0,23.2,GOOG-H
1999-05-27,23.2,23.2,22.4,22.72,34825.0,22.72,GOOG-H
1999-05-28,22.91,22.91,22.65,22.76,95755.0,22.76,GOOG-H
1999-05-31,23.5,23.5,22.77,23.5,6968.0,23.5,GOOG-H
1999-06-01,23.9,23.9,23.01,23.9,72770.0,23.9,GOOG-H
1999-06-02,23.9,23.9,23.5,23.5,7091.0,23.5,GOOG-H
1999-06-03,23.6,23.6,23.5,23.6,20166.0,23.6,GOOG-H
1999-06-04,23.84,23.84,23.5,23.84,29031.0,23.84,GOOG-H
1999-06-07,23.95,23.95,23.8,23.8,25061.0,23.8,GOOG-H
1999-06-08,24.2,24.2,23.86,24.14,36528.0,24.14,GOOG-H
1999-06-09,25.0,25.0,24.3,24.82,23016.0,24.82,GOOG-H
1999-06-10,24.65,24.65,24.45,24.58,21413.0,24.58,GOOG-H
1999-06-11,24.58,24.58,23.6,24.0,11614.0,24.0,GOOG-H
1999-06-15,24.0,24.0,23.0,23.69,11748.0,23.69,GOOG-H
1999-06-16,23.49,23.49,23.25,23.27,30038.0,23.27,GOOG-H
1999-06-17,23.5,23.5,23.26,23.4,22726.0,23.4,GOOG-H
1999-06-18,23.49,23.49,23.0,23.05,15381.0,23.05,GOOG-H
1999-06-21,23.0,23.0,22.98,22.98,46718.0,22.98,GOOG-H
1999-06-22,23.1,23.1,22.8,23.1,18422.0,23.1,GOOG-H
1999-06-23,23.5,23.5,22.95,23.5,3665.0,23.5,GOOG-H
1999-06-24,23.45,23.45,23.25,23.25,2306.0,23.25,GOOG-H
1999-06-25,23.1,23.1,22.85,22.93,6591.0,22.93,GOOG-H
1999-06-28,23.0,23.0,22.93,23.0,5187.0,23.0,GOOG-H
1999-06-29,23.23,23.23,22.8,23.23,6729.0,23.23,GOOG-H
1999-06-30,24.0,24.0,23.2,24.0,11839.0,24.0,GOOG-H
1999-07-01,24.5,24.5,24.0,24.5,4567.0,24.5,GOOG-H
1999-07-02,24.6,24.6,23.4,24.25,10870.0,24.25,GOOG-H
1999-07-05,24.2,24.2,23.8,23.9,51206.0,23.9,GOOG-H
1999-07-06,24.0,24.0,23.9,23.9,45138.0,23.9,GOOG-H
1999-07-07,23.9,23.9,23.7,23.7,15787.0,23.7,GOOG-H
1999-07-08,23.7,23.7,23.5,23.7,36354.0,23.7,GOOG-H
1999-07-09,23.7,23.7,23.25,23.3,5572.0,23.3,GOOG-H
1999-07-12,23.45,23.45,23.3,23.3,8872.0,23.3,GOOG-H
1999-07-13,23.3,23.3,22.6,22.6,5374.0,22.6,GOOG-H
1999-07-14,22.9,22.9,22.6,22.75,29673.0,22.75,GOOG-H
1999-07-15,23.2,23.2,22.75,23.2,8859.0,23.2,GOOG-H
1999-07-16,23.2,23.2,23.2,23.2,3447.0,23.2,GOOG-H
1999-07-19,23.5,23.5,23.4,23.45,6675.0,23.45,GOOG-H
1999-07-20,23.5,23.5,23.4,23.42,19674.0,23.42,GOOG-H
1999-07-21,23.31,23.31,22.7,23.2,13984.0,23.2,GOOG-H
1999-07-22,23.2,23.2,23.0,23.0,8555.0,23.0,GOOG-H
1999-07-23,23.0,23.0,22.5,23.0,5549.0,23.0,GOOG-H
1999-07-26,22.9,22.9,22.9,22.9,1500.0,22.9,GOOG-H
1999-07-27,22.74,22.74,22.5,22.74,3220.0,22.74,GOOG-H
1999-07-28,22.5,22.5,22.5,22.5,10424.0,22.5,GOOG-H
1999-07-29,22.5,22.5,22.0,22.3,10278.0,22.3,GOOG-H
1999-07-30,22.2,22.2,22.0,22.0,7343.0,22.0,GOOG-H
1999-08-02,22.0,22.0,21.75,21.75,348.0,21.75,GOOG-H
1999-08-03,21.7,21.7,21.4,21.5,10158.0,21.5,GOOG-H
1999-08-04,21.5,21.5,21.5,21.5,23034.0,21.5,GOOG-H
1999-08-05,21.7,21.7,21.5,21.7,6387.0,21.7,GOOG-H
1999-08-06,21.8,21.8,21.5,21.69,11912.0,21.69,GOOG-H
1999-08-09,21.65,21.65,21.5,21.5,25223.0,21.5,GOOG-H
1999-08-10,21.6,21.6,21.5,21.5,16421.0,21.5,GOOG-H
1999-08-11,21.6,21.6,21.5,21.6,26712.0,21.6,GOOG-H
