DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-05-23,8.5,9.11,8.3,8.8,29742594.0,8.8,GOOG-H
2007-05-24,8.7,8.71,8.2,8.38,9700563.0,8.38,GOOG-H
2007-05-25,8.03,8.1,7.9,8.02,5759666.0,8.02,GOOG-H
2007-05-28,7.99,8.0,7.67,7.74,2881499.0,7.74,GOOG-H
2007-05-29,7.74,8.15,7.73,8.15,1974776.0,8.15,GOOG-H
2007-05-30,8.17,8.18,8.0,8.0,1246296.0,8.0,GOOG-H
2007-05-31,8.05,8.2,7.96,8.1,896969.0,8.1,GOOG-H
2007-06-01,8.05,8.08,7.98,8.0,630846.0,8.0,GOOG-H
2007-06-04,8.0,8.01,7.87,7.9,668825.0,7.9,GOOG-H
2007-06-05,7.9,7.98,7.88,7.92,323199.0,7.92,GOOG-H
2007-06-06,7.92,7.97,7.89,7.94,456176.0,7.94,GOOG-H
2007-06-07,7.88,7.96,7.82,7.91,499563.0,7.91,GOOG-H
2007-06-08,7.86,7.96,7.82,7.95,358844.0,7.95,GOOG-H
2007-06-12,7.96,7.97,7.81,7.86,623676.0,7.86,GOOG-H
2007-06-13,7.81,7.82,7.76,7.76,486575.0,7.76,GOOG-H
2007-06-14,7.75,7.75,7.55,7.62,1006540.0,7.62,GOOG-H
2007-06-15,7.61,7.65,7.56,7.59,772268.0,7.59,GOOG-H
2007-06-18,7.59,7.61,7.54,7.6,2227730.0,7.6,GOOG-H
2007-06-19,7.57,7.58,7.47,7.5,1265265.0,7.5,GOOG-H
2007-06-20,7.5,7.5,7.3,7.35,644625.0,7.35,GOOG-H
2007-06-21,7.29,7.29,7.06,7.21,877353.0,7.21,GOOG-H
2007-06-22,7.16,7.24,7.12,7.24,859041.0,7.24,GOOG-H
2007-06-25,7.19,7.2,7.07,7.12,910814.0,7.12,GOOG-H
2007-06-26,7.1,7.12,6.91,6.96,1313346.0,6.96,GOOG-H
2007-06-27,6.92,7.24,6.9,7.1,1777350.0,7.1,GOOG-H
2007-06-28,7.14,7.28,7.14,7.28,1377684.0,7.28,GOOG-H
2007-06-29,7.28,7.48,7.28,7.42,961193.0,7.42,GOOG-H
2007-07-02,7.39,7.4,7.19,7.39,472392.0,7.39,GOOG-H
2007-07-03,7.4,7.41,7.19,7.2,385854.0,7.2,GOOG-H
2007-07-04,7.2,7.2,7.02,7.15,531440.0,7.15,GOOG-H
2007-07-05,7.1,7.14,7.06,7.14,443318.0,7.14,GOOG-H
2007-07-06,7.09,7.14,7.08,7.14,263115.0,7.14,GOOG-H
2007-07-09,7.06,7.06,6.9,6.9,866246.0,6.9,GOOG-H
2007-07-10,6.89,6.89,6.69,6.81,1018460.0,6.81,GOOG-H
2007-07-11,6.9,7.0,6.81,7.0,518481.0,7.0,GOOG-H
2007-07-12,7.02,7.1,7.0,7.04,458990.0,7.04,GOOG-H
2007-07-13,7.11,7.12,7.01,7.11,529816.0,7.11,GOOG-H
2007-07-16,7.13,7.14,7.1,7.13,274157.0,7.13,GOOG-H
2007-07-17,7.12,7.16,7.1,7.16,407163.0,7.16,GOOG-H
2007-07-18,7.11,7.12,7.05,7.1,276147.0,7.1,GOOG-H
2007-07-19,7.13,7.14,7.06,7.12,291795.0,7.12,GOOG-H
2007-07-20,7.11,7.2,7.11,7.2,400377.0,7.2,GOOG-H
2007-07-23,7.14,7.2,7.12,7.2,277342.0,7.2,GOOG-H
2007-07-24,7.19,7.19,7.06,7.15,316757.0,7.15,GOOG-H
2007-07-25,7.09,7.1,7.02,7.08,422957.0,7.08,GOOG-H
2007-07-26,7.05,7.1,7.03,7.08,261919.0,7.08,GOOG-H
2007-07-27,7.0,7.06,6.95,7.0,626889.0,7.0,GOOG-H
2007-07-30,6.95,7.04,6.9,7.0,464826.0,7.0,GOOG-H
2007-07-31,7.01,7.03,6.88,6.88,235326.0,6.88,GOOG-H
