DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,3.66,3.66,3.46,3.57,795504.0,3.57,GOOG-H
1999-01-05,3.63,3.63,3.58,3.63,3306312.0,3.63,GOOG-H
1999-01-06,3.7,3.7,3.61,3.68,2232442.0,3.68,GOOG-H
1999-01-07,3.74,3.74,3.68,3.73,1916623.0,3.73,GOOG-H
1999-01-08,3.58,3.72,3.56,3.58,2003611.0,3.58,GOOG-H
1999-01-11,3.6,3.6,3.46,3.54,4615893.0,3.54,GOOG-H
1999-01-12,3.59,3.59,3.49,3.59,1161458.0,3.59,GOOG-H
1999-01-13,3.66,3.66,3.54,3.66,1830753.0,3.66,GOOG-H
1999-01-14,3.64,3.64,3.54,3.56,3135545.0,3.56,GOOG-H
1999-01-15,3.5,3.5,3.46,3.47,1359394.0,3.47,GOOG-H
1999-01-18,3.55,3.55,3.47,3.5,656916.0,3.5,GOOG-H
1999-01-19,3.6,3.6,3.54,3.6,2480304.0,3.6,GOOG-H
1999-01-20,3.64,3.64,3.56,3.56,2718239.0,3.56,GOOG-H
1999-01-21,3.62,3.62,3.51,3.54,3900738.0,3.54,GOOG-H
1999-01-22,3.63,3.63,3.55,3.6,4206464.0,3.6,GOOG-H
1999-01-25,3.65,3.65,3.58,3.6,8053508.0,3.6,GOOG-H
1999-01-27,3.64,3.64,3.56,3.58,5566687.0,3.58,GOOG-H
1999-01-28,3.6,3.6,3.57,3.58,17138044.0,3.58,GOOG-H
1999-01-29,3.71,3.71,3.6,3.68,7076483.0,3.68,GOOG-H
1999-02-01,3.82,3.82,3.68,3.79,3613922.0,3.79,GOOG-H
1999-02-02,3.95,3.95,3.8,3.89,5142918.0,3.89,GOOG-H
1999-02-03,3.98,3.98,3.89,3.9,1349792.0,3.9,GOOG-H
1999-02-04,3.97,3.97,3.92,3.93,2348845.0,3.93,GOOG-H
1999-02-05,3.93,3.93,3.82,3.83,2172196.0,3.83,GOOG-H
1999-02-08,3.81,3.81,3.71,3.73,12446454.0,3.73,GOOG-H
1999-02-09,3.75,3.75,3.67,3.72,2172104.0,3.72,GOOG-H
1999-02-10,3.7,3.7,3.64,3.67,1623986.0,3.67,GOOG-H
1999-02-11,3.92,3.92,3.72,3.86,2623588.0,3.86,GOOG-H
1999-02-12,4.03,4.03,3.91,3.92,1488606.0,3.92,GOOG-H
1999-02-15,3.99,3.99,3.84,3.93,1840862.0,3.93,GOOG-H
1999-02-16,3.95,3.95,3.89,3.92,1799514.0,3.92,GOOG-H
1999-02-17,3.96,3.96,3.87,3.95,2268050.0,3.95,GOOG-H
1999-02-18,4.26,4.26,3.94,4.17,12868169.0,4.17,GOOG-H
1999-02-19,4.54,4.54,4.3,4.5,18405736.0,4.5,GOOG-H
1999-02-22,4.55,4.55,4.42,4.47,2720394.0,4.47,GOOG-H
1999-02-23,4.47,4.47,4.37,4.39,3752537.0,4.39,GOOG-H
1999-02-24,4.48,4.48,4.37,4.47,4203222.0,4.47,GOOG-H
1999-02-25,4.58,4.58,4.56,4.58,15000.0,4.58,GOOG-H
1999-02-26,4.55,4.55,4.46,4.53,957479.0,4.53,GOOG-H
1999-03-01,4.63,4.63,4.53,4.6,1213623.0,4.6,GOOG-H
1999-03-02,4.56,4.56,4.5,4.53,4941668.0,4.53,GOOG-H
1999-03-03,4.55,4.55,4.49,4.53,4497484.0,4.53,GOOG-H
1999-03-04,4.56,4.56,4.45,4.53,6299797.0,4.53,GOOG-H
1999-03-05,4.58,4.58,4.54,4.55,1304701.0,4.55,GOOG-H
1999-03-08,4.65,4.65,4.56,4.63,1641302.0,4.63,GOOG-H
1999-03-09,4.71,4.71,4.58,4.69,9197477.0,4.69,GOOG-H
1999-03-10,4.8,4.8,4.66,4.73,1703617.0,4.73,GOOG-H
1999-03-11,4.76,4.76,4.58,4.69,3302517.0,4.69,GOOG-H
1999-03-12,4.71,4.71,4.6,4.63,786992.0,4.63,GOOG-H
1999-03-15,4.63,4.63,4.5,4.54,3137025.0,4.54,GOOG-H
1999-03-16,4.54,4.54,4.5,4.54,2242767.0,4.54,GOOG-H
1999-03-17,4.6,4.6,4.46,4.57,4586286.0,4.57,GOOG-H
1999-03-18,4.49,4.49,4.46,4.49,3818993.0,4.49,GOOG-H
1999-03-19,4.5,4.5,4.47,4.48,1433378.0,4.48,GOOG-H
1999-03-22,4.5,4.5,4.43,4.49,2442326.0,4.49,GOOG-H
1999-03-23,4.52,4.52,4.46,4.5,3452077.0,4.5,GOOG-H
1999-03-24,4.5,4.5,4.42,4.49,5260923.0,4.49,GOOG-H
1999-03-25,4.49,4.49,4.42,4.48,2586823.0,4.48,GOOG-H
1999-03-26,4.58,4.58,4.47,4.56,1121195.0,4.56,GOOG-H
1999-03-29,4.53,4.53,4.45,4.47,1886271.0,4.47,GOOG-H
1999-03-30,4.49,4.49,4.4,4.42,6322963.0,4.42,GOOG-H
1999-03-31,4.47,4.47,4.32,4.44,5797774.0,4.44,GOOG-H
1999-04-01,4.42,4.42,4.33,4.37,1356627.0,4.37,GOOG-H
1999-04-06,4.45,4.45,4.4,4.43,1457505.0,4.43,GOOG-H
1999-04-07,4.43,4.43,4.38,4.41,2767317.0,4.41,GOOG-H
1999-04-08,4.44,4.44,4.32,4.33,1283477.0,4.33,GOOG-H
1999-04-09,4.37,4.37,4.29,4.31,4218094.0,4.31,GOOG-H
1999-04-12,4.22,4.35,4.19,4.22,2870879.0,4.22,GOOG-H
1999-04-13,4.33,4.33,4.24,4.3,3554302.0,4.3,GOOG-H
1999-04-14,4.33,4.33,4.21,4.33,3668107.0,4.33,GOOG-H
1999-04-15,4.35,4.35,4.26,4.29,5423940.0,4.29,GOOG-H
1999-04-16,4.19,4.33,4.19,4.19,1729399.0,4.19,GOOG-H
1999-04-19,4.2,4.2,4.05,4.16,5884027.0,4.16,GOOG-H
1999-04-20,4.31,4.31,4.16,4.26,4832626.0,4.26,GOOG-H
1999-04-21,4.35,4.35,4.27,4.31,3044218.0,4.31,GOOG-H
1999-04-22,4.44,4.44,4.36,4.42,2159532.0,4.42,GOOG-H
1999-04-23,4.53,4.53,4.42,4.47,1770758.0,4.47,GOOG-H
1999-04-26,4.47,4.47,4.4,4.47,1977854.0,4.47,GOOG-H
1999-04-27,4.47,4.47,4.39,4.42,3190621.0,4.42,GOOG-H
1999-04-28,4.42,4.42,4.3,4.36,3101623.0,4.36,GOOG-H
1999-04-29,4.38,4.38,4.25,4.38,2646693.0,4.38,GOOG-H
1999-04-30,4.45,4.45,4.39,4.42,3255041.0,4.42,GOOG-H
1999-05-03,4.48,4.48,4.39,4.47,2218267.0,4.47,GOOG-H
1999-05-04,4.65,4.65,4.53,4.64,6119800.0,4.64,GOOG-H
1999-05-05,4.66,4.66,4.58,4.64,13347570.0,4.64,GOOG-H
1999-05-06,4.68,4.68,4.58,4.6,7061169.0,4.6,GOOG-H
1999-05-07,4.66,4.66,4.57,4.61,7032087.0,4.61,GOOG-H
1999-05-10,4.6,4.6,4.53,4.53,4702584.0,4.53,GOOG-H
1999-05-11,4.57,4.57,4.46,4.49,816972.0,4.49,GOOG-H
1999-05-12,4.71,4.71,4.49,4.66,6276636.0,4.66,GOOG-H
1999-05-13,4.89,4.89,4.64,4.85,8618077.0,4.85,GOOG-H
1999-05-14,4.85,4.85,4.73,4.77,3273616.0,4.77,GOOG-H
1999-05-17,4.8,4.8,4.66,4.8,1427306.0,4.8,GOOG-H
1999-05-18,4.88,4.88,4.78,4.88,2556932.0,4.88,GOOG-H
1999-05-19,4.88,4.88,4.75,4.79,4042253.0,4.79,GOOG-H
1999-05-20,4.86,4.86,4.78,4.86,974349.0,4.86,GOOG-H
1999-05-21,4.86,4.86,4.74,4.79,3531784.0,4.79,GOOG-H
1999-05-24,4.79,4.79,4.68,4.7,3212254.0,4.7,GOOG-H
1999-05-25,4.76,4.76,4.61,4.69,1704575.0,4.69,GOOG-H
1999-05-26,4.85,4.85,4.64,4.79,2752446.0,4.79,GOOG-H
1999-05-27,4.87,4.87,4.77,4.82,1916827.0,4.82,GOOG-H
1999-05-28,4.8,4.8,4.72,4.79,12122307.0,4.79,GOOG-H
1999-05-31,4.82,4.82,4.71,4.79,904407.0,4.79,GOOG-H
1999-06-01,4.79,4.79,4.66,4.69,1371279.0,4.69,GOOG-H
1999-06-02,4.73,4.73,4.63,4.68,1040318.0,4.68,GOOG-H
1999-06-03,4.71,4.71,4.47,4.69,2963825.0,4.69,GOOG-H
1999-06-04,4.8,4.8,4.7,4.78,1919719.0,4.78,GOOG-H
1999-06-07,4.9,4.9,4.77,4.85,1629238.0,4.85,GOOG-H
1999-06-08,4.86,4.86,4.66,4.78,1316397.0,4.78,GOOG-H
1999-06-09,4.87,4.87,4.77,4.79,1474531.0,4.79,GOOG-H
1999-06-10,4.83,4.83,4.76,4.76,2484241.0,4.76,GOOG-H
1999-06-11,4.78,4.78,4.74,4.76,2201007.0,4.76,GOOG-H
1999-06-15,4.82,4.82,4.75,4.77,2693133.0,4.77,GOOG-H
1999-06-16,4.8,4.8,4.77,4.8,2797462.0,4.8,GOOG-H
1999-06-17,4.85,4.85,4.76,4.81,2455754.0,4.81,GOOG-H
1999-06-18,4.85,4.85,4.77,4.82,2194802.0,4.82,GOOG-H
1999-06-21,4.95,4.95,4.81,4.91,4526511.0,4.91,GOOG-H
1999-06-22,5.11,5.11,4.86,5.11,9592378.0,5.11,GOOG-H
1999-06-23,5.1,5.26,5.07,5.1,8667323.0,5.1,GOOG-H
1999-06-24,5.11,5.11,5.03,5.05,5128002.0,5.05,GOOG-H
1999-06-25,5.11,5.11,5.03,5.07,1767600.0,5.07,GOOG-H
1999-06-28,5.19,5.19,5.08,5.19,1449489.0,5.19,GOOG-H
1999-06-29,5.22,5.22,5.12,5.17,2423643.0,5.17,GOOG-H
1999-06-30,5.32,5.32,5.2,5.31,3785050.0,5.31,GOOG-H
1999-07-01,5.47,5.47,5.38,5.44,4068614.0,5.44,GOOG-H
1999-07-02,5.43,5.43,5.29,5.36,1607370.0,5.36,GOOG-H
1999-07-05,5.43,5.43,5.23,5.43,2642475.0,5.43,GOOG-H
1999-07-06,5.4,5.4,5.27,5.29,5332139.0,5.29,GOOG-H
1999-07-07,5.26,5.26,5.14,5.17,6469080.0,5.17,GOOG-H
1999-07-08,5.2,5.2,5.11,5.15,10741849.0,5.15,GOOG-H
1999-07-09,5.06,5.23,5.06,5.06,4020423.0,5.06,GOOG-H
1999-07-12,5.11,5.11,5.04,5.05,2924658.0,5.05,GOOG-H
1999-07-13,5.15,5.15,5.07,5.07,2170515.0,5.07,GOOG-H
1999-07-14,5.13,5.13,5.09,5.1,3130450.0,5.1,GOOG-H
1999-07-15,5.22,5.22,5.12,5.18,3429436.0,5.18,GOOG-H
1999-07-16,5.26,5.26,5.17,5.25,2545850.0,5.25,GOOG-H
1999-07-19,5.35,5.35,5.19,5.31,2176032.0,5.31,GOOG-H
1999-07-20,5.53,5.53,5.32,5.48,4671723.0,5.48,GOOG-H
1999-07-21,5.43,5.43,5.35,5.4,1834035.0,5.4,GOOG-H
1999-07-22,5.4,5.4,5.29,5.31,2028951.0,5.31,GOOG-H
1999-07-23,5.29,5.29,5.19,5.22,1082564.0,5.22,GOOG-H
1999-07-26,5.3,5.3,5.19,5.22,1490797.0,5.22,GOOG-H
1999-07-27,5.21,5.21,5.11,5.13,1647313.0,5.13,GOOG-H
1999-07-28,5.28,5.28,5.19,5.23,760527.0,5.23,GOOG-H
1999-07-29,5.39,5.39,5.25,5.38,3013324.0,5.38,GOOG-H
1999-07-30,5.42,5.42,5.25,5.42,2367109.0,5.42,GOOG-H
1999-08-02,5.37,5.37,5.32,5.35,972427.0,5.35,GOOG-H
1999-08-03,5.32,5.32,5.26,5.31,1357047.0,5.31,GOOG-H
1999-08-04,5.38,5.38,5.27,5.3,2204028.0,5.3,GOOG-H
1999-08-05,5.31,5.31,5.24,5.29,3693893.0,5.29,GOOG-H
1999-08-06,5.32,5.32,5.2,5.24,887422.0,5.24,GOOG-H
1999-08-09,5.21,5.37,5.19,5.21,1635255.0,5.21,GOOG-H
1999-08-10,5.28,5.28,5.19,5.21,3418593.0,5.21,GOOG-H
1999-08-11,5.29,5.29,5.13,5.28,4542155.0,5.28,GOOG-H
1999-08-12,5.34,5.34,5.25,5.3,5907830.0,5.3,GOOG-H
1999-08-13,5.32,5.32,5.28,5.31,1907818.0,5.31,GOOG-H
1999-08-16,5.45,5.45,5.32,5.42,2218051.0,5.42,GOOG-H
