DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,11.16,11.18,11.07,11.1,3233813.0,11.1,GOOG-Q
2018-09-27,11.0,11.07,10.92,10.96,4589972.0,10.96,GOOG-Q
2018-10-02,11.05,11.07,10.91,10.97,3051110.0,10.97,GOOG-Q
2018-10-03,10.95,11.06,10.95,11.04,2473369.0,11.04,GOOG-Q
2018-10-04,11.11,11.47,11.1,11.35,5370972.0,11.35,GOOG-Q
2018-10-05,11.35,11.66,11.35,11.63,6068118.0,11.63,GOOG-Q
2018-10-08,11.58,11.6,11.44,11.57,3301232.0,11.57,GOOG-Q
2018-10-09,11.49,11.63,11.45,11.57,4517108.0,11.57,GOOG-Q
2018-10-10,11.54,11.58,11.46,11.56,4466210.0,11.56,GOOG-Q
2018-10-11,11.38,11.48,11.25,11.36,12006682.0,11.36,GOOG-Q
2018-10-12,11.17,11.31,11.13,11.31,6669017.0,11.31,GOOG-Q
2018-10-15,11.08,11.16,10.99,11.13,4498489.0,11.13,GOOG-Q
2018-10-16,11.22,11.36,11.17,11.3,1750742.0,11.3,GOOG-Q
2018-10-17,11.35,11.49,11.31,11.45,1851036.0,11.45,GOOG-Q
