DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-01-04,1.13,1.13,1.03,1.05,5569712.0,1.05,GOOG-H
2007-01-05,1.09,1.14,1.08,1.13,8065971.0,1.13,GOOG-H
2007-01-08,1.16,1.22,1.13,1.21,4052542.0,1.21,GOOG-H
2007-01-09,1.23,1.23,1.2,1.22,2485806.0,1.22,GOOG-H
2007-01-10,1.25,1.36,1.24,1.32,3159916.0,1.32,GOOG-H
2007-01-11,1.34,1.37,1.26,1.27,3504213.0,1.27,GOOG-H
2007-01-12,1.26,1.26,1.2,1.21,1393093.0,1.21,GOOG-H
2007-01-15,1.25,1.27,1.23,1.25,2106136.0,1.25,GOOG-H
2007-01-16,1.27,1.32,1.27,1.31,2495444.0,1.31,GOOG-H
2007-01-17,1.31,1.31,1.28,1.28,1361543.0,1.28,GOOG-H
2007-01-18,1.3,1.31,1.28,1.29,1053313.0,1.29,GOOG-H
2007-01-19,1.29,1.31,1.28,1.29,719940.0,1.29,GOOG-H
2007-01-22,1.3,1.3,1.27,1.28,977761.0,1.28,GOOG-H
2007-01-23,1.28,1.28,1.26,1.27,781264.0,1.27,GOOG-H
2007-01-24,1.28,1.28,1.25,1.25,663636.0,1.25,GOOG-H
2007-01-25,1.26,1.27,1.25,1.26,515705.0,1.26,GOOG-H
2007-01-29,1.26,1.26,1.2,1.21,1171796.0,1.21,GOOG-H
2007-01-30,1.22,1.25,1.21,1.22,761437.0,1.22,GOOG-H
2007-01-31,1.22,1.25,1.22,1.24,662212.0,1.24,GOOG-H
2007-02-01,1.24,1.25,1.24,1.24,731474.0,1.24,GOOG-H
2007-02-02,1.24,1.24,1.23,1.24,637985.0,1.24,GOOG-H
2007-02-05,1.24,1.24,1.23,1.23,362144.0,1.23,GOOG-H
2007-02-06,1.23,1.24,1.22,1.22,856868.0,1.22,GOOG-H
2007-02-07,1.23,1.24,1.23,1.23,404106.0,1.23,GOOG-H
2007-02-08,1.23,1.23,1.22,1.22,499270.0,1.22,GOOG-H
2007-02-09,1.22,1.23,1.21,1.23,308180.0,1.23,GOOG-H
2007-02-12,1.23,1.23,1.21,1.22,302200.0,1.22,GOOG-H
2007-02-13,1.22,1.23,1.22,1.22,113378.0,1.22,GOOG-H
2007-02-14,1.22,1.22,1.2,1.2,388620.0,1.2,GOOG-H
2007-02-15,1.2,1.2,1.16,1.18,608877.0,1.18,GOOG-H
2007-02-16,1.17,1.21,1.17,1.19,436300.0,1.19,GOOG-H
2007-02-19,1.19,1.21,1.16,1.17,755678.0,1.17,GOOG-H
2007-02-20,1.18,1.18,1.15,1.16,277225.0,1.16,GOOG-H
2007-02-21,1.16,1.16,1.11,1.11,291414.0,1.11,GOOG-H
2007-02-22,1.11,1.17,1.11,1.16,408371.0,1.16,GOOG-H
2007-02-23,1.17,1.18,1.16,1.18,316476.0,1.18,GOOG-H
2007-02-26,1.17,1.19,1.17,1.18,311605.0,1.18,GOOG-H
2007-02-27,1.17,1.18,1.15,1.15,170820.0,1.15,GOOG-H
2007-02-28,1.12,1.17,1.1,1.17,934515.0,1.17,GOOG-H
2007-03-01,1.17,1.17,1.12,1.13,256498.0,1.13,GOOG-H
2007-03-02,1.13,1.13,1.12,1.12,271500.0,1.12,GOOG-H
2007-03-05,1.12,1.13,1.11,1.11,296996.0,1.11,GOOG-H
2007-03-06,1.11,1.12,1.1,1.12,99200.0,1.12,GOOG-H
2007-03-07,1.12,1.12,1.11,1.11,161343.0,1.11,GOOG-H
2007-03-08,1.11,1.11,1.1,1.11,176377.0,1.11,GOOG-H
2007-03-09,1.11,1.11,1.11,1.11,309085.0,1.11,GOOG-H
2007-03-12,1.11,1.11,1.11,1.11,103850.0,1.11,GOOG-H
2007-03-13,1.11,1.11,1.1,1.11,369883.0,1.11,GOOG-H
2007-03-14,1.11,1.11,1.1,1.11,369883.0,1.11,GOOG-H
2007-03-15,1.11,1.11,1.1,1.1,88852.0,1.1,GOOG-H
2007-03-16,1.1,1.11,1.1,1.11,140544.0,1.11,GOOG-H
2007-03-19,1.11,1.11,1.09,1.09,168850.0,1.09,GOOG-H
2007-03-20,1.1,1.14,1.09,1.14,492887.0,1.14,GOOG-H
2007-03-21,1.14,1.16,1.14,1.15,200278.0,1.15,GOOG-H
2007-03-22,1.15,1.15,1.12,1.13,114970.0,1.13,GOOG-H
2007-03-23,1.13,1.13,1.12,1.12,125304.0,1.12,GOOG-H
2007-03-26,1.15,1.16,1.13,1.13,283640.0,1.13,GOOG-H
2007-03-27,1.14,1.14,1.12,1.12,277280.0,1.12,GOOG-H
2007-03-28,1.12,1.12,1.12,1.12,102670.0,1.12,GOOG-H
2007-03-29,1.12,1.13,1.12,1.13,200000.0,1.13,GOOG-H
2007-03-30,1.14,1.14,1.13,1.13,210200.0,1.13,GOOG-H
2007-04-02,1.14,1.14,1.13,1.14,184300.0,1.14,GOOG-H
2007-04-03,1.14,1.15,1.14,1.15,47615.0,1.15,GOOG-H
2007-04-04,1.15,1.15,1.13,1.14,221900.0,1.14,GOOG-H
2007-04-05,1.14,1.14,1.13,1.14,175466.0,1.14,GOOG-H
2007-04-10,1.14,1.21,1.14,1.19,1369849.0,1.19,GOOG-H
2007-04-11,1.19,1.19,1.15,1.16,521297.0,1.16,GOOG-H
2007-04-12,1.16,1.2,1.16,1.17,548467.0,1.17,GOOG-H
2007-04-13,1.19,1.19,1.15,1.17,365050.0,1.17,GOOG-H
2007-04-16,1.17,1.18,1.16,1.16,164717.0,1.16,GOOG-H
2007-04-17,1.17,1.17,1.13,1.13,352348.0,1.13,GOOG-H
2007-04-18,1.13,1.15,1.12,1.12,221973.0,1.12,GOOG-H
2007-04-19,1.12,1.15,1.12,1.15,248241.0,1.15,GOOG-H
2007-04-20,1.15,1.17,1.15,1.15,263222.0,1.15,GOOG-H
2007-04-23,1.16,1.17,1.16,1.16,149285.0,1.16,GOOG-H
2007-04-24,1.16,1.16,1.14,1.14,179350.0,1.14,GOOG-H
2007-04-26,1.15,1.15,1.14,1.14,82542.0,1.14,GOOG-H
2007-04-27,1.14,1.15,1.13,1.15,88000.0,1.15,GOOG-H
2007-04-30,1.14,1.14,1.12,1.13,161962.0,1.13,GOOG-H
2007-05-01,1.16,1.17,1.16,1.16,400856.0,1.16,GOOG-H
2007-05-02,1.17,1.17,1.15,1.15,631150.0,1.15,GOOG-H
2007-05-03,1.16,1.16,1.15,1.16,568232.0,1.16,GOOG-H
2007-05-04,1.16,1.17,1.15,1.17,325790.0,1.17,GOOG-H
2007-05-07,1.16,1.18,1.16,1.18,487795.0,1.18,GOOG-H
2007-05-08,1.19,1.25,1.19,1.22,1026832.0,1.22,GOOG-H
2007-05-09,1.23,1.26,1.23,1.23,1364210.0,1.23,GOOG-H
2007-05-10,1.24,1.25,1.23,1.24,265737.0,1.24,GOOG-H
2007-05-11,1.23,1.24,1.22,1.24,332921.0,1.24,GOOG-H
2007-05-14,1.24,1.24,1.23,1.24,180025.0,1.24,GOOG-H
2007-05-15,1.24,1.24,1.22,1.22,298574.0,1.22,GOOG-H
2007-05-16,1.22,1.22,1.2,1.2,210975.0,1.2,GOOG-H
2007-05-17,1.2,1.2,1.17,1.19,245907.0,1.19,GOOG-H
2007-05-18,1.2,1.22,1.17,1.17,366493.0,1.17,GOOG-H
2007-05-21,1.17,1.17,1.16,1.17,250000.0,1.17,GOOG-H
2007-05-22,1.18,1.19,1.16,1.16,403633.0,1.16,GOOG-H
2007-05-23,1.17,1.2,1.17,1.2,180637.0,1.2,GOOG-H
2007-05-24,1.19,1.2,1.16,1.17,242527.0,1.17,GOOG-H
2007-05-25,1.17,1.18,1.16,1.17,180751.0,1.17,GOOG-H
2007-05-28,1.17,1.21,1.15,1.17,401805.0,1.17,GOOG-H
2007-05-29,1.17,1.2,1.16,1.16,234567.0,1.16,GOOG-H
2007-05-30,1.17,1.17,1.14,1.14,360299.0,1.14,GOOG-H
2007-05-31,1.15,1.17,1.15,1.15,60280.0,1.15,GOOG-H
2007-06-01,1.16,1.17,1.15,1.16,165850.0,1.16,GOOG-H
2007-06-04,1.16,1.16,1.14,1.15,444718.0,1.15,GOOG-H
2007-06-05,1.16,1.16,1.14,1.15,249100.0,1.15,GOOG-H
2007-06-06,1.15,1.16,1.15,1.15,106700.0,1.15,GOOG-H
2007-06-07,1.15,1.17,1.15,1.17,241226.0,1.17,GOOG-H
2007-06-08,1.16,1.17,1.14,1.15,229979.0,1.15,GOOG-H
2007-06-12,1.14,1.14,1.13,1.13,137066.0,1.13,GOOG-H
2007-06-13,1.13,1.14,1.12,1.14,459100.0,1.14,GOOG-H
2007-06-14,1.14,1.14,1.13,1.14,306781.0,1.14,GOOG-H
2007-06-15,1.14,1.15,1.14,1.14,224833.0,1.14,GOOG-H
2007-06-18,1.14,1.15,1.14,1.14,576952.0,1.14,GOOG-H
2007-06-19,1.14,1.15,1.14,1.14,362492.0,1.14,GOOG-H
2007-06-20,1.15,1.15,1.14,1.14,257001.0,1.14,GOOG-H
2007-06-21,1.14,1.15,1.14,1.15,75500.0,1.15,GOOG-H
2007-06-22,1.14,1.14,1.14,1.14,417725.0,1.14,GOOG-H
2007-06-25,1.14,1.14,1.08,1.1,415212.0,1.1,GOOG-H
2007-06-26,1.1,1.13,1.1,1.12,283515.0,1.12,GOOG-H
2007-06-27,1.13,1.13,1.09,1.1,624291.0,1.1,GOOG-H
2007-06-28,1.11,1.14,1.11,1.14,325709.0,1.14,GOOG-H
2007-06-29,1.13,1.13,1.12,1.13,451200.0,1.13,GOOG-H
2007-07-02,1.13,1.14,1.13,1.13,321020.0,1.13,GOOG-H
2007-07-03,1.14,1.15,1.12,1.13,632427.0,1.13,GOOG-H
2007-07-04,1.12,1.13,1.11,1.13,481604.0,1.13,GOOG-H
2007-07-05,1.12,1.13,1.12,1.12,267810.0,1.12,GOOG-H
2007-07-06,1.12,1.15,1.12,1.13,182119.0,1.13,GOOG-H
2007-07-09,1.13,1.14,1.12,1.13,434882.0,1.13,GOOG-H
2007-07-10,1.13,1.16,1.13,1.15,324644.0,1.15,GOOG-H
2007-07-11,1.15,1.17,1.15,1.17,479500.0,1.17,GOOG-H
2007-07-12,1.17,1.18,1.16,1.17,1905885.0,1.17,GOOG-H
2007-07-13,1.17,1.18,1.17,1.17,648645.0,1.17,GOOG-H
2007-07-16,1.17,1.19,1.17,1.18,167408.0,1.18,GOOG-H
2007-07-17,1.18,1.2,1.18,1.2,161554.0,1.2,GOOG-H
2007-07-18,1.21,1.25,1.21,1.25,679699.0,1.25,GOOG-H
2007-07-19,1.25,1.27,1.24,1.25,340158.0,1.25,GOOG-H
2007-07-20,1.26,1.31,1.26,1.31,677150.0,1.31,GOOG-H
2007-07-23,1.31,1.32,1.3,1.31,748932.0,1.31,GOOG-H
2007-07-24,1.31,1.31,1.3,1.31,327296.0,1.31,GOOG-H
2007-07-25,1.31,1.32,1.31,1.31,317176.0,1.31,GOOG-H
2007-07-26,1.32,1.33,1.31,1.31,904951.0,1.31,GOOG-H
2007-07-27,1.25,1.32,1.25,1.32,575000.0,1.32,GOOG-H
2007-07-30,1.32,1.32,1.29,1.31,458354.0,1.31,GOOG-H
2007-07-31,1.31,1.32,1.24,1.24,410486.0,1.24,GOOG-H
2007-08-01,1.25,1.25,1.17,1.17,620295.0,1.17,GOOG-H
2007-08-02,1.2,1.23,1.15,1.15,233085.0,1.15,GOOG-H
2007-08-03,1.16,1.25,1.16,1.22,137643.0,1.22,GOOG-H
2007-08-06,1.22,1.22,1.16,1.19,474105.0,1.19,GOOG-H
2007-08-07,1.16,1.21,1.15,1.19,787046.0,1.19,GOOG-H
2007-08-08,1.19,1.19,1.16,1.17,176873.0,1.17,GOOG-H
2007-08-09,1.17,1.2,1.17,1.19,1688613.0,1.19,GOOG-H
2007-08-10,1.16,1.21,1.16,1.16,160865.0,1.16,GOOG-H
2007-08-13,1.16,1.17,1.15,1.17,109510.0,1.17,GOOG-H
2007-08-14,1.17,1.17,1.11,1.13,387718.0,1.13,GOOG-H
2007-08-15,1.13,1.13,1.09,1.09,233264.0,1.09,GOOG-H
2007-08-16,1.09,1.09,0.99,1.08,738321.0,1.08,GOOG-H
2007-08-17,1.09,1.09,1.03,1.03,469067.0,1.03,GOOG-H
2007-08-20,1.08,1.08,1.06,1.06,105765.0,1.06,GOOG-H
2007-08-21,1.08,1.09,1.08,1.08,287435.0,1.08,GOOG-H
2007-08-22,1.08,1.09,1.08,1.08,161200.0,1.08,GOOG-H
2007-08-23,1.09,1.12,1.09,1.11,598670.0,1.11,GOOG-H
2007-08-24,1.11,1.12,1.11,1.11,292031.0,1.11,GOOG-H
2007-08-27,1.1,1.12,1.09,1.1,444980.0,1.1,GOOG-H
2007-08-28,1.1,1.13,1.1,1.1,928613.0,1.1,GOOG-H
2007-08-29,1.1,1.11,1.09,1.1,350549.0,1.1,GOOG-H
2007-08-30,1.1,1.1,1.09,1.1,40631.0,1.1,GOOG-H
2007-08-31,1.09,1.09,1.09,1.09,74203.0,1.09,GOOG-H
2007-09-03,1.09,1.15,1.09,1.14,480200.0,1.14,GOOG-H
2007-09-04,1.14,1.14,1.09,1.12,162275.0,1.12,GOOG-H
2007-09-05,1.12,1.12,1.09,1.12,477081.0,1.12,GOOG-H
2007-09-06,1.12,1.12,1.09,1.11,173500.0,1.11,GOOG-H
2007-09-10,1.09,1.12,1.09,1.12,246552.0,1.12,GOOG-H
2007-09-11,1.11,1.11,1.09,1.09,146454.0,1.09,GOOG-H
2007-09-12,1.1,1.1,1.09,1.1,384211.0,1.1,GOOG-H
2007-09-13,1.1,1.1,1.09,1.09,177500.0,1.09,GOOG-H
2007-09-14,1.09,1.12,1.09,1.12,133001.0,1.12,GOOG-H
2007-09-17,1.1,1.1,1.1,1.1,136239.0,1.1,GOOG-H
2007-09-18,1.1,1.1,1.09,1.09,161889.0,1.09,GOOG-H
2007-09-19,1.09,1.09,1.08,1.08,265918.0,1.08,GOOG-H
2007-09-20,1.08,1.08,1.04,1.08,350509.0,1.08,GOOG-H
2007-09-21,1.07,1.08,1.07,1.08,97104.0,1.08,GOOG-H
2007-09-24,1.08,1.08,1.07,1.07,463246.0,1.07,GOOG-H
2007-09-25,1.07,1.1,1.07,1.08,729753.0,1.08,GOOG-H
2007-09-26,1.08,1.1,1.08,1.1,413026.0,1.1,GOOG-H
2007-09-27,1.1,1.11,1.08,1.09,1107104.0,1.09,GOOG-H
2007-09-28,1.11,1.11,1.08,1.08,400657.0,1.08,GOOG-H
2007-10-01,1.08,1.09,1.08,1.09,54199.0,1.09,GOOG-H
2007-10-02,1.09,1.09,1.06,1.07,335094.0,1.07,GOOG-H
2007-10-03,1.07,1.08,1.07,1.08,338940.0,1.08,GOOG-H
2007-10-04,1.08,1.08,1.06,1.08,264221.0,1.08,GOOG-H
2007-10-05,1.07,1.08,1.06,1.07,151181.0,1.07,GOOG-H
2007-10-08,1.07,1.08,1.06,1.06,144090.0,1.06,GOOG-H
2007-10-09,1.06,1.09,1.06,1.07,121836.0,1.07,GOOG-H
2007-10-10,1.08,1.09,1.07,1.07,198900.0,1.07,GOOG-H
2007-10-11,1.08,1.08,1.06,1.08,138387.0,1.08,GOOG-H
2007-10-12,1.08,1.09,1.07,1.08,151000.0,1.08,GOOG-H
2007-10-15,1.08,1.08,1.07,1.07,91884.0,1.07,GOOG-H
2007-10-16,1.07,1.09,1.07,1.07,133595.0,1.07,GOOG-H
2007-10-17,1.07,1.08,1.05,1.05,407382.0,1.05,GOOG-H
2007-10-18,1.05,1.06,1.05,1.06,255426.0,1.06,GOOG-H
2007-10-19,1.06,1.09,1.06,1.06,320687.0,1.06,GOOG-H
2007-10-22,1.06,1.06,1.04,1.04,246040.0,1.04,GOOG-H
2007-10-23,1.05,1.06,1.03,1.03,176075.0,1.03,GOOG-H
2007-10-24,1.04,1.04,1.02,1.03,355121.0,1.03,GOOG-H
2007-10-25,1.03,1.03,1.0,1.01,246787.0,1.01,GOOG-H
2007-10-26,1.01,1.03,1.01,1.03,713495.0,1.03,GOOG-H
2007-10-29,1.02,1.04,1.01,1.02,261664.0,1.02,GOOG-H
2007-10-30,1.03,1.04,1.02,1.03,235478.0,1.03,GOOG-H
2007-10-31,1.03,1.04,1.03,1.03,133034.0,1.03,GOOG-H
2007-11-01,1.03,1.05,1.03,1.05,73276.0,1.05,GOOG-H
2007-11-02,1.05,1.08,1.05,1.05,185737.0,1.05,GOOG-H
2007-11-05,1.05,1.07,1.03,1.03,52754.0,1.03,GOOG-H
2007-11-06,1.03,1.04,1.03,1.04,9900.0,1.04,GOOG-H
2007-11-07,1.06,1.07,1.03,1.07,506640.0,1.07,GOOG-H
2007-11-08,1.04,1.07,1.04,1.06,213488.0,1.06,GOOG-H
2007-11-09,1.07,1.1,1.07,1.09,937790.0,1.09,GOOG-H
2007-11-12,1.09,1.09,1.08,1.08,494944.0,1.08,GOOG-H
2007-11-13,1.08,1.08,1.08,1.08,322394.0,1.08,GOOG-H
2007-11-14,1.08,1.11,1.08,1.11,1120431.0,1.11,GOOG-H
2007-11-15,1.09,1.11,1.09,1.09,4416974.0,1.09,GOOG-H
2007-11-16,1.1,1.1,1.09,1.1,194982.0,1.1,GOOG-H
2007-11-19,1.1,1.1,1.09,1.09,201130.0,1.09,GOOG-H
2007-11-20,1.08,1.1,1.08,1.1,231543.0,1.1,GOOG-H
2007-11-21,1.1,1.1,1.07,1.07,204768.0,1.07,GOOG-H
2007-11-22,1.07,1.08,1.05,1.06,164252.0,1.06,GOOG-H
2007-11-23,1.07,1.08,1.06,1.06,167353.0,1.06,GOOG-H
2007-11-26,1.06,1.06,1.03,1.03,489809.0,1.03,GOOG-H
2007-11-27,1.03,1.04,1.03,1.04,179310.0,1.04,GOOG-H
2007-11-28,1.04,1.04,1.02,1.04,124955.0,1.04,GOOG-H
2007-11-29,1.03,1.06,1.03,1.06,231188.0,1.06,GOOG-H
2007-11-30,1.04,1.05,1.03,1.03,215125.0,1.03,GOOG-H
2007-12-03,1.04,1.04,1.03,1.03,35003.0,1.03,GOOG-H
2007-12-04,1.04,1.06,1.04,1.04,108476.0,1.04,GOOG-H
2007-12-05,1.05,1.05,1.03,1.04,369277.0,1.04,GOOG-H
2007-12-06,1.05,1.05,1.04,1.04,1071155.0,1.04,GOOG-H
2007-12-07,1.04,1.08,1.03,1.06,168423.0,1.06,GOOG-H
2007-12-10,1.06,1.06,1.03,1.03,140829.0,1.03,GOOG-H
2007-12-11,1.04,1.04,1.03,1.03,109813.0,1.03,GOOG-H
2007-12-12,1.03,1.04,1.01,1.01,680104.0,1.01,GOOG-H
2007-12-13,1.03,1.05,1.03,1.05,226500.0,1.05,GOOG-H
2007-12-14,1.04,1.04,1.03,1.04,133420.0,1.04,GOOG-H
2007-12-17,1.04,1.04,1.01,1.01,750365.0,1.01,GOOG-H
2007-12-18,1.01,1.02,1.0,1.02,355455.0,1.02,GOOG-H
2007-12-19,1.02,1.02,0.99,1.0,423686.0,1.0,GOOG-H
2007-12-20,1.0,1.01,0.95,0.95,525319.0,0.95,GOOG-H
2007-12-21,0.95,0.96,0.95,0.95,1120827.0,0.95,GOOG-H
2007-12-24,0.95,1.01,0.95,1.01,120625.0,1.01,GOOG-H
2007-12-27,0.99,1.0,0.97,0.98,11000.0,0.98,GOOG-H
2007-12-28,1.0,1.0,1.0,1.0,10500.0,1.0,GOOG-H
2007-12-31,1.0,1.0,1.0,1.0,47549.0,1.0,GOOG-H
2008-01-02,0.99,1.0,0.98,0.98,183811.0,0.98,GOOG-H
2008-01-03,0.99,0.99,0.98,0.99,116839.0,0.99,GOOG-H
