DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-12-01,1.0,1.34,0.95,1.33,7252529.0,1.33,GOOG-H
1999-12-02,1.38,1.53,1.18,1.22,3407383.0,1.22,GOOG-H
1999-12-03,1.26,1.3,1.06,1.11,906184.0,1.11,GOOG-H
1999-12-06,1.15,1.15,0.91,1.02,1029321.0,1.02,GOOG-H
1999-12-07,1.0,1.0,0.88,0.88,480026.0,0.88,GOOG-H
1999-12-08,0.88,0.88,0.82,0.85,480738.0,0.85,GOOG-H
1999-12-09,0.83,1.02,0.83,1.0,435533.0,1.0,GOOG-H
1999-12-10,1.02,1.03,0.88,0.88,132366.0,0.88,GOOG-H
1999-12-13,0.89,0.94,0.89,0.91,63500.0,0.91,GOOG-H
1999-12-14,0.91,0.91,0.87,0.87,115550.0,0.87,GOOG-H
1999-12-15,0.86,0.98,0.86,0.98,107100.0,0.98,GOOG-H
1999-12-16,0.97,0.97,0.93,0.96,22080.0,0.96,GOOG-H
1999-12-17,0.96,0.96,0.88,0.88,48940.0,0.88,GOOG-H
1999-12-20,0.88,0.88,0.85,0.85,306250.0,0.85,GOOG-H
1999-12-21,0.9,0.9,0.79,0.8,229960.0,0.8,GOOG-H
1999-12-22,0.81,0.85,0.81,0.84,121340.0,0.84,GOOG-H
1999-12-23,0.85,0.87,0.85,0.86,110050.0,0.86,GOOG-H
1999-12-24,0.89,0.89,0.86,0.86,74616.0,0.86,GOOG-H
1999-12-29,0.88,0.9,0.88,0.88,36642.0,0.88,GOOG-H
1999-12-30,0.89,0.92,0.87,0.91,104806.0,0.91,GOOG-H
2000-01-04,0.92,0.94,0.9,0.9,109389.0,0.9,GOOG-H
2000-01-05,0.88,0.9,0.85,0.88,88893.0,0.88,GOOG-H
2000-01-06,0.88,0.88,0.85,0.85,105138.0,0.85,GOOG-H
2000-01-07,0.85,0.85,0.78,0.78,109150.0,0.78,GOOG-H
2000-01-10,0.8,0.81,0.78,0.8,116399.0,0.8,GOOG-H
2000-01-11,0.82,0.82,0.79,0.8,113300.0,0.8,GOOG-H
2000-01-12,0.81,0.81,0.77,0.8,100800.0,0.8,GOOG-H
2000-01-13,0.77,0.8,0.77,0.77,6500.0,0.77,GOOG-H
2000-01-14,0.77,0.77,0.72,0.75,104764.0,0.75,GOOG-H
2000-01-17,0.75,0.75,0.7,0.7,78247.0,0.7,GOOG-H
2000-01-18,0.7,0.8,0.7,0.78,198744.0,0.78,GOOG-H
2000-01-19,0.78,0.8,0.75,0.75,110011.0,0.75,GOOG-H
2000-01-20,0.75,0.79,0.74,0.78,13300.0,0.78,GOOG-H
2000-01-24,0.74,0.74,0.69,0.71,134522.0,0.71,GOOG-H
2000-01-25,0.71,0.73,0.7,0.7,142000.0,0.7,GOOG-H
2000-01-27,0.7,0.7,0.67,0.69,31500.0,0.69,GOOG-H
2000-01-28,0.7,0.74,0.7,0.71,277001.0,0.71,GOOG-H
2000-01-31,0.71,0.71,0.68,0.71,88717.0,0.71,GOOG-H
2000-02-01,0.71,0.72,0.69,0.69,70100.0,0.69,GOOG-H
2000-02-02,0.69,0.7,0.69,0.69,77400.0,0.69,GOOG-H
2000-02-03,0.71,0.79,0.71,0.76,148334.0,0.76,GOOG-H
2000-02-04,0.78,0.79,0.76,0.79,233914.0,0.79,GOOG-H
2000-02-07,0.79,0.86,0.79,0.86,153126.0,0.86,GOOG-H
2000-02-08,0.86,0.86,0.7,0.84,219330.0,0.84,GOOG-H
2000-02-09,0.81,0.81,0.8,0.81,33700.0,0.81,GOOG-H
2000-02-10,0.79,0.8,0.79,0.8,57500.0,0.8,GOOG-H
2000-02-11,0.8,0.8,0.78,0.78,39050.0,0.78,GOOG-H
2000-02-14,0.8,0.81,0.79,0.79,61625.0,0.79,GOOG-H
2000-02-15,0.81,0.86,0.8,0.86,182293.0,0.86,GOOG-H
2000-02-16,0.86,0.86,0.8,0.83,82100.0,0.83,GOOG-H
2000-02-17,0.83,0.83,0.79,0.82,84539.0,0.82,GOOG-H
2000-02-18,0.82,0.82,0.78,0.81,68300.0,0.81,GOOG-H
2000-02-21,0.8,0.81,0.78,0.8,132351.0,0.8,GOOG-H
2000-02-22,0.83,0.83,0.81,0.81,196459.0,0.81,GOOG-H
2000-02-23,0.79,0.8,0.77,0.77,50567.0,0.77,GOOG-H
2000-02-24,0.78,0.78,0.73,0.75,68805.0,0.75,GOOG-H
2000-02-25,0.75,0.75,0.7,0.75,55266.0,0.75,GOOG-H
2000-02-28,0.75,0.75,0.7,0.7,32100.0,0.7,GOOG-H
2000-02-29,0.7,0.72,0.69,0.69,45000.0,0.69,GOOG-H
2000-03-01,0.7,0.7,0.69,0.69,3600.0,0.69,GOOG-H
2000-03-02,0.7,0.72,0.7,0.7,61900.0,0.7,GOOG-H
2000-03-03,0.72,0.75,0.71,0.73,82100.0,0.73,GOOG-H
2000-03-06,0.74,0.77,0.71,0.76,70500.0,0.76,GOOG-H
2000-03-07,0.75,0.75,0.71,0.71,32450.0,0.71,GOOG-H
2000-03-08,0.71,0.72,0.69,0.7,51001.0,0.7,GOOG-H
2000-03-09,0.7,0.71,0.69,0.69,23100.0,0.69,GOOG-H
2000-03-10,0.7,0.71,0.7,0.7,33500.0,0.7,GOOG-H
2000-03-13,0.69,0.69,0.68,0.69,62241.0,0.69,GOOG-H
2000-03-14,0.69,0.72,0.69,0.7,31500.0,0.7,GOOG-H
2000-03-15,0.68,0.68,0.61,0.63,92500.0,0.63,GOOG-H
2000-03-16,0.64,0.64,0.56,0.59,120450.0,0.59,GOOG-H
2000-03-17,0.6,0.6,0.58,0.58,76960.0,0.58,GOOG-H
2000-03-20,0.6,0.65,0.59,0.59,56000.0,0.59,GOOG-H
2000-03-21,0.58,0.58,0.55,0.55,74000.0,0.55,GOOG-H
2000-03-22,0.57,0.6,0.57,0.6,116310.0,0.6,GOOG-H
2000-03-23,0.64,0.66,0.61,0.61,145029.0,0.61,GOOG-H
2000-03-24,0.61,0.61,0.59,0.59,44000.0,0.59,GOOG-H
2000-03-27,0.57,0.58,0.55,0.55,186125.0,0.55,GOOG-H
2000-03-28,0.55,0.55,0.52,0.53,40658.0,0.53,GOOG-H
2000-03-29,0.52,0.53,0.5,0.51,117000.0,0.51,GOOG-H
2000-03-30,0.51,0.71,0.5,0.6,607903.0,0.6,GOOG-H
2000-03-31,0.59,0.6,0.54,0.54,156640.0,0.54,GOOG-H
2000-04-03,0.55,0.57,0.53,0.57,79529.0,0.57,GOOG-H
2000-04-04,0.59,0.59,0.53,0.55,61630.0,0.55,GOOG-H
2000-04-05,0.52,0.52,0.5,0.5,156141.0,0.5,GOOG-H
2000-04-06,0.5,0.55,0.47,0.55,116859.0,0.55,GOOG-H
2000-04-07,0.55,0.55,0.51,0.51,67110.0,0.51,GOOG-H
2000-04-10,0.49,0.5,0.48,0.5,103600.0,0.5,GOOG-H
2000-04-11,0.5,0.5,0.46,0.46,38000.0,0.46,GOOG-H
2000-04-12,0.46,0.48,0.43,0.48,30700.0,0.48,GOOG-H
2000-04-13,0.46,0.46,0.44,0.45,22700.0,0.45,GOOG-H
2000-04-14,0.43,0.43,0.38,0.39,93352.0,0.39,GOOG-H
2000-04-17,0.3,0.32,0.26,0.3,128200.0,0.3,GOOG-H
2000-04-18,0.37,0.38,0.32,0.35,145415.0,0.35,GOOG-H
2000-04-19,0.37,0.37,0.31,0.31,112980.0,0.31,GOOG-H
