DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,1.64,1.64,1.62,1.62,55930.0,1.62,GOOG-H
1999-01-05,1.62,1.62,1.62,1.62,9500.0,1.62,GOOG-H
1999-01-06,1.64,1.64,1.62,1.63,41500.0,1.63,GOOG-H
1999-01-07,1.65,1.65,1.58,1.58,14338.0,1.58,GOOG-H
1999-01-08,1.62,1.62,1.6,1.62,28500.0,1.62,GOOG-H
1999-01-11,1.62,1.62,1.56,1.58,37971.0,1.58,GOOG-H
1999-01-12,1.6,1.6,1.57,1.58,533850.0,1.58,GOOG-H
1999-01-13,1.6,1.6,1.58,1.6,37275.0,1.6,GOOG-H
1999-01-14,1.63,1.63,1.6,1.6,30337.0,1.6,GOOG-H
1999-01-15,1.64,1.64,1.59,1.64,51070.0,1.64,GOOG-H
1999-01-18,1.65,1.65,1.64,1.64,47300.0,1.64,GOOG-H
1999-01-19,1.66,1.66,1.64,1.66,33674.0,1.66,GOOG-H
1999-01-20,1.7,1.7,1.66,1.7,20426.0,1.7,GOOG-H
1999-01-21,1.76,1.76,1.7,1.76,31470.0,1.76,GOOG-H
1999-01-22,1.87,1.87,1.76,1.83,72590.0,1.83,GOOG-H
1999-01-25,1.84,1.84,1.78,1.8,75000.0,1.8,GOOG-H
1999-01-27,1.83,1.83,1.83,1.83,20900.0,1.83,GOOG-H
1999-01-28,1.82,1.82,1.8,1.8,26000.0,1.8,GOOG-H
1999-01-29,1.85,1.85,1.8,1.85,77000.0,1.85,GOOG-H
1999-02-01,1.88,1.88,1.85,1.85,63760.0,1.85,GOOG-H
1999-02-02,1.88,1.88,1.81,1.81,22905.0,1.81,GOOG-H
1999-02-03,1.85,1.85,1.81,1.85,48900.0,1.85,GOOG-H
1999-02-04,1.84,1.84,1.81,1.81,30400.0,1.81,GOOG-H
1999-02-05,1.81,1.81,1.75,1.78,53750.0,1.78,GOOG-H
1999-02-08,1.75,1.75,1.72,1.73,9300.0,1.73,GOOG-H
1999-02-09,1.74,1.74,1.7,1.7,26570.0,1.7,GOOG-H
1999-02-10,1.6,1.7,1.58,1.6,79750.0,1.6,GOOG-H
1999-02-11,1.7,1.7,1.62,1.7,78888.0,1.7,GOOG-H
1999-02-12,1.75,1.75,1.7,1.7,17275.0,1.7,GOOG-H
1999-02-15,1.65,1.65,1.65,1.65,27530.0,1.65,GOOG-H
1999-02-16,1.65,1.65,1.65,1.65,15700.0,1.65,GOOG-H
1999-02-17,1.64,1.64,1.64,1.64,9500.0,1.64,GOOG-H
1999-02-18,1.65,1.65,1.64,1.64,26680.0,1.64,GOOG-H
1999-02-19,1.65,1.65,1.65,1.65,93692.0,1.65,GOOG-H
1999-02-22,1.65,1.65,1.63,1.64,26532.0,1.64,GOOG-H
1999-02-23,1.65,1.65,1.6,1.6,65238.0,1.6,GOOG-H
1999-02-24,1.6,1.6,1.59,1.6,54500.0,1.6,GOOG-H
1999-02-25,1.6,1.6,1.56,1.56,49750.0,1.56,GOOG-H
1999-02-26,1.56,1.56,1.55,1.56,53332.0,1.56,GOOG-H
1999-03-01,1.55,1.55,1.52,1.52,55359.0,1.52,GOOG-H
1999-03-02,1.55,1.55,1.52,1.52,72050.0,1.52,GOOG-H
1999-03-03,1.52,1.52,1.5,1.5,61123.0,1.5,GOOG-H
1999-03-04,1.5,1.5,1.35,1.45,49820.0,1.45,GOOG-H
1999-03-05,1.45,1.45,1.42,1.44,22750.0,1.44,GOOG-H
1999-03-08,1.46,1.46,1.45,1.45,36250.0,1.45,GOOG-H
1999-03-09,1.45,1.45,1.39,1.39,39707.0,1.39,GOOG-H
1999-03-10,1.4,1.4,1.38,1.4,223550.0,1.4,GOOG-H
1999-03-11,1.4,1.4,1.37,1.38,141770.0,1.38,GOOG-H
1999-03-12,1.39,1.39,1.35,1.38,306298.0,1.38,GOOG-H
1999-03-15,1.42,1.42,1.37,1.42,1009149.0,1.42,GOOG-H
1999-03-16,1.47,1.47,1.44,1.46,182293.0,1.46,GOOG-H
1999-03-17,1.46,1.46,1.45,1.46,160849.0,1.46,GOOG-H
1999-03-18,1.46,1.46,1.43,1.45,113240.0,1.45,GOOG-H
