DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,19.38,19.38,19.03,19.08,490177.0,19.08,GOOG-H
1999-01-05,19.12,19.12,18.6,18.86,1290519.0,18.86,GOOG-H
1999-01-06,19.08,19.08,18.83,19.0,770850.0,19.0,GOOG-H
1999-01-07,19.25,19.25,19.05,19.05,1215084.0,19.05,GOOG-H
1999-01-08,19.0,19.0,18.65,18.71,693098.0,18.71,GOOG-H
1999-01-11,19.1,19.1,18.75,19.07,1447166.0,19.07,GOOG-H
1999-01-12,19.8,19.8,19.11,19.59,2440155.0,19.59,GOOG-H
1999-01-13,19.7,19.7,19.32,19.7,1441207.0,19.7,GOOG-H
1999-01-14,19.55,19.55,19.25,19.5,564488.0,19.5,GOOG-H
1999-01-15,19.75,19.75,19.2,19.72,610971.0,19.72,GOOG-H
1999-01-18,19.82,19.82,19.5,19.56,835029.0,19.56,GOOG-H
1999-01-19,19.54,19.54,19.3,19.41,854659.0,19.41,GOOG-H
1999-01-20,19.55,19.55,19.2,19.4,967460.0,19.4,GOOG-H
1999-01-21,19.35,19.35,19.2,19.26,1335770.0,19.26,GOOG-H
1999-01-22,19.32,19.32,19.05,19.25,1206271.0,19.25,GOOG-H
1999-01-25,19.24,19.24,18.9,19.09,693663.0,19.09,GOOG-H
1999-01-27,19.48,19.48,19.33,19.4,1478700.0,19.4,GOOG-H
1999-01-28,19.89,19.89,19.39,19.79,991289.0,19.79,GOOG-H
1999-01-29,20.1,20.1,19.55,19.69,1351265.0,19.69,GOOG-H
1999-02-01,19.75,19.75,19.25,19.3,1126368.0,19.3,GOOG-H
1999-02-02,19.31,19.31,19.18,19.24,748888.0,19.24,GOOG-H
1999-02-03,19.52,19.52,19.2,19.4,1179435.0,19.4,GOOG-H
1999-02-04,19.55,19.55,19.48,19.51,502177.0,19.51,GOOG-H
1999-02-05,19.85,19.85,19.35,19.5,1024504.0,19.5,GOOG-H
1999-02-08,19.9,19.9,19.61,19.65,414941.0,19.65,GOOG-H
1999-02-09,20.4,20.4,19.91,20.0,1133137.0,20.0,GOOG-H
1999-02-10,20.0,20.0,19.65,19.8,976627.0,19.8,GOOG-H
1999-02-11,20.13,20.13,19.92,20.1,1472460.0,20.1,GOOG-H
1999-02-12,20.45,20.45,20.2,20.4,1568253.0,20.4,GOOG-H
1999-02-15,20.9,20.9,20.5,20.76,2425968.0,20.76,GOOG-H
1999-02-16,20.7,20.7,20.16,20.16,1221327.0,20.16,GOOG-H
1999-02-17,20.2,20.2,19.8,19.88,1050775.0,19.88,GOOG-H
1999-02-18,19.9,19.9,19.63,19.7,592716.0,19.7,GOOG-H
1999-02-19,20.0,20.0,19.74,19.94,959429.0,19.94,GOOG-H
1999-02-22,20.25,20.25,19.75,20.2,1345335.0,20.2,GOOG-H
1999-02-23,20.75,20.75,20.35,20.7,1954677.0,20.7,GOOG-H
1999-02-24,20.8,20.8,20.64,20.78,1726531.0,20.78,GOOG-H
1999-02-25,20.95,20.95,20.7,20.7,1588303.0,20.7,GOOG-H
1999-02-26,20.74,20.74,20.13,20.13,2626063.0,20.13,GOOG-H
1999-03-01,20.6,20.6,20.35,20.45,915606.0,20.45,GOOG-H
1999-03-02,20.45,20.45,20.3,20.4,710548.0,20.4,GOOG-H
1999-03-03,20.5,20.5,20.2,20.24,1341930.0,20.24,GOOG-H
1999-03-04,20.35,20.35,20.1,20.22,1469658.0,20.22,GOOG-H
1999-03-05,20.49,20.49,20.3,20.35,1086791.0,20.35,GOOG-H
1999-03-08,20.74,20.74,20.43,20.65,458548.0,20.65,GOOG-H
1999-03-09,20.35,20.35,20.02,20.35,5830015.0,20.35,GOOG-H
1999-03-10,20.9,20.9,20.4,20.79,1034916.0,20.79,GOOG-H
1999-03-12,22.0,22.0,21.43,21.9,1235071.0,21.9,GOOG-H
