DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-11-25,0.81,0.9,0.81,0.89,255350.0,0.89,GOOG-H
1999-11-26,0.91,0.91,0.88,0.88,166721.0,0.88,GOOG-H
1999-11-29,0.88,0.88,0.85,0.85,588785.0,0.85,GOOG-H
1999-11-30,0.84,0.84,0.82,0.83,402860.0,0.83,GOOG-H
1999-12-01,0.82,0.82,0.81,0.81,222723.0,0.81,GOOG-H
1999-12-02,0.81,0.83,0.81,0.83,369703.0,0.83,GOOG-H
1999-12-03,0.83,0.83,0.83,0.83,20400.0,0.83,GOOG-H
1999-12-06,0.84,0.84,0.83,0.83,36150.0,0.83,GOOG-H
1999-12-07,0.83,0.83,0.83,0.83,669000.0,0.83,GOOG-H
1999-12-08,0.83,0.83,0.83,0.83,282000.0,0.83,GOOG-H
1999-12-09,0.86,0.88,0.86,0.88,166400.0,0.88,GOOG-H
1999-12-10,0.91,0.91,0.91,0.91,627005.0,0.91,GOOG-H
1999-12-13,0.94,0.94,0.92,0.93,923800.0,0.93,GOOG-H
1999-12-14,0.94,0.94,0.94,0.94,184500.0,0.94,GOOG-H
1999-12-15,0.93,0.93,0.91,0.91,16031.0,0.91,GOOG-H
1999-12-16,0.88,0.88,0.88,0.88,10900.0,0.88,GOOG-H
1999-12-17,0.88,0.88,0.88,0.88,7900.0,0.88,GOOG-H
1999-12-20,0.88,0.88,0.88,0.88,31375.0,0.88,GOOG-H
1999-12-21,0.88,0.88,0.88,0.88,21000.0,0.88,GOOG-H
1999-12-22,0.88,0.88,0.88,0.88,5990.0,0.88,GOOG-H
1999-12-23,0.88,0.88,0.88,0.88,200000.0,0.88,GOOG-H
1999-12-24,0.88,0.88,0.88,0.88,24300.0,0.88,GOOG-H
1999-12-29,0.84,0.84,0.84,0.84,5.0,0.84,GOOG-H
1999-12-30,0.86,0.86,0.86,0.86,305200.0,0.86,GOOG-H
2000-01-04,0.85,0.85,0.83,0.83,15249.0,0.83,GOOG-H
2000-01-05,0.81,0.81,0.8,0.81,23061.0,0.81,GOOG-H
2000-01-06,0.81,0.81,0.8,0.8,187994.0,0.8,GOOG-H
