DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2016-04-29,2.78,2.89,2.75,2.86,80980879.0,2.86,GOOG-H
2016-05-02,2.84,2.92,2.83,2.9,16779703.0,2.9,GOOG-H
2016-05-03,2.9,2.91,2.85,2.86,4907897.0,2.86,GOOG-H
2016-05-04,2.83,2.85,2.77,2.83,4269746.0,2.83,GOOG-H
2016-05-05,2.84,2.84,2.77,2.77,5307540.0,2.77,GOOG-H
2016-05-06,2.77,2.81,2.76,2.79,4230438.0,2.79,GOOG-H
2016-05-09,2.77,2.8,2.77,2.78,2428706.0,2.78,GOOG-H
2016-05-10,2.79,2.8,2.77,2.78,2670253.0,2.78,GOOG-H
2016-05-11,2.78,2.81,2.77,2.79,3497446.0,2.79,GOOG-H
2016-05-12,2.78,2.81,2.76,2.79,2053779.0,2.79,GOOG-H
2016-05-13,2.79,2.81,2.77,2.77,2279503.0,2.77,GOOG-H
2016-05-16,2.79,2.79,2.75,2.77,1510279.0,2.77,GOOG-H
2016-05-17,2.76,2.81,2.76,2.78,2684099.0,2.78,GOOG-H
2016-05-18,2.78,2.79,2.76,2.77,1114716.0,2.77,GOOG-H
2016-05-19,2.77,2.87,2.76,2.84,2025749.0,2.84,GOOG-H
2016-05-20,2.87,2.89,2.84,2.86,772054.0,2.86,GOOG-H
2016-05-23,2.84,2.87,2.81,2.84,3014966.0,2.84,GOOG-H
2016-05-24,2.85,2.9,2.79,2.9,4085728.0,2.9,GOOG-H
2016-05-25,2.91,3.06,2.89,3.03,1643564.0,3.03,GOOG-H
2016-05-26,3.01,3.12,3.0,3.07,1012557.0,3.07,GOOG-H
2016-05-27,3.04,3.08,3.0,3.02,796731.0,3.02,GOOG-H
2016-05-30,3.02,3.08,3.01,3.05,501474.0,3.05,GOOG-H
2016-05-31,3.04,3.05,2.98,3.04,815444.0,3.04,GOOG-H
2016-06-01,3.01,3.03,2.98,3.01,1344342.0,3.01,GOOG-H
2016-06-02,3.03,3.03,2.96,2.96,822587.0,2.96,GOOG-H
2016-06-03,2.97,2.98,2.92,2.95,520869.0,2.95,GOOG-H
2016-06-06,2.94,3.01,2.93,2.94,326410.0,2.94,GOOG-H
2016-06-07,2.96,2.98,2.94,2.97,700331.0,2.97,GOOG-H
2016-06-08,3.03,3.05,3.02,3.04,1738428.0,3.04,GOOG-H
2016-06-09,3.03,3.08,3.03,3.06,908389.0,3.06,GOOG-H
2016-06-10,3.05,3.06,3.03,3.05,618360.0,3.05,GOOG-H
2016-06-14,3.01,3.05,3.0,3.02,1171112.0,3.02,GOOG-H
2016-06-15,3.01,3.05,2.96,2.98,658590.0,2.98,GOOG-H
2016-06-16,2.99,3.01,2.92,2.93,569344.0,2.93,GOOG-H
2016-06-17,2.97,2.97,2.93,2.94,847757.0,2.94,GOOG-H
2016-06-20,2.96,3.05,2.95,3.01,867777.0,3.01,GOOG-H
2016-06-21,3.03,3.07,3.02,3.03,2422741.0,3.03,GOOG-H
2016-06-22,3.05,3.07,3.03,3.05,899283.0,3.05,GOOG-H
2016-06-23,3.05,3.07,3.02,3.05,568713.0,3.05,GOOG-H
2016-06-24,3.05,3.06,2.93,3.0,1071270.0,3.0,GOOG-H
2016-06-27,2.97,3.01,2.92,3.0,479035.0,3.0,GOOG-H
2016-06-28,2.96,3.01,2.96,3.0,365906.0,3.0,GOOG-H
2016-06-29,2.98,3.0,2.94,2.99,327886.0,2.99,GOOG-H
2016-06-30,2.99,3.01,2.95,3.0,480972.0,3.0,GOOG-H
2016-07-01,2.97,3.05,2.97,3.03,894073.0,3.03,GOOG-H
2016-07-04,3.04,3.04,2.97,3.0,911117.0,3.0,GOOG-H
2016-07-05,3.01,3.03,2.99,3.01,216051.0,3.01,GOOG-H
2016-07-06,3.0,3.01,2.97,3.0,245179.0,3.0,GOOG-H
2016-07-07,2.99,3.01,2.97,2.97,291084.0,2.97,GOOG-H
2016-07-08,2.99,3.0,2.97,2.99,964320.0,2.99,GOOG-H
2016-07-11,3.0,3.01,2.97,2.99,614667.0,2.99,GOOG-H
2016-07-12,2.99,3.05,2.97,3.01,1084539.0,3.01,GOOG-H
2016-07-13,3.03,3.21,3.03,3.06,1034138.0,3.06,GOOG-H
2016-07-14,3.08,3.19,3.07,3.18,1098603.0,3.18,GOOG-H
2016-07-15,3.16,3.24,3.14,3.16,1293219.0,3.16,GOOG-H
2016-07-18,3.18,3.3,3.17,3.24,564397.0,3.24,GOOG-H
2016-07-19,3.22,3.23,3.19,3.19,1344905.0,3.19,GOOG-H
2016-07-20,3.22,3.25,3.19,3.21,1291596.0,3.21,GOOG-H
2016-07-21,3.3,3.45,3.27,3.31,985845.0,3.31,GOOG-H
2016-07-22,3.31,3.35,3.3,3.31,1177259.0,3.31,GOOG-H
2016-07-25,3.34,3.37,3.29,3.29,1542017.0,3.29,GOOG-H
2016-07-26,3.3,3.35,3.27,3.3,2712721.0,3.3,GOOG-H
2016-07-27,3.35,3.35,3.22,3.23,2446672.0,3.23,GOOG-H
2016-07-28,3.25,3.27,3.23,3.23,2773857.0,3.23,GOOG-H
2016-07-29,3.18,3.23,3.12,3.2,17372278.0,3.2,GOOG-H
2016-08-01,3.24,3.32,3.24,3.29,1482442.0,3.29,GOOG-H
2016-08-02,3.29,3.29,3.22,3.22,1852208.0,3.22,GOOG-H
2016-08-03,3.2,3.23,3.13,3.15,2756617.0,3.15,GOOG-H
2016-08-04,3.2,3.22,3.16,3.19,1142678.0,3.19,GOOG-H
2016-08-05,3.2,3.22,3.18,3.21,1891521.0,3.21,GOOG-H
2016-08-08,3.19,3.23,3.15,3.15,1542784.0,3.15,GOOG-H
2016-08-09,3.16,3.22,3.12,3.13,1318491.0,3.13,GOOG-H
2016-08-10,3.12,3.14,3.07,3.07,1691331.0,3.07,GOOG-H
2016-08-11,3.08,3.11,3.07,3.09,2610339.0,3.09,GOOG-H
2016-08-12,3.1,3.17,3.08,3.09,1991734.0,3.09,GOOG-H
2016-08-15,3.1,3.16,3.09,3.13,1316815.0,3.13,GOOG-H
2016-08-16,3.13,3.21,3.11,3.2,1605359.0,3.2,GOOG-H
2016-08-17,3.24,3.37,3.24,3.3,1375066.0,3.3,GOOG-H
2016-08-18,3.29,3.29,3.2,3.23,688253.0,3.23,GOOG-H
2016-08-19,3.24,3.26,3.2,3.25,447599.0,3.25,GOOG-H
2016-08-22,3.19,3.24,3.08,3.16,2867383.0,3.16,GOOG-H
2016-08-23,3.17,3.19,3.08,3.12,5675930.0,3.12,GOOG-H
2016-08-24,3.13,3.23,3.13,3.16,1566358.0,3.16,GOOG-H
2016-08-25,3.14,3.18,3.09,3.1,741711.0,3.1,GOOG-H
2016-08-26,3.06,3.14,3.06,3.13,1326745.0,3.13,GOOG-H
2016-08-29,3.13,3.13,3.04,3.05,21299825.0,3.05,GOOG-H
2016-08-30,3.05,3.07,2.92,3.03,2026595.0,3.03,GOOG-H
2016-08-31,3.01,3.05,2.99,3.02,7360329.0,3.02,GOOG-H
2016-09-01,2.99,3.02,2.98,3.0,1511495.0,3.0,GOOG-H
2016-09-02,2.97,2.97,2.89,2.9,18287134.0,2.9,GOOG-H
2016-09-05,2.91,2.94,2.89,2.91,1455832.0,2.91,GOOG-H
2016-09-06,2.91,2.94,2.88,2.93,1793698.0,2.93,GOOG-H
2016-09-07,2.9,2.93,2.88,2.92,2324142.0,2.92,GOOG-H
2016-09-08,2.91,2.95,2.9,2.91,1922838.0,2.91,GOOG-H
2016-09-09,2.91,2.93,2.9,2.91,4509251.0,2.91,GOOG-H
2016-09-12,2.89,2.9,2.88,2.88,1460843.0,2.88,GOOG-H
2016-09-13,2.91,2.91,2.83,2.88,1653708.0,2.88,GOOG-H
2016-09-14,2.88,2.88,2.83,2.84,2893456.0,2.84,GOOG-H
2016-09-15,2.84,2.86,2.79,2.85,3078423.0,2.85,GOOG-H
2016-09-16,2.87,2.92,2.87,2.92,2460108.0,2.92,GOOG-H
2016-09-20,2.99,3.07,2.99,3.05,2946536.0,3.05,GOOG-H
2016-09-21,3.05,3.07,2.94,2.96,1181174.0,2.96,GOOG-H
2016-09-22,3.0,3.04,2.96,3.01,810116.0,3.01,GOOG-H
2016-09-23,3.02,3.07,3.01,3.04,1192080.0,3.04,GOOG-H
2016-09-26,3.04,3.07,3.02,3.05,550321.0,3.05,GOOG-H
2016-09-27,3.05,3.05,2.99,3.01,639177.0,3.01,GOOG-H
2016-09-28,3.0,3.07,3.0,3.05,1192140.0,3.05,GOOG-H
2016-09-29,3.07,3.14,3.06,3.11,2145344.0,3.11,GOOG-H
2016-09-30,3.02,3.04,2.94,3.01,1685815.0,3.01,GOOG-H
2016-10-03,3.05,3.07,3.04,3.06,279240.0,3.06,GOOG-H
2016-10-04,3.06,3.06,2.92,2.97,1615277.0,2.97,GOOG-H
2016-10-05,2.99,2.99,2.95,2.96,2685656.0,2.96,GOOG-H
2016-10-06,2.97,3.06,2.95,3.06,1099576.0,3.06,GOOG-H
2016-10-07,3.08,3.1,3.0,3.04,2047537.0,3.04,GOOG-H
2016-10-10,3.05,3.09,3.02,3.04,1139637.0,3.04,GOOG-H
2016-10-11,3.05,3.08,3.03,3.05,1021356.0,3.05,GOOG-H
2016-10-12,3.05,3.05,3.0,3.03,734956.0,3.03,GOOG-H
