DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-05-18,2.13,2.22,2.01,2.05,160185286.0,2.05,GOOG-H
2015-05-19,2.17,2.34,2.16,2.33,192730310.0,2.33,GOOG-H
2015-05-20,2.35,2.37,2.25,2.36,59085150.0,2.36,GOOG-H
2015-05-21,2.35,2.45,2.34,2.37,54016569.0,2.37,GOOG-H
2015-05-22,2.36,2.39,2.3,2.31,38646976.0,2.31,GOOG-H
2015-05-25,2.3,2.35,2.29,2.32,23741251.0,2.32,GOOG-H
2015-05-26,2.32,2.33,2.3,2.3,24299724.0,2.3,GOOG-H
2015-05-27,2.26,2.28,2.24,2.25,52014234.0,2.25,GOOG-H
2015-05-28,2.2,2.21,2.17,2.18,61783716.0,2.18,GOOG-H
2015-05-29,2.13,2.2,2.13,2.19,69019494.0,2.19,GOOG-H
2015-06-01,2.16,2.18,2.15,2.16,25449622.0,2.16,GOOG-H
2015-06-02,2.17,2.19,2.14,2.14,37804164.0,2.14,GOOG-H
2015-06-03,2.15,2.17,2.14,2.15,54544136.0,2.15,GOOG-H
2015-06-04,2.14,2.17,2.14,2.15,30359403.0,2.15,GOOG-H
2015-06-05,2.14,2.15,2.12,2.14,23057508.0,2.14,GOOG-H
2015-06-09,2.09,2.11,2.08,2.09,31269446.0,2.09,GOOG-H
2015-06-10,2.09,2.12,2.08,2.1,27370699.0,2.1,GOOG-H
2015-06-11,2.12,2.14,2.11,2.13,32285710.0,2.13,GOOG-H
2015-06-12,2.1,2.11,2.1,2.1,22504161.0,2.1,GOOG-H
2015-06-15,2.07,2.1,2.07,2.08,20221469.0,2.08,GOOG-H
2015-06-16,2.06,2.09,2.06,2.08,26685156.0,2.08,GOOG-H
2015-06-17,2.07,2.08,2.06,2.08,24826959.0,2.08,GOOG-H
2015-06-18,2.05,2.07,2.02,2.03,36865389.0,2.03,GOOG-H
2015-06-19,2.01,2.02,1.96,1.96,67093525.0,1.96,GOOG-H
2015-06-22,1.92,1.93,1.87,1.89,40390654.0,1.89,GOOG-H
2015-06-23,1.85,1.91,1.85,1.9,34295403.0,1.9,GOOG-H
2015-06-24,1.9,1.98,1.9,1.94,40391955.0,1.94,GOOG-H
2015-06-25,1.93,1.94,1.92,1.93,32331027.0,1.93,GOOG-H
2015-06-26,1.89,1.9,1.83,1.83,35859955.0,1.83,GOOG-H
2015-06-29,1.8,1.8,1.73,1.74,32761144.0,1.74,GOOG-H
2015-06-30,1.73,1.8,1.73,1.79,44581715.0,1.79,GOOG-H
