DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-06,1.78,1.78,1.78,1.78,20000.0,1.78,GOOG-H
1999-01-13,2.05,2.05,2.05,2.05,5000.0,2.05,GOOG-H
1999-01-14,2.05,2.05,2.05,2.05,15000.0,2.05,GOOG-H
1999-01-18,1.84,1.84,1.84,1.84,5000.0,1.84,GOOG-H
1999-01-22,2.05,2.05,2.05,2.05,10000.0,2.05,GOOG-H
1999-01-25,2.05,2.05,2.05,2.05,10000.0,2.05,GOOG-H
1999-01-28,2.05,2.05,2.05,2.05,10000.0,2.05,GOOG-H
1999-02-05,1.71,1.71,1.71,1.71,10000.0,1.71,GOOG-H
1999-02-08,1.71,1.71,1.71,1.71,5000.0,1.71,GOOG-H
1999-02-09,1.78,1.78,1.71,1.71,15000.0,1.71,GOOG-H
1999-02-10,1.71,1.71,1.71,1.71,2000.0,1.71,GOOG-H
1999-02-12,1.37,1.37,1.02,1.37,115000.0,1.37,GOOG-H
1999-02-22,1.43,1.43,1.43,1.43,200000.0,1.43,GOOG-H
1999-02-23,1.5,1.5,1.5,1.5,243000.0,1.5,GOOG-H
1999-02-24,1.91,1.91,1.64,1.91,25000.0,1.91,GOOG-H
1999-02-25,2.15,2.15,1.98,2.15,132000.0,2.15,GOOG-H
1999-02-26,2.12,2.12,2.05,2.05,103000.0,2.05,GOOG-H
1999-03-01,2.12,2.12,2.12,2.12,26000.0,2.12,GOOG-H
1999-03-02,2.12,2.12,2.12,2.12,10000.0,2.12,GOOG-H
1999-03-11,2.07,2.07,2.07,2.07,2000.0,2.07,GOOG-H
1999-03-16,1.71,1.71,1.64,1.64,205000.0,1.64,GOOG-H
1999-03-18,1.64,1.64,1.64,1.64,100000.0,1.64,GOOG-H
1999-03-19,1.57,1.57,1.57,1.57,20000.0,1.57,GOOG-H
1999-03-25,1.57,1.57,1.57,1.57,5000.0,1.57,GOOG-H
1999-04-08,1.57,1.57,1.57,1.57,20000.0,1.57,GOOG-H
1999-04-09,1.57,1.57,1.57,1.57,30000.0,1.57,GOOG-H
1999-04-12,1.57,1.57,1.57,1.57,7500.0,1.57,GOOG-H
1999-04-13,1.71,1.71,1.71,1.71,50000.0,1.71,GOOG-H
1999-04-16,1.71,1.71,1.71,1.71,35000.0,1.71,GOOG-H
1999-04-19,1.78,1.78,1.71,1.78,34000.0,1.78,GOOG-H
1999-04-20,1.78,1.78,1.78,1.78,2500.0,1.78,GOOG-H
1999-04-28,1.64,1.64,1.57,1.57,530000.0,1.57,GOOG-H
1999-05-06,1.64,1.64,1.57,1.57,315000.0,1.57,GOOG-H
1999-05-10,1.57,1.57,1.57,1.57,10000.0,1.57,GOOG-H
1999-05-11,1.57,1.57,1.43,1.43,75000.0,1.43,GOOG-H
1999-05-14,1.5,1.5,1.5,1.5,300000.0,1.5,GOOG-H
1999-05-19,1.5,1.5,1.37,1.37,131800.0,1.37,GOOG-H
1999-05-26,1.37,1.37,1.37,1.37,20000.0,1.37,GOOG-H
1999-06-02,1.43,1.43,1.43,1.43,20000.0,1.43,GOOG-H
1999-06-03,1.37,1.37,1.37,1.37,5000.0,1.37,GOOG-H
1999-06-04,1.43,1.43,1.43,1.43,25000.0,1.43,GOOG-H
1999-06-08,1.37,1.37,1.37,1.37,123025.0,1.37,GOOG-H
1999-06-10,1.57,1.57,1.57,1.57,7200.0,1.57,GOOG-H
1999-06-15,1.37,1.37,1.2,1.2,25000.0,1.2,GOOG-H
1999-06-18,1.23,1.23,1.16,1.16,13250.0,1.16,GOOG-H
1999-06-21,1.16,1.16,1.16,1.16,196000.0,1.16,GOOG-H
1999-06-25,1.37,1.37,1.23,1.23,461000.0,1.23,GOOG-H
1999-06-28,1.23,1.23,1.16,1.16,10000.0,1.16,GOOG-H
1999-06-30,1.23,1.23,1.16,1.16,337500.0,1.16,GOOG-H
1999-07-01,1.37,1.37,1.23,1.23,275000.0,1.23,GOOG-H
1999-07-06,1.23,1.23,1.23,1.23,50000.0,1.23,GOOG-H
1999-07-13,1.37,1.37,1.37,1.37,37500.0,1.37,GOOG-H
1999-07-16,1.37,1.37,1.37,1.37,12500.0,1.37,GOOG-H
1999-07-19,1.57,1.57,1.37,1.37,20000.0,1.37,GOOG-H
1999-07-22,1.37,1.37,1.37,1.37,3000.0,1.37,GOOG-H
1999-07-23,1.37,1.37,1.37,1.37,25000.0,1.37,GOOG-H
1999-07-30,1.37,1.37,1.37,1.37,110122.0,1.37,GOOG-H
1999-08-03,1.5,1.5,1.5,1.5,10000.0,1.5,GOOG-H
1999-08-04,1.64,1.64,1.5,1.64,85000.0,1.64,GOOG-H
1999-08-09,1.43,1.43,1.43,1.43,15000.0,1.43,GOOG-H
1999-08-12,1.47,1.47,1.43,1.43,57000.0,1.43,GOOG-H
1999-08-13,1.71,1.71,1.64,1.71,37000.0,1.71,GOOG-H
1999-08-16,1.71,1.71,1.71,1.71,3000.0,1.71,GOOG-H
1999-08-18,1.71,1.71,1.57,1.71,25000.0,1.71,GOOG-H
1999-08-19,1.71,1.71,1.71,1.71,40000.0,1.71,GOOG-H
1999-08-20,1.84,1.84,1.71,1.84,75000.0,1.84,GOOG-H
1999-08-23,1.71,1.71,1.71,1.71,2500.0,1.71,GOOG-H
1999-08-26,1.71,1.71,1.64,1.64,52000.0,1.64,GOOG-H
1999-08-27,1.78,1.78,1.78,1.78,10000.0,1.78,GOOG-H
1999-08-30,1.71,1.71,1.71,1.71,22855.0,1.71,GOOG-H
1999-09-01,1.78,1.78,1.78,1.78,20000.0,1.78,GOOG-H
1999-09-02,1.84,1.84,1.84,1.84,6000.0,1.84,GOOG-H
1999-09-03,1.84,1.84,1.84,1.84,4000.0,1.84,GOOG-H
1999-09-07,1.84,1.84,1.71,1.71,37145.0,1.71,GOOG-H
1999-09-08,1.78,1.78,1.71,1.78,53855.0,1.78,GOOG-H
1999-09-10,1.91,1.91,1.78,1.78,16145.0,1.78,GOOG-H
1999-09-17,1.88,1.88,1.88,1.88,10000.0,1.88,GOOG-H
1999-09-20,1.88,1.88,1.88,1.88,8855.0,1.88,GOOG-H
1999-09-21,2.05,2.05,1.98,2.05,14145.0,2.05,GOOG-H
1999-09-22,2.05,2.05,2.05,2.05,16480.0,2.05,GOOG-H
1999-09-29,1.94,1.94,1.91,1.91,10000.0,1.91,GOOG-H
1999-10-01,1.95,1.95,1.95,1.95,5000.0,1.95,GOOG-H
1999-10-05,1.78,1.78,1.78,1.78,20000.0,1.78,GOOG-H
1999-10-11,2.05,2.05,2.05,2.05,30000.0,2.05,GOOG-H
1999-10-12,2.05,2.05,2.05,2.05,20000.0,2.05,GOOG-H
1999-10-14,1.84,2.01,1.84,2.01,12200.0,2.01,GOOG-H
1999-10-15,1.84,1.84,1.84,1.84,26000.0,1.84,GOOG-H
1999-10-18,1.84,1.84,1.84,1.84,20000.0,1.84,GOOG-H
1999-10-19,1.84,1.84,1.84,1.84,4000.0,1.84,GOOG-H
1999-10-20,1.78,1.78,1.78,1.78,10000.0,1.78,GOOG-H
1999-10-21,1.84,1.84,1.84,1.84,16000.0,1.84,GOOG-H
1999-10-26,1.71,1.71,1.71,1.71,40000.0,1.71,GOOG-H
1999-10-27,1.71,1.71,1.71,1.71,10000.0,1.71,GOOG-H
1999-10-28,1.78,1.78,1.78,1.78,20000.0,1.78,GOOG-H
1999-11-02,1.78,1.78,1.78,1.78,13874.0,1.78,GOOG-H
1999-11-10,1.78,1.78,1.71,1.71,27800.0,1.71,GOOG-H
1999-11-11,1.71,1.71,1.71,1.71,5000.0,1.71,GOOG-H
1999-11-12,1.81,1.84,1.81,1.84,40000.0,1.84,GOOG-H
1999-11-15,1.91,1.91,1.78,1.78,40000.0,1.78,GOOG-H
1999-11-16,1.91,1.91,1.91,1.91,51000.0,1.91,GOOG-H
1999-11-17,1.91,1.91,1.84,1.84,60000.0,1.84,GOOG-H
1999-11-22,1.84,1.84,1.84,1.84,5000.0,1.84,GOOG-H
1999-11-23,1.84,2.05,1.84,2.05,55375.0,2.05,GOOG-H
1999-11-24,1.91,1.91,1.91,1.91,20000.0,1.91,GOOG-H
1999-12-06,1.91,1.91,1.91,1.91,2950.0,1.91,GOOG-H
1999-12-08,1.91,1.91,1.91,1.91,5000.0,1.91,GOOG-H
1999-12-13,1.91,1.91,1.91,1.91,16675.0,1.91,GOOG-H
1999-12-15,1.91,1.91,1.91,1.91,13325.0,1.91,GOOG-H
1999-12-17,1.98,1.98,1.91,1.91,40000.0,1.91,GOOG-H
1999-12-20,1.91,1.91,1.91,1.91,20000.0,1.91,GOOG-H
1999-12-23,1.91,1.91,1.91,1.91,10000.0,1.91,GOOG-H
2000-01-05,1.91,1.91,1.91,1.91,6675.0,1.91,GOOG-H
2000-01-07,1.84,1.84,1.84,1.84,2500.0,1.84,GOOG-H
2000-01-10,1.84,1.84,1.84,1.84,97500.0,1.84,GOOG-H
2000-01-12,1.84,1.84,1.84,1.84,30000.0,1.84,GOOG-H
2000-01-14,1.84,1.84,1.84,1.84,2500.0,1.84,GOOG-H
2000-01-18,1.84,1.84,1.84,1.84,55825.0,1.84,GOOG-H
2000-01-19,1.84,1.84,1.78,1.78,13000.0,1.78,GOOG-H
2000-01-21,2.05,2.05,2.05,2.05,20000.0,2.05,GOOG-H
2000-02-01,1.84,1.84,1.84,1.84,16000.0,1.84,GOOG-H
2000-02-07,1.84,1.84,1.71,1.71,10000.0,1.71,GOOG-H
2000-02-11,1.81,1.81,1.78,1.78,11250.0,1.78,GOOG-H
2000-02-14,1.91,1.91,1.91,1.91,50000.0,1.91,GOOG-H
2000-02-15,2.05,2.05,1.91,1.91,15000.0,1.91,GOOG-H
2000-02-16,2.05,2.05,2.05,2.05,37000.0,2.05,GOOG-H
2000-02-21,1.91,1.91,1.71,1.71,182500.0,1.71,GOOG-H
2000-02-22,1.91,1.91,1.91,1.91,5000.0,1.91,GOOG-H
2000-03-01,1.71,1.71,1.71,1.71,30175.0,1.71,GOOG-H
2000-03-03,1.71,2.05,1.71,2.05,92575.0,2.05,GOOG-H
2000-03-07,2.12,2.12,2.05,2.05,14000.0,2.05,GOOG-H
2000-03-08,2.05,2.05,2.05,2.05,10000.0,2.05,GOOG-H
2000-03-10,2.05,2.12,2.05,2.12,220000.0,2.12,GOOG-H
2000-03-13,2.39,2.39,2.39,2.39,50000.0,2.39,GOOG-H
2000-03-14,2.05,2.05,2.05,2.05,15000.0,2.05,GOOG-H
2000-03-17,1.91,1.98,1.91,1.98,19000.0,1.98,GOOG-H
2000-03-20,1.98,1.98,1.98,1.98,5000.0,1.98,GOOG-H
2000-03-21,1.91,1.91,1.78,1.78,96000.0,1.78,GOOG-H
2000-03-22,0.22,0.22,0.22,0.22,12118.0,0.22,GOOG-H
2000-03-24,1.91,1.91,1.91,1.91,47000.0,1.91,GOOG-H
2000-03-27,2.05,2.05,2.05,2.05,100000.0,2.05,GOOG-H
2000-03-28,2.12,2.12,2.12,2.12,5000.0,2.12,GOOG-H
2000-03-29,2.05,2.19,2.05,2.19,36825.0,2.19,GOOG-H
