DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-05,0.37,0.37,0.37,0.37,22137.0,0.37,GOOG-H
1999-01-06,0.37,0.37,0.35,0.35,72863.0,0.35,GOOG-H
1999-01-07,0.37,0.37,0.35,0.37,38260.0,0.37,GOOG-H
1999-01-08,0.37,0.37,0.37,0.37,60000.0,0.37,GOOG-H
1999-01-11,0.37,0.37,0.36,0.36,45385.0,0.36,GOOG-H
1999-01-12,0.37,0.37,0.36,0.37,112224.0,0.37,GOOG-H
1999-01-13,0.37,0.37,0.36,0.37,76416.0,0.37,GOOG-H
1999-01-15,0.34,0.34,0.34,0.34,8000.0,0.34,GOOG-H
1999-01-18,0.32,0.32,0.32,0.32,15666.0,0.32,GOOG-H
1999-01-19,0.32,0.32,0.32,0.32,20000.0,0.32,GOOG-H
1999-01-20,0.34,0.34,0.34,0.34,15000.0,0.34,GOOG-H
1999-01-21,0.32,0.32,0.32,0.32,304000.0,0.32,GOOG-H
1999-01-22,0.33,0.33,0.33,0.33,3000.0,0.33,GOOG-H
1999-01-25,0.34,0.34,0.33,0.34,30000.0,0.34,GOOG-H
1999-01-27,0.34,0.34,0.33,0.34,67000.0,0.34,GOOG-H
1999-01-28,0.33,0.33,0.33,0.33,2000.0,0.33,GOOG-H
1999-01-29,0.36,0.36,0.34,0.36,102000.0,0.36,GOOG-H
1999-02-01,0.36,0.36,0.33,0.36,96682.0,0.36,GOOG-H
1999-02-02,0.36,0.36,0.33,0.36,135334.0,0.36,GOOG-H
1999-02-03,0.33,0.33,0.32,0.32,49795.0,0.32,GOOG-H
1999-02-04,0.32,0.32,0.32,0.32,2400.0,0.32,GOOG-H
1999-02-05,0.33,0.33,0.32,0.33,148266.0,0.33,GOOG-H
1999-02-08,0.34,0.34,0.34,0.34,154900.0,0.34,GOOG-H
1999-02-09,0.35,0.35,0.35,0.35,5500.0,0.35,GOOG-H
1999-02-10,0.34,0.34,0.34,0.34,97000.0,0.34,GOOG-H
1999-02-11,0.35,0.35,0.34,0.34,52850.0,0.34,GOOG-H
1999-02-12,0.35,0.35,0.34,0.35,159150.0,0.35,GOOG-H
1999-02-15,0.35,0.35,0.34,0.34,65000.0,0.34,GOOG-H
1999-02-16,0.35,0.35,0.34,0.35,20000.0,0.35,GOOG-H
1999-02-17,0.36,0.36,0.35,0.35,30000.0,0.35,GOOG-H
1999-02-18,0.35,0.35,0.34,0.34,30000.0,0.34,GOOG-H
1999-02-19,0.35,0.35,0.34,0.34,65386.0,0.34,GOOG-H
1999-02-22,0.34,0.34,0.34,0.34,253614.0,0.34,GOOG-H
1999-02-23,0.36,0.36,0.34,0.36,148239.0,0.36,GOOG-H
1999-02-24,0.37,0.37,0.36,0.37,160558.0,0.37,GOOG-H
1999-02-25,0.41,0.41,0.4,0.4,240496.0,0.4,GOOG-H
1999-02-26,0.45,0.45,0.4,0.42,155000.0,0.42,GOOG-H
1999-03-01,0.42,0.42,0.41,0.42,32200.0,0.42,GOOG-H
1999-03-02,0.41,0.41,0.38,0.38,57125.0,0.38,GOOG-H
1999-03-03,0.41,0.41,0.39,0.41,135333.0,0.41,GOOG-H
1999-03-04,0.42,0.42,0.41,0.42,333000.0,0.42,GOOG-H
1999-03-05,0.44,0.44,0.42,0.44,45000.0,0.44,GOOG-H
1999-03-08,0.52,0.52,0.44,0.5,619157.0,0.5,GOOG-H
1999-03-09,0.52,0.52,0.49,0.49,265500.0,0.49,GOOG-H
1999-03-10,0.5,0.5,0.49,0.5,118824.0,0.5,GOOG-H
1999-03-11,0.51,0.51,0.5,0.5,109580.0,0.5,GOOG-H
1999-03-12,0.5,0.5,0.49,0.5,125333.0,0.5,GOOG-H
1999-03-15,0.5,0.5,0.48,0.5,62476.0,0.5,GOOG-H
1999-03-16,0.45,0.45,0.43,0.43,199331.0,0.43,GOOG-H
