DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-06-25,3.21,3.21,3.08,3.08,19471466.0,3.08,GOOG-H
2014-06-26,3.1,3.15,3.07,3.15,35107376.0,3.15,GOOG-H
2014-06-27,3.17,3.25,3.15,3.25,50710152.0,3.25,GOOG-H
2014-06-30,3.24,3.25,3.2,3.2,16792382.0,3.2,GOOG-H
2014-07-01,3.2,3.22,3.16,3.17,25853660.0,3.17,GOOG-H
2014-07-02,3.19,3.21,3.16,3.19,30998166.0,3.19,GOOG-H
2014-07-03,3.19,3.2,3.17,3.17,30880992.0,3.17,GOOG-H
2014-07-04,3.15,3.16,3.13,3.15,23360294.0,3.15,GOOG-H
2014-07-07,3.15,3.21,3.13,3.2,18382736.0,3.2,GOOG-H
2014-07-08,3.17,3.22,3.17,3.2,20507830.0,3.2,GOOG-H
2014-07-09,3.2,3.25,3.2,3.21,18222822.0,3.21,GOOG-H
2014-07-10,3.22,3.33,3.22,3.32,24295492.0,3.32,GOOG-H
2014-07-11,3.31,3.39,3.31,3.34,21823324.0,3.34,GOOG-H
2014-07-14,3.36,3.4,3.35,3.4,8245037.0,3.4,GOOG-H
2014-07-15,3.42,3.42,3.39,3.42,25741428.0,3.42,GOOG-H
2014-07-16,3.44,3.47,3.43,3.45,31683708.0,3.45,GOOG-H
2014-07-17,3.46,3.46,3.38,3.4,28978276.0,3.4,GOOG-H
2014-07-18,3.34,3.39,3.33,3.33,19553884.0,3.33,GOOG-H
2014-07-21,3.34,3.39,3.34,3.38,10131265.0,3.38,GOOG-H
2014-07-22,3.4,3.41,3.35,3.35,14743883.0,3.35,GOOG-H
2014-07-23,3.39,3.42,3.36,3.4,11689161.0,3.4,GOOG-H
2014-07-24,3.38,3.41,3.38,3.4,10275039.0,3.4,GOOG-H
2014-07-25,3.38,3.4,3.36,3.37,11063064.0,3.37,GOOG-H
2014-07-28,3.37,3.39,3.35,3.37,19211542.0,3.37,GOOG-H
2014-07-29,3.35,3.39,3.35,3.39,8771064.0,3.39,GOOG-H
2014-07-30,3.4,3.44,3.39,3.41,15134664.0,3.41,GOOG-H
2014-07-31,3.4,3.47,3.39,3.4,11688273.0,3.4,GOOG-H
2014-08-01,3.34,3.37,3.33,3.33,11001559.0,3.33,GOOG-H
2014-08-04,3.32,3.42,3.32,3.39,10006855.0,3.39,GOOG-H
2014-08-05,3.39,3.4,3.37,3.39,15017140.0,3.39,GOOG-H
2014-08-06,3.38,3.4,3.35,3.36,9274898.0,3.36,GOOG-H
2014-08-07,3.36,3.38,3.34,3.37,13850932.0,3.37,GOOG-H
2014-08-08,3.34,3.36,3.27,3.3,15689883.0,3.3,GOOG-H
2014-08-11,3.37,3.37,3.32,3.36,10592504.0,3.36,GOOG-H
2014-08-12,3.38,3.41,3.38,3.4,15711705.0,3.4,GOOG-H
2014-08-13,3.39,3.44,3.39,3.44,9959101.0,3.44,GOOG-H
2014-08-14,3.42,3.48,3.41,3.47,13948693.0,3.47,GOOG-H
2014-08-15,3.47,3.5,3.47,3.5,8731431.0,3.5,GOOG-H
2014-08-18,3.5,3.5,3.47,3.48,13982146.0,3.48,GOOG-H
2014-08-19,3.52,3.53,3.49,3.53,16212255.0,3.53,GOOG-H
2014-08-20,3.51,3.51,3.47,3.49,8517160.0,3.49,GOOG-H
2014-08-21,3.59,3.59,3.47,3.55,18598400.0,3.55,GOOG-H
2014-08-22,3.57,3.58,3.51,3.56,9764718.0,3.56,GOOG-H
2014-08-25,3.54,3.56,3.49,3.55,9412452.0,3.55,GOOG-H
2014-08-26,3.51,3.55,3.46,3.47,20350150.0,3.47,GOOG-H
2014-08-27,3.48,3.48,3.42,3.45,14498782.0,3.45,GOOG-H
2014-08-28,3.4,3.44,3.4,3.41,14172534.0,3.41,GOOG-H
2014-08-29,3.45,3.46,3.42,3.43,20956280.0,3.43,GOOG-H
2014-09-01,3.49,3.52,3.46,3.49,14800574.0,3.49,GOOG-H
2014-09-02,3.51,3.53,3.48,3.5,6686777.0,3.5,GOOG-H
2014-09-03,3.53,3.56,3.5,3.54,10361671.0,3.54,GOOG-H
2014-09-04,3.53,3.53,3.47,3.49,8303773.0,3.49,GOOG-H
2014-09-05,3.51,3.56,3.49,3.5,7149622.0,3.5,GOOG-H
2014-09-08,3.52,3.54,3.47,3.47,7659809.0,3.47,GOOG-H
2014-09-09,3.49,3.54,3.49,3.54,10233244.0,3.54,GOOG-H
2014-09-10,3.43,3.46,3.43,3.43,13967177.0,3.43,GOOG-H
2014-09-11,3.43,3.44,3.36,3.37,12198906.0,3.37,GOOG-H
2014-09-12,3.32,3.39,3.31,3.39,9246142.0,3.39,GOOG-H
2014-09-15,3.33,3.35,3.28,3.28,13810905.0,3.28,GOOG-H
2014-09-16,3.25,3.32,3.25,3.3,10974564.0,3.3,GOOG-H
2014-09-17,3.28,3.34,3.27,3.31,9602233.0,3.31,GOOG-H
2014-09-18,3.34,3.36,3.29,3.34,16213402.0,3.34,GOOG-H
2014-09-19,3.34,3.38,3.3,3.38,44824912.0,3.38,GOOG-H
2014-09-22,3.35,3.37,3.32,3.36,11882565.0,3.36,GOOG-H
2014-09-23,3.39,3.39,3.33,3.35,7539022.0,3.35,GOOG-H
2014-09-24,3.29,3.33,3.29,3.29,7901160.0,3.29,GOOG-H
2014-09-25,3.29,3.35,3.25,3.35,17645972.0,3.35,GOOG-H
2014-09-26,3.31,3.33,3.29,3.3,8922496.0,3.3,GOOG-H
2014-09-29,3.3,3.33,3.28,3.31,11278549.0,3.31,GOOG-H
2014-09-30,3.3,3.32,3.27,3.28,15095065.0,3.28,GOOG-H
2014-10-01,3.25,3.4,3.25,3.38,14574595.0,3.38,GOOG-H
2014-10-02,3.33,3.36,3.3,3.32,14466902.0,3.32,GOOG-H
2014-10-03,3.29,3.36,3.29,3.33,7841757.0,3.33,GOOG-H
2014-10-07,3.37,3.37,3.27,3.35,12391472.0,3.35,GOOG-H
2014-10-08,3.3,3.34,3.3,3.33,7860381.0,3.33,GOOG-H
2014-10-09,3.35,3.4,3.34,3.38,8544258.0,3.38,GOOG-H
2014-10-10,3.28,3.36,3.28,3.33,14546955.0,3.33,GOOG-H
2014-10-13,3.31,3.35,3.27,3.3,7713893.0,3.3,GOOG-H
2014-10-14,3.28,3.35,3.27,3.35,10841958.0,3.35,GOOG-H
2014-10-15,3.29,3.33,3.28,3.29,14022550.0,3.29,GOOG-H
2014-10-16,3.27,3.37,3.26,3.35,19124448.0,3.35,GOOG-H
2014-10-17,3.36,3.39,3.34,3.34,10960051.0,3.34,GOOG-H
2014-10-20,3.37,3.39,3.34,3.35,6128731.0,3.35,GOOG-H
2014-10-21,3.37,3.38,3.32,3.32,11742452.0,3.32,GOOG-H
2014-10-22,3.35,3.39,3.35,3.37,8922668.0,3.37,GOOG-H
2014-10-23,3.37,3.44,3.37,3.41,9251799.0,3.41,GOOG-H
2014-10-24,3.42,3.43,3.36,3.36,17201572.0,3.36,GOOG-H
2014-10-27,3.4,3.44,3.4,3.44,17331676.0,3.44,GOOG-H
2014-10-28,3.43,3.46,3.41,3.41,7310546.0,3.41,GOOG-H
2014-10-29,3.45,3.46,3.42,3.43,6999047.0,3.43,GOOG-H
2014-10-30,3.45,3.49,3.42,3.49,10522037.0,3.49,GOOG-H
