DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2012-11-26,1.41,1.45,1.41,1.44,56136904.0,1.44,GOOG-H
2012-11-27,1.45,1.47,1.45,1.45,11021425.0,1.45,GOOG-H
2012-11-28,1.45,1.45,1.43,1.44,10071588.0,1.44,GOOG-H
2012-11-29,1.44,1.45,1.44,1.44,9255544.0,1.44,GOOG-H
2012-11-30,1.45,1.45,1.44,1.45,7366695.0,1.45,GOOG-H
2012-12-03,1.45,1.46,1.44,1.45,6316206.0,1.45,GOOG-H
2012-12-04,1.45,1.52,1.45,1.5,5741770.0,1.5,GOOG-H
2012-12-05,1.5,1.53,1.5,1.53,7397411.0,1.53,GOOG-H
2012-12-06,1.52,1.53,1.51,1.53,3996122.0,1.53,GOOG-H
2012-12-07,1.53,1.53,1.5,1.52,8483434.0,1.52,GOOG-H
2012-12-10,1.5,1.54,1.5,1.54,7376734.0,1.54,GOOG-H
2012-12-11,1.54,1.55,1.53,1.54,5106810.0,1.54,GOOG-H
2012-12-12,1.53,1.54,1.51,1.52,9700595.0,1.52,GOOG-H
2012-12-13,1.52,1.52,1.49,1.5,10372076.0,1.5,GOOG-H
2012-12-14,1.49,1.51,1.49,1.5,7168482.0,1.5,GOOG-H
2012-12-17,1.5,1.52,1.49,1.52,3135593.0,1.52,GOOG-H
2012-12-18,1.51,1.53,1.51,1.52,3224887.0,1.52,GOOG-H
2012-12-19,1.5,1.54,1.5,1.54,5094774.0,1.54,GOOG-H
2012-12-20,1.54,1.54,1.5,1.51,14063896.0,1.51,GOOG-H
2012-12-21,1.51,1.56,1.5,1.55,46692176.0,1.55,GOOG-H
2012-12-24,1.54,1.55,1.53,1.53,1433120.0,1.53,GOOG-H
2012-12-27,1.53,1.54,1.52,1.53,1590195.0,1.53,GOOG-H
2012-12-28,1.52,1.54,1.51,1.52,2806509.0,1.52,GOOG-H
2012-12-31,1.51,1.53,1.5,1.5,2197798.0,1.5,GOOG-H
2013-01-02,1.51,1.52,1.51,1.51,2584143.0,1.51,GOOG-H
2013-01-03,1.52,1.52,1.51,1.52,2835362.0,1.52,GOOG-H
2013-01-04,1.52,1.52,1.51,1.51,1948746.0,1.51,GOOG-H
2013-01-07,1.52,1.52,1.51,1.52,3081834.0,1.52,GOOG-H
2013-01-08,1.52,1.53,1.51,1.52,4768861.0,1.52,GOOG-H
2013-01-09,1.52,1.53,1.51,1.51,2639197.0,1.51,GOOG-H
2013-01-10,1.52,1.53,1.51,1.53,1589114.0,1.53,GOOG-H
2013-01-11,1.53,1.53,1.52,1.53,3833257.0,1.53,GOOG-H
2013-01-14,1.52,1.54,1.52,1.53,2700599.0,1.53,GOOG-H
2013-01-15,1.53,1.56,1.53,1.55,3146450.0,1.55,GOOG-H
2013-01-16,1.55,1.57,1.55,1.57,4622005.0,1.57,GOOG-H
2013-01-17,1.58,1.59,1.57,1.58,5154423.0,1.58,GOOG-H
2013-01-18,1.57,1.59,1.57,1.59,3447455.0,1.59,GOOG-H
2013-01-21,1.58,1.6,1.57,1.59,2533041.0,1.59,GOOG-H
2013-01-22,1.58,1.59,1.55,1.56,3780973.0,1.56,GOOG-H
2013-01-23,1.56,1.56,1.55,1.56,3285912.0,1.56,GOOG-H
2013-01-24,1.56,1.58,1.56,1.57,2281266.0,1.57,GOOG-H
2013-01-25,1.58,1.6,1.57,1.6,5101947.0,1.6,GOOG-H
