DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-08-12,1.79,1.95,1.79,1.92,2694003.0,1.92,GOOG-H
2014-08-13,1.89,1.92,1.86,1.92,869068.0,1.92,GOOG-H
2014-08-14,1.93,1.93,1.88,1.92,247989.0,1.92,GOOG-H
2014-08-15,1.92,1.94,1.91,1.93,358606.0,1.93,GOOG-H
2014-08-18,1.93,1.93,1.9,1.9,56162.0,1.9,GOOG-H
2014-08-19,1.9,1.9,1.87,1.89,114168.0,1.89,GOOG-H
2014-08-20,1.89,1.89,1.83,1.83,153253.0,1.83,GOOG-H
2014-08-21,1.81,1.85,1.8,1.84,155692.0,1.84,GOOG-H
2014-08-22,1.87,1.87,1.83,1.85,71048.0,1.85,GOOG-H
2014-08-25,1.84,1.84,1.83,1.83,219019.0,1.83,GOOG-H
2014-08-26,1.83,1.84,1.83,1.83,75055.0,1.83,GOOG-H
2014-08-27,1.83,1.83,1.82,1.82,485102.0,1.82,GOOG-H
2014-08-28,1.82,1.83,1.82,1.83,133495.0,1.83,GOOG-H
2014-08-29,1.83,1.86,1.83,1.86,521021.0,1.86,GOOG-H
2014-09-01,1.86,1.88,1.86,1.88,383610.0,1.88,GOOG-H
2014-09-02,1.88,1.93,1.88,1.93,473088.0,1.93,GOOG-H
2014-09-03,1.93,1.98,1.93,1.97,374563.0,1.97,GOOG-H
2014-09-04,1.94,1.97,1.94,1.94,85113.0,1.94,GOOG-H
2014-09-05,1.96,1.97,1.95,1.97,59835.0,1.97,GOOG-H
2014-09-08,1.97,1.97,1.95,1.96,149155.0,1.96,GOOG-H
2014-09-09,1.94,1.95,1.92,1.95,223447.0,1.95,GOOG-H
2014-09-10,1.95,1.95,1.92,1.93,63713.0,1.93,GOOG-H
2014-09-11,1.91,1.92,1.91,1.92,45577.0,1.92,GOOG-H
2014-09-12,1.92,1.92,1.92,1.92,45561.0,1.92,GOOG-H
2014-09-15,1.92,1.93,1.91,1.93,53656.0,1.93,GOOG-H
2014-09-16,1.92,1.93,1.9,1.93,129139.0,1.93,GOOG-H
2014-09-17,1.93,1.93,1.9,1.91,78603.0,1.91,GOOG-H
2014-09-18,1.9,1.91,1.9,1.91,22476.0,1.91,GOOG-H
2014-09-19,1.91,1.91,1.9,1.9,16068.0,1.9,GOOG-H
2014-09-22,1.9,1.91,1.88,1.88,173216.0,1.88,GOOG-H
2014-09-23,1.88,1.89,1.85,1.89,96865.0,1.89,GOOG-H
2014-09-24,1.9,1.92,1.88,1.92,198684.0,1.92,GOOG-H
2014-09-25,1.9,1.92,1.9,1.92,106250.0,1.92,GOOG-H
2014-09-26,1.9,1.9,1.9,1.9,855.0,1.9,GOOG-H
2014-09-29,1.85,1.9,1.85,1.9,63957.0,1.9,GOOG-H
2014-09-30,1.88,1.9,1.87,1.89,77090.0,1.89,GOOG-H
2014-10-01,1.9,1.9,1.88,1.88,64570.0,1.88,GOOG-H
2014-10-02,1.88,1.88,1.86,1.88,65226.0,1.88,GOOG-H
2014-10-03,1.87,1.87,1.87,1.87,26.0,1.87,GOOG-H
2014-10-07,1.84,1.89,1.83,1.85,112297.0,1.85,GOOG-H
2014-10-08,1.83,1.85,1.83,1.84,68615.0,1.84,GOOG-H
2014-10-09,1.83,1.84,1.81,1.83,84687.0,1.83,GOOG-H
2014-10-10,1.81,1.84,1.79,1.84,50308.0,1.84,GOOG-H
2014-10-13,1.82,1.83,1.81,1.83,27383.0,1.83,GOOG-H
2014-10-14,1.83,1.83,1.83,1.83,10000.0,1.83,GOOG-H
2014-10-15,1.79,1.8,1.79,1.79,24555.0,1.79,GOOG-H
2014-10-16,1.79,1.79,1.77,1.79,44592.0,1.79,GOOG-H
2014-10-17,1.79,1.81,1.79,1.79,317527.0,1.79,GOOG-H
2014-10-20,1.79,1.83,1.79,1.82,52050.0,1.82,GOOG-H
2014-10-21,1.79,1.79,1.76,1.79,28567.0,1.79,GOOG-H
2014-10-22,1.79,1.8,1.74,1.78,78497.0,1.78,GOOG-H
2014-10-23,1.76,1.76,1.71,1.71,51457.0,1.71,GOOG-H
2014-10-24,1.74,1.77,1.72,1.74,214445.0,1.74,GOOG-H
2014-10-27,1.74,1.74,1.73,1.74,15956.0,1.74,GOOG-H
2014-10-28,1.74,1.75,1.72,1.74,101394.0,1.74,GOOG-H
2014-10-29,1.74,1.79,1.74,1.76,16790.0,1.76,GOOG-H
2014-10-30,1.79,1.79,1.79,1.79,95766.0,1.79,GOOG-H
2014-10-31,1.79,1.8,1.79,1.8,36937.0,1.8,GOOG-H
2014-11-03,1.83,1.83,1.79,1.79,39777.0,1.79,GOOG-H
2014-11-04,1.79,1.79,1.79,1.79,20147.0,1.79,GOOG-H
2014-11-06,1.76,1.76,1.75,1.76,91143.0,1.76,GOOG-H
2014-11-07,1.77,1.8,1.77,1.8,28245.0,1.8,GOOG-H
2014-11-10,1.8,1.8,1.8,1.8,19581.0,1.8,GOOG-H
2014-11-12,1.78,1.79,1.78,1.79,73864.0,1.79,GOOG-H
2014-11-13,1.79,1.79,1.79,1.79,9315.0,1.79,GOOG-H
2014-11-17,1.79,1.79,1.79,1.79,4651.0,1.79,GOOG-H
2014-11-18,1.78,1.78,1.78,1.78,1502354.0,1.78,GOOG-H
2014-11-21,1.73,1.77,1.73,1.77,220.0,1.77,GOOG-H
2014-11-24,1.73,1.78,1.73,1.77,55555.0,1.77,GOOG-H
2014-11-25,1.73,1.74,1.72,1.74,72213.0,1.74,GOOG-H
2014-11-26,1.71,1.72,1.71,1.72,713377.0,1.72,GOOG-H
2014-11-28,1.71,1.72,1.69,1.72,61615.0,1.72,GOOG-H
2014-12-04,1.68,1.69,1.64,1.69,50829.0,1.69,GOOG-H
2014-12-08,1.65,1.66,1.65,1.66,10367.0,1.66,GOOG-H
2014-12-09,1.55,1.63,1.55,1.63,22590.0,1.63,GOOG-H
2014-12-11,1.56,1.62,1.55,1.62,62875.0,1.62,GOOG-H
2014-12-15,1.62,1.62,1.6,1.6,5000.0,1.6,GOOG-H
2014-12-17,1.58,1.6,1.58,1.6,1000.0,1.6,GOOG-H
2014-12-18,1.6,1.6,1.58,1.6,87500.0,1.6,GOOG-H
2014-12-19,1.56,1.57,1.55,1.57,24470.0,1.57,GOOG-H
2014-12-22,1.69,1.69,1.65,1.69,10200.0,1.69,GOOG-H
2014-12-30,1.58,1.68,1.57,1.68,30600.0,1.68,GOOG-H
2015-01-05,1.61,1.68,1.61,1.68,89881.0,1.68,GOOG-H
2015-01-06,1.65,1.68,1.65,1.68,1514.0,1.68,GOOG-H
2015-01-12,1.62,1.68,1.62,1.68,31896.0,1.68,GOOG-H
2015-01-13,1.6,1.65,1.6,1.65,10102.0,1.65,GOOG-H
2015-01-14,1.63,1.63,1.63,1.63,8000.0,1.63,GOOG-H
2015-01-15,1.65,1.65,1.65,1.65,50.0,1.65,GOOG-H
2015-01-16,1.6,1.65,1.6,1.65,968.0,1.65,GOOG-H
2015-01-19,1.6,1.65,1.57,1.65,11104.0,1.65,GOOG-H
2015-01-20,1.57,1.57,1.57,1.57,44675.0,1.57,GOOG-H
2015-01-21,1.57,1.65,1.57,1.65,4513.0,1.65,GOOG-H
2015-01-22,1.58,1.6,1.58,1.6,906.0,1.6,GOOG-H
2015-01-23,1.58,1.58,1.57,1.57,10174.0,1.57,GOOG-H
2015-01-27,1.56,1.65,1.56,1.64,41009.0,1.64,GOOG-H
2015-01-28,1.64,1.69,1.64,1.69,9133.0,1.69,GOOG-H
2015-01-29,1.64,1.7,1.64,1.69,45296.0,1.69,GOOG-H
2015-01-30,1.69,1.69,1.68,1.69,12501.0,1.69,GOOG-H
2015-02-02,1.69,1.7,1.69,1.7,255082.0,1.7,GOOG-H
2015-02-03,1.7,1.7,1.67,1.69,15261.0,1.69,GOOG-H
2015-02-04,1.69,1.7,1.69,1.7,30300.0,1.7,GOOG-H
2015-02-05,1.7,1.7,1.65,1.65,19982.0,1.65,GOOG-H
2015-02-06,1.66,1.73,1.64,1.73,156836.0,1.73,GOOG-H
2015-02-09,1.73,1.79,1.73,1.79,49173.0,1.79,GOOG-H
