DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2013-08-02,1.3,1.4,1.3,1.37,39382712.0,1.37,GOOG-H
2013-08-05,1.39,1.39,1.36,1.37,3669034.0,1.37,GOOG-H
2013-08-06,1.37,1.39,1.37,1.37,1324613.0,1.37,GOOG-H
2013-08-07,1.38,1.41,1.37,1.41,2489889.0,1.41,GOOG-H
2013-08-08,1.43,1.48,1.39,1.4,1579935.0,1.4,GOOG-H
2013-08-09,1.42,1.44,1.4,1.4,3975582.0,1.4,GOOG-H
2013-08-12,1.39,1.41,1.38,1.38,2061952.0,1.38,GOOG-H
2013-08-13,1.37,1.38,1.37,1.37,1185091.0,1.37,GOOG-H
2013-08-14,1.37,1.39,1.37,1.38,1161096.0,1.38,GOOG-H
2013-08-15,1.39,1.39,1.37,1.38,948968.0,1.38,GOOG-H
2013-08-16,1.39,1.39,1.37,1.37,555357.0,1.37,GOOG-H
2013-08-19,1.36,1.37,1.31,1.32,1775930.0,1.32,GOOG-H
2013-08-20,1.33,1.35,1.32,1.33,1479932.0,1.33,GOOG-H
2013-08-21,1.33,1.36,1.33,1.35,3385453.0,1.35,GOOG-H
2013-08-22,1.35,1.38,1.35,1.38,1679579.0,1.38,GOOG-H
2013-08-23,1.37,1.38,1.35,1.36,319952.0,1.36,GOOG-H
2013-08-26,1.37,1.37,1.36,1.37,226766.0,1.37,GOOG-H
2013-08-27,1.36,1.37,1.35,1.36,148863.0,1.36,GOOG-H
2013-08-28,1.36,1.36,1.34,1.35,2032453.0,1.35,GOOG-H
2013-08-29,1.35,1.36,1.34,1.36,472921.0,1.36,GOOG-H
2013-08-30,1.35,1.37,1.33,1.33,1010762.0,1.33,GOOG-H
2013-09-02,1.35,1.36,1.35,1.36,1241701.0,1.36,GOOG-H
2013-09-03,1.36,1.36,1.33,1.36,951381.0,1.36,GOOG-H
2013-09-04,1.37,1.37,1.34,1.36,239871.0,1.36,GOOG-H
2013-09-05,1.36,1.38,1.36,1.36,1514924.0,1.36,GOOG-H
2013-09-06,1.36,1.36,1.34,1.35,140641.0,1.35,GOOG-H
2013-09-09,1.37,1.38,1.35,1.36,726918.0,1.36,GOOG-H
2013-09-10,1.37,1.38,1.36,1.37,334728.0,1.37,GOOG-H
2013-09-11,1.38,1.38,1.36,1.37,410961.0,1.37,GOOG-H
2013-09-12,1.38,1.42,1.38,1.4,2069056.0,1.4,GOOG-H
2013-09-13,1.4,1.41,1.39,1.4,1215067.0,1.4,GOOG-H
2013-09-16,1.4,1.42,1.4,1.4,204941.0,1.4,GOOG-H
2013-09-17,1.41,1.42,1.4,1.4,279922.0,1.4,GOOG-H
2013-09-18,1.4,1.48,1.4,1.48,677782.0,1.48,GOOG-H
2013-09-19,1.47,1.53,1.44,1.5,1035872.0,1.5,GOOG-H
2013-09-20,1.5,1.54,1.44,1.44,555346.0,1.44,GOOG-H
2013-09-23,1.46,1.52,1.46,1.5,140454.0,1.5,GOOG-H
2013-09-24,1.52,1.52,1.49,1.5,211315.0,1.5,GOOG-H
2013-09-25,1.5,1.5,1.48,1.49,147620.0,1.49,GOOG-H
2013-09-26,1.49,1.52,1.49,1.51,543094.0,1.51,GOOG-H
2013-09-27,1.52,1.53,1.51,1.53,159507.0,1.53,GOOG-H
2013-09-30,1.52,1.53,1.51,1.51,145927.0,1.51,GOOG-H
2013-10-01,1.51,1.58,1.51,1.54,646552.0,1.54,GOOG-H
2013-10-02,1.54,1.59,1.53,1.56,875694.0,1.56,GOOG-H
2013-10-03,1.57,1.58,1.55,1.55,168065.0,1.55,GOOG-H
2013-10-04,1.56,1.62,1.55,1.59,583943.0,1.59,GOOG-H
2013-10-07,1.65,1.65,1.6,1.62,265336.0,1.62,GOOG-H
2013-10-08,1.63,1.66,1.61,1.63,651744.0,1.63,GOOG-H
2013-10-09,1.63,1.64,1.61,1.62,711534.0,1.62,GOOG-H
2013-10-10,1.62,1.63,1.57,1.57,556417.0,1.57,GOOG-H
2013-10-11,1.61,1.62,1.59,1.61,349572.0,1.61,GOOG-H
2013-10-14,1.61,1.63,1.61,1.61,408439.0,1.61,GOOG-H
2013-10-15,1.61,1.63,1.6,1.62,4014047.0,1.62,GOOG-H
2013-10-16,1.61,1.63,1.54,1.54,466509.0,1.54,GOOG-H
2013-10-17,1.57,1.58,1.56,1.56,174693.0,1.56,GOOG-H
2013-10-18,1.57,1.63,1.56,1.63,140687.0,1.63,GOOG-H
2013-10-21,1.63,1.63,1.61,1.62,202691.0,1.62,GOOG-H
2013-10-22,1.63,1.63,1.62,1.62,240923.0,1.62,GOOG-H
2013-10-23,1.63,1.63,1.61,1.62,323870.0,1.62,GOOG-H
2013-10-24,1.61,1.64,1.61,1.62,664889.0,1.62,GOOG-H
2013-10-25,1.63,1.64,1.63,1.63,990078.0,1.63,GOOG-H
2013-10-28,1.63,1.64,1.63,1.63,229221.0,1.63,GOOG-H
2013-10-29,1.63,1.63,1.62,1.62,314521.0,1.62,GOOG-H
2013-10-30,1.62,1.62,1.61,1.62,112303.0,1.62,GOOG-H
2013-10-31,1.62,1.62,1.61,1.61,435122.0,1.61,GOOG-H
2013-11-01,1.62,1.63,1.6,1.62,5007298.0,1.62,GOOG-H
2013-11-04,1.62,1.62,1.56,1.57,1683188.0,1.57,GOOG-H
2013-11-05,1.59,1.61,1.59,1.61,112216.0,1.61,GOOG-H
2013-11-06,1.61,1.62,1.57,1.57,224356.0,1.57,GOOG-H
2013-11-07,1.6,1.6,1.56,1.59,219721.0,1.59,GOOG-H
2013-11-08,1.59,1.62,1.57,1.61,1299231.0,1.61,GOOG-H
2013-11-11,1.61,1.61,1.56,1.59,3543561.0,1.59,GOOG-H
2013-11-12,1.59,1.62,1.57,1.59,924207.0,1.59,GOOG-H
2013-11-13,1.59,1.62,1.57,1.62,328025.0,1.62,GOOG-H
2013-11-14,1.62,1.62,1.6,1.62,278278.0,1.62,GOOG-H
2013-11-15,1.62,1.73,1.61,1.69,1647677.0,1.69,GOOG-H
2013-11-18,1.72,1.73,1.7,1.71,1238770.0,1.71,GOOG-H
2013-11-19,1.71,1.76,1.69,1.75,436276.0,1.75,GOOG-H
