DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-04-19,2.15,2.34,2.13,2.3,29358714.0,2.3,GOOG-H
2005-04-20,2.36,2.43,2.32,2.4,5848951.0,2.4,GOOG-H
2005-04-21,2.35,2.39,2.34,2.37,1889149.0,2.37,GOOG-H
2005-04-22,2.4,2.41,2.38,2.4,7256478.0,2.4,GOOG-H
2005-04-26,2.4,2.43,2.38,2.41,2426207.0,2.41,GOOG-H
2005-04-27,2.4,2.43,2.38,2.4,1295736.0,2.4,GOOG-H
2005-04-28,2.4,2.41,2.39,2.4,2005128.0,2.4,GOOG-H
2005-04-29,2.39,2.39,2.32,2.35,1008077.0,2.35,GOOG-H
2005-05-02,2.37,2.37,2.33,2.35,737861.0,2.35,GOOG-H
2005-05-03,2.32,2.35,2.3,2.32,1550785.0,2.32,GOOG-H
2005-05-04,2.3,2.31,2.26,2.26,2086977.0,2.26,GOOG-H
2005-05-05,2.27,2.27,2.17,2.2,6490503.0,2.2,GOOG-H
2005-05-06,2.2,2.25,2.2,2.22,778354.0,2.22,GOOG-H
2005-05-09,2.21,2.23,2.2,2.22,1193945.0,2.22,GOOG-H
2005-05-10,2.24,2.27,2.22,2.23,70103.0,2.23,GOOG-H
2005-05-11,2.22,2.28,2.22,2.27,237510.0,2.27,GOOG-H
2005-05-12,2.26,2.28,2.22,2.27,53144.0,2.27,GOOG-H
2005-05-13,2.27,2.34,2.27,2.31,291497.0,2.31,GOOG-H
2005-05-16,2.31,2.33,2.3,2.31,447085.0,2.31,GOOG-H
2005-05-17,2.32,2.35,2.32,2.33,96146.0,2.33,GOOG-H
2005-05-18,2.32,2.33,2.3,2.32,236068.0,2.32,GOOG-H
2005-05-19,2.32,2.37,2.32,2.35,235235.0,2.35,GOOG-H
2005-05-20,2.35,2.35,2.25,2.25,82301.0,2.25,GOOG-H
2005-05-23,2.3,2.33,2.26,2.31,911983.0,2.31,GOOG-H
2005-05-24,2.31,2.37,2.31,2.35,124824.0,2.35,GOOG-H
2005-05-25,2.35,2.4,2.33,2.4,243895.0,2.4,GOOG-H
2005-05-26,2.4,2.41,2.38,2.4,1045551.0,2.4,GOOG-H
2005-05-27,2.4,2.4,2.37,2.37,34944.0,2.37,GOOG-H
2005-05-30,2.37,2.37,2.31,2.35,674985.0,2.35,GOOG-H
2005-05-31,2.34,2.4,2.32,2.4,336600.0,2.4,GOOG-H
2005-06-01,2.38,2.38,2.32,2.35,954435.0,2.35,GOOG-H
2005-06-02,2.35,2.4,2.34,2.4,561346.0,2.4,GOOG-H
2005-06-03,2.39,2.39,2.35,2.36,112809.0,2.36,GOOG-H
2005-06-06,2.37,2.41,2.37,2.41,1322892.0,2.41,GOOG-H
