DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-07-26,6.6,6.7,6.55,6.6,81162.0,6.6,GOOG-H
1999-07-27,6.5,6.55,6.48,6.5,28727.0,6.5,GOOG-H
1999-07-28,6.51,6.57,6.5,6.51,22548.0,6.51,GOOG-H
1999-07-29,6.6,6.6,6.56,6.6,98143.0,6.6,GOOG-H
1999-07-30,6.25,6.6,6.25,6.25,84087.0,6.25,GOOG-H
1999-08-02,6.01,6.25,6.0,6.01,61924.0,6.01,GOOG-H
1999-08-03,6.41,6.41,6.0,6.41,35378.0,6.41,GOOG-H
1999-08-04,6.28,6.41,6.26,6.28,133541.0,6.28,GOOG-H
1999-08-05,6.35,6.35,6.21,6.35,68125.0,6.35,GOOG-H
1999-08-06,6.5,6.5,6.35,6.5,58132.0,6.5,GOOG-H
1999-08-09,6.49,6.5,6.41,6.49,12085.0,6.49,GOOG-H
1999-08-10,6.44,6.49,6.4,6.44,50573.0,6.44,GOOG-H
1999-08-11,6.23,6.44,6.2,6.23,49519.0,6.23,GOOG-H
1999-08-12,6.4,6.4,6.2,6.4,59816.0,6.4,GOOG-H
1999-08-13,6.22,6.38,6.22,6.22,107541.0,6.22,GOOG-H
1999-08-16,6.41,6.45,6.3,6.41,8128.0,6.41,GOOG-H
1999-08-17,6.5,6.5,6.37,6.5,45970.0,6.5,GOOG-H
1999-08-18,6.85,6.85,6.61,6.85,192498.0,6.85,GOOG-H
1999-08-19,6.99,7.0,6.75,6.99,314162.0,6.99,GOOG-H
1999-08-20,6.85,6.92,6.85,6.85,38002.0,6.85,GOOG-H
1999-08-23,6.91,6.94,6.8,6.91,50109.0,6.91,GOOG-H
1999-08-24,6.73,6.94,6.73,6.73,42021.0,6.73,GOOG-H
1999-08-25,6.82,6.82,6.8,6.82,6351.0,6.82,GOOG-H
1999-08-26,6.69,6.85,6.69,6.69,32112.0,6.69,GOOG-H
1999-08-27,6.73,6.85,6.68,6.73,16656.0,6.73,GOOG-H
1999-08-30,6.4,6.7,6.4,6.4,46812.0,6.4,GOOG-H
1999-08-31,6.25,6.3,6.22,6.25,78293.0,6.25,GOOG-H
1999-09-01,6.61,6.61,6.25,6.61,70550.0,6.61,GOOG-H
1999-09-02,6.25,6.6,6.25,6.25,155929.0,6.25,GOOG-H
1999-09-03,6.3,6.4,6.11,6.3,72097.0,6.3,GOOG-H
1999-09-06,6.35,6.5,6.35,6.35,40438.0,6.35,GOOG-H
1999-09-07,6.3,6.36,6.25,6.3,17076.0,6.3,GOOG-H
1999-09-08,6.4,6.43,6.35,6.4,22613.0,6.4,GOOG-H
1999-09-09,6.5,6.6,6.44,6.5,26042.0,6.5,GOOG-H
1999-09-10,6.56,6.62,6.5,6.56,64812.0,6.56,GOOG-H
1999-09-13,6.68,6.68,6.56,6.68,47180.0,6.68,GOOG-H
1999-09-14,6.72,6.74,6.69,6.72,36119.0,6.72,GOOG-H
1999-09-15,6.54,6.68,6.54,6.54,393668.0,6.54,GOOG-H
1999-09-16,6.45,6.48,6.4,6.45,11575.0,6.45,GOOG-H
1999-09-17,6.25,6.45,6.25,6.25,45522.0,6.25,GOOG-H
1999-09-20,6.27,6.32,6.25,6.27,45699.0,6.27,GOOG-H
1999-09-21,6.24,6.25,6.2,6.24,44381.0,6.24,GOOG-H
1999-09-22,6.15,6.24,6.15,6.15,65370.0,6.15,GOOG-H
1999-09-23,6.0,6.18,5.95,6.0,103693.0,6.0,GOOG-H
1999-09-24,5.75,5.95,5.75,5.75,462117.0,5.75,GOOG-H
1999-09-27,5.71,5.76,5.56,5.71,43318.0,5.71,GOOG-H
1999-09-28,5.7,5.8,5.7,5.7,55092.0,5.7,GOOG-H
1999-09-29,5.68,5.7,5.6,5.68,32635.0,5.68,GOOG-H
1999-09-30,5.45,5.68,5.44,5.45,43734.0,5.45,GOOG-H
1999-10-01,5.5,5.5,5.3,5.39,131704.0,5.39,GOOG-H
1999-10-04,5.31,5.45,5.31,5.4,36501.0,5.4,GOOG-H
1999-10-05,5.48,5.48,5.35,5.35,89950.0,5.35,GOOG-H
1999-10-06,5.39,5.39,5.15,5.15,174344.0,5.15,GOOG-H
1999-10-07,5.22,5.35,5.18,5.35,187618.0,5.35,GOOG-H
1999-10-08,5.37,5.5,5.37,5.4,56937.0,5.4,GOOG-H
1999-10-11,5.46,5.5,5.3,5.3,217561.0,5.3,GOOG-H
1999-10-12,5.25,5.3,5.15,5.3,80230.0,5.3,GOOG-H
1999-10-13,5.29,5.3,5.2,5.2,204226.0,5.2,GOOG-H
1999-10-14,5.33,5.33,5.19,5.25,97184.0,5.25,GOOG-H
1999-10-15,5.3,5.3,5.27,5.28,57556.0,5.28,GOOG-H
1999-10-18,5.2,5.2,5.18,5.19,7300.0,5.19,GOOG-H
1999-10-19,5.21,5.21,5.16,5.19,37807.0,5.19,GOOG-H
