DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-06-06,4.35,4.52,4.33,4.36,5274912.0,4.36,GOOG-H
2011-06-07,4.34,4.42,4.18,4.25,3525466.0,4.25,GOOG-H
2011-06-08,4.3,4.38,4.15,4.2,7444014.0,4.2,GOOG-H
2011-06-09,4.15,4.23,4.15,4.21,4631109.0,4.21,GOOG-H
2011-06-10,4.2,4.28,4.18,4.19,8031647.0,4.19,GOOG-H
2011-06-14,4.08,4.23,4.08,4.23,4650781.0,4.23,GOOG-H
2011-06-15,4.2,4.25,4.14,4.2,3177991.0,4.2,GOOG-H
2011-06-16,4.1,4.17,4.03,4.03,4469395.0,4.03,GOOG-H
2011-06-17,4.03,4.07,3.93,4.01,4835986.0,4.01,GOOG-H
2011-06-20,3.99,4.05,3.95,3.98,11227553.0,3.98,GOOG-H
2011-06-21,3.95,4.04,3.95,4.03,5399858.0,4.03,GOOG-H
2011-06-22,4.04,4.15,4.04,4.15,7757345.0,4.15,GOOG-H
2011-06-23,4.15,4.2,4.12,4.17,4995729.0,4.17,GOOG-H
2011-06-24,4.17,4.19,4.1,4.1,5182027.0,4.1,GOOG-H
2011-06-27,4.02,4.05,4.02,4.04,2388843.0,4.04,GOOG-H
2011-06-28,4.01,4.05,4.01,4.02,2856296.0,4.02,GOOG-H
2011-06-29,4.01,4.09,4.01,4.05,2528568.0,4.05,GOOG-H
2011-06-30,4.07,4.14,4.05,4.11,2603524.0,4.11,GOOG-H
2011-07-01,4.06,4.13,4.06,4.11,1726228.0,4.11,GOOG-H
2011-07-04,4.09,4.15,4.09,4.15,1137734.0,4.15,GOOG-H
2011-07-05,4.1,4.14,4.09,4.13,1597593.0,4.13,GOOG-H
2011-07-06,4.09,4.13,4.06,4.06,1886365.0,4.06,GOOG-H
2011-07-07,3.97,4.09,3.93,4.04,5410738.0,4.04,GOOG-H
2011-07-08,4.03,4.04,3.95,4.0,5318954.0,4.0,GOOG-H
2011-07-11,3.95,4.06,3.95,4.03,2216072.0,4.03,GOOG-H
2011-07-12,3.96,4.05,3.96,4.0,3272035.0,4.0,GOOG-H
2011-07-13,3.97,4.02,3.96,4.0,3108665.0,4.0,GOOG-H
2011-07-14,3.92,3.98,3.82,3.93,6960022.0,3.93,GOOG-H
2011-07-15,3.91,4.0,3.89,3.96,3787903.0,3.96,GOOG-H
2011-07-18,3.98,3.99,3.94,3.97,1224308.0,3.97,GOOG-H
2011-07-19,3.97,4.11,3.97,4.06,3347354.0,4.06,GOOG-H
2011-07-20,4.09,4.09,4.06,4.07,4852338.0,4.07,GOOG-H
2011-07-21,4.06,4.1,4.05,4.07,2040987.0,4.07,GOOG-H
2011-07-22,4.07,4.1,4.03,4.07,2018859.0,4.07,GOOG-H
2011-07-25,4.1,4.1,3.99,4.0,1371943.0,4.0,GOOG-H
2011-07-26,4.01,4.03,3.97,3.98,1679440.0,3.98,GOOG-H
2011-07-27,3.97,4.0,3.93,3.97,4883678.0,3.97,GOOG-H
2011-07-28,3.91,3.94,3.89,3.9,1259374.0,3.9,GOOG-H
2011-07-29,3.9,4.06,3.9,4.01,3494512.0,4.01,GOOG-H
2011-08-01,4.03,4.16,4.01,4.13,2853236.0,4.13,GOOG-H
2011-08-02,4.05,4.1,4.05,4.07,3879263.0,4.07,GOOG-H
2011-08-03,4.0,4.03,3.97,3.97,5998931.0,3.97,GOOG-H
2011-08-04,4.0,4.03,3.99,4.01,8943374.0,4.01,GOOG-H
2011-08-05,3.99,3.99,3.82,3.84,3984897.0,3.84,GOOG-H
2011-08-08,3.63,3.77,3.63,3.65,5337985.0,3.65,GOOG-H
2011-08-09,3.47,3.63,3.43,3.6,5595764.0,3.6,GOOG-H
2011-08-10,3.45,3.67,3.45,3.59,5915594.0,3.59,GOOG-H
2011-08-11,3.47,3.58,3.47,3.55,4352750.0,3.55,GOOG-H
2011-08-12,3.52,3.62,3.52,3.59,2423780.0,3.59,GOOG-H
2011-08-15,3.57,3.76,3.57,3.76,2721263.0,3.76,GOOG-H
2011-08-16,3.88,3.9,3.75,3.83,6193297.0,3.83,GOOG-H
2011-08-17,3.86,3.89,3.81,3.89,3302600.0,3.89,GOOG-H
2011-08-18,3.86,3.89,3.84,3.86,4435596.0,3.86,GOOG-H
2011-08-19,3.68,3.78,3.68,3.73,2532708.0,3.73,GOOG-H
2011-08-22,3.71,3.84,3.59,3.62,2802803.0,3.62,GOOG-H
2011-08-23,3.73,3.73,3.64,3.66,2732776.0,3.66,GOOG-H
2011-08-24,3.68,3.71,3.59,3.68,7644894.0,3.68,GOOG-H
2011-08-25,3.76,3.82,3.74,3.78,3367786.0,3.78,GOOG-H
2011-08-26,3.78,3.98,3.74,3.98,2460542.0,3.98,GOOG-H
2011-08-29,3.98,4.09,3.88,4.04,2512990.0,4.04,GOOG-H
2011-08-30,4.0,4.03,3.9,3.91,1992496.0,3.91,GOOG-H
2011-08-31,3.91,3.99,3.86,3.95,2287302.0,3.95,GOOG-H
2011-09-01,4.0,4.0,3.91,3.99,2452705.0,3.99,GOOG-H
2011-09-02,3.87,3.93,3.82,3.86,4081806.0,3.86,GOOG-H
2011-09-05,3.89,3.9,3.72,3.78,1918149.0,3.78,GOOG-H
2011-09-06,3.61,3.76,3.6,3.73,3455927.0,3.73,GOOG-H
2011-09-07,3.69,3.81,3.69,3.8,2432355.0,3.8,GOOG-H
2011-09-08,3.88,3.89,3.69,3.73,2240956.0,3.73,GOOG-H
2011-09-09,3.71,3.77,3.7,3.74,2133004.0,3.74,GOOG-H
2011-09-12,3.63,3.69,3.63,3.66,1447469.0,3.66,GOOG-H
2011-09-13,3.64,3.67,3.63,3.63,1876624.0,3.63,GOOG-H
2011-09-14,3.62,3.63,3.48,3.5,3377066.0,3.5,GOOG-H
2011-09-15,3.56,3.67,3.54,3.58,2767690.0,3.58,GOOG-H
2011-09-16,3.77,3.86,3.71,3.77,2113759.0,3.77,GOOG-H
2011-09-19,3.67,3.73,3.66,3.69,1129155.0,3.69,GOOG-H
2011-09-20,3.69,3.69,3.61,3.61,1556859.0,3.61,GOOG-H
2011-09-21,3.7,3.79,3.63,3.77,2264054.0,3.77,GOOG-H
2011-09-22,3.63,3.69,3.6,3.64,2355392.0,3.64,GOOG-H
2011-09-23,3.69,3.69,3.55,3.68,1580505.0,3.68,GOOG-H
2011-09-26,3.7,3.72,3.61,3.62,1443418.0,3.62,GOOG-H
2011-09-27,3.64,3.71,3.63,3.66,1495006.0,3.66,GOOG-H
2011-09-28,3.66,3.72,3.65,3.69,2710775.0,3.69,GOOG-H
2011-09-29,3.61,3.66,3.56,3.6,1087208.0,3.6,GOOG-H
2011-09-30,3.65,3.67,3.59,3.65,3386191.0,3.65,GOOG-H
2011-10-03,3.57,3.59,3.55,3.55,1421753.0,3.55,GOOG-H
2011-10-04,3.5,3.65,3.44,3.63,3093368.0,3.63,GOOG-H
2011-10-05,3.65,3.65,3.48,3.54,3421991.0,3.54,GOOG-H
2011-10-06,3.54,3.6,3.53,3.56,1721727.0,3.56,GOOG-H
2011-10-07,3.6,3.64,3.56,3.61,2599940.0,3.61,GOOG-H
2011-10-10,3.61,3.67,3.6,3.63,1007537.0,3.63,GOOG-H
2011-10-11,3.61,3.68,3.61,3.65,3263752.0,3.65,GOOG-H
2011-10-12,3.63,3.71,3.63,3.7,1715675.0,3.7,GOOG-H
2011-10-13,3.72,3.89,3.71,3.78,2701430.0,3.78,GOOG-H
2011-10-14,3.73,3.78,3.72,3.75,1665657.0,3.75,GOOG-H
2011-10-17,3.77,3.83,3.76,3.83,1563904.0,3.83,GOOG-H
2011-10-18,3.75,3.83,3.69,3.69,1101033.0,3.69,GOOG-H
2011-10-19,3.72,3.78,3.65,3.73,1415239.0,3.73,GOOG-H
2011-10-20,3.73,3.73,3.69,3.69,2781888.0,3.69,GOOG-H
2011-10-21,3.72,3.73,3.69,3.7,753385.0,3.7,GOOG-H
2011-10-24,3.72,3.82,3.72,3.81,1312822.0,3.81,GOOG-H
2011-10-25,3.74,3.89,3.74,3.86,2139897.0,3.86,GOOG-H
2011-10-26,3.8,3.84,3.78,3.83,5013482.0,3.83,GOOG-H
2011-10-27,3.81,3.94,3.81,3.93,1288249.0,3.93,GOOG-H
2011-10-28,3.86,3.93,3.8,3.82,4086197.0,3.82,GOOG-H
2011-10-31,3.83,3.9,3.72,3.74,1517595.0,3.74,GOOG-H
2011-11-01,3.66,3.74,3.65,3.7,1057770.0,3.7,GOOG-H
2011-11-02,3.6,3.79,3.6,3.71,2075944.0,3.71,GOOG-H
2011-11-03,3.77,3.83,3.72,3.77,2564454.0,3.77,GOOG-H
2011-11-04,3.88,3.9,3.82,3.87,2405449.0,3.87,GOOG-H
2011-11-07,3.89,3.89,3.83,3.86,718142.0,3.86,GOOG-H
2011-11-08,3.85,3.86,3.77,3.78,2029968.0,3.78,GOOG-H
2011-11-09,3.81,3.86,3.77,3.83,1332557.0,3.83,GOOG-H
2011-11-10,3.67,3.77,3.67,3.76,1039696.0,3.76,GOOG-H
2011-11-11,3.8,3.88,3.8,3.88,1797939.0,3.88,GOOG-H
2011-11-14,3.92,3.95,3.86,3.86,734892.0,3.86,GOOG-H
2011-11-15,3.8,3.85,3.74,3.76,1932592.0,3.76,GOOG-H
2011-11-16,3.76,3.81,3.76,3.77,1323881.0,3.77,GOOG-H
2011-11-17,3.76,3.78,3.72,3.75,858106.0,3.75,GOOG-H
2011-11-18,3.73,3.75,3.7,3.72,797320.0,3.72,GOOG-H
2011-11-21,3.7,3.77,3.69,3.75,863563.0,3.75,GOOG-H
2011-11-22,3.65,3.74,3.65,3.69,1059492.0,3.69,GOOG-H
2011-11-23,3.66,3.7,3.61,3.64,1255774.0,3.64,GOOG-H
2011-11-24,3.64,3.64,3.55,3.62,1433194.0,3.62,GOOG-H
2011-11-25,3.55,3.6,3.53,3.58,852656.0,3.58,GOOG-H
2011-11-28,3.6,3.67,3.57,3.61,715913.0,3.61,GOOG-H
2011-11-29,3.61,3.65,3.53,3.6,966890.0,3.6,GOOG-H
2011-11-30,3.62,3.65,3.6,3.65,2243402.0,3.65,GOOG-H
2011-12-01,3.72,3.72,3.56,3.68,1374876.0,3.68,GOOG-H
2011-12-02,3.69,3.78,3.69,3.78,1619836.0,3.78,GOOG-H
2011-12-05,3.79,3.87,3.78,3.83,1447536.0,3.83,GOOG-H
2011-12-06,3.83,3.84,3.73,3.73,1859874.0,3.73,GOOG-H
2011-12-07,3.75,3.79,3.66,3.68,1992259.0,3.68,GOOG-H
2011-12-08,3.69,3.72,3.63,3.68,2167408.0,3.68,GOOG-H
2011-12-09,3.63,3.75,3.63,3.73,1744901.0,3.73,GOOG-H
