DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,2.61,2.61,2.5,2.58,99625.0,2.58,GOOG-H
1999-01-05,2.46,2.6,2.46,2.46,431389.0,2.46,GOOG-H
1999-01-06,2.6,2.6,2.6,2.6,25815.0,2.6,GOOG-H
1999-01-07,2.73,2.73,2.61,2.73,239017.0,2.73,GOOG-H
1999-01-08,2.75,2.75,2.64,2.74,93375.0,2.74,GOOG-H
1999-01-11,2.9,2.9,2.75,2.85,42425.0,2.85,GOOG-H
1999-01-12,2.9,2.9,2.82,2.85,12850.0,2.85,GOOG-H
1999-01-13,2.9,2.9,2.79,2.79,65415.0,2.79,GOOG-H
1999-01-14,2.79,2.79,2.67,2.69,31515.0,2.69,GOOG-H
1999-01-15,2.66,2.66,2.6,2.65,92090.0,2.65,GOOG-H
1999-01-18,2.68,2.68,2.65,2.68,64310.0,2.68,GOOG-H
1999-01-19,2.68,2.68,2.62,2.65,27567.0,2.65,GOOG-H
1999-01-20,2.65,2.65,2.6,2.6,125997.0,2.6,GOOG-H
1999-01-21,2.9,2.9,2.6,2.9,103253.0,2.9,GOOG-H
1999-01-22,3.05,3.05,2.95,2.95,225669.0,2.95,GOOG-H
1999-01-25,2.98,2.98,2.91,2.95,81556.0,2.95,GOOG-H
1999-01-27,3.05,3.05,2.96,3.05,317162.0,3.05,GOOG-H
1999-01-28,3.15,3.15,3.01,3.15,105214.0,3.15,GOOG-H
1999-01-29,3.22,3.22,3.15,3.18,123070.0,3.18,GOOG-H
1999-02-01,3.2,3.2,3.15,3.2,86818.0,3.2,GOOG-H
1999-02-02,3.25,3.25,3.2,3.2,79455.0,3.2,GOOG-H
1999-02-03,3.2,3.2,3.15,3.2,45776.0,3.2,GOOG-H
1999-02-04,3.26,3.26,3.17,3.25,59519.0,3.25,GOOG-H
1999-02-05,3.31,3.31,3.23,3.24,105202.0,3.24,GOOG-H
1999-02-08,3.3,3.3,3.21,3.28,241772.0,3.28,GOOG-H
1999-02-09,3.35,3.35,3.26,3.35,178170.0,3.35,GOOG-H
1999-02-10,3.35,3.35,3.31,3.31,200680.0,3.31,GOOG-H
1999-02-11,3.34,3.34,3.31,3.32,374559.0,3.32,GOOG-H
1999-02-12,3.4,3.4,3.34,3.34,86789.0,3.34,GOOG-H
1999-02-15,3.34,3.34,3.3,3.33,108778.0,3.33,GOOG-H
1999-02-16,3.45,3.45,3.35,3.4,189549.0,3.4,GOOG-H
1999-02-17,3.6,3.6,3.45,3.6,274642.0,3.6,GOOG-H
1999-02-18,3.75,3.75,3.65,3.75,107912.0,3.75,GOOG-H
1999-02-19,3.95,3.95,3.83,3.9,218216.0,3.9,GOOG-H
1999-02-22,4.0,4.0,3.91,4.0,153431.0,4.0,GOOG-H
1999-02-23,4.15,4.15,3.99,4.05,152903.0,4.05,GOOG-H
1999-02-24,4.15,4.15,4.05,4.1,88122.0,4.1,GOOG-H
1999-02-25,4.15,4.15,4.06,4.15,1027692.0,4.15,GOOG-H
1999-02-26,4.25,4.25,4.2,4.2,584308.0,4.2,GOOG-H
1999-03-01,4.14,4.14,4.0,4.0,29733.0,4.0,GOOG-H
1999-03-02,4.1,4.1,4.05,4.05,359427.0,4.05,GOOG-H
1999-03-03,4.15,4.15,4.05,4.05,276902.0,4.05,GOOG-H
1999-03-04,4.05,4.05,3.95,4.0,119279.0,4.0,GOOG-H
1999-03-05,4.05,4.05,3.95,4.05,24344.0,4.05,GOOG-H
1999-03-08,4.08,4.08,4.02,4.08,45967.0,4.08,GOOG-H
1999-03-09,4.12,4.12,4.05,4.1,401135.0,4.1,GOOG-H
1999-03-10,4.15,4.15,4.1,4.1,152600.0,4.1,GOOG-H
1999-03-11,4.15,4.15,4.1,4.12,128959.0,4.12,GOOG-H
1999-03-12,4.15,4.15,4.12,4.14,158146.0,4.14,GOOG-H
1999-03-15,4.2,4.2,4.15,4.18,58887.0,4.18,GOOG-H
1999-03-16,4.2,4.2,4.16,4.2,70714.0,4.2,GOOG-H
1999-03-17,4.2,4.2,4.19,4.2,61425.0,4.2,GOOG-H
1999-03-18,4.2,4.2,4.2,4.2,2400.0,4.2,GOOG-H
1999-03-19,4.26,4.26,4.18,4.24,113395.0,4.24,GOOG-H
1999-03-22,4.27,4.27,4.2,4.25,46000.0,4.25,GOOG-H
1999-03-23,4.29,4.29,4.25,4.26,22312.0,4.26,GOOG-H
1999-03-24,4.27,4.27,4.12,4.27,211714.0,4.27,GOOG-H
1999-03-25,4.3,4.3,4.2,4.3,50947.0,4.3,GOOG-H
1999-03-26,4.42,4.42,4.3,4.3,35028.0,4.3,GOOG-H
1999-03-29,4.39,4.39,4.25,4.35,33535.0,4.35,GOOG-H
1999-03-30,4.35,4.35,4.29,4.3,175186.0,4.3,GOOG-H
1999-03-31,4.3,4.3,4.15,4.3,80223.0,4.3,GOOG-H
1999-04-01,4.3,4.3,4.25,4.25,5888.0,4.25,GOOG-H
1999-04-06,4.25,4.25,4.07,4.15,21664.0,4.15,GOOG-H
1999-04-07,4.19,4.19,4.1,4.15,11230.0,4.15,GOOG-H
1999-04-08,4.15,4.15,4.12,4.15,8070.0,4.15,GOOG-H
1999-04-09,4.15,4.15,4.1,4.13,47495.0,4.13,GOOG-H
1999-04-12,4.14,4.14,4.1,4.14,35840.0,4.14,GOOG-H
1999-04-13,4.17,4.17,4.13,4.16,30395.0,4.16,GOOG-H
1999-04-14,4.26,4.26,4.16,4.26,218135.0,4.26,GOOG-H
1999-04-15,4.3,4.3,4.26,4.29,90312.0,4.29,GOOG-H
1999-04-16,4.28,4.28,4.26,4.28,240280.0,4.28,GOOG-H
1999-04-19,4.28,4.28,4.24,4.28,31560.0,4.28,GOOG-H
1999-04-20,4.22,4.22,4.2,4.21,74248.0,4.21,GOOG-H
1999-04-21,4.3,4.3,4.15,4.29,214566.0,4.29,GOOG-H
1999-04-22,4.45,4.45,4.3,4.4,81503.0,4.4,GOOG-H
1999-04-23,4.45,4.45,4.32,4.39,74318.0,4.39,GOOG-H
1999-04-26,4.38,4.38,4.34,4.34,11690.0,4.34,GOOG-H
1999-04-27,4.4,4.4,4.3,4.37,69673.0,4.37,GOOG-H
1999-04-28,4.37,4.37,4.34,4.34,399312.0,4.34,GOOG-H
1999-04-29,4.4,4.4,4.34,4.4,168441.0,4.4,GOOG-H
1999-04-30,4.4,4.4,4.3,4.4,35705.0,4.4,GOOG-H
1999-05-03,4.33,4.33,4.3,4.3,38555.0,4.3,GOOG-H
1999-05-04,4.3,4.3,4.25,4.25,188251.0,4.25,GOOG-H
1999-05-05,4.29,4.29,4.25,4.25,399409.0,4.25,GOOG-H
1999-05-06,4.3,4.3,4.26,4.3,87760.0,4.3,GOOG-H
1999-05-07,4.3,4.3,4.0,4.14,49474.0,4.14,GOOG-H
1999-05-10,4.15,4.15,4.0,4.15,32730.0,4.15,GOOG-H
1999-05-11,4.2,4.2,4.0,4.15,29150.0,4.15,GOOG-H
1999-05-12,4.29,4.29,4.15,4.28,102094.0,4.28,GOOG-H
1999-05-13,4.25,4.25,4.13,4.2,208665.0,4.2,GOOG-H
1999-05-14,4.22,4.22,4.15,4.2,49100.0,4.2,GOOG-H
1999-05-17,4.2,4.2,4.01,4.01,16394.0,4.01,GOOG-H
1999-05-18,4.28,4.28,4.0,4.28,14044.0,4.28,GOOG-H
1999-05-19,4.28,4.28,4.25,4.25,55731.0,4.25,GOOG-H
1999-05-20,4.25,4.25,4.19,4.19,27305.0,4.19,GOOG-H
1999-05-21,4.06,4.06,4.06,4.06,9835.0,4.06,GOOG-H
1999-05-24,4.15,4.15,4.06,4.15,18659.0,4.15,GOOG-H
1999-05-25,4.2,4.2,4.15,4.2,18700.0,4.2,GOOG-H
1999-05-26,4.28,4.28,4.2,4.28,11345.0,4.28,GOOG-H
1999-05-27,4.28,4.28,4.13,4.28,135739.0,4.28,GOOG-H
1999-05-28,4.28,4.28,4.14,4.28,32750.0,4.28,GOOG-H
1999-05-31,4.22,4.22,4.15,4.22,58160.0,4.22,GOOG-H
1999-06-01,4.13,4.13,4.1,4.13,8900.0,4.13,GOOG-H
1999-06-02,4.2,4.2,4.06,4.06,24311.0,4.06,GOOG-H
1999-06-03,4.2,4.2,4.07,4.2,540821.0,4.2,GOOG-H
1999-06-04,4.2,4.2,4.09,4.19,63721.0,4.19,GOOG-H
1999-06-07,4.2,4.2,4.09,4.15,28585.0,4.15,GOOG-H
1999-06-08,4.16,4.16,4.11,4.16,80859.0,4.16,GOOG-H
1999-06-09,4.2,4.2,4.2,4.2,284694.0,4.2,GOOG-H
1999-06-10,4.23,4.23,4.17,4.23,142784.0,4.23,GOOG-H
1999-06-11,4.1,4.1,4.06,4.06,5251.0,4.06,GOOG-H
1999-06-15,4.13,4.13,4.07,4.13,5423.0,4.13,GOOG-H
1999-06-16,4.2,4.2,4.13,4.17,42432.0,4.17,GOOG-H
1999-06-17,4.22,4.22,4.17,4.2,55807.0,4.2,GOOG-H
