DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,1.87,1.89,1.85,1.85,15498.0,1.85,GOOG-H
2000-01-05,1.86,1.86,1.77,1.77,44431.0,1.77,GOOG-H
2000-01-06,1.8,1.83,1.77,1.77,39254.0,1.77,GOOG-H
2000-01-07,1.78,1.81,1.78,1.78,28367.0,1.78,GOOG-H
2000-01-10,1.78,1.81,1.78,1.81,23148.0,1.81,GOOG-H
2000-01-11,1.82,1.85,1.81,1.82,62545.0,1.82,GOOG-H
2000-01-12,1.82,1.82,1.79,1.81,27792.0,1.81,GOOG-H
2000-01-13,1.81,1.81,1.79,1.8,22573.0,1.8,GOOG-H
2000-01-14,1.8,1.81,1.78,1.79,16003.0,1.79,GOOG-H
2000-01-17,1.79,1.81,1.78,1.8,37819.0,1.8,GOOG-H
2000-01-18,1.81,1.81,1.8,1.81,14202.0,1.81,GOOG-H
2000-01-19,1.81,1.83,1.8,1.8,44984.0,1.8,GOOG-H
2000-01-20,1.82,1.83,1.81,1.82,12941.0,1.82,GOOG-H
2000-01-21,1.82,1.82,1.79,1.8,28589.0,1.8,GOOG-H
2000-01-24,1.8,1.81,1.79,1.8,45927.0,1.8,GOOG-H
2000-01-25,1.8,1.8,1.78,1.78,28046.0,1.78,GOOG-H
2000-01-27,1.8,1.8,1.79,1.8,12190.0,1.8,GOOG-H
2000-01-28,1.79,1.8,1.75,1.8,56407.0,1.8,GOOG-H
2000-01-31,1.76,1.77,1.68,1.75,51556.0,1.75,GOOG-H
2000-02-01,1.75,1.75,1.68,1.68,12120.0,1.68,GOOG-H
2000-02-02,1.67,1.7,1.61,1.68,24461.0,1.68,GOOG-H
2000-02-03,1.68,1.68,1.65,1.68,35732.0,1.68,GOOG-H
2000-02-04,1.69,1.69,1.67,1.67,35053.0,1.67,GOOG-H
2000-02-07,1.67,1.68,1.67,1.67,25573.0,1.67,GOOG-H
2000-02-08,1.67,1.68,1.65,1.65,39594.0,1.65,GOOG-H
2000-02-09,1.65,1.65,1.63,1.63,18078.0,1.63,GOOG-H
2000-02-10,1.61,1.61,1.5,1.52,71165.0,1.52,GOOG-H
2000-02-11,1.5,1.52,1.44,1.44,102593.0,1.44,GOOG-H
2000-02-14,1.44,1.64,1.4,1.58,128887.0,1.58,GOOG-H
2000-02-15,1.61,1.61,1.58,1.59,97563.0,1.59,GOOG-H
2000-02-16,1.59,1.6,1.58,1.59,60367.0,1.59,GOOG-H
2000-02-17,1.59,1.59,1.56,1.58,28840.0,1.58,GOOG-H
2000-02-18,1.57,1.57,1.51,1.55,47464.0,1.55,GOOG-H
2000-02-21,1.55,1.55,1.49,1.5,66240.0,1.5,GOOG-H
2000-02-22,1.54,1.55,1.5,1.5,26144.0,1.5,GOOG-H
2000-02-23,1.53,1.55,1.51,1.53,34034.0,1.53,GOOG-H
2000-02-24,1.53,1.54,1.52,1.54,24799.0,1.54,GOOG-H
2000-02-25,1.54,1.54,1.53,1.53,68380.0,1.53,GOOG-H
2000-02-28,1.53,1.54,1.52,1.53,62499.0,1.53,GOOG-H
2000-02-29,1.54,1.54,1.52,1.54,141681.0,1.54,GOOG-H
2000-03-01,1.54,1.54,1.53,1.53,30426.0,1.53,GOOG-H
2000-03-02,1.52,1.54,1.52,1.53,23395.0,1.53,GOOG-H
2000-03-03,1.52,1.55,1.52,1.55,85800.0,1.55,GOOG-H
2000-03-06,1.55,1.55,1.52,1.52,47883.0,1.52,GOOG-H
2000-03-07,1.54,1.54,1.51,1.52,40650.0,1.52,GOOG-H
2000-03-08,1.53,1.53,1.46,1.46,46325.0,1.46,GOOG-H
2000-03-09,1.48,1.48,1.39,1.44,78210.0,1.44,GOOG-H
2000-03-10,1.44,1.5,1.44,1.49,22994.0,1.49,GOOG-H
2000-03-13,1.49,1.5,1.43,1.44,14651.0,1.44,GOOG-H
2000-03-14,1.43,1.49,1.42,1.45,38344.0,1.45,GOOG-H
2000-03-15,1.45,1.5,1.45,1.5,26962.0,1.5,GOOG-H
2000-03-16,1.53,1.71,1.53,1.7,49248.0,1.7,GOOG-H
2000-03-17,1.72,1.75,1.57,1.62,37324.0,1.62,GOOG-H
2000-03-20,1.68,1.68,1.6,1.6,14276.0,1.6,GOOG-H
2000-03-21,1.63,1.63,1.55,1.6,8428.0,1.6,GOOG-H
2000-03-22,1.6,1.6,1.55,1.55,12418.0,1.55,GOOG-H
2000-03-23,1.55,1.55,1.5,1.5,26114.0,1.5,GOOG-H
2000-03-24,1.51,1.52,1.48,1.48,18171.0,1.48,GOOG-H
2000-03-27,1.5,1.5,1.48,1.5,22478.0,1.5,GOOG-H
2000-03-28,1.48,1.59,1.46,1.59,41006.0,1.59,GOOG-H
2000-03-29,1.59,1.6,1.54,1.54,35156.0,1.54,GOOG-H
2000-03-30,1.53,1.62,1.53,1.62,25970.0,1.62,GOOG-H
2000-03-31,1.56,1.65,1.56,1.6,25232.0,1.6,GOOG-H
2000-04-03,1.59,1.64,1.55,1.55,44979.0,1.55,GOOG-H
2000-04-04,1.56,1.6,1.54,1.55,19928.0,1.55,GOOG-H
2000-04-05,1.55,1.55,1.53,1.55,11667.0,1.55,GOOG-H
2000-04-06,1.53,1.56,1.5,1.53,13822.0,1.53,GOOG-H
2000-04-07,1.5,1.55,1.5,1.51,30028.0,1.51,GOOG-H
2000-04-10,1.51,1.6,1.5,1.51,15448.0,1.51,GOOG-H
2000-04-11,1.51,1.53,1.48,1.48,18789.0,1.48,GOOG-H
2000-04-12,1.48,1.51,1.46,1.48,7779.0,1.48,GOOG-H
2000-04-13,1.48,1.48,1.41,1.41,19808.0,1.41,GOOG-H
2000-04-14,1.42,1.45,1.41,1.41,23819.0,1.41,GOOG-H
2000-04-17,1.33,1.4,1.33,1.4,29347.0,1.4,GOOG-H
2000-04-18,1.4,1.45,1.4,1.44,6576.0,1.44,GOOG-H
2000-04-19,1.45,1.46,1.4,1.4,7425.0,1.4,GOOG-H
2000-04-20,1.39,1.42,1.37,1.38,9348.0,1.38,GOOG-H
2000-04-26,1.49,1.49,1.38,1.41,10218.0,1.41,GOOG-H
2000-04-27,1.41,1.45,1.41,1.41,21933.0,1.41,GOOG-H
2000-04-28,1.43,1.45,1.42,1.44,23312.0,1.44,GOOG-H
2000-05-01,1.48,1.48,1.43,1.43,19626.0,1.43,GOOG-H
2000-05-02,1.44,1.46,1.43,1.43,16550.0,1.43,GOOG-H
2000-05-03,1.43,1.52,1.43,1.5,32492.0,1.5,GOOG-H
2000-05-04,1.51,1.58,1.51,1.58,14267.0,1.58,GOOG-H
2000-05-05,1.59,1.59,1.55,1.57,19620.0,1.57,GOOG-H
2000-05-08,1.57,1.57,1.5,1.5,15292.0,1.5,GOOG-H
2000-05-10,1.47,1.5,1.45,1.45,5300.0,1.45,GOOG-H
2000-05-11,1.45,1.45,1.4,1.4,55831.0,1.4,GOOG-H
2000-05-12,1.42,1.45,1.42,1.42,2170.0,1.42,GOOG-H
2000-05-15,1.43,1.45,1.42,1.42,14343.0,1.42,GOOG-H
2000-05-16,1.45,1.45,1.41,1.43,6653.0,1.43,GOOG-H
2000-05-17,1.4,1.42,1.4,1.42,1799.0,1.42,GOOG-H
2000-05-18,1.42,1.42,1.36,1.36,16331.0,1.36,GOOG-H
2000-05-19,1.42,1.43,1.38,1.4,13555.0,1.4,GOOG-H
2000-05-22,1.43,1.43,1.4,1.41,14172.0,1.41,GOOG-H
2000-05-23,1.43,1.43,1.41,1.41,8246.0,1.41,GOOG-H
2000-05-24,1.44,1.45,1.41,1.45,26543.0,1.45,GOOG-H
2000-05-25,1.48,1.48,1.4,1.4,37356.0,1.4,GOOG-H
2000-05-26,1.4,1.4,1.37,1.38,32065.0,1.38,GOOG-H
2000-05-29,1.39,1.39,1.35,1.35,10639.0,1.35,GOOG-H
2000-05-30,1.36,1.36,1.32,1.33,48110.0,1.33,GOOG-H
2000-05-31,1.32,1.35,1.3,1.32,62785.0,1.32,GOOG-H
2000-06-01,1.32,1.35,1.3,1.32,17423.0,1.32,GOOG-H
2000-06-02,1.35,1.36,1.31,1.31,29193.0,1.31,GOOG-H
2000-06-05,1.31,1.35,1.31,1.33,23036.0,1.33,GOOG-H
2000-06-06,1.33,1.33,1.27,1.27,84245.0,1.27,GOOG-H
2000-06-07,1.3,1.34,1.28,1.33,40236.0,1.33,GOOG-H
2000-06-08,1.34,1.4,1.34,1.39,58315.0,1.39,GOOG-H
2000-06-09,1.39,1.42,1.38,1.42,26907.0,1.42,GOOG-H
2000-06-13,1.44,1.44,1.4,1.43,10500.0,1.43,GOOG-H
2000-06-14,1.45,1.45,1.4,1.42,20295.0,1.42,GOOG-H
2000-06-15,1.4,1.42,1.4,1.41,22749.0,1.41,GOOG-H
2000-06-16,1.41,1.41,1.35,1.35,29974.0,1.35,GOOG-H
2000-06-19,1.35,1.35,1.33,1.35,21554.0,1.35,GOOG-H
2000-06-20,1.33,1.34,1.3,1.31,48417.0,1.31,GOOG-H
2000-06-21,1.31,1.32,1.3,1.31,17395.0,1.31,GOOG-H
2000-06-22,1.32,1.34,1.31,1.32,16488.0,1.32,GOOG-H
2000-06-23,1.32,1.33,1.31,1.32,18556.0,1.32,GOOG-H
2000-06-26,1.34,1.35,1.3,1.3,69475.0,1.3,GOOG-H
2000-06-27,1.3,1.32,1.29,1.3,125943.0,1.3,GOOG-H
2000-06-28,1.3,1.35,1.3,1.35,333696.0,1.35,GOOG-H
2000-06-29,1.34,1.35,1.3,1.3,72742.0,1.3,GOOG-H
2000-06-30,1.3,1.35,1.28,1.35,123049.0,1.35,GOOG-H
2000-07-03,1.35,1.44,1.35,1.44,21346.0,1.44,GOOG-H
2000-07-04,1.44,1.45,1.4,1.45,21965.0,1.45,GOOG-H
2000-07-05,1.44,1.52,1.42,1.5,32043.0,1.5,GOOG-H
2000-07-06,1.5,1.56,1.5,1.55,55159.0,1.55,GOOG-H
2000-07-07,1.56,1.59,1.56,1.57,50346.0,1.57,GOOG-H
2000-07-10,1.57,1.67,1.57,1.67,33489.0,1.67,GOOG-H
2000-07-11,1.68,1.77,1.68,1.73,50766.0,1.73,GOOG-H
2000-07-12,1.73,1.73,1.68,1.69,33490.0,1.69,GOOG-H
2000-07-13,1.66,1.68,1.65,1.65,17961.0,1.65,GOOG-H
2000-07-14,1.65,1.73,1.65,1.73,33716.0,1.73,GOOG-H
2000-07-17,1.74,1.84,1.74,1.81,67347.0,1.81,GOOG-H
2000-07-18,1.84,1.84,1.77,1.77,41397.0,1.77,GOOG-H
2000-07-19,1.77,1.8,1.77,1.78,36180.0,1.78,GOOG-H
2000-07-20,1.77,1.79,1.75,1.77,15475.0,1.77,GOOG-H
2000-07-21,1.75,1.76,1.72,1.72,18616.0,1.72,GOOG-H
2000-07-24,1.7,1.72,1.69,1.69,25168.0,1.69,GOOG-H
2000-07-25,1.71,1.77,1.7,1.77,14214.0,1.77,GOOG-H
2000-07-26,1.79,1.79,1.74,1.75,11925.0,1.75,GOOG-H
2000-07-27,1.75,1.75,1.7,1.75,3253.0,1.75,GOOG-H
2000-07-28,1.72,1.72,1.66,1.66,19745.0,1.66,GOOG-H
2000-07-31,1.62,1.65,1.62,1.64,8774.0,1.64,GOOG-H
2000-08-01,1.65,1.65,1.61,1.61,10120.0,1.61,GOOG-H
2000-08-02,1.61,1.64,1.61,1.62,9843.0,1.62,GOOG-H
2000-08-03,1.6,1.63,1.6,1.61,7441.0,1.61,GOOG-H
2000-08-04,1.62,1.63,1.6,1.6,17963.0,1.6,GOOG-H
2000-08-07,1.6,1.6,1.55,1.55,15551.0,1.55,GOOG-H
2000-08-08,1.56,1.56,1.51,1.56,17385.0,1.56,GOOG-H
2000-08-09,1.56,1.58,1.53,1.57,26234.0,1.57,GOOG-H
2000-08-10,1.57,1.6,1.57,1.6,17539.0,1.6,GOOG-H
2000-08-11,1.61,1.63,1.6,1.6,22108.0,1.6,GOOG-H
2000-08-14,1.6,1.62,1.59,1.59,12196.0,1.59,GOOG-H
2000-08-15,1.6,1.6,1.55,1.55,6477.0,1.55,GOOG-H
2000-08-16,1.57,1.57,1.51,1.51,10732.0,1.51,GOOG-H
2000-08-17,1.55,1.59,1.55,1.58,5473.0,1.58,GOOG-H
2000-08-18,1.59,1.62,1.59,1.6,16011.0,1.6,GOOG-H
2000-08-21,1.59,1.6,1.58,1.58,6885.0,1.58,GOOG-H
2000-08-22,1.59,1.6,1.58,1.58,10797.0,1.58,GOOG-H
2000-08-23,1.58,1.59,1.53,1.54,12874.0,1.54,GOOG-H
2000-08-24,1.54,1.58,1.54,1.57,11510.0,1.57,GOOG-H
